證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他應付款－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 其他應付款項－關係人,　　　　 應付租賃款－流動,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 待分配股票股利
1103,2015年09月30日,,,,              1532288,,              1266695,,              4513867,,                161817,,                  8290,,                 55466,,                    550,,                 49803,,                214799,,                 10391,,              1192776,,                200778,,                192061,,              3141171,                     81,              3141252,             12540833,,,              2955390,,                480900,,              1003734,,              2737527,,              8149672,                143454,,                 53229,,                117892,              1336008,,                 80084,              1587213,             17057890,             29598723,,,,,                975174,,                123984,,                              0,,                  3285,,                              0,,                220477,,                110743,,                326500,                              0,                  8578,,                  7518,,,                265869,,                627500,                    714,                894083,              2670342,,,             10967165,,                 12292,,              1573267,,                 98564,                187068,                285632,             12838356,             15508698,,,,              7768285,              7768285,,                605968,,              1959476,              2392109,,              3404600,              7756185,,,             -2592510,             -2592510,              1163291,             12374637,              1715388,             14090025,             29598723,              0,    132605016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2015年06月30日,,,,              3544104,,              1606690,,              3450547,,                226743,,                  6801,,                 53080,,                 11751,,                 57242,,                 96726,,                  9879,,              1161759,,                206441,,                192061,,              2059998,                  7808,              2067806,             12691630,,,              4508835,,                489780,,              1006086,,              2928776,,              8074033,                149238,,                 55404,,                 11488,              1339286,,                 80218,              1486396,             18643144,             31334774,,,,,              1403586,,                194949,,                              0,,                  4135,,,,                224366,,                 85670,,                413340,,                 15664,,                  7492,,,                156396,,                801272,                 11187,                968855,              3318057,,,              8943908,,                 13794,,              1543036,,                 88025,                191985,                280010,             10780748,             14098805,,,,              7768285,              7768285,,                570096,,              1959476,              2409016,,              3709393,              8077885,,,,                130664,              1149426,             15397504,              1838465,             17235969,             31334774,              0,    131226016,                413340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2015年03月31日,,,,              3152757,,              1722900,,              3810017,,                252350,,                  4567,,                 77679,,                 33203,,                 77450,,                203852,,                 14226,,              1142911,,                227884,,                              0,,              1748494,                  5078,              1753572,             12473368,,,              5506926,,                489780,,              1008126,,              2975333,,              8286434,                219753,,                 77863,,                112399,              1346085,,                 81183,              1617530,             20103882,             32577250,,,,,              1832998,,                349903,,                              0,,                  3154,,,,                275434,,                108654,,                147784,,                 47776,,                  7666,,,                 35317,,                801272,                  8918,                845507,              3618876,,,              8463311,,                 15595,,              1553295,,                 88352,                189329,                277681,             10309882,             13928758,,,,              7768285,              7768285,,                570096,,              1957842,              2418255,,              3826555,              8202652,,,,              1340053,              1149426,             16731660,              1916832,             18648492,             32577250,              0,    131226016,                147784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2014年12月31日,,,,              3163688,,              1671024,,              3708575,,                454996,,                  7031,,                109817,,                  6992,,                 92490,,                220990,,                 14173,,              1148184,,                150598,,                147940,,              1973459,                  8058,              1981517,             12878015,,,              5943688,,                489780,,              1097147,,              3085890,,              8317724,                219201,,                 77891,,                116527,              1358576,,                 82040,              1635034,             20788464,             33666479,,,,,              1057801,,                235739,,                              0,,                  3926,,                              0,,                527656,,                 98415,,                218884,                              0,                 44355,,                  8063,,,                 41346,,              1121272,                  8788,              1171406,              3366245,,,              9096887,,                 17900,,              1633163,,                 88703,                181523,                270226,             11018176,             14384421,,,,              7768285,              7768285,,                570096,,              1957842,              2418255,,              4014328,              8390425,,,              1774583,              1774583,              1149426,             17353963,              1928095,             19282058,             33666479,              0,    131226016,                218884,              3163688,                 14173,             33666479,,,,              1057801,,                235739,,                              0,,                  3926,,                527656,,                 98415,,                218884,                218884,                 44355,,                  8063,,,                 41346,,              1121272,                  8788,              1171406,              3366245,,,              9096887,,                 17900,,              1633163,,                 88703,                181523,                270226,             11018176,             14384421,,,,              7768285,              7768285,,                570096,,              1957842,              2418255,,              4014328,              8390425,,              1774583,              1149426,             17353963,              1928095,             19282058,              0,,,,,,,,,,,,,,,,,,,
1103,2014年09月30日,,,,              2868579,,              1706989,,              3801887,,                351137,,                  9329,,                149873,,                     36,,                 79643,,                160936,,                  5162,,              1117994,,                210185,,                              0,,              2126089,                 23672,              2149761,             12611511,,,              5760686,,                502323,,              1097032,,              3423294,,              8373345,                172035,,                 77667,,                213433,              1359223,,                315385,              1965708,             21294423,             33905934,,,,,              3034167,,                603467,,                    174,,                  3896,,                    199,,                467874,,                140623,,                164785,                 17076,                 40087,,                  7902,,,                 44616,,              1521272,                  5880,              1571768,              6052018,,,              6553485,,                 18954,,              1572831,,                 80370,                492858,                573228,              8718498,             14770516,,,,              7768285,              7768285,,                570096,,              1957842,              2418255,,              4154248,              8530345,,,              1482946,              1482946,              1149426,             17202246,              1933172,             19135418,             33905934,              0,    131226016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2014年06月30日,,,,              2525559,,              1800959,,              3972960,,                267047,,                 11014,,                115286,,                     33,,                130741,,                168936,,                  5162,,              1574644,,                204020,,                              0,,              2034986,                 11880,              2046866,             12823227,,,              5780651,,                502323,,              1130270,,              3440667,,              7850654,                180537,,                 80056,,                321296,              1071609,,                290749,              1763710,             20648812,             33472039,,,,,              2187333,,                768756,,                    324,,                  4161,,,,                463771,,                100714,,                995516,,                 49010,,                 27258,,,                 23174,,              1850425,                  6740,              1880339,              6477182,,,              6073287,,                 20471,,              1543233,,                 81783,                484436,                566219,              8203210,             14680392,,,,              7768285,              7768285,,                450521,,              1957842,              2418255,,              4000410,              8376507,,,,              1440954,              1149426,             16886841,              1904806,             18791647,             33472039,              0,    131226016,                995516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2014年03月31日,,,,              3291138,,              1936040,,              4179070,,                433464,,                 17148,,                199164,,                     31,,                 75917,,                 44118,,                  5549,,              1342103,,                185122,,                              0,,              1038476,                 19851,              1058327,             12767191,,,              7414004,,                513258,,              1157959,,              3539998,,              6793263,                199339,,                 87547,,                353390,                971048,,                271781,              1683766,             21301587,             34068778,,,,,              1418828,,                224847,,                    447,,                  4161,,,,                535538,,                 78147,,                180913,,                 63082,,                              0,,,                 71218,,              1825402,                  8799,              1905419,              4411382,,,              5971515,,                              0,,              1626143,,                 82140,                483690,                565830,              8163488,             12574870,,,,              7768285,              7768285,,                450521,,              1830635,              2715793,,              4571245,              9117673,,,,              3282956,              1149426,             19470009,              2023899,             21493908,             34068778,              0,    131226016,                180913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,2013年12月31日,,,,,,              2313953,,              4031734,,                544987,,                 16313,,                184346,,                     39,,                 96615,,                 43539,,,,              1312784,,                163025,,                              0,,              1556225,                  6551,              1562776,             13570784,,,              7071724,,                513258,,                488554,,              3615676,,              6772724,                187771,,                 64680,,                397847,                436084,,                255551,              1154162,             19803869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    131226016,,              3294619,                  6054,             33374653,,,,                797205,,                              0,,                    632,,                  4525,,                572950,,                 86714,,                218166,                218166,                 60778,,                              0,,,                 33368,,              1505380,                  8242,              1546990,              3287960,,,              6529478,,                              0,,              1572661,,                 82844,                403413,                486257,              8588396,             11876356,,,,              7768285,              7768285,,                450521,,              1830635,              2715793,,              4692427,              9238855,,              2773856,              1149426,             19082091,              2416206,             21498297,              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,,,,,,,,,,
1103,2013年09月30日,,,,,,              1953482,,              3690798,,                387814,,                 17207,,                207666,,                     42,,                 70018,,                 44286,,,,                967937,,                378743,,,,              1211434,                 17574,              1229008,             12068308,,,              4541915,,                700185,,                478126,,              3811315,,              6901080,                171138,,                 62744,,                516787,                203325,,                217787,              1000643,             17604402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    131226016,,              3114484,                  6823,             29672710,,,,              1165251,,                              0,,                              0,,                  3735,,                450965,,                115438,,                169806,                169806,                 42259,,                              0,,,                481442,,              1505358,                 20073,              2006890,              3960240,,,              6232065,,                              0,,              1514843,,                101178,                402827,                504060,              8251743,             12211983,,,,              7768285,              7768285,,                450521,,              1830635,              2819594,,              3549491,              8199720,,                -51838,              1149426,             15217262,              2243465,             17460727,              0,,                              0,                  5896,                     17,,                    775,,                     55,                     55,,,,,,,,,,
1103,2013年06月30日,,,,,,              1820520,,              3269566,,                417161,,                 13754,,                174641,,                     85,,                 72517,,                 45679,,,,                923011,,                247209,,,,              1290985,                 27244,              1318229,             11522945,,,              3425217,,                524920,,                655146,,              3863220,,              6905802,                168835,,                 61195,,                521489,                208310,,                195364,                986358,             16529498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    132150185,,              3219939,                    634,             28052443,,,,              1496117,,                129331,,                              0,,                  3790,,                428357,,                 74324,,                183419,                183419,                 35497,,                              0,,,                 30526,,                935336,                 11825,                977703,              3334434,,,              6951742,,                              0,,              1533864,,                110157,                351907,                462123,              8948687,             12283121,,,,              7768285,              7768285,,                444825,,              1830635,              2819594,,              3361516,              8011745,,             -1501621,              1153409,             13569825,              2199497,             15769322,              0,,,                  5896,                     16,,                    958,,                     59,                     59,,,,,,,,,,
