證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 股東往來,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 股東往來,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 庫存現金,　　　　 銀行存款,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產評價調整－流動,　　　　 應收票據,　　　　 應收票據－關係人,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款－關係人,　　　　 其他應收款－其他,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額,　　　　 預付貨款,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 以成本衡量之金融資產－非流動,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 水電設備淨額,　　　　　 水電設備成本,　　　　　 累計折舊－水電設備,　　　　　 水電設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 租賃資產淨額,　　　　　 租賃資產成本,　　　　　 累計折舊－租賃資產,　　　　　 租賃資產淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　　 其他非流動資產－其他,　　　　 銀行借款,　　　　 其他應付款－其他,　　　　　 預收貨款,　　　　　 一年或一營業週期內到期長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 遞延所得稅負債－所得稅,　　　　　 累積盈虧,　　　　　 本期損益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　　　 農產品,　　　　 在建工程（營造業適用）,　　　　　 在建工程（營造業適用）合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 按攤銷後成本衡量之金融資產－非流動,　　　　 按攤銷後成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 土地改良物淨額,　　　　　 土地改良物淨額,　　　　　 機器設備－重估增（減）值,　　　　　 累計減損－機器設備,　　　　 裝卸設備淨額,　　　　　 裝卸設備淨額,　　　　 倉儲設備淨額,　　　　　 倉儲設備淨額,　　　　 售氣及輸氣設備淨額,　　　　　 售氣及輸氣設備淨額,　　　　 模具設備淨額,　　　　　 模具設備淨額,　　　　 冷凍設備淨額,　　　　　 冷凍設備淨額,　　　　 漁船設備淨額,　　　　　 漁船設備淨額,　　　　 電腦通訊設備淨額,　　　　　 電腦通訊設備淨額,　　　　 試驗設備淨額,　　　　　 試驗設備淨額,　　　　 污染防治設備淨額,　　　　　 污染防治設備淨額,　　　　 船舶設備淨額,　　　　　 船舶設備淨額,　　　　 碼頭設備淨額,　　　　　 碼頭設備淨額,　　　　 飛航設備淨額,　　　　　 飛航設備淨額,　　　　 營業器具淨額（觀光飯店業適用）,　　　　　 營業器具淨額（觀光飯店業適用）,　　　　 機具設備淨額,　　　　　 機具設備淨額,　　　　 遊樂設備淨額,　　　　　 遊樂設備淨額,　　　　 景觀園藝淨額,　　　　　 景觀園藝淨額,　　　　 出租資產－機器設備淨額,　　　　　 出租資產－機器設備淨額,　　　　 出租資產－其他淨額,　　　　　 出租資產－其他淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　 天然資源淨額,　　　　 天然資源淨額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 其他應付款項－關係人,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　 工程進度請款金額,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 以成本衡量之金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 長期遞延收入,　　　　 特別股負債－非流動,　　　　 採用權益法之投資貸餘,　　　　 未實現售後租回利益,　　　　 其他非流動負債－其他,　　　　 內部往來,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計
1108,2015年09月30日,,,,                286582,,                153574,,                456366,,                              0,,                423303,,                              0,,                  2068,,                     53,,              3591614,,                215805,,                  6124,,                194880,              5330369,,,                 47081,,              2154830,                140609,,                 93582,,                258823,                352405,              2694925,              8025294,,,,,                659690,,                              0,,                236553,,                              0,,                169149,,                  6518,,                192190,                192190,                 94630,                    978,,,                215735,,                421800,                421800,                 11108,                648643,              2008351,,,                735700,,                 89048,,                344184,                 27597,                 45800,                417581,              1242329,              3250680,,,,              4047380,              4047380,,                      8,                      8,,                 87760,                 14135,,                571580,                673475,,                 20316,                              0,              4741179,                 33435,              4774614,              8025294,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2015年06月30日,,,,                370011,,                153030,,                520631,,                              0,,                528692,,                    493,,                  1403,,                     53,,              3558046,,                222242,,,,                284938,              5639539,,,                 53081,,              2204299,                152772,,                 93810,,                190770,                284580,              2694732,              8334271,,,,,                329454,,                104911,,                197836,,                  5463,,                149854,,                  3042,,                495188,                495188,                 96069,,,,                235190,,                775386,                775386,                  5917,              1016493,              2398310,,,                753400,,                 89164,,                351130,                 27397,                 45800,                424327,              1266891,              3665201,,,,              4047380,              4047380,,                              0,                              0,,                 87760,                 14135,,                479800,                581695,,                 17142,                              0,              4646217,                 22853,              4669070,              8334271,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2015年03月31日,,,,                241190,,                127189,,                516489,,                    199,,                552760,,                    658,,                  3837,,                     49,,              3544763,,                221575,,,,                234261,              5442970,,,                 53081,,              2243101,                150747,,                 94092,,                224195,                318287,              2765216,              8208186,,,,,                290056,,                108776,,                235739,,                  1365,,                171859,,                  5188,,                198041,                198041,                 52785,,,,                267908,,,                789373,                 14863,              1072144,              2135953,,,                785100,,                 91115,,                352377,                 26097,                 45800,                424274,              1300489,              3436442,,,,              4047380,              4047380,,                              0,                              0,,                 49806,                 14135,,                601347,                665288,,                 29700,                              0,              4742368,                 29376,              4771744,              8208186,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年12月31日,,,,                261107,,                141895,,                584884,,                  1903,,                557441,,                     11,,                  3817,,                     85,,              3570708,,                205124,,                              0,,                234595,              5561570,,,                 56266,,              2300176,                130512,,                 93936,,                220819,                314755,              2801709,              8363279,,,,,                395113,,                108683,,                313962,,                     51,,                224162,,                  6742,,                197092,                197092,                 13068,                              0,,,                261617,,                793428,                793428,                 19899,              1074944,              2333817,,,                912800,,                 78941,,                350740,                 26067,                 45800,                422607,              1414348,              3748165,,,,              4047380,              4047380,,                              0,                              0,,                 49806,                 14135,,                445049,                508990,,                 28252,                              0,              4584622,                 30492,              4615114,              8363279,              0,              0,              0,                261107,                     85,              8363279,,,,                395113,,                108683,,                313962,,                     51,,                224162,,                  6742,,                197092,                 13068,,,                261617,,                793428,                 19899,              1074944,              2333817,,,                912800,,                 78941,,                350740,                 26067,                 45800,                422607,              1414348,              3748165,,,,              4047380,              4047380,,                              0,                              0,,                 49806,                 14135,,                445049,                508990,,                 28252,                              0,              4584622,                 30492,              4615114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年09月30日,,,,                217554,,                 81568,,                500774,,                  3343,,                551457,,                    579,,                  8266,,                     55,,              3647309,,                262728,,                              0,,                283337,              5556970,,,                 62399,,              2306076,                140134,,                 92473,,                255598,                348071,              2856680,              8413650,,,,,                491233,,                118683,,                264838,,                  4447,,                249416,,                  4857,,                203215,                203215,                 12128,                              0,,,                263896,,                444010,                444010,                 46713,                754619,              2103436,,,              1287000,,                 81992,,                363204,                 23967,                 45800,                432971,              1801963,              3905399,,,,              4047380,              4047380,,                      7,                      7,,                 49806,                 14135,,                369729,                433670,,                 21092,                              0,              4502149,                  6102,              4508251,              8413650,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年06月30日,,,,                258546,,                 95990,,                519597,,                      9,,                551236,,                    390,,                  3043,,                     46,,              3623617,,                233452,,,,                286651,              5572577,,,                 62399,,              2366025,                150977,,                 91843,,                264286,                356129,              2935530,              8508107,,,,,                530287,,                118550,,                318519,,                    263,,                218192,,                  9574,,                399506,                399506,                  6956,,,,                228682,,                391258,                391258,                 35104,                655044,              2256891,,,              1272700,,                 81085,,                373665,                 23967,                 55800,                453432,              1807217,              4064108,,,,              4047380,              4047380,,                      7,                      7,,                 49806,                 14135,,                288351,                352292,,                 33488,                              0,              4433167,                 10832,              4443999,              8508107,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年03月31日,,,,                269002,,                107351,,                524463,,                     93,,                501064,,                  4186,,                  3775,,                    314,,              3566335,,                225978,,,,                284592,              5487153,,,                 62399,,              2416387,                177981,,                 91832,,                209240,                301072,              2957839,              8444992,,,,,                714996,,                118650,,                232479,,                  1145,,                234933,,                  5392,,                199516,                199516,                  9129,,,,                242705,,,                364243,                 11750,                618698,              2134938,,,              1280266,,                 87298,,                378228,                 24417,                 55800,                458445,              1826009,              3960947,,,,              4047380,              4047380,,                      7,                      7,,                 31862,                 14135,,                336867,                382864,,                 42128,                              0,              4472379,                 11666,              4484045,              8444992,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2013年12月31日,,,,,,                106838,,                587846,,                    100,,                544148,,                  3802,,                  5800,,,,              3627749,,                216917,,,,                282150,              5593001,,,                 62399,,              2435301,                195107,,                 91344,,                205855,                297199,              2990006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                216573,                  1078,              8583007,,,,                696430,,                118529,,                327651,,                    156,,                217704,,                  1956,,                206823,                  7591,,,                235892,,                411907,                 11538,                659337,              2236177,,,              1396538,,                 88147,,                378924,                 24017,                 55800,                458741,              1943426,              4179603,,,,              4047380,              4047380,,                      7,                      7,,                 31862,                 14135,,                263852,                309849,,                 32262,                              0,              4389498,                 13906,              4403404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2013年09月30日,,,,,,                118980,,                507013,,                    114,,                519764,,                     38,,                  6188,,,,              3732588,,                250834,,,,                316568,              5662222,,,                 72399,,              2491616,                196731,,                 90808,,                203133,                293941,              3054687,,,,,,,                123602,,                257462,,,,                219667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                206989,                  3146,              8716909,,,,                844925,,                123602,,                257462,,                  1784,,                219667,,                  2118,,                183411,                  6489,,,                267987,,                366882,                 16103,                650972,              2290430,,,              1474285,,                 89360,,                383153,                 24161,                 55800,                463114,              2026759,              4317189,,,,              4047380,              4047380,,                      7,                      7,,                 31862,                 14135,,                250552,                296549,,                 36223,                              0,              4380159,                 19561,              4399720,                  1639,                205350,                 78386,                 40594,                507013,                    114,                526655,                  6891,                     38,                  6188,,                 16119,                 16119,,                151565,                104188,                197804,                 34620,                 76820,                411357,,              3305112,              3305112,                250834,                 30000,                286568,                 72399,,                724675,                724675,,              2137326,              1491786,                645540,,              6082007,              5314842,                767165,,              1182299,              1102914,                 79385,,                930089,                710143,                219946,,                              0,                              0,                              0,,                238797,                191128,                 47669,,                287322,                280086,                  7236,                203133,                844925,                183411,                267987,                366882,              1459500,                 14785,                 89360,                 79545,                171007,,                 -5747,,                 41970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2013年06月30日,,,,,,                122249,,                526389,,                    153,,                530217,,                              0,,                  3804,,,,              3706341,,                236696,,,,                307106,              5583173,,,                 74969,,              2573114,                208290,,                 90695,,                207314,                298009,              3154382,,,,,,,                128441,,                260867,,,,                197611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                146104,                  4114,              8737555,,,,                906524,,                128441,,                260867,,                  1629,,                197611,,                  2836,,                175726,                  3113,,,                300579,,                284700,                 20811,                606090,              2282837,,,              1552550,,                 90042,,                384539,                 25361,                 55800,                465700,              2108292,              4391129,,,,              4047380,              4047380,,                      7,                      7,,                 31862,                 14135,,                195250,                241247,,                 36224,                              0,              4324858,                 21568,              4346426,                  1511,                144593,                 81428,                 40821,                526389,                    153,                537213,                  6996,                              0,                  3804,,                 14088,                 14088,,                158835,                 54991,                216475,                 35840,                 77801,                388340,,              3303913,              3303913,                236696,                 30000,                277106,                 74969,,                724675,                724675,,              2137799,              1474114,                663685,,              6084771,              5277139,                807632,,              1181644,              1095677,                 85967,,                927983,                695103,                232880,,,,                              0,,                238797,                188662,                 50135,,                287906,                279766,                  8140,                207314,                906524,                175726,                300579,                284700,              1532000,                 20550,                 90042,                 79545,                115705,,                 -5957,,                 42181,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,,,
