證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付款,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計
1234,2015年09月30日,,,,              3610098,,              1070122,,                191183,,                695083,,                  9917,,              1205036,,                              0,                 40853,                 40853,,                452615,,                 58763,              7333670,,,                  1139,,                632232,,              5614289,,              7852642,,                  4060,                 75277,,                 47588,                239077,                              0,                286665,             14466304,             21799974,,,,,                345135,,                231244,,                200572,,                442233,                 79669,                              0,,,                325244,                 57584,                382828,              1681681,,,              2132084,,                406491,                138137,                544628,              2676712,              4358393,,,,              4018711,              4018711,,                184583,,              2020382,              4413676,,              6693651,             13127709,,                110578,                              0,             17441581,                              0,             17441581,             21799974,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,2015年06月30日,,,,              4460117,,                859676,,                134088,,                582447,,                 12166,,              1114277,,                    225,                 48299,                 48524,,                              0,,                 49931,              7261226,,,                  1139,,                612734,,              5973935,,              7863502,,                  2645,                 78358,,                145131,                 24223,                  8881,                178235,             14710548,             21971774,,,,,                493760,,                207005,,                252292,,              1049847,                 59644,                              0,,,,,                 54971,              2117519,,,              2132085,,                405287,                137940,                543227,              2675312,              4792831,,,,              4018711,              4018711,,                184583,,              2020382,              4413676,,              6402606,             12836664,,                138985,                              0,             17178943,                              0,             17178943,             21971774,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,2015年03月31日,,,,              4323139,,                762146,,                123069,,                470390,,                  8446,,              1119366,,                    228,                 69424,                 69652,,                              0,,                 45139,              6921347,,,                  1139,,                585787,,              5997317,,              7874361,,                  3209,                 75001,,                154196,                 26052,                  9065,                189313,             14726127,             21647474,,,,,                481150,,                144345,,                216873,,                475830,                 77104,                              0,,,,,                 63573,              1458875,,,              2132296,,                406063,                137755,                543818,              2676114,              4134989,,,,              4018711,              4018711,,                184583,,              1980886,              4413676,,              6771252,             13165814,,                143377,                              0,             17512485,                              0,             17512485,             21647474,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,2014年12月31日,,,,              4108178,,                863120,,                100429,,                358881,,                 11846,,              1242326,,                    230,                 51828,                 52058,,                 15698,,                 24021,              6776557,,,                  1139,,                551680,,              6049884,,              7885221,,                  3717,                 73833,,                104956,                 25462,                  9209,                139627,             14705101,             21481658,,,,,                474750,,                143211,,                150616,,                551132,                 47281,                  4946,,,                              0,                 63752,                 63752,              1435688,,,              2131751,,                406493,                138127,                544620,              2676371,              4112059,,,,              4018711,              4018711,,                184583,,              1980886,              4420576,,              6641324,             13042786,,                123519,                              0,             17369599,                              0,             17369599,             21481658,              0,              0,              0,              4108178,             21481658,,,,                474750,,                143211,,                150616,,                551132,                 47281,                  4946,,                 63752,              1435688,,,              2131751,,                406493,                138127,                544620,              2676371,              4112059,,,,              4018711,              4018711,,                184583,,              1980886,              4420576,,              6641324,             13042786,,                123519,                              0,             17369599,                              0,             17369599,,
1234,2014年09月30日,,,,              4183749,,                541349,,                162531,,                652067,,                  6584,,              1534260,,                    222,                 64467,                 64689,,                 15698,,                 34089,              7195016,,,                  1139,,                515920,,              6036044,,              7896122,,                  4298,                 76404,,                 61925,                 29032,                  8951,                 99908,             14629835,             21824851,,,,,                425880,,                276838,,                244004,,                804315,                 50177,                  4946,,,                              0,                 55256,                 55256,              1861416,,,              2131751,,                412551,                137486,                550037,              2681788,              4543204,,,,              4018711,              4018711,,                184583,,              1980886,              4420576,,              6575060,             12976522,,                101831,                              0,             17281647,                              0,             17281647,             21824851,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,2014年06月30日,,,,              4758122,,                530514,,                119140,,                510103,,                  9193,,              1642723,,                    217,                113394,                113611,,                 15698,,                 19548,              7718652,,,                  1139,,                738688,,              6022989,,              7907023,,                  4902,                 78102,,                 67752,                 26524,                  8794,                103070,             14855913,             22574565,,,,,                448050,,                225538,,                253973,,              1754306,                 38226,                  4946,,,,,                 77731,              2802770,,,              2131751,,                414111,                137343,                551454,              2683205,              5485975,,,,              4018711,              4018711,,                184583,,              1980886,              4420576,,              6379633,             12781095,,                104201,                              0,             17088590,                              0,             17088590,             22574565,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,2014年03月31日,,,,              5144175,,                874787,,                 83523,,                359433,,                  8329,,              1677455,,                    222,                101181,                101403,,                 15698,,                 35175,              8299978,,,                  1139,,                723587,,              3883776,,              7917925,,                  3036,                 77582,,              1467956,                 26166,                  9028,              1503150,             14110195,             22410173,,,,,                609400,,                138254,,                169477,,                307329,                626728,                  4946,,,,,                 40171,              1896305,,,              2133419,,                412549,                132097,                544646,              2678065,              4574370,,,,              4018711,              4018711,,                184583,,              1949673,              4420576,,              7160467,             13530716,,                101793,                              0,             17835803,                              0,             17835803,             22410173,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,2013年12月31日,,,,,,                635482,,                 85633,,                322869,,                  7141,,              1915851,,                    222,                 91618,                 91840,,                 15698,,                 16661,              8353296,,,                  1139,,                701852,,              3906100,,              7928826,,                  2880,                 73951,,              1309884,                 26902,                  9119,              1345905,             13960653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              5262121,             22313949,,,,                599813,,                177303,,                165325,,                279494,                608919,                  4946,,                 23769,              1859569,,,              2131751,,                409473,                138025,                547498,              2679249,              4538818,,,,              4018711,              4018711,,                184583,,              1949673,              4420576,,              7096181,             13466430,,                105407,                              0,             17775131,                              0,             17775131,,
1234,2013年09月30日,,,,,,                740659,,                143678,,                662571,,                  9317,,              1922185,,                    219,                335065,                335284,,                278438,,                 28926,             10085940,,,                  1139,,                753639,,              3894415,,              7939978,,                  3318,,,,                239666,                  9013,                902457,             13494946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              5964882,             23580886,,,,                534839,,                301086,,                306820,,              1690539,                636102,                 87732,,                 27651,              3584769,,,              2061310,,                412476,                138478,                550954,              2612264,              6197033,,,,              4018711,              4018711,,                184583,,              1949673,              4536059,,              6490113,             12975845,,                204714,                              0,             17383853,                              0,             17383853,,                653778
1234,2013年06月30日,,,,,,                970901,,                173684,,                549809,,                 11629,,              1752583,,                    221,                308311,                308532,,                              0,,                 40568,             11487218,,,                  1139,,                734429,,              4193789,,              7951130,,                  3756,,,,                238000,                  9171,                367471,             13251714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              7679512,             24738932,,,,                543626,,                216397,,                333806,,              1776238,                636034,                              0,,                 48991,              3555092,,,              2149302,,                411423,                137774,                549197,              2698499,              6253591,,,,              5358281,              5358281,,                184583,,              1949673,              4536059,,              6251133,             12736865,,                205612,                              0,             18485341,                              0,             18485341,,                120300
