證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 當期所得稅資產合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 庫藏股票,　　 非控制權益
1307,2015年09月30日,,,,              4137259,,                 80259,,                 45955,,              1267186,,                503512,,                  2912,,                              0,,              1738991,,                 85700,,                              0,                 81640,                 81640,              7943414,,,                 73238,,              5884949,,,                  3509,                 35759,                 39268,                 71301,,                108290,                 26834,                 97793,,                  3630,                236547,              6305303,             14248717,,,,,                910000,,                 89911,,                    233,,                  1264,,                823522,,                840188,                840188,                 75943,,,                796675,                 68476,                865151,              3606212,,,              1183849,,                977596,,,                              0,                              0,                243936,                  8129,                252065,              2413510,              6019722,,,,              3862312,              3862312,,                137866,,              1057343,                504790,,              2163250,              3725383,,                503434,              8228995,              8228995,             14248717,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,2015年06月30日,,,,              4200509,,                 93507,,                 24691,,                980099,,                368171,,                  2773,,,,              1761824,,                 61762,,                              0,                 75505,                 75505,              7568841,,,                 73345,,              5725785,,,                  3851,                 35759,                 39610,                 62592,,                112308,                 25686,                 92476,,                  3646,                234116,              6135448,             13704289,,,,,                740000,,                 59926,,                    572,,                  2591,,                592958,,                789895,              1389866,                 62214,,,                461677,                 68863,                530540,              3378667,,,              1634643,,                895776,,,                              0,                              0,                243936,                  7818,                251754,              2782173,              6160840,,,,              3749817,              3862312,,                137866,,              1057343,                504790,,              1828347,              3390480,,                152791,              7543449,              7543449,             13704289,              0,              0,                599971,                112495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,2015年03月31日,,,,              3641446,,                 72576,,                 19819,,              1347871,,                509057,,                  2649,,,,              1881183,,                108720,,                              0,                 47061,                 47061,              7630382,,,                 81761,,              5743882,,,                  4192,                 35759,                 39951,                 62616,,                118335,                 26033,                 94467,,                  3870,                242705,              6170915,             13801297,,,,,                940000,,                 89942,,                              0,,                  1876,,                723973,,                753063,                753063,                 68679,,,                399467,                 67728,                467195,              3044728,,,              1630133,,                859330,,,                              0,                              0,                243936,                  7887,                251823,              2741286,              5786014,,,,              3749817,              3749817,,                137866,,                960367,                504790,,              2417931,              3883088,,                244512,              8015283,              8015283,             13801297,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,2014年12月31日,,,,              3798181,,                 76473,,                 36515,,              1068867,,                406923,,                  2651,,                              0,,              1761559,,                100854,,                              0,                104523,                104523,              7356546,,,                 84929,,              5739233,,,                  4596,                 35759,                 40355,                 71442,,                114419,                 26251,                 92034,,                  4086,                236790,              6172749,             13529295,,,,,              1040000,,                              0,,                              0,,                              0,,                640931,,                682653,                682653,                 60084,,,                352470,                 60609,                413079,              2836747,,,              1768330,,                824121,,,                              0,                              0,                289222,                  3396,                292618,              2885069,              5721816,,,,              3749817,              3749817,,                137866,,                960367,                504790,,              2133524,              3598681,,                321115,              7807479,              7807479,             13529295,              0,              0,                              0,                              0,              3798181,             13529295,,,,              1040000,,                640931,,                682653,                682653,                 60084,,,                352470,                 60609,                413079,              2836747,,,              1768330,,                824121,,                289222,                  3396,                292618,              2885069,              5721816,,,,              3749817,              3749817,,                137866,,                960367,                504790,,              2133524,              3598681,,                321115,              7807479,              7807479,              0,,,,,,,,,,,,,,,,
1307,2014年09月30日,,,,              2771250,,                 84345,,                 39905,,              1202509,,                526809,,                  4615,,                 43903,,              1971505,,                130781,,                 73778,                136378,                210156,              6985778,,,                 76796,,              5691251,,,                  4957,                 35759,                 40716,                 77313,,                 90998,                 25814,                 89083,,                  4116,                210011,              6096087,             13081865,,,,,                930000,,                              0,,                              0,,                  1242,,                767948,,                714693,                714693,                 38861,,,                478327,                 45752,                524079,              2976823,,,              1657534,,                847343,,,                  1841,                  1841,                311978,                  3388,                317207,              2822084,              5798907,,,,              3749817,              3749817,,                137866,,                960367,                504790,,              1863276,              3328433,,                 66842,              7282958,              7282958,             13081865,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,2014年06月30日,,,,              3167177,,                 62879,,                 34728,,              1052201,,                469092,,                  4287,,,,              2022833,,                 85639,,                101902,                105252,                207154,              7105990,,,                 83165,,              5548660,,,                  4930,                 35759,                 40689,                 86418,,                 82328,                 25372,                 88071,,                  4181,                199952,              5958884,             13064874,,,,,                810000,,                119972,,                    153,,                  1251,,                745119,,                680942,              1190626,                 44581,,,                430508,                 52807,                483315,              3395017,,,              1585713,,                812727,,,                  1821,                  1821,                312103,                  3382,                317306,              2715746,              6110763,,,,              3640599,              3749817,,                137866,,                960367,                504790,,              1640293,              3105450,,                -39022,              6954111,              6954111,             13064874,              0,              0,                509684,                109218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,2014年03月31日,,,,              2738547,,                 73727,,                 51454,,              1264597,,                509430,,                  3738,,,,              2091215,,                117563,,                 30470,                135541,                166011,              7016282,,,                 97271,,              5481224,,,                  5826,                 35759,                 41585,                 85517,,                 84037,                 25820,                 90481,,                  4415,                204753,              5910350,             12926632,,,,,                810000,,                              0,,                    510,,                  1876,,                779154,,                619439,                619439,                113701,,,                480508,                 66545,                547053,              2871733,,,              1620973,,                764670,,,                  1821,                  1821,                312103,                  3386,                317310,              2702953,              5574686,,,,              3640599,              3640599,,                137866,,                880484,                504790,,              2104055,              3489329,,                 84152,              7351946,              7351946,             12926632,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,2013年12月31日,,,,,,                 84658,,                 38804,,              1005722,,                391032,,                  2276,,,,              2068272,,                106178,,                 29805,                103297,                133102,              6696032,,,                 99918,,              5377892,,,                  6677,                 35759,                 42436,                 85032,,                 53496,                 25413,                 89106,,                  4597,                172612,              5777890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              2865988,             12473922,,,,                850000,,                737519,,                669138,                669138,                110526,,,                420333,                 35265,                455598,              2822781,,,              1599327,,                723027,,                344757,                  3625,                348382,              2670736,              5493517,,,,              3640599,              3640599,,                137866,,                880484,                504790,,              1839305,              3224579,,                -22639,              6980405,              6980405,              0,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,                              0,,,,
1307,2013年09月30日,,,,,,                 58996,,                 34718,,              1107927,,                484344,,                  5353,,,,              2070079,,                101126,,                 29570,                123905,                153475,              6534351,,,                109796,,              5215344,,,                  7460,                 35759,                 43219,                102354,,                 38962,                 25306,                 89024,,                  4669,                157961,              5628674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              2518333,             12163025,,,,                960000,,                788248,,                565477,                565477,                 70641,,,                395583,                 62525,                458108,              2932969,,,              1435917,,                727703,,                374610,                  3378,                377988,              2541608,              5474577,,,,              3640599,              3640599,,                137866,,                880484,                505112,,              1579257,              2964853,,                -54870,              6688448,              6688448,              0,                              0,,                 89931,,                    564,,                              0,                              0,,,,,,,,
1307,2013年06月30日,,,,,,                 80219,,                 88203,,                974810,,                420447,,                 14064,,,,              2086097,,                120624,,                 30000,                122272,                152272,              6362196,,,                122463,,              5134117,,,                  8604,                 35759,                 44363,                 99025,,                              0,                 24493,                 90935,,                 18633,                134061,              5534029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              2425460,             11896225,,,,                820000,,                673812,,                569657,              1064496,                 57610,,,                343500,                 87747,                431247,              3057222,,,              1181000,,                706470,,                374520,                  3142,                377662,              2265132,              5322354,,,,              3534562,              3640599,,                137866,,                880484,                505112,,              1390749,              2776345,,                 19061,              6573871,              6573871,              0,,,                              0,,                  9508,,                              0,                              0,,                    549,                494839,                106037,,,,
