證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 特別股負債－非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 採用權益法之投資,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 特別股負債－非流動,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　　 待分配股票股利,　　　 庫藏股票
1314,2015年09月30日,,,,              9202978,,              1067994,,                176597,,              1692489,,                 71839,,                149289,,              1954819,,                570414,,                873405,             15759824,,,              1293041,,              1459907,,              2800775,,             16305035,,             37009324,,                 21928,                  9365,,                537217,             59436592,             75196416,,,,,              1469651,,              1238616,,                 14685,,                407369,                 40975,,                522973,,,                570000,                252531,                822531,              4516800,,,                 67686,,              4115998,,                825000,              1208789,              2033789,,              2458780,,              8082362,,                              0,                312455,                312455,             17071070,             21587870,,,,             23199897,             23199897,,                 18141,,              1091591,             29914066,,                150892,             31156549,,,                 69549,,             -1056156,               -986607,             53387980,                220566,             53608546,             75196416,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2015年06月30日,,,,              9485966,,                726962,,                191576,,              2114403,,                 84422,,                112352,,              1974735,,                638228,,                884395,             16213039,,,              1453093,,              1459907,,              2507314,,             16451886,,             37009324,,                 19608,                  9365,,                337985,             59248482,             75461521,,,,,                800000,,              1922082,,                 18664,,                418898,                 26193,,                575028,,,                552500,                191990,                744490,              4505355,,,                292479,,              3812975,,                947500,                998917,              1946417,,              2537476,,              8082362,,                              0,                302643,                302643,             16974352,             21479707,,,,             23199897,             23199897,,                 18141,,              1091591,             29914066,,                537508,             31543165,,,               -121777,,               -881900,             -1003677,             53757526,                224288,             53981814,             75461521,              0,              0,              0,              2507314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2015年03月31日,,,,              9353976,,              1116893,,                191849,,              2683872,,                 60580,,                165710,,              2075278,,                524021,,                856656,             17028835,,,              1339561,,              1173907,,              2594449,,             16705747,,             37009324,,                 19719,                  9365,,                286168,             59138240,             76167075,,,,,              1482354,,              1510935,,                 22564,,                351815,                 41279,,                551104,,,                210000,                338182,                548182,              4508233,,,                578103,,              3836464,,              1490000,                998793,              2488793,,              2618250,,              8082362,,                174019,                314392,                488411,             18092383,             22600616,,,,             23199897,             23199897,,                              0,,              1062727,             29654282,,                472336,             31189345,,,                -65731,,               -985216,             -1050947,             53338295,                228164,             53566459,             76167075,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2014年12月31日,,,,             10412190,,                942771,,                185589,,              2305182,,                102484,,                103753,,              2169636,,                968644,,                722946,             17913195,,,              1347769,,              1173907,,              2685059,,             16980407,,             37009324,,                 20169,                  9365,,                289220,             59515220,             77428415,,,,,              2564933,,              1537757,,                  9349,,                574667,                 31279,,                626462,,,                105000,                219062,                324062,              5668509,,,                706549,,              3843671,,              1595000,                998793,              2593793,,              2625100,,              8082362,,                172270,                316870,                489140,             18340615,             24009124,,,,             23199897,             23199897,,                              0,,              1062727,             29654282,,                288648,             31005657,,,                -31944,,               -982649,             -1014593,             53190961,                228330,             53419291,             77428415,              0,              0,              0,              2685059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2014年09月30日,,,,              6563547,,              1501439,,                181348,,              2872187,,                104092,,                157544,,              2629619,,              1053470,,                706377,             15769623,,,              1282236,,              1143907,,              2537959,,             18203705,,             34298556,,                 18701,                  4204,,                281102,             57770370,             73539993,,,,,              2615596,,              2409052,,                 22877,,                386522,                 27844,,                281966,,,                105000,                 87083,                192083,              5935940,,,                              0,,                              0,,              2095000,                898605,              2993605,,              1677865,,              8210858,,                170393,                200958,                371351,             13253679,             19189619,,,,             23199897,             23199897,,                              0,,              1062727,             29654282,,              1328676,             32045685,,,               -114977,,             -1015289,             -1130266,             54115316,                235058,             54350374,             73539993,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2014年06月30日,,,,              5577585,,              1186211,,                              0,,              2937211,,                104131,,                 47000,,              3020306,,                482090,,                458243,             13812777,,,              1525060,,              1285419,,              2375975,,             18338544,,             34298556,,                 19791,                  4204,,                273448,             58120997,             71933774,,,,,              2210374,,              1484234,,                 21780,,                485108,                 24741,,                322877,,,                              0,                218065,                218065,              4767179,,,                              0,,                              0,,              1400000,                898865,              2298865,,              1750418,,              8210858,,                168778,                107350,                276128,             12536269,             17303448,,,,             23199897,             23199897,,                              0,,              1062727,             29654282,,              1596839,             32313848,,,               -165820,,               -953332,             -1119152,             54394593,                235733,             54630326,             71933774,              0,              0,              0,              2375975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2014年03月31日,,,,              6075536,,              1138101,,                              0,,              2671607,,                114056,,                 62097,,              3052811,,                711195,,                362321,             14187724,,,              1526754,,              1285419,,              2500314,,             18448537,,             31842895,,                 20882,                  4204,,                280235,             55909240,             70096964,,,,,              3211040,,              1351330,,                 16466,,                289904,                 44566,,                561353,,,                              0,                143868,                143868,              5618527,,,                              0,,                              0,,                900000,                599418,              1499418,,              1693710,,              8088799,,                167163,                186688,                353851,             11635778,             17254305,,,,             23199897,             23199897,,                              0,,              1823040,             29654282,,               -996423,             30480899,,,               -123440,,               -950951,             -1074391,             52606405,                236254,             52842659,             70096964,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2014年01月01日,,,,              8186545,,              1088420,,                              0,,              2223097,,                129608,,                 53315,,              2708127,,                191530,,                333876,             14914518,,,              1592009,,              1285419,,              2503943,,             18797074,,             31842895,,                 21972,                  4204,,                 39316,             56086832,             71001350,,,,,              3386798,,              2032514,,                 21295,,                351728,                 53818,,                697355,,,                              0,                242411,                242411,              6785919,,,                              0,,                              0,,                400000,                599900,                999900,,              1749270,,              8088816,,                165548,                112779,                278327,             11116313,             17902232,,,,             23199897,             23199897,,                              0,,              1823040,             29654282,,               -760313,             30717009,,,               -142972,,               -885919,             -1028891,             52888015,                211103,             53099118,             71001350,              0,              0,              0,              2503943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2013年12月31日,,,,,,              1088420,,                              0,,              2223097,,                129608,,                 53315,,              2708127,,                191530,,                333876,             14914518,,,              1592009,,              1285419,,              2503943,,             18797074,,             31842895,,                 21972,                  4204,,                 39316,             56086832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              8186545,             71001350,,,,              3386798,,              2032514,,                 21295,,                351728,                 53818,,                697355,,,                              0,                242411,                242411,              6785919,,,                              0,,                              0,,                400000,                599900,                999900,,              1749270,,              8088816,,                165548,                112779,                278327,             11116313,             17902232,,,,             23199897,             23199897,,                              0,,              1823040,             29654282,,               -760313,             30717009,,,               -142972,,               -885919,             -1028891,             52888015,                211103,             53099118,,,,,
1314,2013年09月30日,,,,,,                968126,,                              0,,              2570281,,                 84385,,                 58336,,              2712014,,                770306,,                281946,             12617943,,,              1548286,,              1287929,,              2459640,,             18976254,,              6403012,,                 46516,                     25,,                 40173,             30761835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              5172549,             43379778,,,,              1711591,,              1745242,,                 15845,,                326794,                 60399,,                829161,,,                              0,                 90540,                 90540,              4779572,,,,,,,                220000,                              0,                220000,,              2036038,,              3874073,,                163933,                106682,                270615,              6400726,             11180298,,,,             23199897,             23199897,,                              0,,              1823040,              8430049,,               -441096,              9811993,,,               -172326,,               -864152,             -1036478,             31975412,                224068,             32199480,,,,,
