證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付投資款,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
1315,2015年09月30日,,,,                702991,,                              0,,              1858152,,                125826,,                244698,,                 20927,,                 12684,,                    561,,                  3121,,,                671390,                671390,,                 31048,,                 67384,              3738782,,,                143599,,                274245,,              1844981,,              2707605,                145927,,                  5756,,                    810,                 84956,,                  3873,                  3873,                 95395,              5211752,              8950534,,,,,                544656,,                 89974,,                    807,,                134462,,                120599,,                              0,,                180017,                  1997,                 10556,,                  5843,,,                 14320,                  7494,                 21814,              1110725,,,                 19523,,                747232,,                301350,                  3299,                304649,              1071404,              2182129,,,,              1980000,              1980000,,                 70498,,              3627054,,              1204285,                118879,              6762958,                              0,                  5447,              6768405,              8950534,              0,              0,      7137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2015年06月30日,,,,                623085,,                  1843,,              2363860,,                163255,,                318531,,                 18296,,                 28520,,                    588,,                  2840,,,                708147,                708147,,                 24441,,                 56021,              4309427,,,                143599,,                277402,,              1823863,,              2707630,                147201,,                  6503,,                    810,                 81363,,                  2468,                  2468,                 91144,              5190839,              9500266,,,,,                595472,,                 59970,,                              0,,                143108,,                 91233,,                              0,,                370264,                  1647,                 16548,,                  5843,,,                 14457,                  6191,                 20648,              1304733,,,                 20603,,                741465,,                312476,                  3299,                315775,              1077843,              2382576,,,,              1980000,              1980000,,                 62647,,              3444135,,              1753484,                118879,              7121387,                              0,                 -3697,              7117690,              9500266,              0,              0,      7137000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2015年03月31日,,,,                581262,,                  5155,,              2283075,,                 96244,,                226304,,                 17161,,                 22837,,                    733,,                  2861,,,                672116,                672116,,                 39792,,                 89968,              4037508,,,                143599,,                322162,,              1843631,,              2707656,                150204,,                  6576,,                    810,                 83121,,                  1575,                  1575,                 92082,              5259334,              9296842,,,,,                461688,,                 29985,,,,                120603,,                119616,,                              0,,                129003,                  4839,                 29816,,                  5843,,,                 15778,                  5225,                 21003,                922396,,,                 24391,,                744172,,                320380,                  3299,                323679,              1092242,              2014638,,,,              1980000,              1980000,,                 62647,,              3635966,,              1722989,                118879,              7282723,                              0,                   -519,              7282204,              9296842,              0,              0,      7137000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2014年12月31日,,,,                465966,,                 13226,,              2158225,,                144389,,                330237,,                 19108,,                 28591,,                    716,,                    191,,,                667021,                667021,,                 30696,,                 85699,              3944065,,,                143599,,                331891,,              1854504,,              2707687,                150202,,                  7134,,                    810,                 84579,,                  1914,                  1914,                 94437,              5282320,              9226385,,,,,                436691,,                 59959,,                              0,,                153857,,                 82990,,                    376,,                171320,                  4972,                 22383,,                  5843,,,                 16248,                  2854,                 19102,                957493,,,                 28632,,                749264,,                321971,                  3407,                325378,              1103274,              2060767,,,,              1980000,              1980000,,                 62647,,              3629762,,              1609494,                118879,              7163024,                              0,                  2594,              7165618,              9226385,              0,              0,      7137000,                              0,                465966,                    191,              9226385,,,,                436691,,                 59959,,                153857,,                 82990,,                    376,,                171320,                  4972,                 22383,,                  5843,,,                 16248,                  2854,                 19102,                957493,,,                 28632,,                749264,,                321971,                  3407,                325378,              1103274,              2060767,,,,              1980000,              1980000,,                 62647,,              3629762,,              1609494,                118879,              7163024,                              0,                  2594,              7165618,,,,,,,,,,,,,,,
1315,2014年09月30日,,,,                594687,,                  6169,,              2214450,,                127943,,                310710,,                 25041,,                  8956,,                    712,,                  2788,,,                702799,                702799,,                 45305,,                 67056,              4106616,,,                143599,,                347601,,              1868831,,              2707717,                151965,,                  7046,,                    810,                 82237,,                  1651,                  1651,                 91744,              5311457,              9418073,,,,,                429779,,                              0,,                              0,,                137770,,                126618,,                              0,,                392272,                  2146,                 15161,,                  5843,,,                 17070,                 11703,                 28773,              1138362,,,                 34349,,                744708,,                319130,                  3505,                322635,              1101692,              2240054,,,,              1980000,              1980000,,                 62647,,              3560189,,              1687395,                118879,              7171352,                              0,                  6667,              7178019,              9418073,              0,              0,      7137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2014年06月30日,,,,                478802,,                              0,,              2356307,,                175875,,                383597,,                 21111,,                 11971,,                    816,,                  2614,,,                767757,                767757,,                 40636,,                 81694,              4321180,,,                143599,,                333432,,              1885763,,              2707748,                152042,,                  5577,,                    810,                 81005,,                  2091,                  2091,                 96286,              5318870,              9640050,,,,,                467901,,                              0,,                    918,,                130758,,                 98846,,                              0,,                376062,                  1753,                 12372,,                  5843,,,                 18089,                  6105,                 24194,              1118647,,,                 40923,,                740701,,                321267,                  3500,                324767,              1106391,              2225038,,,,              2200000,              2200000,,                 54717,,              3415673,,              1864373,                126809,              7407954,                              0,                  7058,              7415012,              9640050,              0,              0,      7930000,                  6803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2014年03月31日,,,,                597735,,                    793,,              2126694,,                146612,,                255450,,                 25176,,                 17300,,                    923,,                  3635,,,                749839,                749839,,                 37996,,                 76495,              4038648,,,                143599,,                350362,,              1891730,,              2707778,                150970,,                  5444,,                    810,                 83150,,                  2151,                  2151,                 96982,              5341421,              9380069,,,,,                444855,,                              0,,,,                139559,,                103365,,                              0,,                127749,                  1165,                 11815,,                  5843,,,                 18176,                  5961,                 24137,                858488,,,                 45661,,                743064,,                326145,                  3466,                329611,              1118336,              1976824,,,,              2200000,              2200000,,                 54717,,              3616324,,              1649603,                126809,              7393835,                              0,                  9410,              7403245,              9380069,              0,              0,      7930000,                  5427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,2013年12月31日,,,,,,                    576,,              2237317,,                161162,,                305259,,                 24443,,                 16333,,                  1348,,,,,                703709,                703709,,                 30957,,                 81934,              4177782,,,                143599,,                359579,,              1886678,,              2707809,                150363,,                  5361,,                    810,                 83075,,                  3049,                  3049,                 96543,              5344571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      7930000,                  4248,                613668,                  1076,              9522353,,,,                440744,,                              0,,                109832,,                 86114,,                  7807,,                171206,                  2846,                  9969,,                  5843,,,                 17433,                  4629,                 22062,                856423,,,                 48153,,                741493,,                325829,                  3435,                329264,              1118910,              1975333,,,,              2200000,              2200000,,                 54717,,              3616219,,              1790250,                126809,              7534377,                              0,                 12643,              7547020,,,,,,,,,,,,,,,
1315,2013年09月30日,,,,,,                              0,,              2053965,,                184836,,                296106,,                 21124,,                 16237,,                    781,,,,,,                733575,,                 36847,,                 13833,              4117757,,,                143599,,                341637,,              1902949,,              2707839,                150019,,                  5592,,                    810,                 82549,,                  4088,                  4088,                 95675,              5341718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      7930000,                  2636,                759391,                  1062,              9459475,,,,                492153,,                              0,,                136044,,                110161,,                  7711,,                219732,                              0,                 11144,,                  5843,,,                 18550,                  6003,                 24553,              1007582,,,                 55877,,                740707,,                325059,                  4943,                330002,              1126586,              2134168,,,,              2200000,              2200000,,                 54717,,              3599139,,              1580859,                126809,              7307906,,                 17401,              7325307,,                733575,,                    241,                              0,,,,,,,,,,
1315,2013年06月30日,,,,,,                              0,,              2069484,,                221248,,                324131,,                 22875,,                 13985,,                    912,,,,,                772490,                772490,,                109442,,                 12285,              4237393,,,                143599,,                338197,,              1915619,,              2707870,                158787,,                  5564,,                    810,                 85554,,                  5027,                  5027,                 98031,              5362103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      7930000,                  1076,                689453,                  1088,              9599496,,,,                566267,,                              0,,                135158,,                 97658,,                              0,,                398585,                              0,                  4194,,                  5843,,,                 13961,                 31519,                 45480,              1253185,,,                 33966,,                742101,,                324499,                  4960,                329459,              1105526,              2358711,,,,              2200000,              2200000,,                 46787,,              3501714,,              1606855,                126809,              7228547,                              0,                 12238,              7240785,,,,                              0,                              0,,,,,,,,,,
