證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 待分配股票股利,　　　 預付款項,　　　　 預付款項合計,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 存出保證金,　　　　 其他應付費用,　　　　 存入保證金,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權
1319,2015年09月30日,,,,              1370194,,                     29,,                 45111,,                141904,,              4479189,,                 30751,,                398856,,              2756477,,                665095,              9887606,,,                125883,,                  2236,,                 18098,,              3533497,,             17690852,,              1136767,                306931,,              1804158,                333630,,                163223,                163223,              2301011,             25115275,             35002881,,,,,              2140596,,                              0,,                 50689,,              2392099,,                209277,,                354893,              1108526,              1463419,                112711,,                 32982,,,              1995185,                 73496,              2068681,                230461,              2299142,              8700915,,,              1700000,,              4568945,,                438665,,                951565,                  8307,                959872,              7667482,             16368397,,,,              5914771,              5914771,,              4149257,,              1460211,,              5685607,              7145818,,                417209,             17627055,              1007429,             18634484,             35002881,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2015年06月30日,,,,              1275576,,                     29,,                 98808,,                130396,,              4547127,,                 26532,,                626780,,              2711600,,                735859,             10152707,,,                125883,,                  2236,,                 18098,,              3339694,,             17392018,,                962427,                360360,,              1794097,                323999,,                141216,                141216,              2259312,             24460028,             34612735,,,,,              1842966,,                119969,,                137592,,              2308828,,                193779,,                431667,              1361713,              2231073,                170692,,                 26402,,,              1490394,                 68565,              1558959,                249558,              1808517,              8839818,,,              2200000,,              4329166,,                374303,,                957532,                  8537,                966069,              7869538,             16709356,,,,              5914771,              5914771,,              4149257,,              1460211,,              5201024,              6661235,,                200185,             16925448,                977931,             17903379,             34612735,              0,              0,              0,                437693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2015年03月31日,,,,              1287607,,                     29,,                141341,,                 85191,,              4683754,,                 16939,,                600810,,              2808717,,                965161,             10589549,,,                125883,,                  2236,,                 18098,,              3314798,,             17228283,,                924622,                343526,,              1825503,                320385,,                 91560,                 91560,              2237448,             24194894,             34784443,,,,,              2538000,,                369864,,                 98195,,              2457588,,                164909,,                363006,              1200801,              1563807,                227904,,                 27442,,,              1485626,                 43937,              1529563,                238709,              1768272,              9215981,,,              2200000,,              3733158,,                373059,,                963681,                  7966,                971647,              7277864,             16493845,,,,              5914771,              5914771,,              4149257,,              1369222,,              5600325,              6969547,,                254273,             17287848,              1002750,             18290598,             34784443,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年12月31日,,,,              1195358,,                     29,,                 93899,,                200974,,              4792577,,                 27013,,                293023,,              2767764,,                892394,             10263031,,,                125883,,                  2236,,                 18098,,              3580248,,             16925915,,                937996,                385491,,              1919074,                326016,,                112209,                112209,              2357299,             24333166,             34596197,,,,,              2653667,,                569863,,                 56713,,              2594778,,                187266,,                407551,              1714743,              2122294,                213523,,                 25519,,,                              0,                 45811,                 45811,                279113,                324924,              8748547,,,              2480880,,              4026435,,                397192,,                971280,                  8873,                980153,              7884660,             16633207,,,,              5914771,              5914771,,              4139513,,              1369222,,              5187577,              6556799,,                316013,             16927096,              1035894,             17962990,             34596197,              0,              0,              0,                              0,                              0,              1195358,                 93899,                 18098,             34596197,,,,              2653667,,                569863,,                 56713,,              2594778,,                187266,,                407551,              1714743,              2122294,                213523,,                 25519,,,                              0,                 45811,                 45811,                279113,                324924,              8748547,,,              2480880,,              4026435,,                397192,,                971280,                  8873,                980153,              7884660,             16633207,,,,              5914771,              5914771,,              4139513,,              1369222,                              0,,              5187577,              6556799,,                316013,                              0,             16927096,              1035894,             17962990,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年09月30日,,,,              1232616,,                     29,,                118987,,                101946,,              4319239,,                 41991,,                280496,,              2697047,,                693558,              9485909,,,                125883,,                  2237,,                 18098,,              3331894,,             16478985,,                844612,                298614,,              1993441,                321063,,                 89761,                 89761,              2404265,             23504588,             32990497,,,,,              2404498,,                604835,,                116311,,              2353026,,                161262,,                401540,                986907,              1388447,                163249,,                 21289,,,                              0,                 44444,                 44444,                203578,                248022,              7460939,,,              2476158,,              3986976,,                330619,,                997954,                  8556,              1006510,              7800263,             15261202,,,,              5914771,              5914771,,              4139513,,              1369222,,              5146868,              6516090,,                160151,             16730525,                998770,             17729295,             32990497,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年06月30日,,,,              1424796,,                     29,,                124665,,                116686,,              4227713,,                 33217,,                410234,,              2531297,,                640961,              9509598,,,                125883,,                  2237,,                 18098,,              3258078,,             16118201,,                862456,                294399,,              1957555,                313980,,                 76023,                 76023,              2347558,             23026910,             32536508,,,,,              2436266,,                639753,,                148266,,              2192302,,                155899,,                448764,              1010707,              2110096,                222236,,                 16549,,,                              0,                148684,                148684,                275534,                424218,              8345585,,,              2471458,,              3031139,,                298158,,              1005450,                  8194,              1013644,              6814399,             15159984,,,,              5914771,              5914771,,              4139513,,              1369222,,              4920145,              6289367,,                 60289,             16403940,                972584,             17376524,             32536508,              0,              0,              0,                650625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年03月31日,,,,              1329171,,                    129,,                 96310,,                119233,,              4177913,,                 25437,,                415773,,              2569632,,                518047,              9251645,,,                125883,,                  2237,,                 16858,,              3240930,,             15824709,,                858741,                280823,,              1708539,                321857,,                 75914,                 75914,              2106310,             22456491,             31708136,,,,,              2007084,,                469792,,                 76818,,              2251738,,                139538,,                387967,                963643,              1351610,                237771,,                 21729,,,                              0,                 45710,                 45710,                243720,                289430,              6845510,,,              2466781,,              2828071,,                315828,,              1012757,                  7772,              1020529,              6631209,             13476719,,,,              5914771,              5914771,,              4139513,,              1234538,,              5351138,              6739580,,                165798,             16959662,              1271755,             18231417,             31708136,              0,              0,              0,,                153904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2013年12月31日,,,,,,                    302,,,,                120997,,              4179319,,                 18860,,                222312,,              2627430,,                483443,              8862423,,,                125883,,                 10171,,,,              3340422,,             15669861,,                867607,                286985,,              1661330,                326276,,                 69726,                 69726,              2057332,             22375119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1071829,                137931,                 16858,             31237542,,,,              1604058,,                              0,,                119110,,              2113075,,                156645,,                369532,              1156899,              1526431,                195335,,                 18928,,,                962126,                 44834,              1006960,                217516,              1224476,              6958058,,,              1500000,,              3595249,,                310731,,              1019869,                 10192,              1030061,              6436041,             13394099,,,,              5914771,              5914771,,              4139513,,              1234538,                153904,,              4954282,              6342724,,                173312,                              0,             16570320,              1273123,             17843443,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
1319,2013年09月30日,,,,,,                  4019,,,,                117153,,              3837196,,                 16527,,                212637,,              2633155,,                435788,              8742751,,,                125883,,                 41681,,,,              3286790,,             15474270,,                792382,                315296,,              1415661,                218571,,                 69398,                 69398,              1703630,             21756790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1367597,                118679,                 16858,             30499541,,,,              1646043,,                339806,,                 92784,,              2049775,,                125025,,                367528,                945431,              1514927,                157697,,                 21875,,,                957494,                 44174,              1001668,                272917,              1274585,              7223502,,,              1500000,,              2693181,,                289257,,              1145177,                 11174,              1156351,              5638789,             12862291,,,,              5914771,              5914771,,              4139513,,              1234538,                153904,,              4615733,              6004175,,                 56669,                              0,             16115128,              1522122,             17637250,,                    985,                201968,,,,,,,,,,,,,,,,,,,,
1319,2013年06月30日,,,,,,                     72,,,,                149767,,              4084406,,                 24141,,                305950,,              2440902,,                406830,              8914547,,,                125883,,                 41681,,,,              3247222,,             15459903,,                830818,                321505,,              1098783,                214322,,,                 53298,              1366403,             21420438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1906898,,,              1403131,                 99348,                 27023,             30334985,,,,              1220896,,                              0,,                 86730,,              2079141,,                133905,,                303479,                859440,              1364887,                138070,,                 16749,,,                952884,                462451,              1415335,                265422,              1680757,              6730496,,,              1500000,,              3357495,,                318667,,              1153303,                 11818,              1165121,              6341283,             13071779,,,,              5770508,              5914771,,              4105202,,              1234538,                153904,,              4288032,              5676474,,                 92225,                 36220,             15752452,              1510754,             17263206,,                  9361,                201968,                144263,,,,,,,,,,,,,,,,,,,
