證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 待分配股票股利,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計
1323,2015年09月30日,,,,                530930,,                 53735,                 53735,,                 45777,,                550184,,                 11651,,,                416378,                416378,,                    708,                    708,,                250608,                 70516,                321124,              1930487,,,              1567679,                 59724,,                  2352,                 25312,,                 23144,                 50808,              1678211,              3608698,,,,,                 33000,,                  3241,                  3241,,                156794,                156794,,                283487,                 23074,,,                              0,                 13209,                 13209,                512805,,,                768898,,                183367,,                235999,                    847,                236846,              1189111,              1701916,,,,                912745,                912745,,                 55817,,                222803,,                430731,                653534,,                 75523,                  2813,              1694806,                211976,              1906782,              3608698,              0,              0,      1200017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2015年06月30日,,,,                576695,,                122659,                122659,,                 53048,,                524991,,                 16819,,,                394710,                394710,,                    692,                    692,,                361176,                 72427,                433603,              2123217,,,              1517142,                 59146,,                  2423,                 24900,,                 31911,                 59234,              1635522,              3758739,,,,,                180425,,                  2848,                  2848,,                146810,                146810,,                405694,                 33018,,,                              0,                 12774,                 12774,                781569,,,                768805,,                176286,,                235295,                    847,                236142,              1181233,              1962802,,,,                912745,                912745,,                 55113,,                222803,,                367689,                590492,,                 50704,                  2813,              1606241,                189696,              1795937,              3758739,              0,              0,      1200017,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2015年03月31日,,,,                609170,,                121439,                121439,,                 40835,,                501896,,                 11362,,,                402642,                402642,,                    698,                    698,,                374885,                 74729,                449614,              2137656,,,              1489699,                 58041,,                  2802,                 25312,,                 48769,                 76883,              1624623,              3762279,,,,,                183290,,                  9395,                  9395,,                140695,                140695,,                215043,                 44347,,,                              0,                 17160,                 17160,                609930,,,                762713,,                180949,,                234649,                    847,                235496,              1179158,              1789088,,,,                912745,                912745,,                 55113,,                195440,,                518936,                714376,,                 62340,                  2813,              1741761,                231430,              1973191,              3762279,              0,              0,      1200017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2014年12月31日,,,,                549005,,                111530,                111530,,                 50292,,                639154,,                 19778,,,                489598,                489598,,                    709,                    709,,                280110,                 72047,                352157,              2212223,,,              1499134,                 61098,,                  1808,                 25869,,                 32142,                 59819,              1620051,              3832274,,,,,                193589,,                  2941,                  2941,,                165303,                165303,,                283594,                 65250,,,                              0,                 18771,                 18771,                729448,,,                757620,,                180027,,                233981,                    847,                234828,              1172475,              1901923,,,,                912745,                912745,,                 55113,,                195440,,                471584,                667024,,                 78732,                  2813,              1710801,                219550,              1930351,              3832274,              0,              0,      1200017,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2014年09月30日,,,,                562500,,                120711,                120711,,                 50340,,                621146,,                 18864,,,                479683,                479683,,                    677,                    677,,                179139,                 71949,                251088,              2105009,,,              1444533,                 53987,,                  1790,                 24898,,                 40299,                 66987,              1565507,              3670516,,,,,                257750,,                  2877,                  2877,,                183457,                183457,,                241310,                 37370,,,                              0,                 21043,                 21043,                743807,,,                757435,,                162577,,                189522,                    847,                190369,              1110381,              1854188,,,,                912745,                912745,,                 55113,,                195440,,                424767,                620207,,                 30715,                  2813,              1615967,                200361,              1816328,              3670516,              0,              0,      1200017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2014年06月30日,,,,                516508,,                132064,                132064,,                 22325,,                570102,,                 11636,,,                460917,                460917,,                    665,                    665,,                104650,                 75918,                180568,              1894785,,,              1462702,                 52742,,                  1783,                 24608,,                 31161,                 57552,              1572996,              3467781,,,,,                216103,,                  2473,                  2473,,                156949,                156949,,                294029,                 37510,,,                366667,                 27129,                393796,              1100860,,,                325000,,                153043,,                189441,                    847,                190288,                668331,              1769191,,,,                869281,                912745,,                 54740,,                195440,,                346142,                541582,,                 12544,                  2813,              1518798,                179792,              1698590,              3467781,              0,              0,      1142874,                 43464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2014年03月31日,,,,                542345,,                117134,                117134,,                 27171,,                581667,,                  8012,,,                476743,                476743,,                    679,                    679,,                 91626,                 65183,                156809,              1910560,,,              1463736,                 52652,,                    791,                 25279,,                 38678,                 64748,              1581136,              3491696,,,,,                212260,,                  1710,                  1710,,                167351,                167351,,                206955,                 57458,,,                312500,                 19459,                331959,                977693,,,                382667,,                152325,,                189108,                    847,                189955,                724947,              1702640,,,,                869281,                869281,,                 54740,,                171474,,                444201,                615675,,                 31588,                  2813,              1568471,                220585,              1789056,              3491696,              0,              0,      1142874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2014年01月01日,,,,                609620,,                108397,                108397,,                 24174,,                576856,,                 20486,,,                517618,                517618,,                    670,                    670,,                 75773,                 68574,                144347,              2002168,,,              1473004,                 52522,,                    785,                 25119,,                 32962,                 58866,              1584392,              3586560,,,,,                282761,,                  5926,                  5926,,                218463,                218463,,                243481,                 93293,,,                216667,                 11401,                228068,              1071992,,,                482001,,                142652,,                188798,                    847,                189645,                814298,              1886290,,,,                869281,                869281,,                 54740,,                171474,,                385196,                556670,,                 19156,                  2813,              1497034,                203236,              1700270,              3586560,              0,              0,      1142874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,2013年12月31日,,,,,,                108397,                108397,,                 24174,,                576856,,                 20486,,,                517618,                517618,,                    670,                    670,,                 75773,                 68574,                144347,              2002168,,,              1473004,                 51153,,                    785,                 25119,,                 32962,                 58866,              1583023,,,,,,,                  5926,,,                218463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1142874,,                609620,,                              0,              3585191,,,,                282761,,                  5926,,                218463,,                243481,                 93293,,,                216667,                 11401,                228068,              1071992,,,                482001,,                142652,,                180746,                    847,                181593,                806246,              1878238,,,,                869281,                869281,,                 54740,,                171474,,                389647,                561121,,                 19156,                  2813,              1501485,                205468,              1706953,,,,,,
1323,2013年09月30日,,,,,,                 76151,                 76151,,                 15654,,                603979,,                 10578,,,                472285,                472285,,                    659,                    659,,                 32465,                 74550,                107015,              1819964,,,              1483735,                 45480,,                    779,                 24879,,                 34992,                 60650,              1589865,,,,,,,                  9455,,,                174258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        372462,,                533643,,,              3409829,,,,                316215,,                  9455,,                174258,,                212561,                 66703,,,                200000,                 13440,                213440,              1002624,,,                498305,,                122282,,                152226,                    847,                153073,                773660,              1776284,,,,                869281,                869281,,                 54740,,                171474,,                347173,                518647,,                  4432,                  2813,              1444287,                189258,              1633545,,                  9992,                  9992,,,
