證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
1326,2015年09月30日,,,,             39876705,,                654998,,             69016115,,              7480923,,                  5008,,             16613610,,              6157816,,              8518834,,             13180062,,             42097655,,              8221007,            211822733,,,             33988912,,              3525093,,            109961742,,            145890444,,                  4027,              2273395,,              8991091,            304634704,            516457437,,,,,             31171054,,              2049749,,                  6074,,                 44898,,             10391970,,             11359646,,              8003830,              2859255,              2497348,,,             24317229,              2343321,             26660550,             95044374,,,             50000000,,             43207650,,              1217180,,             11043434,            105468264,            200512638,,,,             58611863,             58611863,,,              8224586,                138407,                 10006,                263779,                204224,              8841002,,             43905716,             41927550,,             47296041,            133129307,,,              5047251,,             61589838,,                 17798,             66654887,                352309,            266884750,             49060049,            315944799,            516457437,              0,              0,     18036610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2015年06月30日,,,,             31609311,,                654715,,             81285409,,              8611604,,                  4417,,             18287667,,              8250117,,              9972683,,             14348070,,             43185831,,              8229421,            224439245,,,             36561614,,              3538472,,            109592826,,            142364342,,                  4481,              2241069,,              8671000,            302973804,            527413049,,,,,             27417250,,              2199533,,                  1395,,                201045,,              7041047,,             14398827,,             16828483,              2763227,              1948088,,,             25682282,              1756751,             27439033,            100237928,,,             53000000,,             39769263,,                709700,,             11255011,            104733974,            204971902,,,,             58611863,             58611863,,,              8224586,                131706,                 10006,                 98598,                204224,              8669120,,             43905716,             41927550,,             39491105,            125324371,,,              2765851,,             78438434,,                 31082,             81235367,                333494,            273507227,             48933920,            322441147,            527413049,              0,              0,     16871610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2015年03月31日,,,,             24089070,,                654750,,             88531297,,              9900320,,                  3335,,             17264853,,              7053202,,             12288233,,             19089056,,             39176855,,              9062170,            227113141,,,             36683525,,              3538342,,            107955705,,            144238589,,                  9353,              2235397,,              8626744,            303287655,            530400796,,,,,             29037715,,              2699672,,                              0,,                266740,,              8304966,,             14273872,,              7572932,              1484681,                401168,,,             28134596,              2030331,             30164927,             94206673,,,             56000000,,             40728569,,                736124,,             11458204,            108922897,            203129570,,,,             58611863,             58611863,,,              8224586,                131706,                  9447,                 98598,                204224,              8668561,,             42852687,             41927550,,             35375251,            120155488,,,              3509452,,             90543803,,                 31682,             94084937,                333494,            281187355,             46083871,            327271226,            530400796,              0,              0,     16871610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2014年12月31日,,,,             14335920,,                654499,,             85403726,,             11118245,,                  2743,,             18966457,,              6796500,,             15221828,,             18147440,,             48948094,,              6335961,            225931413,,,             37051836,,              3513344,,            107070123,,            144975464,,                  5709,              2496754,,              9774533,            304887763,            530819176,,,,,             29187199,,              2349524,,                  5844,,                205567,,              6950717,,             15044168,,              9264669,              2815901,                286812,,,             23389560,              1765124,             25154684,             91265085,,,             56000000,,             47985578,,                923110,,             11345303,            116253991,            207519076,,,,             58611863,             58611863,,,              8224586,                131706,                  9447,                 98598,                204224,              8668561,,             42852687,             41927550,,             33888706,            118668943,,,              4235625,,             87580223,,                 -2622,             91813226,                332413,            277430180,             45869920,            323300100,            530819176,              0,              0,     16801610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2014年09月30日,,,,             11365721,,                433651,,             67923433,,             12059661,,                  2694,,             19599211,,              7850328,,             14958046,,             17983980,,             53402109,,             13739786,            219318620,,,             48967557,,              3514495,,            106218661,,            141838493,,                  5915,              2894483,,              9266621,            312706225,            532024845,,,,,             36364777,,              2899235,,                  7172,,                201744,,              7689102,,             17416807,,              6717942,              4064741,                620159,,,             18185100,              2104563,             20289663,             96271342,,,             58000000,,             48387476,,                458079,,             11184734,            118030289,            214301631,,,,             58611863,             58611863,,,              8224586,                131706,                  4777,                 93735,                204224,              8659028,,             42852687,             41927550,,             40140987,            124921224,,,              1413526,,             79128681,,                 -1469,             80540738,                299579,            272433274,             45289940,            317723214,            532024845,              0,              0,     14805610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2014年06月30日,,,,             12067295,,              6183841,,             73363889,,             11898949,,                  9936,,             22508277,,              9267211,,             13532906,,             13455750,,             49023201,,             12061293,            223372548,,,             57296593,,              3678666,,            111242756,,            141323602,,                  6344,              2833583,,              8876157,            325257701,            548630249,,,,,             29129665,,              1249831,,                    461,,                226975,,              8071669,,             22038619,,             20310793,              3522434,                693400,,,             19387284,              1616689,             21003973,            106247820,,,             54000000,,             52403952,,                156054,,             11138227,            117698233,            223946053,,,,             58611863,             58611863,,,              8224586,                119962,                  4777,                 94120,                204224,              8647669,,             42852687,             41927550,,             32699481,            117479718,,,                299506,,             94070478,,                  1197,             94371181,                244391,            278866040,             45818156,            324684196,            548630249,              0,              0,     11669610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2014年03月31日,,,,             14681663,,                400978,,             67674941,,              9194542,,                  4509,,             22610531,,              7960615,,             10914104,,             17960000,,             55821437,,             15550368,            222773688,,,             43843932,,              2878666,,            105872719,,            144359462,,                  7011,              2970335,,             10061994,            309994119,            532767807,,,,,             30713305,,              1249882,,                    356,,                222490,,              8733960,,             20514594,,              5550967,              3868017,              2801516,,,             20813381,              1609172,             22422553,             96077640,,,             60000000,,             51391461,,                259586,,             11272770,            122923817,            219001457,,,,             58611863,             58611863,,,              8224586,                119962,                  4573,                 94120,                204224,              8647465,,             40366323,             39506782,,             48789995,            128663100,,,              1586412,,             71357188,,                  3950,             72947550,                236522,            268633456,             45132894,            313766350,            532767807,              0,              0,     11219610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2014年01月01日,,,,             11459481,,                  1352,,             71852908,,             12050211,,                  6963,,             21756367,,              9511848,,              7913999,,             13300700,,             53825396,,             12240725,            213919950,,,             45316216,,              2878666,,            104466240,,            145053156,,                  7487,              3210185,,             10847941,            311779891,            525699841,,,,,             27996683,,              1349848,,                    704,,                172083,,              7161965,,             24476468,,              6624633,              3214692,              2190113,,,             21944368,              2745414,             24689782,             97876971,,,             50000000,,             54078987,,                251529,,             11093892,            115424408,            213301379,,,,             58611863,             58611863,,,              8224586,                119962,                  3771,                 80035,                204224,              8632578,,             40366323,             39506782,,             43111091,            122984196,,,                684059,,             76475419,,                  1792,             77161270,                236522,            267153385,             45245077,            312398462,            525699841,              0,              0,     11219610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2013年12月31日,,,,,,                  1352,,             71852908,,             12050211,,                  6963,,             21756367,,              9511848,,              7913999,,             13300700,,             53825396,,             12240725,            213919950,,,             45316216,,              2878666,,            104510758,,            145053156,,                  7487,              3155945,,             10847941,            311770169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     11219610,             11459481,            525690119,,,,             27996683,,              1349848,,                    704,,                172083,,              7161965,,             24476468,,              6624633,              3214692,              2190113,,,             21944368,              2745414,             24689782,             97876971,,,             50000000,,             54078987,,                251529,,             10774831,            115105347,            212982318,,,,             58611863,             58611863,,,              8224586,                119962,                  3771,                 80035,                204224,              8632578,,             40366323,             39506782,,             43370427,            123243532,,,                684059,,             76475419,,                  1792,             77161270,                236522,            267412721,             45295080,            312707801,,,,
1326,2013年09月30日,,,,,,                    892,,             65315799,,             10370501,,                  5746,,             23712087,,              9042104,,              5468131,,             15877500,,             45903070,,             10121654,            199606242,,,             45547913,,              3064642,,            100161150,,            144407200,,                  6520,              3227976,,             17548777,            313964178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     18371404,             13788758,            513570420,,,,             31529783,,                849932,,                    788,,                141687,,              6831617,,             17870680,,              5960848,              3965814,              2156488,,,             32903077,              1102259,             34005336,            103312973,,,             50000000,,             48325304,,                 47363,,             10910087,            109282754,            212595727,,,,             58611863,             58611863,,,              8224586,                 98808,                              0,                              0,                204224,              8527618,,             40366323,             39506782,,             40128551,            120001656,,,               -166373,,             70767705,,                  2379,             70603711,                339297,            257405551,             43569142,            300974693,,,,
