證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 長期應收租賃款,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額
1437,2015年09月30日,,,,                716414,,                205927,,                  9794,,                 80294,,                 20052,,                 65532,,                 60194,              1158207,,,                215846,,                 29559,,                 66529,,                295974,,              7454280,                 47701,,,                 95701,                    999,,                  2593,                 99293,              8209182,              9367389,,,,,                224823,,                 10000,,                 24624,,                 30435,,,                 93750,                 87692,                181442,                471324,,                 23985,,                600000,,              2926250,,                437243,,                              0,                173192,                  7818,                181010,              4168488,              4639812,,,,              2026899,              2026899,,                314688,,                 28959,              2494772,,               -284934,              2238797,,                196390,                 79510,              4697264,                 30313,              4727577,              9367389,              0,              0,      4524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2015年06月30日,,,,                714404,,                214866,,                  4401,,                 91219,,,,                 79731,,                 50187,              1154808,,,                222054,,                 36759,,                 66750,,                315392,,              7466848,                 48067,,,                 96954,                    901,,                  3324,                101179,              8257049,              9411857,,,,,                408318,,                 15000,,                 31905,,                 30829,,,                 50000,                 83536,                133536,                619588,,                 33874,,                600000,,              2825000,,                437456,,                              0,                173167,                  7955,                181122,              4077452,              4697040,,,,              2026899,              2026899,,                314688,,                 28959,              2494772,,               -306669,              2217062,,                185815,                 65155,              4679309,                 35508,              4714817,              9411857,              0,              0,      3303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2015年03月31日,,,,                701949,,                210942,,                  3846,,                138487,,,,                 81289,,                 44911,              1181424,,,                221025,,                 36759,,,,                315665,,              7479416,                 48246,,,                 97953,                    199,,                  3271,                101423,              8202534,              9383958,,,,,                350038,,                              0,,                 33506,,                 37673,,,                 50000,                114958,                164958,                586175,,                 37515,,                600000,,              2825000,,                437626,,                              0,                173256,                  8752,                182008,              4082149,              4668324,,,,              2026899,              2026899,,                314688,,                 28959,              2494772,,               -322570,              2201161,,                186497,                 48708,              4680537,                 35097,              4715634,              9383958,              0,              0,      2303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2014年12月31日,,,,                632063,,                193622,,                  8843,,                124691,,                              0,,                 89358,,                 44007,              1092584,,,                209572,,                 37562,,                              0,,                339033,,              7491985,                 48312,,,                 98290,                     94,,                  2081,                100465,              8226929,              9319513,,,,,                240650,,                 10000,,                 33609,,                 43823,,,                 50000,                107888,                157888,                485970,,                 38412,,                600000,,              2850000,,                437684,,                              0,                173236,                  9845,                183081,              4109177,              4595147,,,,              2026899,              2026899,,                314688,,                 28959,              2494772,,               -357537,              2166194,,                180740,                              0,              4688521,                 35845,              4724366,              9319513,              0,              0,              0,                632063,                     94,              9319513,,,,                240650,,                 10000,,                 33609,,                 43823,,,                 50000,                107888,                157888,                485970,,                 38412,,                600000,,              2850000,,                437684,,                              0,                173236,                  9845,                183081,              4109177,              4595147,,,,              2026899,              2026899,,                314688,,                 28959,              2494772,,               -357537,              2166194,,                180740,                              0,              4688521,                 35845,              4724366,,,
1437,2014年09月30日,,,,                669407,,                174689,,                  9304,,                193681,,                              0,,                 77077,,                 46111,              1170269,,,                196975,,                 36886,,                              0,,                624259,,              7232838,                 51069,,,                 98627,                  4606,,                  2336,                105569,              8247596,              9417865,,,,,                354920,,                 10000,,                 41146,,                 46593,,,                 50000,                121711,                171711,                624370,,                 34711,,                600000,,              2850000,,                438390,,                              0,                173135,                 11744,                184879,              4107980,              4732350,,,,              2028899,              2028899,,                314999,,                 28959,              2494772,,               -365491,              2158240,,                151972,                  2969,              4651141,                 34374,              4685515,              9417865,              0,              0,      1075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2014年06月30日,,,,                576011,,                163871,,                 15671,,                236244,,,,                 85731,,                 72480,              1150008,,,                212819,,                 36886,,                              0,,                647057,,              7245423,                 52467,,,                 98965,                  3480,,                  6800,                109245,              8303897,              9453905,,,,,                269365,,                              0,,                 47628,,                 48671,,,                 50000,                125394,                175394,                541058,,                 41220,,                600000,,              2975000,,                438447,,                              0,                173135,                 12573,                185708,              4240375,              4781433,,,,              2039649,              2039649,,                316664,,                 28959,              2494772,,               -370577,              2153154,,                153363,                 24342,              4638488,                 33984,              4672472,              9453905,              0,              0,      1075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2014年03月31日,,,,                526546,,                184825,,                 14566,,                221832,,,,                105555,,                 54470,              1107794,,,                207931,,                 37613,,,,                660434,,              7258008,                 53862,,,                 99053,                  3467,,                 34610,                137130,              8354978,              9462772,,,,,                244970,,                              0,,                 41529,,                 58139,,,                950000,                114476,              1064476,              1409114,,                 42397,,                600000,,              2185000,,                438528,,                    286,                173135,                 13642,                187063,              3452988,              4862102,,,,              2039649,              2039649,,                316664,,                 28959,              2494772,,               -464883,              2058848,,                155869,                  3396,              4567634,                 33036,              4600670,              9462772,              0,              0,        220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2013年12月31日,,,,,,                188991,,                 11762,,                214158,,,,                127429,,                 69499,              1017125,,,                207160,,                 37613,,,,                679205,,              7286579,                 51672,,,                 98493,,,                 18666,                119186,              8381415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        200000,                405286,                  2027,              9398540,,,,                189305,,                              0,,                 31815,,                 56680,,,                975000,                159496,              1134496,              1412296,,                 44285,,                600000,,              2220000,,                438432,,                              0,                173300,                 15135,                188435,              3491152,              4903448,,,,              2039649,              2039649,,                316664,,                 28959,              2494772,,               -563220,              1960511,,                147347,                  2969,              4461202,                 33890,              4495092,,,
1437,2013年09月30日,,,,,,                186827,,                 17075,,                237471,,,,                179113,,                 56007,              1086434,,,                185110,,                 37613,,,,              1036308,,              7299188,                 96420,,,                 93497,,,                 18500,                111997,              8766636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        200000,                409941,                              0,              9853070,,,,                161463,,                              0,,                 42429,,                 77189,,,              1000000,                134644,              1134644,              1415725,,                 44558,,                600000,,              2270000,,                407369,,                              0,                174305,                 17320,                191625,              3513552,              4929277,,,,              2039649,              2039649,,                316664,,                 28959,              2494772,,               -120390,              2403341,,                123369,                  2969,              4880054,                 43739,              4923793,,,
1437,2013年06月30日,,,,,,                184393,,                 20312,,                256074,,,,                211565,,                 73074,              1145186,,,                200085,,                 38681,,,,              1133443,,              7311819,                 96772,,,                 92411,,,                 18796,                112153,              8892953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        200000,                399768,                    946,             10038139,,,,                192500,,,,                 46152,,                 84277,,,              1165000,                128759,              1293759,              1616688,,                 55515,,                              0,,              2745000,,                407184,,                  3413,                174481,                 16406,                194300,              3401999,              5018687,,,,              2039649,              2039649,,                316664,,                 28959,              2494772,,                -39174,              2484557,,                134652,                  2969,              4972553,                 46899,              5019452,,,
