證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 其他應付款項－關係人,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 商譽,　　　　 待分配股票股利,　　　 其他應付款項－關係人,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額
1444,2015年09月30日,,,,              2183172,,                231217,,                 99529,,                 28947,,                753048,,                 61377,,                188934,,,              1508763,,                 70042,              1578805,,                 67247,,                674809,                 16029,                690838,              5883114,,,                 55529,,                 66069,,              4697098,,              6389334,,                  6961,                103488,,                 90814,,                 19551,                110365,             11428844,             17311958,,,,,              2365000,,                970000,,                 70329,,                  1941,,                449906,,                 33866,,                418987,                 20455,,,                149333,                 92054,                241387,              4571871,,,                221000,,                 96653,,                362939,                  1366,                364305,                681958,              5253829,,,,              9573029,              9573029,,                 40841,,                440193,                 40464,,              1027442,              1508099,,                103644,                 28470,             11197143,                860986,             12058129,             17311958,              0,     10774028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2015年06月30日,,,,              1967103,,                305719,,                 98178,,                 29293,,                677431,,                 78996,,                206934,,,              1965359,,                 72684,              2038043,,                 45288,,                649633,                 14382,                664015,              6111000,,,                 55529,,                 62029,,              4829257,,              6187492,,                  8036,                109502,,                 14420,,                 21065,                 35485,             11287330,             17398330,,,,,              2295000,,                740000,,                 71494,,                  3678,,                419823,,                 63750,,                805095,                 25520,,,                146333,                 95358,                241691,              4666054,,,                230333,,                 96653,,                361838,                  1370,                363208,                690194,              5356248,,,,              9573029,              9573029,,                 35448,,                440193,                 40464,,                891682,              1372339,,                228801,                 28470,             11181147,                860935,             12042082,             17398330,              0,     10774028,,                              0,,                      3,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2015年03月31日,,,,              1670807,,                341172,,                126549,,                 32019,,                742538,,                 71875,,                276391,,,              1736872,,                 75551,              1812423,,                 40466,,                 43530,                  6667,                 50197,              5164437,,,                 54845,,                 62913,,              4704963,,              6234283,,                  7429,                106942,,                  5697,,                 19171,                 24868,             11196243,             16360680,,,,,              1155000,,                536000,,                 59916,,                  2524,,                599658,,                 49496,,                362048,                 87118,,,                137333,                 95392,                232725,              3298211,,,                292667,,                 96653,,                360743,                    851,                361594,                750914,              4049125,,,,              9573029,              9573029,,                 15319,,                418511,                 40464,,              1280532,              1739507,,                180676,                 48653,             11459878,                851677,             12311555,             16360680,              0,     12583028,,,,                    726,,              0,                213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2014年12月31日,,,,              1189545,,                259180,,                128624,,                 27556,,                767832,,                 69811,,                263391,,,              1789997,,                 77191,              1867188,,                 42504,,                 24556,                  5007,                 29563,              4645194,,,                 54845,,                 63617,,              4779225,,              6158390,,                  8276,                111892,,                107381,,                 18389,                125770,             11302015,             15947209,,,,,                915000,,                500000,,                 86531,,                  2441,,                548686,,                 34808,,                394457,                 63729,,,                282933,                 83918,                366851,              2912503,,,                305000,,                 96653,,                359628,                    845,                360473,                762126,              3674629,,,,              9573029,              9573029,,                 15319,,                418511,                 40464,,              1184514,              1643489,,                231314,                 48653,             11414498,                858082,             12272580,             15947209,              0,     12583028,,                              0,,                              0,                              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2014年09月30日,,,,              2361054,,                200282,,                115287,,                 38675,,                857396,,                 73498,,                152000,,,              1850148,,                105417,              1955565,,                 56599,,                 37713,                 18812,                 56525,              5866881,,,                 54695,,                 61144,,              4776572,,              5963756,,                  3307,                 98573,,                213110,,                 23382,                236492,             11194539,             17061420,,,,,              1653000,,                880000,,                 85285,,                  1401,,                694098,,                 73424,,                370926,                 35439,,,                245133,                 85219,                330352,              4123925,,,                367734,,                 96653,,                352556,                  1345,                353901,                818288,              4942213,,,,              9573029,              9573029,,                 18787,,                418511,                 40464,,              1123916,              1582891,,                220911,                 48653,             11346965,                772242,             12119207,             17061420,              0,     12583028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2014年06月30日,,,,              1903988,,                187365,,                149653,,                 34396,,                987382,,                 81440,,                171000,,,              2040322,,                105948,              2146270,,                 58650,,                166091,                 25226,                191317,              6039609,,,                  4951,,                 30761,,              4826700,,              5758231,,                  3918,                 99775,,                258191,,                 23971,                282162,             11006498,             17046107,,,,,              1984000,,                500000,,                 95513,,                  3810,,                621821,,                 48029,,                321845,                 42754,,,                342952,                111885,                454837,              4072609,,,                376667,,                 96653,,                351557,                  1319,                352876,                826196,              4898805,,,,              9117171,              9573029,,                 30423,,                418511,                 40464,,              1039865,              1498840,,                322876,                 48653,             11376515,                770787,             12147302,             17046107,              0,     12069009,,                128148,,                              0,                455858,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2014年03月31日,,,,              1179734,,                169111,,                100937,,                 33087,,                872868,,                 80512,,                262410,,,              2192278,,                106894,              2299172,,                 48992,,                 49326,                 29423,                 78749,              5125572,,,                  5235,,                 31384,,              4831624,,              5990561,,                  5975,                 97147,,                149190,,                 19931,                169121,             11131047,             16256619,,,,,              1060000,,                550000,,                 69855,,                  3185,,                656707,,                 20947,,                360312,                 25728,,,                346370,                 72795,                419165,              3168131,,,                430000,,                 96653,,                350536,                  1317,                351853,                878506,              4046637,,,,              9117171,              9117171,,                282177,,                354461,                 40464,,              1316525,              1711450,,                388731,                 68156,             11431373,                778609,             12209982,             16256619,              0,     13817009,,,,                  2232,,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2013年12月31日,,,,,,                233083,,                117383,,                 22898,,                811452,,                 96598,,                238415,,,              2047410,,                107987,              2155397,,                 58498,,                 49300,                 58440,                107740,              4311441,,,                  5235,,,,              4796892,,              6067343,,                  4705,                 98427,,                 57866,,                 21887,                 79753,             11083054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     13817009,,,,,,              0,,                469977,                 30699,,                  4705,             15394495,,,,                520000,,                150000,,                  4201,,                 73352,,                  2982,,                588795,,                 57381,,                437990,                 14803,,,                295188,                 86302,                381490,              2230994,,,                587933,,                 96653,,                349535,                  1459,                350994,              1035580,              3266574,,,,              9117171,              9117171,,                280560,,                354461,                 40464,,              1221058,              1615983,,                413174,                 68156,             11358732,                769189,             12127921,,                              0,                              0,,,,
1444,2013年09月30日,,,,,,                178571,,                127706,,                 24940,,                806066,,                 95859,,                178789,,,              2232920,,                113391,              2346311,,                 72530,,                 80939,                 17462,                 98401,              4704794,,,                  5235,,,,              4886859,,              5710644,,                 16376,                 97260,,                146268,,                 21072,                167340,             10914171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     13817009,,,,,,              0,,                775621,                 30457,,                  4892,             15618965,,,,                630000,,                530000,,                              0,,                 73904,,                  2876,,                733717,,                 66272,,                392730,                 14205,,,                324606,                 86644,                411250,              2854954,,,                314667,,                 96653,,                329036,                    853,                329889,                741209,              3596163,,,,              9117171,              9117171,,                280560,,                354461,                 40464,,              1186211,              1581136,,                360729,                 68156,             11271440,                751362,             12022802,,                              0,                 11484,,,,
1444,2013年06月30日,,,,,,                156818,,                150162,,                 56370,,              1151297,,                 70838,,                154798,,,              2201006,,                256973,              2457979,,                 60052,,                 90611,                 50363,                140974,              5288113,,,                  5235,,,,              4686580,,              5164314,,                 17971,                 94709,,                621985,,                 26183,                648168,             10647877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     13817009,,                226751,,,,              0,,                662074,                 30900,,                  6487,             15935990,,,,                500000,,                400000,,                  5278,,                367377,,                 73835,,                718187,,                 86591,,                909223,                  8065,,,                324606,                165809,                490415,              3558971,,,                320818,,                 96653,,                328173,                    849,                329022,                746493,              4305464,,,,              9117171,              9117171,,                277269,,                354461,                 40464,,                919264,              1314189,,                256907,                 68156,             10897380,                733146,             11630526,,,                 11484,                              0,,,
