證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 預付貨款,　　　　 留抵稅額,　　　　 其他預付款,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 暫付款,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地－重估增（減）值,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 房屋及建築－重估增（減）值,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 辦公設備－重估增（減）值,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 應付退休金費用,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付費用,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 暫收款,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－土地增值稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應收收益,　　　　 進項稅額,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產評價調整－非流動,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 應付退休金費用,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 暫收款,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 其他預收款,　　　　 其他非流動負債－其他
1445,2015年09月30日,,,,                    202,                198192,                              0,                198394,,                  8411,                     53,                  8464,,                 90000,                 90000,,                 37750,                 37750,,                237128,                  4692,                232436,,                  2794,                  1362,                  4156,,,                191099,                132686,                110144,                 18721,                 32986,                419664,,                 78498,                 66260,                144758,                564422,,                  3437,                 31703,                              0,                              0,                 35140,,                              0,                              0,,                              0,                              0,              1170762,,,                199997,,,                227736,                360943,                588679,,                466247,                  3747,                272469,                197525,,              1419469,              1290934,                128535,,                131100,                              0,                120277,                 10823,,                 74274,                 65239,                  9035,                  7209,                941806,,                 13814,                 13814,                 12071,,                     71,,                    385,                    385,                    456,              1168144,              2338906,,,,,                 33559,                 33559,,                 37987,                 37987,,                  3059,                  3059,,                 35165,                  1009,                  1731,                  2596,                 24968,                  1109,                 66578,                 10425,,,                 15757,                              0,                 15757,                  3363,                 19120,                170728,,,                114668,                114668,,                 98711,                  1057,                 99768,                214436,                385164,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 41146,                201716,,                  9608,                 70721,                 80329,                323191,,,                    -55,                    -55,,                 71872,                 71817,                              0,              1953742,                              0,              1953742,              2338906,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2015年06月30日,,,,                    202,                239898,                              0,                240100,,                  6776,                 -2258,                  4518,,,                100000,,                 26178,                 26178,,                218073,                  4692,                213381,,                  3582,                  1700,                  5367,,,                193004,                127191,                 97923,                 17446,                 32106,                403458,,                 78498,                 66260,                144758,                548216,,                  3215,                  4859,                              0,                              0,                  8074,,                              0,                              0,,                              0,                              0,              1145834,,,                228310,,,                227736,                360943,                588679,,                466247,                  3747,                269293,                200701,,              1419369,              1282927,                136442,,                131176,,                120294,                 10882,,                 73685,                 64955,                  8730,                  5154,                950588,,                 13814,                 13814,                 12562,,,,                    504,                    504,                    504,              1205778,              2351612,,,,,                 13015,                 13015,,                 43110,                 43110,,                  1792,                  1792,,                 29115,                    946,                  1474,                  2212,                 23268,                    627,                 99242,                  4704,,,                 19971,,                 19971,                  3027,                 22998,                184861,,,                114667,                114667,,                 98964,                  1087,                100051,                214718,                399579,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 41146,                201716,,                  9608,                 40705,                 50313,                293175,,,                    -61,                    -61,,                100185,                100124,                              0,              1952033,                              0,              1952033,              2351612,              0,              0,              0,                     85,                              0,                128125,                100185,                 41600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2015年03月31日,,,,                    200,                179614,                              0,                179814,,                  5442,                 -1838,                  3604,,                100000,                100000,,                 25671,                 25671,,                213358,                  4692,                208666,,                  3499,                  1479,                  5061,,,                151150,                136394,                131957,                 18290,                 31990,                405801,,                 78499,                 62548,                141047,                546848,,                  2863,                 17263,                              0,                    568,                 20694,,                              0,                              0,,                              0,                              0,              1090358,,,                167438,,,                227736,                360943,                588679,,                466247,                  3747,                266116,                203878,,              1418979,              1274733,                144246,,                130837,                              0,                119936,                 10901,,                 73685,                 65150,                  8535,                  4901,                961140,,                 13814,                 13814,                 12439,,,,                    301,                    301,                    301,              1155132,              2245490,,,,,                 18035,                 18035,,                 32223,                 32223,,                  2034,                  2034,,                 22301,                    958,                    820,                  1230,                 21767,                    668,                 47744,                              0,,,                 19382,,                 19382,                  2545,                 21927,                121963,,,                114667,                114667,,                 99208,                  1087,                100295,                214962,                336925,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 38240,                201716,,                 54114,                 16507,                 70621,                310577,,,                    -59,                    -59,,                 39313,                 39254,                              0,              1908565,                              0,              1908565,              2245490,              0,              0,              0,                     83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2014年12月31日,,,,                    200,                114975,                              0,                115175,,                  6275,                 -1956,                  4319,,                100000,                100000,,                 58633,                 58633,,                219712,                  4692,                215020,,                  4400,                  1418,                  5818,,,                174955,                141593,                130913,                 16813,                 32240,                432034,,                 85566,                 59717,                145283,                577317,,                  2191,                 11974,                              0,                    567,                 14732,,                              0,                              0,,                              0,                              0,              1091014,,,                148495,,,                227736,                360943,                588679,,                466247,                  3747,                262940,                207054,,              1418979,              1266228,                152751,,                131811,                              0,                121218,                 10593,,                 73685,                 64832,                  8853,                  4581,                972511,,                 13814,                 13814,                 12560,,                     71,,                    307,                    307,                    378,              1147758,              2238772,,,,,                 23957,                 23957,,                 40431,                 40431,,                     68,                     68,,                 36091,                    958,                    523,                    785,                 21714,                    632,                 60703,                              0,,,                 18483,                              0,                 18483,                  2539,                 21022,                146181,,,                115084,                115084,,                100383,                  1098,                101481,                216565,                362746,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 38240,                201716,,                 25050,                 29064,                 54114,                294070,,,                    -58,                    -58,,                 23280,                 23222,                              0,              1876026,                              0,              1876026,              2238772,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2014年09月30日,,,,                    200,                105113,                              0,                105313,,                  6528,                   -775,                  5753,,                100000,                100000,,                 44697,                 44697,,                240648,                  5692,                234956,,                  2156,                    459,                  2615,,,                169899,                156825,                103587,                 18242,                 31298,                417255,,                 92914,                 48493,                141407,                558662,,                  4109,                    517,                              0,                    562,                  5188,,                              0,                              0,,                     14,                     14,              1057198,,,                149709,,,                227736,                360943,                588679,,                466247,                  3747,                259764,                210230,,              1418979,              1257724,                161255,,                131889,                              0,                120289,                 11600,,                 73685,                 64511,                  9174,                  4581,                985519,,                 13814,                 13814,                 10594,,                     71,,                    397,                    397,                    468,              1160104,              2217302,,,,,                 26172,                 26172,,                 39182,                 39182,,                     68,                     68,,                 32493,                    974,                    396,                    594,                 13911,                    648,                 49016,                              0,,,                 14971,                              0,                 14971,                  2185,                 17156,                131594,,,                114667,                114667,,                 89936,                  1252,                 91188,                205855,                337449,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 38240,                201716,,                 34738,                 21992,                 56730,                296686,,,                    -61,                    -61,,                 24494,                 24433,                              0,              1879853,                              0,              1879853,              2217302,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2014年06月30日,,,,                    200,                181942,                 10000,                192142,,                  3892,                    123,                  4015,,,                 90000,,                 31609,                 31609,,                234270,                  5692,                228578,,                  3167,                    642,                  3895,,,                200717,                143423,                103911,                 17541,                 32152,                433440,,                108226,                 31994,                140220,                573660,,                  5406,                  6607,                              0,                              0,                 12013,,                              0,                              0,,                    941,                    941,              1136853,,,                150576,,,                227736,                360943,                588679,,                466247,                  3747,                256587,                213407,,              1418979,              1249220,                169759,,                131833,,                119535,                 12298,,                 73128,                 64195,                  8933,                              0,                993076,,                 13814,                 13814,                 11238,,,,                  4879,                  4879,                  4879,              1173583,              2310436,,,,,                 38837,                 38837,,                 37397,                 37397,,                    141,                    141,,                 32665,                    986,                  1546,                  2319,                 18271,                    645,                125766,                              0,,,                 19841,,                 19841,                  1988,                 21829,                223970,,,                114667,                114667,,                 91226,                  1252,                 92478,                207145,                431115,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 38240,                201716,,                 34738,                 20595,                 55333,                295289,,,                    -63,                    -63,,                 25361,                 25298,                              0,              1879321,                              0,              1879321,              2310436,              0,              0,              0,                     86,                              0,                125215,                 25361,                 69334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2014年03月31日,,,,                    200,                125805,                              0,                126005,,                  3607,                   -145,                  3462,,                110000,                110000,,                 30131,                 30131,,                253077,                  5692,                247385,,                  4651,                    968,                  5724,,,                180078,                147571,                133214,                 18707,                 32548,                447022,,                              0,                120970,                120970,                567992,,                  4397,                  7137,                              0,                              0,                 11534,,                              0,                              0,,                    420,                    420,              1102653,,,                151270,,,                227736,                360943,                588679,,                466247,                  3747,                253411,                216583,,              1418976,              1240821,                178155,,                131847,                              0,                118599,                 13248,,                 73128,                 63885,                  9243,                              0,              1005908,,                 13814,                 13814,                 10348,,,,                  4975,                  4975,                  4975,              1186315,              2288968,,,,,                 43863,                 43863,,                 23167,                 23167,,                    882,                    882,,                 26538,                    998,                  1369,                  2054,                 20002,                    704,                 51665,                              0,,,                 19719,,                 19719,                  1707,                 21426,                141003,,,                114667,                114667,,                 92512,                  1252,                 93764,                208431,                349434,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 31711,                201716,,                110601,                 10779,                121380,                354807,,,                    -62,                    -62,,                 26055,                 25993,                              0,              1939534,                              0,              1939534,              2288968,              0,              0,              0,                    105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,2013年12月31日,,,,                    200,                147569,                  2476,,,                  2978,                   -388,                  2590,,,,,                 35429,                 35429,,                282974,                  5692,                277282,,                  4515,                  1307,                  6105,,,                190257,                123821,                114707,                 18289,                 32838,                414236,,                              0,                109537,                109537,                523773,,                  3291,                 22604,                    332,                    479,                 26706,,                  7635,                  7635,,                    109,                    109,              1139874,,,                154217,,,                227736,                360943,                588679,,                466062,                  3747,                250237,                219572,,              1418976,              1231521,                187455,,                131921,                              0,                117668,                 14253,,                 72281,                 63510,                  8771,                              0,              1018730,,                 13814,                 13814,                 10869,,,,                  4033,                  4033,                  4033,              1201663,,,,,                 68723,,,                 37433,,,                     83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                    283,,,,,                150245,                110000,                110000,              2341537,,,,                 68723,,                 37433,,                     83,,                 43016,                  1002,                  1175,                  1763,                 21558,                              0,                    644,                 69158,                              0,,,                 20076,                 20076,                  4502,                 24578,                199975,,,                114667,                114667,,                 93691,                  1502,                 95193,                209860,                409835,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 31711,                201716,,                 45313,                 65288,                110601,                344028,,,                    -62,                    -62,,                 29002,                 28940,                              0,              1931702,                              0,              1931702,,
1445,2013年09月30日,,,,                    200,                182331,                              0,,,                 10536,                 -1400,                  9136,,,,,                 31598,                 31598,,                251213,                  5278,                245935,,                  7018,                 58930,                 66103,,,                195065,                115043,                145890,                 18786,                 32502,                442282,,                              0,                 91131,                 91131,                533413,,                    626,                  4933,                              0,                              0,                  5559,,                              0,                              0,,                    992,                    992,              1075267,,,                140172,,,                227736,                360943,                588679,,                465241,                  3747,                247070,                221918,,              1418249,              1223163,                195086,,                132229,                              0,                118026,                 14203,,                 72943,                 63715,                  9228,                              0,              1029114,,                 21449,                 21449,                 10763,,                     71,,                  4639,                  4639,                  4710,              1206208,,,,,                 36932,,,                 40707,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                    155,,,,,                182531,,,              2281475,,,,                 36932,,                 40707,,                              0,,                 38306,                    997,                  1054,                  1580,                 18849,,                    643,                 61429,                              0,,,                 21239,                 21239,                              0,                 21239,                160307,,,                114667,                114667,,                 91415,                  1266,                 92681,                207348,                367655,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 31711,                201716,,                 48236,                 58528,                106764,                340191,,,                    -62,                    -62,,                 14957,                 14895,                              0,              1913820,                              0,              1913820,                              0,
1445,2013年06月30日,,,,                    200,                186518,                 52444,,,                 11536,                 -2133,                  9403,,,,,                 49119,                 49119,,                306360,                  5278,                301082,,                  7538,                 80728,                 88333,,,                187960,                116972,                126681,                 17832,                 32502,                416943,,                              0,                 74042,                 74042,                490985,,                  3091,                 20627,                              0,                    483,                 24202,,                              0,                              0,,                  1811,                  1811,              1204097,,,                134103,,,                227736,                360943,                588679,,                465241,                  3747,                243892,                225096,,              1418255,              1214859,                203396,,                132351,,                117951,                 14400,,                 73403,                 63708,                  9695,,              1041266,,                 21449,                 21449,                 10478,,,,                  3967,                  3967,                  3967,              1211263,,,,,                114612,,,                 77155,,,                    446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                     67,                      1,,,,                239162,,,              2415360,,,,                114612,,                 77155,,                    446,,                 34845,                    991,                  1154,                  1730,                 17669,                 41600,                  2081,                100070,,,,                 24393,                 24393,                              0,                 24393,                316676,,,                114667,                114667,,                 92715,                  1266,                 93981,                208648,                525324,,,,              1386670,              1386670,,,                  6462,                165602,                172064,,                 31711,                201716,,                 48236,                 40813,                 89049,                322476,,,                    -62,                    -62,,                  8888,                  8826,                              0,              1890036,                              0,              1890036,,
