證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 專門技術淨額,　　　　　 專門技術淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 虧損性合約之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 虧損性合約之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）
1451,2015年09月30日,,,,              1410890,,                              0,,                 34368,,                              0,,                  6085,,              2397641,,                 27854,,              3315699,,                323946,,                              0,                124993,                124993,              7641476,,,                317261,,              1413874,,                373778,,                294976,,              3074084,,                 24275,,,                 21982,                 21982,                247950,,                 28057,                 23699,                 39647,                 91403,              5859583,             13501059,,,,,                664134,,                              0,,                148264,,                543173,,                 23980,,                643415,                 35980,,                  4494,                  4494,,,                              0,                 50511,                 50511,              2113951,,,                910000,,                371959,,                352764,                    872,                353636,              1635595,              3749546,,,,              4000000,              4000000,,                410589,,              2141360,                              0,,              3079485,              5220845,,                 48455,              9679889,                 71624,              9751513,             13501059,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2015年06月30日,,,,              1354619,,                              0,,                 34860,,                              0,,                  6183,,              2462688,,                 32020,,              3338033,,                284194,,                              0,                112038,                112038,              7624635,,,                321805,,              1315139,,                353029,,                280558,,              3129632,,                 24275,,,                 22909,                 22909,                294699,,                 25027,                 22983,                 39001,                 87011,              5829057,             13453692,,,,,                615739,,                              0,,                138505,,                434207,,                 24962,,              1316113,                  4838,,                  6657,                  6657,,,                              0,                 56953,                 56953,              2597974,,,                910000,,                349072,,                352616,                    886,                353502,              1612574,              4210548,,,,              4000000,              4000000,,                410589,,              2141360,                              0,,              2754462,              4895822,,               -131083,              9175328,                 67816,              9243144,             13453692,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2015年03月31日,,,,              1511011,,,,                 40365,,                 93870,,                  6188,,              1827714,,                 43600,,              3724943,,                263969,,                              0,                105310,                105310,              7616970,,,                372616,,              1327550,,                359703,,                282195,,              3274465,,                 24275,,,                 25505,                 25505,                281174,,                 25446,                 23782,                 40322,                 89550,              6037033,             13654003,,,,,                561167,,                              0,,                115113,,                544786,,                 13508,,                600663,                 98845,,                 10464,                 10464,,,                              0,                 55265,                 55265,              1999811,,,                910000,,                338470,,                352517,                    878,                353395,              1601865,              3601676,,,,              4000000,              4000000,,                410589,,              2071361,                              0,,              3498092,              5569453,,                  3647,              9983689,                 68638,             10052327,             13654003,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2014年12月31日,,,,              1429766,,                              0,,                 50210,,                 95010,,                  5759,,              2304063,,                 34591,,              3285027,,                242650,,                  3889,                130054,                133943,              7581019,,,                463498,,              1342788,,                366491,,                299060,,              3475384,,                 24275,,,                 28162,                 28162,                257486,,                 40274,                 23377,                 42069,                105720,              6362864,             13943883,,,,,                635959,,                    102,,                135319,,                474747,,                 35276,,                694428,                 91202,,                  4603,                  4603,,,                              0,                 55619,                 55619,              2127255,,,                910000,,                334521,,                353692,                    850,                354542,              1599063,              3726318,,,,              4000000,              4000000,,                410589,,              2071361,                              0,,              3448941,              5520302,,                215367,             10146258,                 71307,             10217565,             13943883,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2014年09月30日,,,,              1216372,,                     95,,                 48420,,                              0,,                 10870,,              2190880,,                 43520,,              3450804,,                264628,,                              0,                110019,                110019,              7335608,,,                446974,,              1300996,,                354856,,                287690,,              3553866,,                 24275,,,                 29352,                 29352,                286110,,                 47301,                 24050,                 41193,                112544,              6396663,             13732271,,,,,                803454,,                    636,,                120235,,                403282,,                 40594,,                674684,                 77023,,                 25833,                 25833,,,                              0,                 56995,                 56995,              2202736,,,                910000,,                322818,,                356219,                    822,                357041,              1589859,              3792595,,,,              4000000,              4000000,,                393116,,              2071361,                              0,,              3314602,              5385963,,                 65752,              9844831,                 94845,              9939676,             13732271,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2014年06月30日,,,,              1360986,,                    317,,                170391,,                              0,,                  8321,,              2476498,,                 65001,,              3478730,,                249281,,                              0,                105893,                105893,              7915418,,,                636174,,              1166059,,                350602,,                320448,,              3565765,,                 99027,,,                 31035,                 31035,                296960,,                 64145,                 24190,                 41583,                129918,              6595988,             14511406,,,,,                601094,,                              0,,                142342,,                448283,,                 32829,,              1427717,                122523,,                 33526,                 33526,,,                              0,                 57309,                 57309,              2865623,,,                910000,,                327979,,                365174,                    824,                365998,              1603977,              4469600,,,,              4000000,              4000000,,                393116,,              2071361,                              0,,              3161635,              5232996,,                321585,              9947697,                 94109,             10041806,             14511406,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2014年03月31日,,,,                999043,,,,                 22676,,                              0,,                  3834,,              2012008,,                 53199,,              3880801,,                222597,,                              0,                 91879,                 91879,              7286037,,,                620460,,              1299808,,                359225,,                364206,,              3694264,,                 99216,,,                 33863,                 33863,                272945,,                 86689,                 24110,                 43240,                154039,              6898026,             14184063,,,,,              1170893,,                              0,,                160473,,                719834,,                  4070,,                584527,                151099,,                 18315,                 18315,,,                              0,                 55442,                 55442,              2864653,,,                              0,,                307101,,                369711,                  1956,                371667,                678768,              3543421,,,,              4000000,              4000000,,                393116,,              1991658,                661811,,              3222175,              5875644,,                273634,             10542394,                 98248,             10640642,             14184063,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2014年01月01日,,,,              1140488,,                              0,,                 51615,,                              0,,                  7239,,              2225990,,                 75877,,              3581207,,                222078,,                              0,                 86202,                 86202,              7390696,,,                730075,,              1321329,,                384600,,                326497,,              3692053,,                 99405,,,                 35450,                 35450,                288518,,                 55948,                 23202,                 43061,                122211,              7000138,             14390834,,,,,              1493642,,                              0,,                152214,,                594934,,                 39630,,                615643,                122297,,                  6848,                  6848,,,                210000,                 55734,                265734,              3290942,,,                              0,,                295846,,                370611,                  1954,                372565,                668411,              3959353,,,,              4000000,              4000000,,                393116,,              1991658,                661811,,              2964449,              5617918,,                321324,             10332358,                 99123,             10431481,             14390834,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,2013年12月31日,,,,,,,,                 51615,,,,                  7239,,              2225990,,                 75877,,              3581207,,                222078,,                              0,                 86202,                 86202,              7390696,,,                730075,,              1321329,,,,                326497,,              3692053,,                 99405,,,                 35450,                 35450,                287291,,                 55948,                 23202,                 43061,                122211,              6998911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1140488,                              0,                384600,             14389607,,,,              1493642,,                              0,,                152214,,                594934,,                 39630,,                615643,                122297,,                  6848,                  6848,,,                210000,                 55734,                265734,              3290942,,,                              0,,                295846,,                363394,                  1954,                365348,                661194,              3952136,,,,              4000000,              4000000,,                393116,,              1991658,                661811,,              2970439,              5623908,,                321324,             10338348,                 99123,             10437471,              0,,,,
1451,2013年09月30日,,,,,,                              0,,                 49596,,,,                  9025,,              2218058,,                 49524,,              3602100,,                203599,,,,                 97451,              7281582,,,                              0,,              1579672,,,,                300469,,              3721760,,                 99595,,,                 37269,                 37269,                286785,,                 88998,                 23659,                 43383,                156040,              6564182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1052229,,                382592,             13845764,,,,              1681216,,                              0,,                159658,,                599185,,                 30885,,                646043,                101743,,                              0,                              0,,,                210000,                 71208,                281208,              3499938,,,                              0,,                287140,,                383175,                  2043,                385218,                672358,              4172296,,,,              4000000,              4000000,,                393116,,              1991658,                661811,,              2793416,              5446885,,               -265473,              9574528,                 98940,              9673468,              0,,,,
1451,2013年06月30日,,,,,,                              0,,                 45148,,,,                 14001,,              2322703,,                 55711,,              3528297,,                194021,,,,                 75081,              7130301,,,                              0,,              1597106,,,,                303388,,              3853976,,                 99179,,,                 40055,                 40055,                271109,,                 43450,                 23414,                 45489,                112353,              6667588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                895339,,                390422,             13797889,,,,                841632,,,,                176949,,                560155,,                 14070,,              1159629,                 68665,,                    859,                    859,,,                420000,                 22977,                442977,              3264936,,,                              0,,                277783,,                385384,                  2006,                387390,                665173,              3930109,,,,              4331250,              4331250,,                393116,,              1991658,                661811,,              2566258,              5219727,,               -178182,              9765911,                101869,              9867780,              0,,,,
1451,2013年03月31日,,,,,,,,                 48703,,,,                  6322,,              1947180,,                 49909,,              3618945,,                186605,,,,                 89235,              6884856,,,                              0,,              1692650,,,,                322062,,              4000505,,                 99366,,,                 42055,                 42055,                265358,,                 39580,                 24657,                 33220,                 97457,              6909791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                937957,,                390338,             13794647,,,,                974249,,,,                146301,,                608159,,                 25889,,                560508,                106472,,                  2244,                  2244,,,                420000,                 25803,                445803,              2869625,,,,,                275508,,                384591,                  2017,                386608,                662116,              3531741,,,,              4331250,              4331250,,                393116,,              1915701,                              0,,              3610552,              5526253,,                -92900,             10157719,                105187,             10262906,              0,,,,
1451,2012年12月31日,,,,              1537138,,,,                 50632,,,,                  7493,,              1887724,,                 47820,,              3057700,,                158937,,,,                 99235,              6846679,,,                              0,,              1009510,,,,                325892,,              3984783,,                 99553,,,                 43053,                 43053,                289597,,                 65284,                 19629,                 32628,                117541,              6280543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                410614,             13127222,,,,                439850,,,,                120172,,                515129,,                 27642,,                556893,                 83198,,                              0,                              0,,,                330000,                 65549,                395549,              2138433,,,                300000,,                275031,,                390052,                  1999,                392051,                967082,              3105515,,,,              4331250,              4331250,,                391922,,              1915701,                              0,,              3461969,              5377670,,               -175258,              9925584,                 96123,             10021707,,,                              0,,                              0
1451,2012年09月30日,,,,              1226096,,,,                 61892,,,,                  7186,,              2183284,,                 47832,,              3221269,,                164125,,,,                100055,              7016706,,,,,              1023812,,,,                325953,,              4103102,,                 98516,,,                 43468,                 43468,                310187,,                 84160,                 18405,                 33188,                135753,              6457256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                416465,             13473962,,,,                626700,,,,                161641,,                527573,,                 20544,,                599446,                 94387,,                  7788,                  7788,,,                330000,                 59948,                389948,              2428027,,,                300000,,                295275,,                345151,                  1980,                347131,                942406,              3370433,,,,              4331250,              4331250,,                391922,,              1915701,                              0,,              3454069,              5369770,,                -87550,             10005392,                 98137,             10103529,,,                  4967,,
1451,2012年06月30日,,,,              1057431,,,,                 69053,,,,                 13037,,              2199330,,                 99884,,              3702354,,                159865,,,,                113756,              7414710,,,,,              1039351,,,,                326855,,              4223809,,                 94972,,,                 44335,                 44335,                327421,,                 80366,                 20576,                 34015,                134957,              6691777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                500077,             14106487,,,,                352659,,,,                148400,,                607277,,                 15855,,                993761,                 88915,,                 49549,                 49549,,,                 30000,                 64176,                 94176,              2350592,,,                600000,,                301520,,                344180,                  1909,                346089,              1247609,              3598201,,,,              4812500,              4812500,,                391922,,              1915701,                              0,,              3306922,              5222623,,                -18978,             10408067,                100219,             10508286,,,,,
1451,2012年03月31日,,,,              1023811,,,,                288361,,,,                  3580,,              1697051,,                 55719,,              4023935,,                164447,,,,                 87799,              7370425,,,,,              1040980,,,,                334400,,              4331059,,                102534,,,                 43765,                 43765,                326271,,                 76321,                 22303,                 33920,                132544,              6807407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                495854,             14177832,,,,                309462,,,,                111840,,                555065,,                 15697,,                547020,                202313,,                121436,                121436,,,                 86000,                 66788,                152788,              2015621,,,                600000,,                284680,,                343230,                  2048,                345278,              1229958,              3245579,,,,              4812500,              4812500,,                391922,,              1840105,,,              3552053,              5392158,,                235607,             10832187,                100066,             10932253,,,,,                 25722
1451,2012年01月01日,,,,                809727,,,,                650157,,,,                 16895,,              2065482,,                 60020,,              3824357,,                149166,,,,                 56112,              7631916,,,                              0,,              1037269,,,,                359266,,              4406240,,                128508,,,                 44846,                 44846,                270475,,                 86811,                 20005,                 33166,                139982,              6927225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                540639,             14559141,,,,                702091,,,,                 87710,,                379267,,                 11695,,                682619,                163160,,                 92352,                 92352,,,                107987,                 55147,                163134,              2282028,,,                630000,,                273072,,                342180,                  2036,                344216,              1247288,              3529316,,,,              4812500,              4812500,,                391795,,              1840105,                              0,,              3258217,              5098322,,                625395,             10928012,                101813,             11029825,,,                              0,,                              0
