證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 短期借款,　　　　 短期借款合計,　　　 其他應付款項－關係人,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 庫藏股票
1465,2015年09月30日,,,,                257276,,                              0,,                  7782,,                212806,,                 51732,,                 62057,,                191602,,                714959,,                 13473,,                645401,              2157088,,,                 38382,,                673827,,                 31528,,                    110,                  5214,,                 65199,                814260,              2971348,,,,,                  6718,,                138042,,                 11663,,                234430,                  4655,,                104968,                500476,,,                  5536,,                 58309,                 63845,                564321,,,,              1036073,              1036073,,                353488,,                201362,                 56244,,                 87842,                345448,,                 87475,              1822484,                584543,              2407027,              2971348,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2015年06月30日,,,,                240557,,                 15004,,                 17357,,                224910,,                 44133,,                 13930,,                215649,,                710308,,                 30210,,                600984,              2113042,,,                 46872,,                668289,,                 31579,,                    156,                  6806,,                 61722,                815424,              2928466,,,,,                 38892,,                180012,,                 15212,,                228697,                  5248,,                102738,                570896,,,                  2935,,                 62243,                 65178,                636074,,,,              1036073,              1036073,,                353488,,                201362,                 56244,,                 36446,                294052,,                 54538,              1738151,                554241,              2292392,              2928466,              0,              0,,                     97,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2015年03月31日,,,,                207449,,                 17425,,                 15843,,                240313,,                 45645,,                 12346,,                216959,,                672066,,                 16335,,                588241,              2032622,,,                 55074,,                686202,,                 31630,,                    203,                  5334,,                 62752,                841195,              2873817,,,,,                 23002,,                123869,,                  7064,,                103736,                  9154,,                105880,                372705,,,                  1384,,                 63407,                 64791,                437496,,,,              1036073,              1036073,,                353488,,                190532,                 56244,,                132920,                379696,,                 74251,              1843508,                592813,              2436321,              2873817,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2014年12月31日,,,,                392060,,                122771,,                 17439,,                282225,,                 41140,,                 10999,,                218997,,                711499,,                 27641,,                271733,              2096504,,,                 62022,,                698897,,                 31682,,                    259,                  5370,,                 64357,                862587,              2959091,,,,,                 25462,,                171895,,                  2036,,                150153,                  7319,,                111098,                467963,,,                  2655,,                 63196,                 65851,                533814,,,,              1036073,              1036073,,                353488,,                190532,                 56244,,                112110,                358886,,                 89765,              1838212,                587065,              2425277,              2959091,              0,              0,,                              0,                              0,                392060,              2959091,,,,                 25462,,                171895,,                  2036,,                150153,                  7319,,                111098,                467963,,,                  2655,,                 63196,                 65851,                533814,,,,              1036073,              1036073,,                353488,,                190532,                 56244,,                112110,                358886,,                 89765,              1838212,                587065,              2425277,              0,,,,,,,,,
1465,2014年09月30日,,,,                163421,,                156501,,                 15948,,                263269,,                 45557,,                 11890,,                202305,,                733752,,                 40907,,                439444,              2072994,,,                 62412,,                693112,,                 31733,,                    315,                  5269,,                 62648,                855489,              2928483,,,,,                 14982,,                146721,,                 10566,,                172728,                  9490,,                160746,                515233,,,                  1494,,                 66154,                 67648,                582881,,,,              1036073,              1036073,,                353488,,                190532,                 56244,,                 83359,                330135,,                 62605,              1782301,                563301,              2345602,              2928483,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2014年06月30日,,,,                181581,,                128125,,                 14995,,                254164,,                 62093,,                 32386,,                174090,,                774961,,                 48548,,                420153,              2091096,,,                 64639,,                691380,,                 31785,,                    378,                  5289,,                 64142,                857613,              2948709,,,,,                 58255,,                150934,,                  2968,,                185699,                  6272,,                168020,                572148,,,                    664,,                 71240,                 71904,                644052,,,,                863394,              1036073,,                353488,,                190532,                 56244,,                 61015,                307791,,                 46273,              1743625,                561032,              2304657,              2948709,              0,              0,,                              0,                172679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2014年03月31日,,,,                119205,,                157913,,                 15750,,                271528,,                 87749,,                 10731,,                117593,,                767276,,                 43175,,                417958,              2008878,,,                 54997,,                710530,,                 31836,,                    410,                  5010,,                 65902,                868685,              2877563,,,,,                 57687,,                155580,,                 12685,,                131003,                  8507,,                104354,                469816,,,                  1177,,                 73406,                 74583,                544399,,,,                863394,                863394,,                353488,,                180088,                 56244,,                260357,                496689,,                 51023,              1764594,                568570,              2333164,              2877563,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2013年12月31日,,,,,,                175266,,                  7295,,                248040,,                 78965,,                  9583,,                149286,,                741840,,                 33372,,                142346,              1951349,,,                 62322,,                724571,,                 43566,,                    473,                  4837,,                 85550,                921319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                365356,              2872668,,,,                 23623,,                123077,,                  4864,,                151839,                  7518,,                188125,                499046,,,                    849,,                 78630,                 79479,                578525,,,,                863394,                863394,,                353488,,                180088,                 56244,,                229717,                466049,,                 55363,              1738294,                555849,              2294143,              0,,,,,,,,,
1465,2013年09月30日,,,,,,                 97707,,                 16168,,                277635,,                 44747,,                 23795,,                139461,,                773921,,                 42150,,                146604,              1973020,,,                 68622,,                730421,,                 43617,,                    860,                  5331,,                 83463,                932314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                410832,              2905334,,,,                 59086,,                118038,,                 10602,,                145352,                 11795,,                246839,                591712,,,                    337,,                 84029,                 84366,                676078,,,,                863394,                863394,,                353488,,                180088,                 56244,,                197672,                434004,,                 50468,              1701354,                527902,              2229256,              0,,,,,,,,,
1465,2013年06月30日,,,,,,                282845,,                 15113,,                239361,,                 59507,,                 41117,,                286084,,                803899,,                 66056,,                141235,              2255492,,,                 44763,,                749050,,                 43669,,                  1365,                  5425,,                 84559,                928831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                320275,              3184323,,,,                163357,,                142683,,                 20705,,                220310,                  8107,,                347838,                903000,,,                    628,,                 94617,                 95245,                998245,,,,                863394,                863394,,                353488,,                180088,                 56244,,                170165,                406497,,                 37016,              1660395,                525683,              2186078,              0,                              0,,,,,,,,
1465,2013年03月31日,,,,,,                252513,,                 13978,,                193216,,                 55060,,                 42223,,                238240,,                803245,,                 59098,,                141477,              2049045,,,                 46443,,                756326,,                 43720,,                  1734,                  6157,,                 83625,                938005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                231815,              2987050,,,,                 65745,,                105303,,                     96,,                133938,                  3885,,                345007,                653974,,,                    530,,                103952,                104482,                758456,,,,                863394,                863394,,                353488,,                171838,                 56244,,                229703,                457785,,                 29270,              1703937,                524657,              2228594,              0,,,                 18180,,,,,,
1465,2012年12月31日,,,,                142542,,                312361,,                 13718,,                226209,,                 53583,,                103593,,                226198,,                780170,,                 54461,,                130272,              2069927,,,                 42789,,                751335,,                 43771,,                  1974,                  4926,,                 86989,                931784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              3001711,,,,                150022,,                124543,,                 10665,,                151057,                  1568,,                277359,                722205,,,                    141,,                103028,                103169,                825374,,,,                863394,                863394,,                353488,,                171838,                 56244,,                218159,                446241,,                  5633,              1668756,                507581,              2176337,,,,                 26820,,                              0,                  6991,,                              0,                              0
1465,2012年09月30日,,,,                301648,,                226188,,                 18917,,                240824,,                 44060,,                 19692,,                168572,,                815030,,                 36493,,                 63799,              1953187,,,                 52701,,                749261,,                 43823,,                  2459,                  5369,,                 95543,                949156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              2902343,,,,                104207,,                 96818,,                 24735,,                115297,                 10299,,                272918,                624274,,,                     71,,                102337,                102408,                726682,,,,                863394,                863394,,                353488,,                171838,                 56244,,                196814,                424896,,                 16974,              1658752,                516909,              2175661,,,,                 17964,,                              0,                              0,,,
1465,2012年06月30日,,,,                158897,,                356406,,                 21872,,                244957,,                 71717,,                 70946,,                130095,,                905362,,                 52304,,                 64228,              2094334,,,                 43230,,                767198,,                 43874,,                  2945,                  5030,,                 96359,                958636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              3052970,,,,                164340,,                 97151,,                 28319,,                236781,                 10450,,                138921,                795533,,,                    536,,                 98020,                 98556,                894089,,,,                863394,                863394,,                353488,,                171838,                 56244,,                180120,                408202,,                 15218,              1640302,                518579,              2158881,,,,                 17550,,                118911,                              0,,                    660,
1465,2012年03月31日,,,,                151064,,                460707,,                 24149,,                236782,,                 79903,,                 90322,,                154853,,                922741,,                 35230,,                 63033,              2236244,,,                 44700,,                782237,,                 43925,,                  3327,                  5238,,                 87479,                966906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              3203150,,,,                189458,,                144733,,                 14543,,                153893,                 25151,,                221964,                867653,,,                    173,,                102842,                103015,                970668,,,,                863394,                863394,,                353488,,                161087,                 56244,,                258335,                475666,,                 12736,              1705284,                527198,              2232482,,,,                 17460,,                117911,                              0,,,                              0
1465,2012年01月01日,,,,                186855,,                300028,,                 16153,,                314463,,                106778,,                 13727,,                 91462,,                914675,,                 39985,,                 59723,              2137325,,,                 36699,,                803211,,                 43977,,                  3827,                  5952,,                 90278,                983944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              3121269,,,,                120031,,                153861,,                 17907,,                171657,                 31172,,                231006,                786219,,,                    624,,                102191,                102815,                889034,,,,                863394,                863394,,                353488,,                161087,                 56244,,                239930,                457261,,                 21426,              1695569,                536666,              2232235,,,,                 93476,,                 60585,                              0,,                              0,                              0
