證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 庫藏股票,　　　　 銀行借款
1503,2015年09月30日,,,,              1556538,,                    124,,                              0,,                192096,,              1010397,,                  1466,,              4860943,,                 94868,                314135,,                 99307,,                  6429,,              4424453,,                335804,                335804,             12896560,,,                751680,,                266587,,                 11780,,              6245200,,              5885215,,              8063658,                334328,,,                539226,                539226,             22097674,             34994234,,,,,              2819688,,                399881,,                              0,,                135591,,              3288641,,                124447,                  4851,,              1062172,              1062172,                 13727,                 72801,,                488407,,                701509,                701509,              9111715,,,                850000,,                 30910,,              1863403,,                 33536,              1307035,                102870,              1443441,              4187754,             13299469,,,,              5209722,              5209722,,              2580210,,              2039929,              5136954,,              5879971,             13056854,,                376849,             21223635,                471130,             21694765,             34994234,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2015年06月30日,,,,              1798072,,                     72,,                              0,,                283846,,                979807,,                  1604,,              4677941,,                 95975,                238079,,                 89663,,                  8543,,              4158255,,                346753,                346753,             12678610,,,                715541,,                272395,,                  9374,,              5974007,,              5823001,,              8101598,                338060,,,                526546,                526546,             21760522,             34439132,,,,,              2643034,,,,                    154,,                 91807,,              2980930,,                 88434,                 17016,,              1814133,              1814133,                 12162,                 98543,,                492945,,                814449,                814449,              9053607,,,                850000,,                 29774,,              1864204,,                 33661,              1329936,                 99897,              1463494,              4207472,             13261079,,,,              5209722,              5209722,,              2580146,,              2039929,              5136954,,              5574203,             12751086,,                182317,             20723271,                454782,             21178053,             34439132,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2015年03月31日,,,,              1630038,,                              0,,                              0,,                230797,,                824540,,                    978,,              4738350,,                 79777,                207669,,                 18515,,                  7166,,              4397360,,                283728,                283728,             12418918,,,                757588,,                280444,,                  8790,,              6079760,,              5799428,,              8139539,                338252,,,                541648,                541648,             21945449,             34364367,,,,,              2747760,,,,                    205,,                137888,,              3108524,,                 40804,                 47884,,                890775,                890775,                  6807,                171779,,                497657,,                654950,                654950,              8305033,,,                850000,,                 31611,,              1851415,,                 33453,              1338015,                 88547,              1460015,              4193041,             12498074,,,,              5209722,              5209722,,              2579864,,              1913149,              5136954,,              6230420,             13280523,,                331593,             21401702,                464591,             21866293,             34364367,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2014年12月31日,,,,              1424028,,                              0,,                              0,,                225271,,                982804,,                    978,,              4669138,,                 90551,                202110,,                 26308,,                  6019,,              4277598,,                312895,                312895,             12217700,,,                764068,,                280448,,                  5890,,              6049532,,              5816651,,              8177479,                343444,,,                508101,                508101,             21945613,             34163313,,,,,              2367916,,                              0,,                  2234,,                156719,,              3239487,,                 77621,                 14983,,              1101504,              1101504,                 28753,                120734,,                500491,,                791370,                791370,              8401812,,,                850000,,                 32179,,              1851812,,                 34138,              1350733,                 88346,              1473217,              4207208,             12609020,,,,              5209722,              5209722,,              2579864,,              1913149,              5136954,,              5860084,             12910187,,                400335,             21100108,                454185,             21554293,             34163313,              0,              0,              1424028,                225271,                  5890,             34163313,,,,              2367916,,                  2234,,                156719,,              3239487,,                 77621,                 14983,,              1101504,              1101504,                 28753,                120734,,                500491,,                791370,                791370,              8401812,,,                850000,,                 32179,,              1851812,,                 34138,              1350733,                 88346,              1473217,              4207208,             12609020,,,,              5209722,              5209722,,              2579864,,              1913149,              5136954,,              5860084,             12910187,,                400335,             21100108,                454185,             21554293,              0,,,,,,,,
1503,2014年09月30日,,,,              1547888,,                              0,,                 13620,,                 68216,,                940524,,                  1544,,              4381432,,                 71487,                217054,,                 53791,,                  6872,,              4419723,,                346791,                346791,             12068942,,,                767576,,                281388,,                  5890,,              5992163,,              5635296,,              8218586,                308800,,,                458088,                458088,             21667787,             33736729,,,,,              2571639,,                              0,,                  2517,,                140820,,              3321921,,                173440,                    745,,                902653,                902653,                 22955,                127472,,                451680,,                747314,                747314,              8463156,,,                850000,,                 33220,,              1758908,,                 32807,              1337106,                 89143,              1459056,              4101184,             12564340,,,,              5209722,              5209722,,              2561858,,              1913149,              5136954,,              5631430,             12681533,,                273214,             20726327,                446062,             21172389,             33736729,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2014年06月30日,,,,              1819611,,                    183,,                  9559,,                218210,,              1007451,,                  1466,,              4311222,,                 86870,                156446,,                 71561,,                  5220,,              4115188,,                294091,                294091,             12097078,,,                765425,,                281383,,                  8880,,              5683078,,              5506569,,              8259693,                314944,,,                462695,                462695,             21282667,             33379745,,,,,              2050755,,,,                              0,,                135768,,              3406759,,                 85876,                    293,,              1697272,              1697272,                 23080,                126751,,                504142,,                644176,                644176,              8674872,,,                850000,,                 40034,,              1745942,,                 32379,              1348351,                 93061,              1473791,              4109767,             12784639,,,,              5209722,              5209722,,              2561579,,              1913149,              5136954,,              5259032,             12309135,,                 83810,             20164246,                430860,             20595106,             33379745,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2014年03月31日,,,,              1883895,,                     74,,                  9184,,                 36087,,                914880,,                  1224,,              4457659,,                 63717,                120137,,                 15588,,                 10602,,              4228444,,                241375,                241375,             11982866,,,                779390,,                294227,,                  8880,,              5705939,,              5385113,,              8302414,                316613,,,                484566,                484566,             21277142,             33260008,,,,,              2449209,,,,                              0,,                160213,,              3117654,,                 64739,                    293,,                836281,                836281,                 14983,                 94454,,                495411,,                769850,                769850,              8003087,,,                850000,,                 37539,,              1744374,,                 33214,              1357451,                 92388,              1483053,              4114966,             12118053,,,,              5209722,              5209722,,              2561579,,              1795880,              5136954,,              5829605,             12762439,,                171730,             20705470,                436485,             21141955,             33260008,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,2013年12月31日,,,,,,,,                169684,,,,                969809,,                  1836,,              4462621,,                115795,                106048,,                 28087,,                  3892,,              3974320,,                236792,                236792,             11959405,,,                836897,,                295781,,,,              5689640,,              5358110,,              8348359,                322828,,,                433807,                433807,             21297202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1855404,                 35117,                 11780,             33256607,,,,              2290625,,                  2543,,                215700,,              3402347,,                105813,                  3500,,              1088725,              1088725,                 30806,                126611,,                498195,,                556081,                556081,              8320946,,,                850000,,                 35902,,              1729856,,                 32956,              1368474,                 93303,              1494733,              4110491,             12431437,,,,              5209722,              5209722,,              2559723,,              1795880,              5136954,,              5487229,             12420063,,                221570,             20411078,                414092,             20825170,              0,,,,,,,,
1503,2013年09月30日,,,,,,                    399,,                 10590,,,,                955440,,                  1836,,              4607187,,                 51937,                176265,,                 63794,,                  8481,,              4326137,,                327859,                327859,             12299717,,,              2996445,,                347961,,,,              2124659,,              5269712,,              8394305,                345351,,,                373257,                373257,             19863470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1749845,                 19947,                 11780,             32163187,,,,              2835300,,                              0,,                133963,,              3114670,,                141781,                 40763,,                908275,                908275,                 27674,                105238,,                253594,,                651405,                651405,              8212663,,,                850000,,                 33941,,              1675467,,                              0,              1339145,                 95175,              1434320,              3993728,             12206391,,,,              5209722,              5209722,,              2549701,,              1795880,              5136954,,              5220850,             12153684,,               -353977,             19559130,                397666,             19956796,              0,,,,,,,,
1503,2013年06月30日,,,,,,                     36,,                  9652,,,,              1078929,,                  1925,,              3816669,,                 78402,                144906,,                 44495,,                  4915,,              4270517,,                448823,                448823,             11402356,,,              3019942,,                353965,,,,              2047643,,              5152639,,              8440250,                349682,,,                429184,                429184,             19805085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1433831,                 69256,                 11780,             31207441,,,,              2213582,,                              0,,                 95495,,              2840731,,                171572,                              0,,              1314418,              1314418,                 21275,                106458,,                283231,,                682292,                682292,              7729054,,,                850000,,                 28688,,              1698772,,                              0,              1339208,                 92038,              1431246,              4008706,             11737760,,,,              5209722,              5209722,,              2487312,,              1795880,              5136954,,              4858967,             11791801,,               -282208,             19206627,                263054,             19469681,              0,,,,,,,,
