證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收款,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益－母公司,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 其他非流動負債－其他,　　　 負債準備-流動,　　　　 保固之短期負債準備,　　　　 負債準備－流動合計,　　　 庫藏股票,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計
1512,2015年09月30日,,,,                388337,,                  3196,,                 46227,,                846376,,                 19419,,                  2322,,                648682,,                177272,,                              0,,                208680,                 16818,                225498,              2357329,,,                102781,,              2287114,,,                 12645,                 12645,                 50375,,                  9967,                 14100,,                              0,                              0,                 91083,,                 34254,                149404,              2602319,              4959648,,,,,                974115,,                              0,,                135772,,                524814,,                126959,                126959,                  5336,                              0,,,                191564,,                400736,                  3381,                595681,              2362677,,,                792920,,                158654,,,                              0,                              0,                 60274,                  7081,                 67355,              1018929,              3381606,,,,              1818025,              1818025,,                              0,,                164267,,               -499050,               -334783,,,                              0,,                 21178,                 21178,              1504420,                 73622,              1578042,              4959648,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2015年06月30日,,,,                346415,,                  4921,,                 46949,,                808416,,                 23072,,                    485,,                750827,,                227527,,                              0,,                178237,                 12752,                190989,              2399601,,,,,              2537878,,,                  7485,                  7485,                 48339,,                  4278,                 11609,,                 40478,                 40478,                132430,,                 46193,                234988,              2828690,              5228291,,,,,                984530,,                              0,,                132081,,                547873,,                144152,                144152,                  4091,                              0,,,                181406,,                260117,                  2867,                444390,              2257117,,,                983218,,                154816,,,                              0,                              0,                 64916,                  7075,                 71991,              1210025,              3467142,,,,              1818025,              1818025,,                              0,,                164267,,               -491972,               -327705,,,                              0,,                 46156,                 46156,              1536476,                224673,              1761149,              5228291,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2015年03月31日,,,,                408747,,                  3524,,                 53403,,                991386,,                 23672,,                     43,,                787435,,                203626,,                              0,,                125086,                 30136,                155222,              2627058,,,,,              2589802,,,                  8298,                  8298,                 54012,,                  4908,                  8614,,                 43585,                 43585,                134569,,                 47364,                239040,              2891152,              5518210,,,,,              1175431,,                              0,,                134429,,                606098,,                144616,                144616,                 10452,                              0,,,                167446,,                269492,                  2800,                439738,              2510764,,,                989515,,                165650,,,                              0,                              0,                 74539,                 20334,                 94873,              1250038,              3760802,,,,              1818025,              1818025,,                              0,,                164267,,               -384814,               -220547,,,                              0,,                 79038,                 79038,              1676516,                 80892,              1757408,              5518210,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2014年12月31日,,,,                356798,,                              0,,                 67498,,              1111562,,                175450,,                     39,,                810680,,                196477,,                              0,,                152682,                 19856,                172538,              2891042,,,                              0,,              2535549,,,                  9159,                  9159,                 59503,,                 77599,                  8981,,                 44252,                 44252,                137464,,                 71276,                339572,              2943783,              5834825,,,,,              1179386,,                 50000,,                144735,,                693282,,                250653,                250653,                 14876,                              0,,,                148852,,                120382,                  2878,                272112,              2605044,,,              1134023,,                173493,,,                              0,                              0,                 76653,                  7099,                 83752,              1391268,              3996312,,,,              1818025,              1818025,,                              0,,                164267,,               -323411,               -159144,,,                              0,,                100028,                100028,              1758909,                 79604,              1838513,              5834825,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2014年09月30日,,,,                319426,,                  4472,,                 63939,,              1011037,,                189813,,                    397,,                864223,,                231435,,                 14505,,                108574,                  9613,                118187,              2817434,,,                              0,,              2503037,,,                 10377,                 10377,                 57171,,                 39924,                  9731,,                 43604,                 43604,                132368,,                 84370,                309997,              2880582,              5698016,,,,,              1215313,,                 50000,,                123903,,                588707,,                203763,                203763,                 10838,                  4613,,,                192154,,                112491,                 16733,                321378,              2518515,,,              1121700,,                167766,,,                    256,                    256,                 52565,                  7039,                 59860,              1349326,              3867841,,,,              1818025,              1818025,,                              0,,                164267,,               -268748,               -104481,,,                  6169,,                 37166,                 43335,              1756879,                 73296,              1830175,              5698016,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2014年06月30日,,,,                284517,,                  3042,,                 59576,,              1127494,,                 75270,,                    378,,                993022,,                206618,,                 14505,,                138568,                 20558,                159126,              2923548,,,,,              2535000,,,                 10859,                 10859,                 74418,,                 77132,                  9787,,                 53985,                 53985,                130847,,                 96148,                367899,              2988176,              5911724,,,,,              1245687,,                 50000,,                149990,,                652872,,                225708,                225708,                  8652,                  4613,,,                217516,,                 79898,                 16054,                313468,              2650990,,,              1164378,,                163300,,,                    637,                    637,                 62224,                  7019,                 69880,              1397558,              4048548,,,,              1818025,              1818025,,                              0,,                164267,,               -208303,                -44036,,,                  6169,,                 12075,                 18244,              1792233,                 70943,              1863176,              5911724,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2014年03月31日,,,,                305160,,                  2947,,                 53207,,              1169951,,                 80037,,                    374,,                932247,,                178116,,                 14505,,                118233,                 23554,                141787,              2878331,,,,,              2561830,,,                 11619,                 11619,                 71542,,                 84329,                 17747,,                 40450,                 40450,                133433,,                 84678,                360637,              3005628,              5883959,,,,,              1119858,,                 50000,,                143926,,                662078,,                229279,                229279,                 21505,                  4613,,,                176053,,                 81350,                 16082,                273485,              2504744,,,              1173055,,                169554,,,                  1012,                  1012,                 71981,                  7038,                 80031,              1422640,              3927384,,,,              1818025,              1818025,,                 40369,,                164267,,               -206368,                -18206,,,                  6169,,                 38598,                 44767,              1884955,                 71620,              1956575,              5883959,              0,              0,                 23895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,2013年12月31日,,,,,,                  2887,,                 50489,,              1262328,,                 93436,,,,                861852,,                135167,,                 14505,,                105853,                 22236,                128089,              2923529,,,,,              2497916,,,                 12702,                 12702,                 75592,,                121483,                 17430,,                 54258,                 54258,                 77514,,                 82182,                352867,              2939077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 21454,,,,,,,              0,              0,,                374411,                    365,              5862606,,,,              1023072,,                 50000,,                139509,,                724200,,                226500,                226500,                 37479,                  4613,,,                102074,,                 42665,                 16383,                161122,              2366495,,,              1221733,,                169396,,,                  1382,                  1382,                 79040,                  7068,                 87490,              1478619,              3845114,,,,              1818025,              1818025,,                 40369,,                 23895,                164267,,               -125451,                 62711,,,                  6169,                  6169,,                 21454,                 27623,              1948728,                 68764,              2017492,              0,,                 40369,                 40369,                              0,,,,,,,
1512,2013年09月30日,,,,,,                  2862,,                111689,,                802914,,                 25487,,,,              1087129,,                280864,,                 65674,,                117456,                  6630,                124086,              2874453,,,,,              2418002,,,                 13996,                 13996,                 72973,,                202356,                 19211,,                 30963,                 30963,                 74770,,                 54643,                381943,              2886914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                367011,                  6737,              5761367,,,,              1037251,,                 20000,,                143465,,                561590,,                205095,                205095,                 11000,                  4613,,,                287733,,                 43582,                 16545,                347860,              2330874,,,              1231230,,                157123,,,                  1905,                  1905,                 73862,                  7147,                 82914,              1471267,              3802141,,,,              1818025,              1818025,,                 40369,,                 23895,                164267,,               -157838,                 30324,,,,,,,                  5164,              1893882,                 65344,              1959226,              0,,,,,,,,,,,
1512,2013年06月30日,,,,,,                  7602,,                 84915,,              1033656,,                 25540,,,,                892161,,                243004,,                 14505,,                148685,                 12332,                161017,              2830491,,,,,              2540324,,,                  6127,                  6127,                 71926,,                215009,                 13347,,                 41893,                 41893,                 76013,,                 55055,                401317,              3019694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                363246,                  4845,              5850185,,,,              1050168,,                 20000,,                143215,,                630105,,                180342,                180342,                  9451,                  4613,,,                241519,,                 33351,                 24247,                299117,              2337011,,,              1220124,,                161765,,,                  2499,                  2499,                 83186,                  7159,                 92844,              1474733,              3811744,,,,              1818025,              1818025,,                 40369,,                 23895,                164267,,                -89115,                 99047,,,                  6169,                  6169,,                 11563,                 17732,              1975173,                 63268,              2038441,              0,,                 40369,                 40369,,,,,,,,
