證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 應收帳款－關係人,　　　　　 應付股利,　　 待註銷股本股數,　　　　 庫存現金,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　　 預收貨款,　　　 無形資產,　　　　 無形資產合計
1521,2015年09月30日,,,,                 93581,,                              0,,                 13438,,                544519,,                484973,,                 10358,,                683930,,                 76466,,                 35930,              1943195,,,                 10000,,                355356,,                985701,                 44420,,                 23892,              1419369,              3362564,,,,,                 68750,,                              0,,                281444,,                 16365,,                589090,,                 86204,,                209040,                209040,                 34709,,,                 64479,                  5321,                 69800,              1355402,,,                113835,,                162310,                  1779,                164089,                277924,              1633326,,,,                762300,                762300,,                 60472,,                439534,                 68264,,                382846,                890644,,                 15822,              1729238,              1729238,              3362564,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2015年06月30日,,,,                441740,,                              0,,                 13578,,                632427,,                406982,,                 36371,,                624943,,                 67855,,                 29181,              2263087,,,                 10000,,                342451,,                995639,                 43220,,                 29183,              1420493,              3683580,,,,,                113715,,,,                246611,,                 13604,,                604940,,                 91901,,                217083,                544872,                 64866,,,                106293,                  7366,                113659,              1794168,,,                108777,,                165554,                  1772,                167326,                276103,              2070271,,,,                762300,                762300,,                 60472,,                439534,                 68264,,                274030,                781828,,                  8709,              1613309,              1613309,              3683580,              0,              0,,                 10010,                406982,                327789,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2015年03月31日,,,,                256512,,                              0,,                 16830,,                644178,,                449656,,                 11140,,                571754,,                 78961,,                 34556,              2063587,,,                 10000,,                344820,,                996382,                 45937,,                 38303,              1435442,              3499029,,,,,                 91070,,,,                244895,,                 16569,,                584942,,                 82371,,,                169814,                 87051,,,                 86773,                  4021,                 90794,              1367506,,,                110211,,                168799,                  1772,                170571,                280782,              1648288,,,,                762300,                762300,,                 60472,,                402189,                 68264,,                546037,              1016490,,                 11479,              1850741,              1850741,              3499029,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2014年12月31日,,,,                155360,,                              0,,                 11005,,                609684,,                375421,,                 15389,,                635324,,                151449,,                 27142,              1980774,,,                 10000,,                334954,,                998574,                 48010,,                 40371,              1431909,              3412683,,,,,                              0,,                              0,,                270979,,                 13492,,                619422,,                 92422,,                257085,                257085,                 56670,,,                126615,                    215,                126830,              1436900,,,                111745,,                173842,                  1772,                175614,                287359,              1724259,,,,                762300,                762300,,                 60472,,                402189,                 68264,,                375641,                846094,,                 19558,              1688424,              1688424,              3412683,              0,              0,,                              0,                375421,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2014年09月30日,,,,                181087,,                 24841,,                 15401,,                531904,,                312761,,                  8642,,                568091,,                171584,,                 25327,              1839638,,,                 10000,,                317498,,                932988,                 39545,,                 62868,              1362899,              3202537,,,,,                 99575,,                 29997,,                257339,,                 13398,,                492295,,                 70147,,                194720,                194720,                 35408,,,                141264,                    532,                141796,              1334675,,,                106093,,                158101,                  1795,                159896,                265989,              1600664,,,,                762300,                762300,,                 60472,,                402189,                 68264,,                302268,                772721,,                  6380,              1601873,              1601873,              3202537,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2014年06月30日,,,,                351720,,                 24166,,                 12068,,                574077,,                307523,,                 36675,,                589048,,                157036,,                 24249,              2076562,,,                 10000,,                313052,,                935053,                 40047,,                 45980,              1344132,              3420694,,,,,                 88350,,,,                244071,,                 17629,,                491615,,                 62626,,                201451,                483502,                 49769,,,                211976,                    149,                212125,              1649687,,,                102976,,                160453,                  1783,                162236,                265212,              1914899,,,,                762300,                762300,,                 60472,,                402189,                 68264,,                211333,                681786,,                  1237,              1505795,              1505795,              3420694,              0,              0,,                              0,                307523,                282051,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2014年03月31日,,,,                315914,,                  4908,,                 15712,,                482965,,                359790,,                 14629,,                563860,,                145938,,                 29807,              1933523,,,                 10000,,                327895,,                927113,                 37897,,                 51858,              1354763,              3288286,,,,,                103705,,,,                235599,,                 16157,,                495977,,                 60313,,,                142244,                 44107,,,                216768,                    411,                217179,              1315281,,,                107071,,                162804,                  1683,                164487,                271558,              1586839,,,,                762300,                762300,,                 60472,,                371551,                 68264,,                431967,                871782,,                  6893,              1701447,              1701447,              3288286,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2014年01月01日,,,,                232148,,                  8590,,                 13811,,                567260,,                324331,,                 30810,,                546996,,                104246,,                 20957,              1849149,,,                 10000,,                319415,,                944655,                 37442,,                 26100,              1337612,              3186761,,,,,                              0,,                              0,,                270996,,                 18523,,                503734,,                 71678,,                256256,                256256,                 24370,,,                168842,                    123,                168965,              1314522,,,                106029,,                166860,                  1683,                168543,                274572,              1589094,,,,                762300,                762300,,                 60472,,                371551,                 68264,,                329762,                769577,,                  5318,              1597667,              1597667,              3186761,              0,              0,,                              0,                324331,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,2013年12月31日,,,,,,,,                 13811,,                567260,,                324331,,                 30810,,                546996,,                104246,,                 20957,              1849149,,,,,                319415,,                944655,                 37116,,                 26100,              1337286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              0,                232148,                232148,                  8590,                 10000,              3186435,,,,                270996,,                 18523,,                503734,,                 71678,,                256256,                 24370,,,                168842,                    123,                168965,              1314522,,,                106029,,                164942,                  1683,                166625,                272654,              1587176,,,,                762300,                762300,,                 60472,,                371551,                 68264,,                331354,                771169,,                  5318,              1599259,              1599259,,,,,,,,,
1521,2013年09月30日,,,,,,,,                 17575,,                455377,,                327341,,                 13866,,                481488,,                127387,,                 25614,              1603341,,,,,                296659,,                922289,                 30897,,                 50472,              1316267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  4993,,,              0,,                141250,                  8450,                 10000,              2919608,,,,                233515,,,,                395258,,                 53496,,                161512,                  3633,,,                221055,                    251,                221306,              1177584,,,                101148,,                133719,                  1261,                134980,                236128,              1413712,,,,                762300,                762300,,                 60472,,                371551,                 68264,,                242445,                682260,,                    864,              1505896,              1505896,,                  5950,,                108864,,                              0,,,
