證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 存入保證金,　　　　 預付投資款,　　　　　 資本公積－庫藏股票交易,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－處分資產增益,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存入保證金,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
1530,2015年09月30日,,,,                856590,,                382974,,                    875,,                897442,,                252185,,                 17248,,                    890,,              1896952,,                127770,,                 88062,              4520988,,,                 12643,,                 78449,,              1916723,,                  7962,                 36861,,                    232,                  2010,,                              0,                              0,                 36498,                 38740,              2091378,              6612366,,,,,              1219600,,                454605,,                 14600,,                528224,,                  4795,,                214476,,                  1016,,                379400,                  2609,                 12771,,                 35920,,,                180393,,                 50000,                 26012,                256405,              3124421,,,                359279,,                 50000,,                245736,,                 21880,                 27152,                 49032,                704047,              3828468,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,                 31920,                250067,,                371607,                 17763,,              1000167,              1389537,,,                 43322,                 43322,              2602871,                181027,              2783898,              6612366,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2015年06月30日,,,,                974650,,                303727,,                    687,,                824646,,                300033,,                 19327,,                  1016,,              1892441,,                163547,,                 30908,              4510982,,,                 12643,,                 75779,,              1901325,,                  4905,                 43297,,                    507,                  2106,,                              0,                              0,                 35267,                 37880,              2075829,              6586811,,,,,              1093697,,                534630,,                 11360,,                578840,,                  1180,,                249280,,                              0,,                390532,                 12759,                 33069,,                 37120,,,                216594,,                 37500,                 38964,                293058,              3235525,,,                357144,,                171038,,                224052,,                 21322,                 27153,                 48525,                800759,              4036284,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,                 31920,                250067,,                371607,                 17763,,                839389,              1228759,,,                 18662,                 18662,              2417433,                133094,              2550527,              6586811,,              0,              0,                     50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2015年03月31日,,,,                849372,,                362652,,                  1093,,                742041,,                271976,,                 93551,,                  2107,,              1874403,,                129321,,                 15962,              4342478,,,                 22180,,                 73446,,              1924275,,                  5717,                 35694,,                 40293,                  2577,,                              0,                              0,                 35983,                 78853,              2140165,              6482643,,,,,              1268579,,                481605,,,,                568350,,                  2038,,                283432,,                              0,,                159790,                  2022,                 44107,,                 37906,,,                178309,,                140385,                 39976,                358670,              3206499,,,,,                283538,,                224690,,                 21938,                 27152,                 49090,                557318,              3763817,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,,                218147,,                344320,                 17763,,              1060811,              1422894,,,                 26106,                 26106,              2587092,                131734,              2718826,              6482643,              0,              0,              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2014年12月31日,,,,                831447,,                423988,,                  2136,,                809283,,                289997,,                    743,,                  4142,,              1712272,,                102510,,                 22898,              4199416,,,                 22180,,                 77884,,              1954129,,                  6601,                 34535,,                 41193,                  4419,,                              0,                              0,                 39346,                 84958,              2180287,              6379703,,,,,              1205111,,                431633,,                              0,,                617070,,                    765,,                220168,,                  1549,,                194364,                  3461,                 48012,,                 37522,,,                178262,,                127885,                 92794,                398941,              3158596,,,                              0,,                296038,,                218008,,                 22458,                 27154,                 49612,                563658,              3722254,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,                              0,                218147,,                344320,                 17763,,                994002,              1356085,,,                 30943,                 30943,              2525120,                132329,              2657449,              6379703,              0,              0,              0,                              0,                              0,                              0,                              0,                831447,              6379703,,,,              1205111,,                431633,,                617070,,                    765,,                220168,,                  1549,,                194364,                  3461,                 48012,,                 37522,,,                178262,,                127885,                 92794,                398941,              3158596,,,                296038,,                218008,,                 22458,                 27154,                 49612,                563658,              3722254,,,,                919945,                919945,,,                  6124,                212019,                218143,                              0,                      4,                218147,,                344320,                 17763,,                994002,              1356085,,,                 30943,                 30943,                              0,              2525120,                132329,              2657449,,,,,,,,,,,,
1530,2014年09月30日,,,,                743270,,                400501,,                  1078,,                711452,,                178549,,                  6124,,                  4253,,              1780971,,                 82118,,                 59871,              3968187,,,                 22180,,                 67130,,              1941644,,                  7111,                 35073,,                    232,                  2420,,                              0,                              0,                 38343,                 40995,              2114133,              6082320,,,,,              1208704,,                299699,,                              0,,                565430,,                  1194,,                238167,,                    673,,                149386,                  1693,                 28492,,                 37315,,,                258068,,                138461,                 32928,                429457,              2960210,,,                              0,,                320077,,                208449,,                 22060,                 20216,                 42276,                570802,              3531012,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,                              0,                218147,,                344320,                 17763,,                902023,              1264106,,,                 14884,                 14884,              2417082,                134226,              2551308,              6082320,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2014年06月30日,,,,                588892,,                340043,,                  1151,,                724068,,                170901,,                  9781,,                  8400,,              1697517,,                 79046,,                 33513,              3653312,,,                 22180,,                 64262,,              1931117,,                  7800,                 35027,,                  5785,                  2513,,                              0,                              0,                 37601,                 45899,              2106285,              5759597,,,,,              1053439,,                279773,,                              0,,                555347,,                  2049,,                202076,,                    820,,                350204,                  1107,                 32624,,                 35792,,,                148578,,                103846,                 21983,                274407,              2787638,,,                              0,,                254692,,                205759,,                 21802,                 20214,                 42016,                502467,              3290105,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,                              0,                218147,,                344320,                 17763,,                832814,              1194897,,,                  3278,                  3278,              2336267,                133225,              2469492,              5759597,,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2014年03月31日,,,,                602368,,                326377,,                    661,,                609896,,                131983,,                  9464,,                  7909,,              1680531,,                 75557,,                 34174,              3478920,,,                 22180,,                 64478,,              1936054,,                  8584,                 32277,,                    852,                  2511,,                              0,                              0,                 38522,                 41885,              2105458,              5584378,,,,,                970995,,                279731,,,,                451589,,                  1114,,                262806,,                  4335,,                142706,                    921,                 30939,,                 33812,,,                146592,,                 69231,                 27617,                243440,              2422388,,,,,                289307,,                209746,,                 22509,                 20212,                 42721,                541774,              2964162,,,,                919945,                919945,,,                  6124,                212019,                218143,                      4,,                218147,,                320722,                 17763,,                999903,              1338388,,,                 12035,                 12035,              2488515,                131701,              2620216,              5584378,              0,              0,              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,2013年12月31日,,,,,,                279439,,                    777,,                578301,,                107769,,                    834,,                  7736,,              1519751,,                 56639,,                 22993,              3222259,,,                 22180,,                 59755,,              1391149,,                  7275,                 30827,,                  5110,                  6341,,                              0,                              0,                 38895,                238487,              1749673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                188141,,,                648020,              4971932,,,,                839838,,                279731,,                421909,,                  2346,,                161302,,                     68,,                163141,                    912,                 18772,,                 31262,,,                126765,,                 34615,                 37954,                199334,              2118615,,,                323923,,                 65241,,                 22897,                 20212,                 43109,                432273,              2550888,,,,                919945,                919945,,,                  6124,                212019,                218143,                              0,                      4,                218147,,                320722,                 17763,,                932135,              1270620,,,                 12332,                 12332,                              0,              2421044,                              0,              2421044,,              1519751,                              0,,,,,,,,,
1530,2013年09月30日,,,,,,                302444,,                  1773,,                602802,,                163199,,                 14285,,                     26,,              1528242,,                 59518,,                 46992,              3168815,,,                 22180,,                 51527,,              1192249,,                  7944,                 33411,,                  1451,                  1143,,                              0,                              0,                 38430,                 41024,              1348335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2958000,,                              0,,,                449534,              4517150,,,,                844560,,                199690,,                460838,,                  1453,,                158549,,                     54,,                141092,                     81,                 14488,,                 35920,,,                103683,,                              0,                 19066,                122749,              1979474,,,                100000,,                 59658,,                 23678,                 20626,                 44304,                203962,              2183436,,,,                949525,                949525,,,                  6320,                212019,                218339,                 28185,                      4,                246528,,                320722,                 17763,,                893776,              1232261,,,                  5563,                  5563,                100163,              2333714,                              0,              2333714,,,,,,,,,,,,
1530,2013年06月30日,,,,,,                237772,,                  8673,,                643279,,                203776,,                 15898,,                     16,,              1427771,,                 39866,,                 67486,              3143520,,,                 22180,,                 50832,,              1211920,,                  8620,                 32257,,                  1451,                  1078,,                              0,                              0,                 39092,                 41621,              1367430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2958000,,                              0,,,                498983,              4510950,,,,                640047,,                249850,,                463045,,                  2002,,                155371,,                     79,,                281464,                     34,                 31550,,                 37009,,,                 93176,,                 30000,                 14669,                137845,              1998296,,,                100000,,                 63052,,                 23948,                 20626,                 44574,                207626,              2205922,,,,                949525,                949525,,,                  6320,                212019,                218339,                 28185,                      4,                246528,,                320722,                 17763,,                859663,              1198148,,,                 10990,                 10990,                100163,              2305028,                              0,              2305028,,,,,,,,,,,,
