證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 庫藏股票
1539,2015年09月30日,,,,                552530,,                  3379,,                  9401,,                              0,,                275072,,                 14138,,                 20713,,                594967,,                 31487,,                189530,                    835,                190365,              1692052,,,                  2750,,                728731,,                 26131,,                  2715,                 38341,,                 13333,,                  1050,                 14383,                813051,              2505103,,,,,                529000,,                254908,,                 12230,,                267479,,                 14012,,                111105,                 37575,,,                    372,,                 10696,                    574,                 11642,              1237951,,,                249304,                 11011,                260315,,                 11333,,                 24820,                 24820,                296468,              1534419,,,,                653700,                653700,,,                              0,                              0,,                 17515,                  1664,,                299561,                318740,,                 -1756,                970684,                              0,                970684,              2505103,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2015年06月30日,,,,                397316,,                    185,,                  3354,,                              0,,                258095,,                 17020,,                 31156,,                604757,,                 26505,,                469451,                  1116,                470567,              1808955,,,                  2750,,                726975,,                 26143,,                  3098,                 37946,,                 13615,,                  1050,                 14665,                811577,              2620532,,,,,                734000,,                263928,,                 10012,,                295213,,                  7341,,                121227,                 28234,,,                  1599,,                 10000,                  5906,                 17505,              1477460,,,                252500,                 10338,                262838,,                  6489,,                 24991,                 24991,                294318,              1771778,,,,                653700,                653700,,,                              0,                              0,,                 17515,                  1664,,                176964,                196143,,                 -1089,                848754,                              0,                848754,              2620532,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2015年03月31日,,,,                407541,,,,                  8534,,,,                227909,,                 18786,,                 24004,,                574351,,                 24905,,                125549,                  2332,                127881,              1413911,,,                  2750,,                732050,,                 26784,,                  2316,                 36168,,                 14444,,                  1050,                 15494,                815562,              2229473,,,,,                384000,,                240614,,                 41980,,                223747,,                 61316,,                 56325,                 33173,,,                    368,,                 10000,                  5921,                 16289,              1058539,,,                255000,                 10486,                265486,,                  6524,,                 25160,                 25160,                297170,              1355709,,,,                653700,                653700,,,                              0,                              0,,                  4379,,,                217003,                221382,,                 -1318,                873764,                              0,                873764,              2229473,              0,              0,              0,,                              0,,                  1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2014年12月31日,,,,                272090,,                              0,,                 10756,,                              0,,                237652,,                 21499,,                 20577,,                582409,,                 19935,,                  5069,                  1697,                  6766,              1171684,,,                  2750,,                677286,,                 27547,,                  2681,                 36487,,                 15162,,                  1050,                 16212,                762963,              1934647,,,,,                260000,,                152736,,                  1000,,                248404,,                 35373,,                 69985,                 21278,,,                  1109,,                 10000,                  6907,                 18016,                806792,,,                257500,                 10603,                268103,,                  8191,,                 25288,                 25288,                301582,              1108374,,,,                653700,                653700,,,                              0,                              0,,                  4379,                              0,,                169858,                174237,,                 -1664,                826273,                              0,                826273,              1934647,              0,              0,              0,,                              0,,                              0,                272090,                              0,,                              0,              1934647,,,,                260000,,                152736,,                  1000,,                248404,,                 35373,,                 69985,                 21278,,,                  1109,,                 10000,                  6907,                 18016,                806792,,,                257500,                 10603,                268103,,                  8191,,                 25288,                 25288,                301582,              1108374,,,,                653700,                653700,,,                              0,                              0,,                  4379,,                169858,                174237,,                 -1664,                826273,                              0,                826273,,,
1539,2014年09月30日,,,,                362733,,                              0,,                 16169,,                  1474,,                189302,,                 20400,,                 28534,,                562012,,                 23718,,                  4845,                  1828,                  6673,              1211015,,,                  2750,,                673473,,                 27091,,                  3038,                 36032,,                 15184,,                  1050,                 16234,                758618,              1969633,,,,,                260000,,                308219,,                  1709,,                180366,,                 40684,,                 49574,                 15247,,,                    359,,                 10000,                  4228,                 14587,                870386,,,                260000,                 10191,                270191,,                  6538,,                 24297,                 24297,                301026,              1171412,,,,                653700,                653700,,,                              0,                              0,,                  4379,                              0,,                140907,                145286,,                   -765,                798221,                              0,                798221,              1969633,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2014年06月30日,,,,                393182,,                    119,,                 12023,,                  1474,,                237100,,                 14231,,                 29910,,                577400,,                 26277,,                152610,                  2391,                155001,              1446743,,,                  2750,,                386598,,                 27174,,                  3519,                 38117,,                 15469,,                 98100,                113569,                571727,              2018470,,,,,                480700,,                291002,,                  2239,,                269771,,                 53460,,                 54510,                 19373,,,                    353,,                 10000,                  2683,                 13036,              1184091,,,                 37500,                 10005,                 47505,,                  5796,,                 24414,                 24414,                 77715,              1261806,,,,                653700,                653700,,,                              0,                              0,,                  4379,                              0,,                 99086,                103465,,                   -501,                756664,                              0,                756664,              2018470,              0,              0,              0,,                     26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2014年03月31日,,,,                382021,,,,                 13921,,,,                174869,,                  8528,,                 22271,,                591756,,                 17490,,                              0,                  3132,                  3132,              1214014,,,                  2750,,                392310,,                 28044,,                  2504,                 36100,,                 15763,,                              0,                 15763,                477471,              1691485,,,,,                370000,,                197907,,                    342,,                222949,,                 37270,,                 47862,                 16929,,,                  1039,,                  9940,                    300,                 11279,                904538,,,                 23181,                 10208,                 33389,,                  6291,,                 24539,                 24539,                 64219,                968757,,,,                653700,                653700,,,                              0,                              0,,                              0,,,                 69720,                 69720,,                   -692,                722728,                              0,                722728,              1691485,              0,              0,              0,,                     26,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,2013年12月31日,,,,,,,,                  8822,,,,                169859,,                 17136,,                 20346,,                558252,,                 17309,,                 74513,                  2944,                 77457,              1229529,,,                  2750,,                392986,,                 27720,,                  2872,                 37783,,                 16106,,                              0,                 21106,                485217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                360322,                     26,,                  5000,              1714746,,,,                430000,,                230755,,                              0,,                153615,,                 34309,,                 48497,                 11900,,,                  3199,,                 23155,                    330,                 26684,                935760,,,                 41302,                  9985,                 51287,,                  6168,,                 24663,                 24663,                 82118,              1017878,,,,                653700,                653700,,,                              0,                              0,,                              0,,                 43794,                 43794,,                   -626,                696868,                              0,                696868,,,
1539,2013年09月30日,,,,,,,,                 12851,,                     58,,                212481,,                 10176,,                 32754,,                552010,,                 29445,,                157026,                  2979,                160005,              1282568,,,                  2750,,                400988,,                 19765,,                  3230,                 37545,,                 16385,,                              0,                 21385,                485663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                272762,                     26,,                  5000,              1768231,,,,                510000,,                165782,,                     34,,                207767,,                 28635,,                 48993,                  9153,,,                    430,,                 24081,                    224,                 24735,                995099,,,                 46344,                  9906,                 56250,,                  5972,,                 25617,                 25617,                 87839,              1082938,,,,                653700,                653700,,,                              0,                              0,,                              0,,                 32064,                 32064,,                   -471,                685293,                              0,                685293,,,
1539,2013年06月30日,,,,,,                              0,,                 11015,,                              0,,                253775,,                 10881,,                140897,,                567573,,                 28060,,                              0,                  1843,                  1843,              1171554,,,                  2750,,                407222,,                 20139,,                  3222,                 37246,,                 17085,,                              0,                 22085,                492664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                157484,                     26,,                  5000,              1664218,,,,                438500,,                160155,,                    829,,                197168,,                 27393,,                 47369,                  1882,,,                  1210,,                 27781,                    578,                 29569,                902865,,,                 52416,                 10050,                 62466,,                  6466,,                 25773,                 25773,                 94705,                997570,,,,                653700,                653700,,,                              0,                              0,,                              0,,                 13367,                 13367,,                   -419,                666648,                              0,                666648,,,
