證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　 其他應付款項－關係人,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 專利權淨額,　　　　　 專利權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 其他非流動負債－其他,　　　　 應收票據－關係人
1568,2015年09月30日,,,,                170611,,                 37270,                 37270,,                593839,,                    308,,                  1352,,                              0,,,                581272,                581272,,                  3082,,                  5424,                 33498,                 38922,              1426656,,,              1360626,,                  5276,                 33658,,                 32046,                  1878,,                  9539,,                105208,                148671,              1548231,              2974887,,,,,                 69305,,                  5775,,                315443,,                 31771,,                171672,                 10006,                              0,,,                287330,                287330,                 48251,                335581,                939553,,,                419226,,                 14707,,                  4220,                  4220,                438153,              1377706,,,,              1030865,              1030865,,                145471,,                 30218,                 19782,,                228296,                278296,,                 21461,              1476093,                121088,              1597181,              2974887,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2015年06月30日,,,,                120076,,                 27607,                 27607,,                618376,,                    677,,                    822,,                              0,,,                562240,                562240,,                  2967,,                  9721,                 36283,                 46004,              1378769,,,              1373197,,                  5749,                 35131,,                  4760,                  1878,,                  8987,,                101904,                117529,              1531606,              2910375,,,,,                 86290,,                  5840,,                284912,,                 23909,,                213911,                 13311,                              0,,,                285127,                285127,                 32484,                317611,                955783,,,                420264,,                  8608,,                  5169,                  5169,                434041,              1389824,,,,              1030865,              1030865,,                145471,,                 30218,                 19782,,                178374,                228374,,                  3513,              1408223,                112328,              1520551,              2910375,              0,              0,              0,,                  9999,                 51543,                162368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2015年03月31日,,,,                233334,,                 20394,                 20394,,                542634,,                    665,,                  1332,,                    498,,,                617407,                617407,,                  3334,,                 12638,                 36928,                 49566,              1469164,,,              1397086,,                  5680,                 38226,,                  7143,                  1878,,                 10829,,                100817,                120667,              1561659,              3030823,,,,,                269550,,                  6257,,                336132,,                 31768,,                160607,                 25707,                      7,,,                221109,                221109,                 47633,                268742,              1098870,,,                366971,,                  9696,,                  6060,                  6060,                382727,              1481597,,,,              1030865,              1030865,,                145471,,                 18521,                 19782,,                211425,                249728,,                  8498,              1434562,                114664,              1549226,              3030823,              0,              0,              0,,,,,                    100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2014年12月31日,,,,                166285,,                  3350,                  3350,,                628405,,                    776,,                  2381,,                  1069,,,                558090,                558090,,                  3376,,                  7982,                 36096,                 44078,              1407810,,,              1350880,,                  5515,                 40514,,                 89017,                    178,,                 10945,,                 98010,                198150,              1595059,              3002869,,,,,                193300,,                  7762,,                379089,,                 22723,,                186450,                 23326,                      7,,,                221493,                221493,                 44188,                265681,              1078338,,,                367868,,                 11918,,                  6923,                  6923,                386709,              1465047,,,,              1030865,              1030865,,                145471,,                 18521,                 19782,,                197973,                236276,,                 12054,              1424666,                113156,              1537822,              3002869,              0,              0,              0,,                              0,                              0,                186450,,                166285,,                              0,                  1069,              3002869,,,,                193300,,                  7762,,                379089,,                 22723,,                185723,                    727,                 23326,                      7,,,                221493,                221493,                 44188,                265681,              1078338,,,                367868,,                 11918,,                  6923,                  6923,                386709,              1465047,,,,              1030865,              1030865,,                145471,,                 18521,                 19782,,                197973,                236276,,                 12054,              1424666,                113156,              1537822,,,,,,,,,,,,,,
1568,2014年09月30日,,,,                 96499,,                  4078,                  4078,,                547274,,                  1172,,                  5119,,                    565,,,                552142,                552142,,                  3922,,                 16643,                 46225,                 62868,              1273639,,,              1165428,,                  5448,                 41774,,                216878,                    177,,                 12212,,                 70555,                299822,              1512472,              2786111,,,,,                 91260,,                  6516,,                338280,,                 19491,,                157303,                 16069,                     21,,,                141799,                141799,                 38784,                180583,                809523,,,                492877,,                  8316,,                  9656,                  9656,                510849,              1320372,,,,              1030865,              1030865,,                145471,,                 18521,                 19782,,                158282,                196585,,                  1677,              1374598,                 91141,              1465739,              2786111,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2014年06月30日,,,,                238341,,                 17406,                 17406,,                501107,,                    300,,                  5534,,                    565,,,                534652,                534652,,                  5209,,                 20421,                 37362,                 57783,              1360897,,,              1178919,,                  5806,                 39267,,                112497,                    177,,                 11998,,                 83721,                208393,              1432385,              2793282,,,,,                 89595,,                  7334,,                348832,,                  9296,,                214999,                  7987,                     21,,,                141251,                141251,                 36947,                178198,                856262,,,                490570,,                  6767,,                 10468,                 10468,                507805,              1364067,,,,              1030865,              1030865,,                145471,,                 18521,                 19782,,                130491,                168794,,                 -5061,              1340069,                 89146,              1429215,              2793282,              0,              0,              0,,                              0,                 51543,                163456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2014年03月31日,,,,                315817,,                 20028,                 20028,,                447582,,                    658,,                  4054,,                    565,,,                504686,                504686,,                 11025,,                 15490,                 34381,                 49871,              1354286,,,              1210438,,                  5582,                 34163,,                 59107,                    177,,                 13907,,                 72037,                145228,              1395411,              2749697,,,,,                 91410,,                 10842,,                322058,,                 14164,,                129757,                  2219,                      6,,,                 60145,                 60145,                 38307,                 98452,                669317,,,                844419,,                  8651,,                 11272,                 11272,                864342,              1533659,,,,                916315,                916315,,                              0,,                  9977,                 19782,,                179130,                208889,,                    299,              1125503,                 90535,              1216038,              2749697,              0,              0,              0,,,,,                    409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,2013年12月31日,,,,,,                 12130,                 12130,,                476274,,                    949,,                  7234,,,,,                458519,                458519,,                 11337,,                 16005,                 31073,                 47078,              1227734,,,              1230623,,                  2537,                 40164,,                 42199,                    177,,                  7653,,                 69011,                119040,              1392364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                213385,,                    263,                    565,              2620098,,,,                 44708,,                  9259,,                270433,,                 17507,,                146987,                    602,                              0,                      6,,,                 59635,                 59635,                 33282,                 92917,                582419,,,                841325,,                  8513,,                 12057,                 12057,                861895,              1444314,,,,                916315,                916315,,                              0,,                  9977,                 19782,,                139514,                169273,,                   -533,              1085055,                 90729,              1175784,,                              0,                              0,,,,,,,,,,,
1568,2013年09月30日,,,,,,                 12539,                 12539,,                428844,,                  4585,,                  3366,,,,,                431845,                431845,,                 11728,,                 28366,                 29603,                 57969,              1211174,,,              1214589,,                  2708,                 40466,,                 63647,                    177,,                 16276,,                 65912,                146012,              1403775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                260298,,                              0,                              0,              2614949,,,,                118280,,                 10090,,                263689,,                 16471,,                110229,                  1250,                              0,                     61,,,                 14523,                 14523,                 43735,                 58258,                578328,,,                889873,,                    172,,                 13796,                 13796,                903841,              1482169,,,,                916315,                916315,,                              0,,                  9977,                 19782,,                101723,                131482,,                 -4775,              1043022,                 89758,              1132780,,                              0,                              0,,,,,,,,,,,
1568,2013年06月30日,,,,,,                 19032,                 19032,,                391735,,                  2515,,                  2739,,,,,                421283,                421283,,                 14421,,                 19141,                 18555,                 37696,              1145891,,,              1254785,,                  2896,                 50708,,                 46090,                    177,,                 16505,,                 69627,                132399,              1440788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                256434,,                              0,                              0,              2586679,,,,                 75504,,                 11672,,                232006,,                 22396,,                164184,                  1870,                    446,                  1977,,,                 14735,                 14735,                 37914,                 52649,                562704,,,                891773,,                    253,,                 15467,                 15467,                907493,              1470197,,,,                916315,                916315,,                              0,,,,,,                109176,,                 -1076,              1024415,                 92067,              1116482,,                              0,                              0,,                     36,,                    103,,                  2793,,,,,
