證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　　　 應付股利,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 待分配股票股利
1589,2015年09月30日,,,,              4533417,,                    759,,                279528,,              2289678,,              1303184,,                167370,                167370,,                203625,                203625,              8777561,,,                  1490,,              5038643,,                  9320,,                134303,                134303,                 18178,,                260068,                352529,,                 36924,                649521,              5851455,             14629016,,,,,                388700,,                  4485,,                451349,,                742506,,                504569,                504569,                120091,,                 64846,                 64846,              2276546,,,                 13500,,              2719679,,                 98610,,                 17671,              2849460,              5126006,,,,              1121547,              1121547,,              5194053,,                224123,                  8214,,              2326538,              2558875,,,                516664,                516664,              9391139,                111871,              9503010,             14629016,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2015年06月30日,,,,              2608315,,                 14274,,                172764,,              2173816,,              1256234,,                117483,                117483,,                148075,                148075,              6490961,,,                  3196,,              4753491,,                  8331,,                133136,                133136,                 12682,,                 73073,                344424,,                 16729,                434226,              5345062,             11836023,,,,,                338600,,                              0,,                260237,,                677410,,                435351,              1102445,                127527,,                 59626,                 59626,              2565845,,,                              0,,                517849,,                 92580,,                 16381,                626810,              3192655,,,,              1112118,              1112118,,              4917371,,                224123,                  8214,,              1957506,              2189843,,,                310676,                310676,              8530008,                113360,              8643368,             11836023,              0,              0,,                              0,                667094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2015年03月31日,,,,              2379297,,                 18986,,                151528,,              1854015,,              1282178,,                149835,                149835,,                163268,                163268,              5999107,,,                  5447,,              4227964,,                 13170,,                133622,                133622,                 21124,,                466469,                284349,,                250978,              1001796,              5403123,             11402230,,,,,                187860,,                              0,,                326748,,                599589,,                378660,                378660,                115634,,                 63330,                 63330,              1671821,,,                              0,,              1317470,,                 93930,,                 16111,              1427511,              3099332,,,,              1057929,              1057929,,              4170347,,                123907,                  8214,,              2416096,              2548217,,,                406710,                406710,              8183203,                119695,              8302898,             11402230,              0,              0,,                              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2014年12月31日,,,,              2942384,,                  1762,,                183066,,              1810772,,              1411235,,                135208,                135208,,                242572,                242572,              6726999,,,                              0,,              4310151,,                 13558,,                134386,                134386,                 17286,,                168006,                290510,,                 17747,                476263,              4951644,             11678643,,,,,                316700,,                    383,,                493503,,                706663,,                405439,                405439,                 88647,,                 56544,                 56544,              2067879,,,                    900,,              1444295,,                 95010,,                 13507,              1553712,              3621591,,,,              1048890,              1048890,,              4045959,,                123907,                  8214,,              2182667,              2314788,,,                527397,                527397,              7937034,                120018,              8057052,             11678643,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2014年09月30日,,,,              2567944,,                  2700,,                179863,,              1808088,,              1311026,,                105447,                105447,,                292501,                292501,              6267569,,,                              0,,              4110719,,                 13179,,                132141,                132141,                 38931,,                179833,                279337,,                 17814,                476984,              4771954,             11039523,,,,,                427618,,                  1810,,                591287,,                642792,,                358184,                358184,                 79455,,                 52857,                 52857,              2154003,,,                  2550,,              1437143,,                 91290,,                 11330,              1542313,              3696316,,,,              1048890,              1048890,,              4045959,,                123907,                  8214,,              1915000,              2047121,,,                166204,                166204,              7308174,                 35033,              7343207,             11039523,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2014年06月30日,,,,              2093972,,                              0,,                202572,,              1853274,,              1213716,,                106104,                106104,,                246715,                246715,              5748394,,,                              0,,              4029608,,                 13136,,                131249,                131249,                 38557,,                 25994,                275873,,                 35377,                337244,              4549794,             10298188,,,,,                313959,,                  2662,,                590908,,                581007,,                303139,                656251,                100846,,                 53846,                 53846,              2299479,,,                    750,,              1429991,,                 89610,,                 11286,              1531637,              3831116,,,,              1008890,              1008890,,              3617105,,                123907,                  8214,,              1688700,              1820821,,,                 20256,                 20256,              6467072,                              0,              6467072,             10298188,              0,              0,,                 32041,                353112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2014年03月31日,,,,              1825533,,                              0,,                145747,,              1838940,,              1268690,,                124006,                124006,,                168317,                168317,              5391051,,,                              0,,              4060733,,                 13579,,                132224,                132224,                 46187,,                 44146,                283263,,                 15842,                343251,              4595974,              9987025,,,,,              1033729,,                 12759,,                390914,,                675429,,                242011,                242011,                 83941,,                 55153,                191429,              2630212,,,                              0,,                              0,,                760770,,                 11560,                772330,              3402542,,,,              1008890,              1008890,,              3548276,,                 69795,                 92616,,              1711637,              1874048,,,                153269,                153269,              6584483,                              0,              6584483,              9987025,              0,              0,,                 19818,,,                136276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,2013年12月31日,,,,,,                  1943,,                147739,,              1790079,,              1106212,,                133540,                133540,,                211182,                211182,              4971886,,,,,              4021240,,                 17491,,                131652,                131652,                 49221,,                 21679,                281624,,                 11565,                314868,              4534472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1556711,                 24480,              9506358,,,,                984964,,                394710,,                582271,,                273567,                273567,                 95314,,,                 77569,                 58499,                136068,              2466894,,,                              0,,                              0,,                726166,,                 13845,,                     23,                740034,              3206928,,,,              1008890,              1008890,,              3548276,,                 69795,                 92616,,              1503325,              1665736,,,                 76528,                 76528,              6299430,                              0,              6299430,              0,,                              0,,                              0,                              0,
1589,2013年09月30日,,,,,,                    448,,                177002,,              1649472,,              1027762,,                172714,                172714,,                227688,                227688,              4797555,,,,,              4011477,,                 27116,,                130889,                130889,                 21512,,                 15961,                278808,,                  9530,                304299,              4496787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1505958,                 36511,              9294342,,,,              1277805,,                117832,,                602535,,                278080,                278080,                 64425,,,                 21425,                 76233,                 97658,              2438335,,,                              0,,                              0,,                787099,,                 12034,,                    311,                799444,              3237779,,,,              1008890,              1008890,,              3548276,,                 68563,                101852,,              1316973,              1487388,,,                 12009,                 12009,              6056563,                              0,              6056563,              0,,                  1494,,,,
1589,2013年06月30日,,,,,,                  3052,,                181238,,              1547069,,                905679,,                118113,                118113,,                 45994,                 45994,              4505421,,,,,              4092261,,                 27482,,                131256,                131256,                 20198,,                 39318,                292933,,                  9406,                341657,              4612854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1662465,                 41811,              9118275,,,,              1154238,,                 74362,,                535808,,                237107,                499418,                 42064,,,                 29155,                 58124,                 87279,              2393169,,,                              0,,                              0,,                794824,,                 13201,,                    314,                808339,              3201508,,,,              1008890,              1008890,,              3548276,,                 68563,                101852,,              1129938,              1300353,,,                 59248,                 59248,              5916767,,              5916767,              0,,,,                              0,                262311,
