證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 當期所得稅資產合計,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
1603,2015年09月30日,,,,                224260,,                308372,,                788942,,                 31995,,              1293073,                 85198,,                  7583,,                     93,,                    276,,                751239,,                 40713,,                 23230,                 23230,              3554974,,,                153702,,                396597,,              3156434,,              1509470,,                  1604,                 26330,,                 16307,,                 10631,                 26938,              5271075,              8826049,,,,,              1035241,,                509878,,                 48443,,                 12355,,                194614,,                 23372,                169807,,                681494,                  2433,                 53851,,                  4666,,                150161,                150161,              2886315,,,                726956,,                 82056,                  6889,                 88945,                815901,              3702216,,,,              2738400,              2738400,,,                410081,,                  2127,                412208,,                 49630,              3886998,,                488972,              4425600,,,                 40065,,               -115638,                -75573,              2384922,              5115713,                  8120,              5123833,              8826049,              0,              0,     58646089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,2015年06月30日,,,,                 16433,,                706397,,                385688,,                 51160,,              1197520,                 40864,,                    634,,,,                    211,,                777296,,                 79197,,                  8897,                  8897,              3264297,,,                153702,,                396666,,              3153350,,              1531045,,                  1991,                 23519,,                 11712,,                  9243,                 20955,              5281228,              8545525,,,,,                950269,,                299981,,                 73238,,                 16676,,                196192,,                 19355,                178897,,                100965,                  2337,                 47359,,                  4412,,                177000,                177000,              2066681,,,                726956,,                 84930,                  6837,                 91767,                818723,              2885404,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                 49630,              3886998,,                341711,              4278339,,,                 16870,,                 23743,                 40613,              2502214,              5651946,                  8175,              5660121,              8545525,              0,              0,     58646089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,2015年03月31日,,,,                 29489,,                704110,,                370681,,                 41451,,                913234,                 35808,,                    777,,,,                    106,,                915075,,                 52685,,                  4340,                  4340,              3067756,,,                153702,,                399645,,              3153023,,              1537918,,                  2213,                 22386,,                 28512,,                  9795,                 38307,              5307194,              8374950,,,,,                662519,,                464929,,                 62887,,                  4619,,                265714,,                 11866,                168255,,                101352,                  2875,                 84343,,                  4488,,                103200,                103200,              1937047,,,                726956,,                 87749,                  6855,                 94604,                821560,              2758607,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                 24572,              3886998,,                318846,              4230416,,,                 22546,,                 22207,                 44753,              2502214,              5608163,                  8180,              5616343,              8374950,              0,              0,     58646089,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,2014年12月31日,,,,                 19691,,                690068,,                367279,,                 69138,,                890672,                 29564,,                    726,,                              0,,                              0,,                958411,,                 33690,,                  3448,                  3448,              3062687,,,                153702,,                399730,,              3157785,,              1627643,,                  2609,                 24877,,                  1972,,                 10185,                 12157,              5378503,              8441190,,,,,                807852,,                414964,,                 49854,,                 16064,,                268658,,                 10070,                179562,,                104928,                  2902,                 84343,,                  4750,,                178226,                178226,              2122173,,,                726956,,                 90513,                  6773,                 97286,                824242,              2946415,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                 24572,              3886998,,                206985,              4118555,,,                 26882,,                  8169,                 35051,              2502214,              5486600,                  8175,              5494775,              8441190,              0,              0,     58646089,,                              0,                 19691,                367279,,                              0,              8441190,,,,                807852,,                414964,,                 49854,,                 16064,,                268658,,                 10070,                179562,,                104928,                  2902,                 84343,,                  4750,,                178226,                178226,              2122173,,,                726956,,                 90513,                  6773,                 97286,                824242,              2946415,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                 24572,              3886998,,                206985,              4118555,,,                 26882,,                  8169,                 35051,              2502214,              5486600,                  8175,              5494775,,,,,
1603,2014年09月30日,,,,                 20113,,                668734,,                335249,,                 51440,,                951485,                 12593,,                  3390,,                              0,,                     90,,                806666,,                 52920,,                  2185,                  2185,              2904865,,,                117702,,                400255,,              3161325,,              1774665,,                  3033,                 21236,,                  1085,,                  9111,                 10196,              5488412,              8393277,,,,,              1119170,,                299889,,                 65148,,                  5989,,                252218,,                  7218,                172409,,                100548,                  8463,                 62704,,                  7710,,                176100,                176100,              2277566,,,                726956,,                 84917,                  6778,                 91695,                818651,              3096217,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                 24572,              3808046,,                174221,              4006839,,,                 11894,,                -62846,                -50952,              2502214,              5288881,                  8179,              5297060,              8393277,              0,              0,     58646089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,2014年06月30日,,,,                 22233,,                672527,,                333244,,                 29884,,              1106656,                 11700,,                    736,,,,                     55,,                654851,,                 73603,,                  4506,                  4506,              2909995,,,                117702,,                400395,,              3166600,,              1770988,,                  3416,                 21236,,                  1077,,                  8283,                  9360,              5489697,              8399692,,,,,              1399865,,                              0,,                 64861,,                  8380,,                317357,,                 10698,                199867,,                 82244,                  2742,                 52422,,                  6698,,                177420,                177420,              2322554,,,                726956,,                 87521,                  7357,                 94878,                821834,              3144388,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                 24572,              3867260,,                 75467,              3967299,,,                  3905,,                -57065,                -53160,              2502214,              5247133,                  8171,              5255304,              8399692,              0,              0,     58646089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,2014年03月31日,,,,                 25555,,                664497,,                283260,,                 22006,,              1201144,                  7079,,                    544,,,,                     34,,                657578,,                 68973,,                  5990,                  5990,              2936850,,,                117702,,                402853,,              3172311,,              1504406,,                  3827,                 23530,,                    858,,                283194,                284052,              5508681,              8445531,,,,,              1476175,,                              0,,                 59064,,                  1184,,                355732,,                 11501,                250990,,                 82752,                              0,                 54118,,                  5001,,                151415,                151415,              2447932,,,                726956,,                 90120,                  7436,                 97556,                824512,              3272444,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                              0,              3168832,,                739703,              3908535,,,                 11578,,                -88148,                -76570,              2502214,              5164959,                  8128,              5173087,              8445531,              0,              0,     58646089,,                    190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,2013年12月31日,,,,,,                665211,,,,                133629,,              1154216,                106604,,                    387,,,,,,                775567,,                 18349,,                  4069,                  4069,              3062991,,,                 98202,,                402965,,              3176032,,              1506889,,                  4238,                 23337,,                  1362,,                277394,                278756,              5490419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     58646089,,                     33,                 29107,                175563,,                    256,              8553410,,,,              1100895,,                479913,,                 82994,,                 20119,,                262670,,                 24808,                210259,,                 94796,                  2804,                 43455,,                  4823,,                266482,                266482,              2594018,,,                726956,,                 91557,                  7441,                 98998,                825954,              3419972,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                              0,              3140635,,                734126,              3874761,,,                  5994,,                -88443,                -82449,              2502214,              5125306,                  8132,              5133438,                              0,,,,
1603,2013年09月30日,,,,,,                636237,,,,                 35776,,                823722,                 57824,,                  3129,,,,,,                767600,,                 38115,,                  3090,                  3090,              2543508,,,                 98202,,                403476,,              3178417,,              1510031,,                    482,                 21242,,                  1356,,                  8580,                  9936,              5221786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     58646089,,                              0,                 52457,                125551,,                              0,              7765294,,,,              1042872,,                199984,,                 51380,,                  5454,,                170229,,                 12717,                194175,,                 85545,                  4640,                 23228,,                  6944,,                146333,                146333,              1943501,,,                726956,,                 84327,                  7565,                 91892,                818848,              2762349,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                              0,              1500536,,              2302142,              3802678,,,                    903,,               -141752,               -140849,              2502214,              4994823,                  8122,              5002945,                      7,,,,
1603,2013年06月30日,,,,,,                608909,,,,                 58299,,                786559,                 47459,,                  2939,,,,,,                747400,,                 69449,,                  4611,                  4611,              2389810,,,                 98202,,                404872,,              3183038,,              1512723,,                    564,                 23372,,                    879,,                  8942,                  9821,              5232592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     58646089,,                              0,                 21868,                 40762,,                     17,              7622402,,,,                705694,,                509978,,                 46238,,                  9797,,                197093,,                 19205,                163360,,                 84257,                  4682,                 11704,,                  6682,,                143865,                143865,              1902555,,,                726956,,                 86665,                  7530,                 94195,                821151,              2723706,,,,              3423000,              3423000,,,                410081,,                  2127,                412208,,                              0,              1500536,,              2223567,              3724103,,,                  1919,,               -168402,               -166483,              2502214,              4890614,                  8082,              4898696,                  1538,,,,
