證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 保固之短期負債準備,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產評價調整－流動,　　　　 應收票據,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人,　　　　 應收票據－關係人淨額,　　　　 應收帳款,　　　　 備抵銷售退回及折讓,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　　 其他應收款－其他,　　　 其他應收款－關係人,　　　　 其他應收款－關係人－其他,　　　　 其他應收款－關係人淨額,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　　 製成品,　　　　　 半成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 在途原物料,　　　　　 備抵存貨跌價,　　　　　 備抵存貨跌價,　　　　　 待售房地,　　　　　 在建房地,　　　　　 備抵存貨跌價,　　　　　 備抵存貨跌價,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產評價調整－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 採用權益法之投資,　　　　 投資性不動產－土地,　　　　 累計減損－投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 投資性不動產－建築物－累計公允價值變動數,　　　　 預付投資款,　　　　　 其他非流動資產－其他,　　　　 銀行借款,　　　 應付票據－關係人,　　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 其他應付款－其他,　　　　 銀行長期借款,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債－其他,　　　　　 累積盈虧,　　　　　 本期損益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
1609,2015年09月30日,,,,              3317050,,                783863,,                289586,,                310108,,              3085376,,                 52868,,,              2414130,,                321005,              2735135,,                185058,,                265207,             11024251,,,                 10179,,                208868,,              1486969,,                569817,,              3701608,,                948088,,                 20412,                239552,,                154120,                 86436,                236846,,                  4262,                481664,              7667157,             18691408,,,,,              4291846,,                682000,,                 76943,,                 39234,,                570101,,                263533,                 10335,,                106848,,,                310926,,              1808821,                 28747,              2148494,              8189334,,,                500000,,              1580533,,                265221,,                436554,                 63871,                 19684,                520109,              2865863,             11055197,,,,              5721808,              5721808,,                522416,,                106704,                489960,,               -266875,                329789,,                 95331,                 46562,              6622782,                              0,              1013429,              7636211,             18691408,              0,              0,     12633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年06月30日,,,,              3169269,,              1037316,,                336832,,                217764,,              2719150,,                 88016,,,              2681240,,                298095,              2979335,,                166694,,                250711,             10965087,,,                  8913,,                250314,,              1407031,,                563754,,              3728277,,                948758,,                 21515,                248817,,                 83503,                 89533,                224318,,                  3269,                400623,              7578002,             18543089,,,,,              3818064,,                769745,,                 44969,,                 44461,,                588840,,                303933,                 10403,,                 99844,,,                302575,,              1655500,                 18439,              1976514,              7656773,,,                500000,,              1663867,,                265221,,                440039,                 72870,                 23818,                536727,              2965815,             10622588,,,,              5721808,              5721808,,                521014,,                106704,                489960,,                -10309,                586355,,                123851,                 46562,              6906466,                              0,              1014035,              7920501,             18543089,              0,              0,     12633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年03月31日,,,,              3381389,,              1044447,,                386265,,                281790,,              2769438,,                198879,,,              2276328,,                286501,              2562829,,                373211,,                159696,             11157944,,,                  9820,,                288008,,              1390896,,                571928,,              3739762,,                938002,,                 23012,                215462,,                 75565,                 90885,                226663,,                  7705,                400818,              7577708,             18735652,,,,,              3752589,,                770000,,                 22377,,                 51483,,                501076,,                273597,                 28917,,                100654,,,                289344,,                395466,                 41577,                726387,              6227080,,,                500000,,              3035562,,                265221,,                446798,                 61697,                 24128,                532623,              4333406,             10560486,,,,              5721808,              5721808,,                521014,,                106704,                489960,,                128552,                725216,,                197120,                 46562,              7118596,                              0,              1056570,              8175166,             18735652,              0,              0,     12633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年12月31日,,,,              3579805,,              1009903,,                214548,,                254524,,              2880671,,                169955,,,              2591329,,                253320,              2844649,,                399327,,                287193,             11640575,,,                  9977,,                296765,,              1380441,,                573562,,              3801875,,                938617,,                 24626,                188374,,                 84565,                 56581,                229467,,                  5667,                376280,              7590517,             19231092,,,,,              3984441,,                769841,,                 49160,,                 93025,,                501971,,                291475,                 30101,,                100000,,,                201163,,                273867,                 28723,                503753,              6323767,,,                500000,,              3423358,,                265212,,                446844,                 43554,                 24101,                514499,              4703069,             11026836,,,,              5801808,              5801808,,                505372,,                106704,                489960,,                213419,                810083,,                120444,                110920,              7126787,                              0,              1077469,              8204256,             19231092,              0,              0,     20633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年09月30日,,,,              3110773,,              1257076,,                129105,,                273179,,              2817193,,                199582,,,              2321942,,                274356,              2596298,,                279131,,                304915,             10967252,,,                  9246,,                393928,,                995489,,                529193,,              3724229,,                981991,,                 23708,                153445,,                151009,                 74981,                221667,,                  6152,                453809,              7265038,             18232290,,,,,              3677214,,                790000,,                 10585,,                 62454,,                448419,,                244132,                 16365,,                105173,,,                230698,,                416667,                 26133,                673498,              6027840,,,                500000,,              2951476,,                264499,,                410749,                 45078,                  4410,                460237,              4176212,             10204052,,,,              5801808,              5801808,,                505385,,                106704,                489960,,                201548,                798212,,                  7859,                110920,              7002344,                              0,              1025894,              8028238,             18232290,              0,              0,     20633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年06月30日,,,,              3037865,,              1171722,,                148459,,                242179,,              2718804,,                196863,,,              2486084,,                293002,              2779086,,                206256,,                 78916,             10580150,,,                  9205,,                442462,,                951654,,                490215,,              3714625,,                982507,,                 24245,                155225,,                217357,                 74159,                218653,,                  8011,                518180,              7288318,             17868468,,,,,              3612314,,                660857,,                  2285,,                 55963,,                506694,,                393093,                  8848,,                101428,,,                233182,,                366667,                 19808,                619657,              5961139,,,                              0,,              3095778,,                264501,,                417590,                 49279,                  4401,                471270,              3831549,              9792688,,,,              5801808,              5801808,,                505224,,                106704,                489960,,                225288,                821952,,                 63578,                110920,              7081642,                              0,                994138,              8075780,             17868468,              0,              0,     20633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年03月31日,,,,              3076808,,              1159167,,                179707,,                250738,,              2632385,,                173176,,,              2363194,,                291003,              2654197,,                340146,,                104385,             10570709,,,                  9419,,                517299,,                885760,,                481354,,              3761340,,                983023,,                 25893,                140218,,                193198,                 84736,                223482,,                  5100,                506516,              7310822,             17881531,,,,,              3427870,,                754000,,                 39216,,                 45270,,                590716,,                300510,                 19834,,                 99612,,,                249951,,                266667,                 33350,                549968,              5826996,,,                              0,,              3063498,,                264499,,                421332,                 39769,                  4591,                465692,              3793689,              9620685,,,,              5801808,              5801808,,                505218,,                 92442,                489960,,                307682,                890084,,                153407,                110920,              7239597,                              0,              1021249,              8260846,             17881531,              0,              0,     20633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2013年12月31日,,,,,,              1090593,,                147543,,                204644,,              2948673,,                155864,,,              2215032,,                283455,              2498487,,                298653,,                150815,             10389753,,,                 16214,,                442802,,                869088,,                474584,,              3730726,,                983539,,                 28277,                151438,,                223917,                 58120,                219945,,                  4755,                506737,              7203405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     20633667,              2894481,,                              0,             17593158,,,,              3476088,,                839735,,                 16104,,                142291,,                540410,,                355515,                 11852,,                 97977,,,                149727,,                240533,                 26054,                416314,              5896286,,,                              0,,              2803809,,                267372,,                425082,                 31418,                  4436,                460936,              3532117,              9428403,,,,              5801808,              5801808,,                505218,,                 92442,                489960,,                356802,                939204,,                 12170,                110920,              7147480,                              0,              1017275,              8164755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2013年09月30日,,,,,,              1060407,,                357438,,                219115,,              3151712,,                 93780,,,              2243021,,                147096,              2390117,,                167160,,                233636,             10288903,,,                 10865,,                257351,,              1024507,,                553726,,              3663314,,                766964,,                 27461,                141543,,                192634,                 79879,                211660,,                  7990,                492163,              6937894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     20633667,              2615538,,,             17226797,,,,              3240169,,              1183000,,                 12586,,                 53612,,                582512,,                247385,                  6395,,                103935,,,                218100,,                183333,                 25869,                427302,              5856896,,,                              0,,              2676268,,                264486,,                422559,                 50325,                 17452,                490336,              3431090,              9287986,,,,              5801808,              5801808,,                500416,,                 92442,                489960,,                193671,                776073,,                -24925,                110920,              6942452,                              0,                996359,              7938811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2013年06月30日,,,,,,              1053348,,                372343,,                240872,,              2978401,,                153608,,,              2499327,,                 52549,              2551876,,                194020,,                124186,              9963611,,,                 10849,,                254937,,              1028760,,                542577,,              3634864,,                767235,,                 28012,                144346,,                258077,                 79777,                214935,,                 10358,                563147,              6974727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     20633667,              2294957,,,             16938338,,,,              2841909,,                780856,,                 55891,,                 63276,,                517850,,                389950,                  5308,,                103006,,,                150933,,                333350,                 68771,                553054,              5311100,,,,,              2994854,,                264486,,                422603,                 50385,                 20096,                493084,              3752424,              9063524,,,,              5801808,              5801808,,                502664,,                 92442,                489960,,                144489,                726891,,                -28841,                110920,              6891602,                              0,                983212,              7874814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
