證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產評價調整－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 應收收益,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 半成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 用品盤存,　　　　 其他預付費用,　　　　 預付貨款,　　　　 進項稅額,　　　　 預付款項合計,　　　 其他流動資產,　　　　 暫付款,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 持有供交易金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付利息,　　　　　 暫估應付費用,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付費用,　　　　　 應付營業稅,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 暫收款,　　　　　 代收款,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 持有供交易之金融資產評價調整－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人－其他,　　　　 其他應收款－關係人淨額,　　　　　 在途原物料,　　　　 代付款,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　　 應付股利,　　　　　 其他非流動負債－其他,　　　　　 特別盈餘公積,　　　　 備抵呆帳－應收票據,　　　　　 土地－重估增（減）值,　　　　　 房屋及建築－重估增（減）值,　　　 無形資產,　　　　 無形資產合計,　　　　 有形探勘及評估資產淨額,　　　　　 有形探勘及評估資產成本,　　　　　 累計折舊－有形探勘及評估資產,　　　　　 有形探勘及評估資產淨額,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　　 債券換股權利證書,　　　　　 重估增值,　　　　　　 重估增值合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付利息,　　　　 暫估應付費用,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　　 應付營業稅,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 暫收款,　　　　 代收款,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　　 債券換股權利證書,　　　　 重估增值,　　　　　 重估增值合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
1617,2015年09月30日,,,,                  1023,              1064963,              1065986,,                208154,                 -2255,                205899,,                 24129,                 24129,,                607117,                  1660,                605457,,                  7301,                  7301,,                  4842,                  5435,                 19550,                 29827,,,                  1967,                  1967,,                140530,                  1910,                 13195,                117482,                  1235,                 22522,                251830,                253797,,                    273,                  3607,                    699,                  6607,                 11186,,                  1313,                              0,                  1313,              2204895,,,                 82600,                 61323,                 21277,,,                342188,                342188,,                355353,                187710,                167643,,                638462,                511550,                126912,,                 15511,                 13604,                  1907,,                157724,                101432,                 56292,                 26135,                721077,,                 80381,                 63402,,                 11838,                 30386,,                              0,                 42224,                928361,              3133256,,,,,                892706,                892706,,                130000,                130000,,                              0,                              0,,                    305,                    305,,                110909,                110909,,                  2204,                  2204,,                     15,                 10170,                    176,                  1045,                 49991,                  1068,                  4438,                 66903,                  2168,,,                    216,                    236,                    452,,                              0,                 27670,                 27670,                 10537,                    937,                              0,                 39596,              1244791,,,                 46642,,                 75742,,                120187,                120187,                242571,              1487362,,,,              1442332,              1442332,,,                 57701,                 57701,                 26274,,                    655,                  5701,                              0,                 90331,,                  6422,,                 35970,                 34837,                 70807,                 77229,,,                 56635,,                -15465,                 41170,                  5174,              1645888,                      6,              1645894,              3133256,              0,              0,        760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2015年06月30日,,,,                    891,              1148896,              1149787,,                251003,                 -6875,                244128,,                 35047,                 35047,,                614380,                  1296,                613084,,                  7812,                  7812,,                  6457,                  3877,                 32831,                 43165,,,                  6276,                  6276,,                157730,                  1648,                 15035,                111115,                  1074,                 16852,                269750,                276026,,                    281,                  3887,                  3160,                  2497,                  9825,,                    562,                 22340,                 22902,              2401776,,,                 83368,                 61323,                 22045,,,                342188,                342188,,                346619,                180516,                166103,,                610844,                490109,                120735,,                 16296,                 14228,                  2068,,                147181,                 97047,                 50134,                 20484,                701712,,                 80158,                 63402,,                 11496,                 29405,,                  3131,                 44032,                911349,              3313125,,,,,                873978,                873978,,                145000,                145000,,                  5715,                  5715,,                    759,                    759,,                130258,                130258,,                    986,                    986,,                     15,                  7581,                    226,                              0,                 53075,                  1020,                  4585,                109772,                  1843,,,                  1067,                    226,                  1293,,                 89172,                 60170,                149342,                  8950,                  1286,,                160871,              1429182,,,                100643,,                 75742,,                121717,                121717,                298102,              1727284,,,,              1442332,              1442332,,,                 57701,                 57701,                 26274,,                    655,                  5456,                    245,                 90331,,                  6423,,                 35970,                    348,                 36318,                 42741,,,                 25567,,                -19243,                  6324,                              0,              1581728,                  4113,              1585841,              3313125,              0,              0,              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                 43270,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2015年03月31日,,,,                    841,              1098179,              1099020,,                233603,                 -7084,                226519,,                 36335,                 38459,,                613174,                  1158,                612016,,                  6388,                  6388,,                  5974,                  3883,                 18874,                 28731,,,                  4576,                  4576,,                180792,                  1226,                 19746,                119521,                    929,                 16822,                305392,                309968,,                    286,                  2530,                  3317,                  3308,                  9441,,                    510,                 22340,                 22850,              2353392,,,                 83368,                 61323,                 22045,,,                342188,                342188,,                350051,                179013,                171038,,                649028,                506087,                142941,,                 16326,                 15099,                  1227,,                153089,                 98219,                 54870,                 18262,                730526,,                 80871,                 63402,,                 11496,                 30056,,                     99,                 41651,                938495,              3291887,,,,,                773620,                773620,,                140000,                140000,,                  5697,                  5697,,                    299,                    299,,                154205,                154205,,                  2092,                  2092,,                     15,                  7199,                    220,                              0,                 54978,                  1391,                  5057,                 68860,                  2393,,,                 16566,                    230,                 16796,,                 88979,                 65170,                154149,                  9277,                    776,,                180998,              1328164,,,                115685,,                 75742,,                123175,                123175,                314602,              1642766,,,,              1442332,              1442332,,,                 57701,                 57701,                 26273,,                    655,                  5457,                    245,                 90331,,                  1687,,                 83975,                  1489,                 85464,                 87151,,,                 38422,,                -14097,                 24325,                              0,              1644139,                  4982,              1649121,              3291887,              0,              0,              0,,                              0,                              0,                              0,,,,                              0,                              0,,                              0,,                              0,                              0,                 -2124,                              0,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2014年12月31日,,,,                    913,              1014571,              1015484,,                229548,                 -8569,                220979,,                 44520,                 44520,,                703090,                    805,                702285,,                 10100,                 10100,,                  8030,                  7414,                  6082,                 21526,,,                  5568,                  5568,,                155180,                  1045,                 21466,                107157,                  1054,                 13475,                272427,                277995,,                    317,                  2732,                  1242,                  4352,                  8643,,                    281,                 22340,                 22621,              2324153,,,                 84786,                 61322,                 23464,,,                342188,                342188,,                350559,                176696,                173863,,                657865,                506424,                151441,,                 16345,                 15007,                  1338,,                145798,                 98638,                 47160,                 10079,                726069,,                 81538,                 63402,,                 11496,                 30562,,                  5097,                 47155,                941628,              3265781,,,,,                714375,                714375,,                150000,                150000,,                  5662,                  5662,,                    273,                    273,,                143293,                143293,,                  2293,                  2293,,                     15,                 23494,                    219,                              0,                 58945,                    539,                  6081,                 89293,                  1846,,,                    496,                    693,                  1189,,                 88786,                 75170,                163956,                  9216,                    786,                              0,                175147,              1282182,,,                130728,,                 75742,,                123787,                123787,                330257,              1612439,,,,              1442332,              1442332,,,                 57701,                 57701,                 26273,,                    655,                  5457,                    245,                 90331,,                  1687,,                 38679,                 45296,                 83975,                 85662,,,                 46212,,                -15673,                 30539,                              0,              1648864,                  4478,              1653342,              3265781,              0,              0,              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2014年09月30日,,,,                  1490,                951823,                953313,,                215209,                 -6344,                208865,,                 49419,                 49419,,                730693,                  7176,                723517,,                 17345,                 17345,,                  7831,                  3250,                  6389,                 17470,,,                  2113,                  2113,,                188221,                  1254,                 19475,                121820,                  1161,                 17191,                314740,                316853,,                    354,                  4404,                    789,                  3982,                  9529,,                    575,                 22340,                 22915,              2319226,,,                 91835,                 50862,                 40973,,,                342188,                342188,,                363785,                181583,                182202,,                681678,                510760,                170918,,                 16281,                 14868,                  1413,,                136806,                 95300,                 41506,                  9817,                748044,,                 73843,                 81334,,                 11495,                 29830,,                              0,                 41325,                985519,              3304745,,,,,                708989,                708989,,                150000,                150000,,                  5412,                  5412,,                    659,                    659,,                177072,                177072,,                  2195,                  2195,,                     45,                  9073,                      2,                              0,                 56752,                  3206,                  4892,                 73970,                  8443,,,                    380,                              0,                    380,,                 88594,                151249,                239843,                  3331,                    823,                    225,                244602,              1371342,,,                107190,,                 77112,,                124500,                124500,                308802,              1680144,,,,              1442332,              1442332,,,                 77582,                 77582,                 26274,,                    655,                  5701,                -19881,                 90331,,                              0,,                 37368,                 45520,                 82888,                 82888,,,                 20473,,                -16395,                  4078,                              0,              1619629,                  4972,              1624601,              3304745,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2014年06月30日,,,,                  1196,                958528,                959724,,                192585,                  5739,                198324,,                 46350,                 46350,,                708142,                  6730,                701412,,                 19070,                 19070,,                  7678,                  2062,                  8116,                 17856,,,                  7418,                  7418,,                164712,                    882,                 20000,                103344,                    929,                 13987,                275880,                283298,,                    400,                  4606,                  5722,                  3991,                 14719,,                    847,                 17870,                 18717,              2259470,,,                 96853,                 35882,                 60971,,,                342188,                342188,,                353893,                175761,                178132,,                657688,                493012,                164676,,                 16231,                 14733,                  1498,,                132815,                 92961,                 39854,                  6242,                732590,,                 74120,                 81488,,                 11493,                 29298,,                              0,                 40791,                989960,              3249430,,,,,                693884,                693884,,                150000,                150000,,                  5054,                  5054,,                    347,                    347,,                174402,                174402,,                    748,                    748,,                    168,                  8802,                      2,                              0,                 49893,                  3281,                  3729,                 65875,                  5043,,,                    696,                    219,                    915,,                 88181,                123209,                211390,                  1843,                    836,,                214984,              1310337,,,                156522,,                 77112,,                125404,                125404,                359038,              1669375,,,,              1442332,              1442332,,,                 57701,                 57701,                 26274,,                    655,                  5456,                    245,                 90331,,                              0,,                 37368,                 21085,                 58453,                 58453,,,                 -2019,,                -14440,                -16459,                              0,              1574657,                  5398,              1580055,              3249430,              0,              0,              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2014年03月31日,,,,                    972,              1042252,              1043224,,                164203,                 -5672,                158531,,                 48304,                 48304,,                658720,                  6529,                652191,,                 13918,                 13918,,                  6712,                    690,                  5171,                 12573,,,                  5583,                  5583,,                192228,                    854,                 17980,                117267,                    887,                 12765,                316451,                322034,,                    415,                  3052,                    893,                  3935,                  8295,,                  2637,                 17870,                 20507,              2279577,,,                 97057,                 35882,                 61175,,,                342188,                342188,,                357058,                174209,                182849,,                685926,                513190,                172736,,                 16267,                 14625,                  1642,,                130477,                 91763,                 38714,                  5323,                743452,,                 74547,                 81641,,                 11488,                 30054,,                              0,                 41542,              1002357,              3281934,,,,,                698824,                698824,,                140000,                140000,,                  4581,                  4581,,                    281,                    281,,                138134,                138134,,                    577,                    577,,                    653,                  6040,                      2,                              0,                 54457,                  1107,                  3614,                 65873,                  1543,,,                  4482,                              0,                  4482,,                 87769,                 83919,                171688,                  1147,                    755,,                178072,              1227885,,,                260855,,                 77112,,                126307,                126307,                464274,              1692159,,,,              1442332,              1442332,,,                 57701,                 57701,                 26273,,                    655,                  5457,                    245,                 90331,,                              0,,                 37367,                 21391,                 58758,                 58758,,,                 12799,,                -19538,                 -6739,                              0,              1584682,                  5093,              1589775,              3281934,              0,              0,              0,,                              0,                              0,                              0,,,,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2014年01月01日,,,,                    922,                859674,                860596,,                169906,                 -5758,                164148,,                 34494,                 34494,,                770575,                  6539,                764036,,                 12762,                 12762,,                 18051,                    837,                 67779,                 86667,,,                  6279,                  6279,,                175832,                  1112,                 19236,                120048,                    905,                 13673,                303460,                309739,,                    429,                  3180,                  1564,                  2926,                  8099,,                    411,                 17870,                 18281,              2258822,,,                 97057,                 35882,                 61175,,,                342188,                342188,,                355254,                171243,                184011,,                680868,                507569,                173299,,                 17182,                 15386,                  1796,,                128594,                 89949,                 38645,                  8369,                748308,,                 75280,                 81794,,                 11980,                 30380,,                              0,                 42360,              1008917,              3267739,,,,,                673811,                673811,,                140000,                140000,,                  4117,                  4117,,                    637,                    637,,                143330,                143330,,                  3600,                  3600,,                    151,                 13823,                      2,                              0,                 55188,                  1511,                  5137,                 75812,                  1587,,,                     35,                              0,                     35,,                 87356,                 68919,                156275,                  2329,                    810,                              0,                159449,              1202343,,,                285897,,                 77112,,                127210,                127210,                490219,              1692562,,,,              1442332,              1442332,,,                 57701,                 57701,                 26273,,                    655,                  5457,                    245,                 90331,,                              0,,                 14388,                 22979,                 37367,                 37367,,,                 20747,,                -20593,                    154,                              0,              1570184,                  4993,              1575177,              3267739,              0,              0,              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,2013年12月31日,,,,                    922,                859674,,,                169906,                 -5758,                164148,,                 34494,                 34494,,                770575,                  6539,                764036,,                 12762,                 12762,,                 18051,                    837,                 67779,                 86667,,,                  6279,                  6279,,                175832,                  1112,                 19236,                120048,                    905,                 13673,                303460,                309739,,                    429,                  3180,                  1564,                  2926,                  8099,,                    411,                 17870,                 18281,              2258822,,,                 97057,                 35882,                 61175,,,                342188,                342188,,                355254,                171243,                184011,,                680868,                507569,                173299,,                 17182,                 15386,                  1796,,                128594,                 89949,                 38645,                  8369,                748308,,                 75280,                 78723,,                 11980,                 30380,,                              0,                 42360,              1005846,,,,,,,,                140000,,,,,,                    637,,,                143330,,,                  3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                              0,                              0,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,                860596,              3264668,,,,                673811,                673811,,                140000,,                  4117,                  4117,,                    637,,                143330,,                  3600,,                    151,                 13823,                      2,                              0,                 55188,                  1511,                  5137,                 75812,                  1587,,,                     35,                              0,                     35,,                 87356,                 68919,                156275,                  2329,                    810,                159449,              1202343,,,                285897,,                 77112,,                109143,                              0,                109143,                472152,              1674495,,,,              1442332,              1442332,,,                 57701,                 57701,                 26273,,                    655,                  5457,                    245,                 90331,,                              0,                              0,,                 29384,                 22979,                 52363,                 52363,,,                 20747,,                -20593,                    154,                              0,              1585180,                  4993,              1590173,,,,,,,,,,,,
1617,2013年09月30日,,,,                    698,                920899,,,                227635,                 -9446,                218189,,                 41162,                 41162,,                766646,                  5293,                761353,,                  6861,                  6861,,                  9850,                  1112,                 13703,                 24665,,,                    138,                    138,,                181265,                              0,                 19219,                121758,                    672,                 13060,                309854,                309992,,                    435,                  5179,                  6195,                 13374,                 25183,,                    381,                 17870,                 18251,              2328986,,,                 99480,                 26525,                 72955,,,                342188,                342188,,                351196,                166351,                184845,,                667846,                494348,                173498,,                 16442,                 15238,                  1204,,                121752,                 87438,                 34314,                  6665,                742714,,                 75222,                 89808,,                 11457,                 30057,,,                 41630,              1022329,,,,,,,,                150000,,,,,,                    371,,,                137163,,,                  2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  1733,                              0,                  1733,,                              0,                              0,                              0,                              0,,                    116,,,,,,,,,,,,,,,,,,,,,,,,                921597,              3351315,,,,                726444,                726444,,                150000,,                  6252,                  6252,,                    371,,                137163,,                  2403,,                     89,                  8688,                      2,                              0,                 60333,                  1607,                  3031,                 73750,                    845,,,                 13590,                              0,                 13590,,                 86943,                141522,                228465,                  2774,                  1107,                245936,              1343164,,,                233491,,                 80076,,                117694,                     28,                117722,                431289,              1774453,,,,              1442332,              1442332,,,                 77582,                 77582,                 26274,,                    655,                  5456,                -19636,                 90331,,                              0,                              0,,                 29383,                 29762,                 59145,                 59145,,,                  4546,,                -24739,                -20193,                              0,              1571615,                  5247,              1576862,                              0,,,,,,,,,,,
