證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應收票據－關係人,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1712,2015年09月30日,,,,              1438679,,                 17063,,                201874,,                              0,,              1920660,,                    285,,                115375,,,              3251182,,                511927,              3763109,,                443114,,                 41944,              7942103,,,                 18918,,                 22718,,              7785810,,                              0,                              0,                188396,,                117150,                101199,,                225146,                443495,              8459337,             16401440,,,,,              1967087,,                200000,,                  2160,,                119894,,              1734593,,                    234,,                     33,                780759,                780792,                 29452,,,                965592,                372425,              1338017,                259571,              1597588,              6431800,,,                              0,,              3142296,,                271306,,              1079871,                117911,                 63863,              1261645,              4675247,             11107047,,,,              3448032,              3448032,,                212556,,                541454,                 39261,,              1007925,              1588640,,,                -67486,,                  5175,                -62311,                              0,              5186917,                107476,              5294393,             16401440,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2015年06月30日,,,,              1462203,,                 16761,,                164632,,                    142,,              2010945,,                    185,,                122198,,,              3209067,,                511927,              3720994,,                343219,,                 61708,              7902987,,,                 18918,,                 25007,,              7708195,,,,                188651,,                137094,                124324,,                228930,                490348,              8431119,             16334106,,,,,              2076100,,                200000,,                  1965,,                 61339,,              1791587,,                    120,,                308603,                659560,                968163,                 62286,,,,,                 69667,                234454,                304121,              5465681,,,                965578,,              3183160,,                259233,,              1073753,                116373,                 51448,              1241574,              5649545,             11115226,,,,              3444087,              3444087,,                211163,,                541454,                 39261,,                990896,              1571611,,,               -118046,,                  6384,               -111662,                              0,              5115199,                103681,              5218880,             16334106,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2015年03月31日,,,,                959583,,                 16744,,                191678,,                              0,,              2587173,,                    381,,                149927,,,              3188143,,                510678,              3698821,,                434542,,                 45651,              8084500,,,                 18918,,                 28887,,              7574378,,,,                188577,,                119595,                178975,,                229808,                528378,              8339138,             16423638,,,,,              2232576,,                255000,,                    941,,                 87286,,              1776207,,                    316,,                     23,                545266,                545289,                 46928,,,,,                366909,                424319,                791228,              5735771,,,                970445,,              2838849,,                252577,,              1064714,                115457,                 23442,              1203613,              5265484,             11001255,,,,              3436907,              3436907,,                210289,,                490804,                 61013,,              1206662,              1758479,,,                -93986,,                  7639,                -86347,                              0,              5319328,                103055,              5422383,             16423638,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2014年12月31日,,,,              1515806,,                 15081,,                165629,,                    119,,              1737670,,                    237,,                196369,,,              3421304,,                510220,              3931524,,                356853,,                 17605,              7936893,,,                 18918,,                 30239,,              7386065,,                              0,                              0,                109224,,                177258,                193607,,                238313,                609178,              8153624,             16090517,,,,,              2258228,,                225000,,                  2382,,                104588,,              1792636,,                  1974,,                     23,                664020,                664043,                 41977,,,                              0,                264153,                264153,                282035,                546188,              5637016,,,              1046910,,              2571922,,                254113,,              1061727,                114921,                 30962,              1207610,              5080555,             10717571,,,,              3378944,              3378944,,                185927,,                490804,                 61013,,              1194166,              1745983,,,                -45861,,                  6601,                -39260,                              0,              5271594,                101352,              5372946,             16090517,              0,              0,              0,                    119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2014年09月30日,,,,              1185939,,                 12653,,                184510,,                    127,,              1881688,,                    366,,                126118,,,              2973061,,                489995,              3463056,,                487389,,                 53356,              7395202,,,                 18918,,                 25899,,              7178529,,                              0,                              0,                139844,,                114817,                 99390,,                263792,                477999,              7841189,             15236391,,,,,              1977164,,                200000,,                  1701,,                 41944,,              1724130,,                    201,,                     23,                627240,                627263,                 30449,,,                              0,                247177,                247177,                285946,                533123,              5135975,,,              1041136,,              2343624,,                248875,,              1074526,                114382,                 56306,              1245214,              4878849,             10014824,,,,              3378944,              3378944,,                185927,,                490804,                 61013,,              1068684,              1620501,,,                -71596,,                  7365,                -64231,                              0,              5121141,                100426,              5221567,             15236391,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2014年06月30日,,,,              1055216,,                 16386,,                204402,,                              0,,              2170852,,                    552,,                102196,,,              2839052,,                483452,              3322504,,                476046,,                 42507,              7390661,,,                 18918,,                 25956,,              6917619,,,,                139001,,                125044,                111354,,                263915,                500313,              7601807,             14992468,,,,,              1748043,,                 50000,,                  1517,,                 56980,,              1672944,,                    275,,                266979,                577077,                844056,                 46908,,,,,                246962,                284235,                531197,              4951920,,,              1064916,,              2358748,,                247389,,              1075331,                114767,                 55219,              1245317,              4916370,              9868290,,,,              3357795,              3357795,,                177390,,                490804,                 61013,,                991357,              1543174,,,                -60752,,                  8650,                -52102,                              0,              5026257,                 97921,              5124178,             14992468,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2014年03月31日,,,,                885941,,                 20360,,                225784,,                              0,,              2420649,,                    416,,                152286,,,              2711449,,                480374,              3191823,,                380287,,                 87050,              7364596,,,                 18918,,                 28705,,              6868493,,,,                135108,,                133486,                101721,,                247889,                483096,              7534320,             14898916,,,,,              1671916,,                250000,,                  4078,,                 30356,,              1581909,,                    596,,                 19198,                504263,                523461,                121090,,,,,                 46749,                363603,                410352,              4593758,,,              1088853,,              2471180,,                247275,,              1074321,                114681,                 52658,              1241660,              5048968,              9642726,,,,              3337233,              3337233,,                167942,,                445221,                              0,,              1244774,              1689995,,,                -45005,,                  7881,                -37124,                              0,              5158046,                 98144,              5256190,             14898916,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2013年12月31日,,,,,,                 19556,,                187273,,                              0,,              1735594,,                  1316,,                120145,,,              2763363,,                469804,              3233167,,                344769,,                 12016,              6783136,,,                 18918,,                 29800,,              6534791,,                              0,                              0,                142893,,                365908,                109995,,                263051,                738954,              7465356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1129300,             14248492,,,,              1704403,,                100000,,                  4798,,                 51354,,              1514686,,                  5133,,                              0,                719338,                719338,                 68875,,,                 59536,                255150,                314686,              4483273,,,              1082848,,              2173197,,                250582,,              1064436,                114341,                 51047,              1229824,              4736451,              9219724,,,,              3337233,              3337233,,                167924,,                445221,                              0,,              1041037,              1486258,,,                -68043,,                  7032,                -61011,                              0,              4930404,                 98364,              5028768
1712,2013年09月30日,,,,,,                 18480,,                185208,,                              0,,              1762897,,                    323,,                 99881,,,              2767143,,                405657,              3172800,,                387373,,                 71852,              6844885,,,                 18918,,                 22838,,              6299046,,                              0,                              0,                147841,,                437827,                 99310,,                242241,                779378,              7268021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1146071,             14112906,,,,              1812223,,                              0,,                  9240,,                 29229,,              1705214,,                    672,,,                641104,                641104,                 52692,,,                 46325,                114850,                161175,              4411549,,,              1077324,,              2169481,,                252318,,              1089361,                111127,                111837,              1312325,              4811448,              9222997,,,,              3336920,              3336920,,                167036,,                445221,                              0,,                905348,              1350569,,,                -66554,,                  4645,                -61909,                              0,              4792616,                 97293,              4889909
1712,2013年06月30日,,,,,,                 17332,,                251616,,,,              1529203,,                    216,,                123005,,,              2790094,,                              0,              2790094,,                400631,,                 89589,              6401374,,,                 18918,,                 49998,,              6110370,,,,                124348,,                350566,                101436,,                193143,                645145,              6948779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1199688,             13350153,,,,              1584618,,                100000,,                              0,,                 24814,,              1678365,,                     61,,,                824874,                824874,                 57890,,,                244614,                107337,                351951,              4622573,,,                              0,,              2620449,,                228114,,              1069683,                110226,                105458,              1285367,              4133930,              8756503,,,,              3336920,              3336920,,                 56873,,                445221,                              0,,                776455,              1221676,,,                -50260,,                   -399,                -50659,                              0,              4564810,                 28840,              4593650
