證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　　 當期所得稅資產合計,　　　 應付短期票券,　　　　 應付短期票券合計
1723,2015年09月30日,,,,                945945,,                899331,,                147509,,                 14643,,                379224,,                 73736,,                144989,,                     13,,                409407,,                              0,,                174600,                              0,                 83933,                258533,              3273330,,,                430643,,                113056,,                206939,,              1147370,,              1395974,,                563513,                 43269,,                718094,                  1582,                 32589,,                 35698,                787963,              4688727,              7962057,,,,,                124470,,                775000,,                 23511,,                214196,,                273090,                 51468,,                 35271,              1497006,,,                  6133,,                128399,                128399,                134532,              1631538,,,,              2369044,              2369044,,                650265,,              2167302,                242136,,              1076718,              3486156,,                -30730,                144216,              6330519,                              0,                              0,              6330519,              7962057,              0,      5827537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2015年06月30日,,,,                906600,,              2311329,,                177379,,                  9422,,                489595,,                114512,,                161282,,                              0,,                396545,,                              0,,                174600,,                 68923,                243523,              4810187,,,                479282,,                106143,,                205053,,              1268631,,              1387736,,                563513,                 40297,,                 31025,                  1587,                 31765,,                 35505,                 99882,              4150537,              8960724,,,,,                 46454,,                 45000,,                 23011,,                188215,,              2193191,                122045,,                 33378,              2651294,,,                              0,,                130317,                130317,                130317,              2781611,,,,              2369044,              2369044,,                604207,,              2167302,                242136,,                775300,              3184738,,                165340,                144216,              6179113,,                              0,              6179113,              8960724,              0,      5827537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2015年03月31日,,,,              1320420,,              1829798,,                196802,,                 12169,,                469146,,                127802,,                176583,,                              0,,                423495,,                              0,,                183300,,                 65617,                248917,              4805132,,,                505038,,                107656,,                205644,,              1378400,,              1408006,,                552988,                 40315,,                 24688,                  1587,                 32679,,                 37179,                 96133,              4294180,              9099312,,,,,                117259,,                 35000,,                 56954,,                206160,,                312779,                243081,,                 38004,              1009237,,,                    381,,                131761,                131761,                132142,              1141379,,,,              2369044,              2369044,,                534237,,              1948583,                242136,,              2607613,              4798332,,                263536,                158322,              7806827,,                151106,              7957933,              9099312,              0,      6397537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2014年12月31日,,,,              1097928,,              1346604,,                220684,,                  7054,,                409411,,                137006,,                386196,,                              0,,                446627,,                 32058,,                233300,                              0,                 69362,                302662,              4386230,,,                525241,,                108860,,                160597,,              1380338,,              1431399,,                552988,                 42644,,                 24409,                  2467,                 33454,,                 36776,                 97106,              4299173,              8685403,,,,,                100441,,                              0,,                 24524,,                256098,,                356036,                187738,,                 30011,                954848,,,                  1663,,                133056,                133056,                134719,              1089567,,,,              2369044,              2369044,,                515023,,              1948583,                242136,,              2215199,              4405918,,                317045,                162034,              7444996,                              0,                150840,              7595836,              8685403,              0,      6547537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2014年09月30日,,,,                274604,,              1533372,,                220673,,                  7502,,                565454,,                160464,,                346938,,                     88,,                461850,,                              0,,                271600,                              0,                 81239,                352839,              3923784,,,                496758,,                104630,,                155038,,              1344114,,              1395859,,                585046,                 42416,,                 21386,                  1527,                 35280,,                 25000,                 83193,              4207054,              8130838,,,,,                 46671,,                              0,,                 31631,,                324349,,                281609,                136381,,                 25582,                846223,,,                    324,,                124672,                124672,                124996,                971219,,,,              2369044,              2369044,,                488413,,              1948583,                242136,,              1866133,              4056852,,                260625,                167082,              7007852,                              0,                151767,              7159619,              8130838,              0,      6751537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2014年06月30日,,,,                557910,,              2848906,,                205736,,                  9113,,                675700,,                190795,,                 93503,,                     37,,                424570,,                              0,,                289600,,                 47296,                336896,              5343166,,,                428249,,                102721,,                150299,,              1275610,,              1437179,,                541020,                 43050,,                  8964,                  1527,                 35438,,                 25000,                 70929,              4049057,              9392223,,,,,                 11734,,                 35000,,                 43140,,                299878,,              2224454,                221925,,                 29903,              2866034,,,                              0,,                125996,                125996,                125996,              2992030,,,,              2369044,              2369044,,                432345,,              1948583,                242136,,              1258473,              3449192,,                167372,                167082,              6250871,,                149322,              6400193,              9392223,              0,      6751537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2014年03月31日,,,,                455212,,              2203831,,                160025,,                 12478,,                748211,,                158660,,                343347,,                     79,,                379534,,                              0,,                389600,,                 72905,                462505,              4923882,,,                368915,,                104802,,                144777,,              1317394,,              1459788,,                541020,                 43277,,                  8932,                  1527,                 33981,,                              0,                 44440,              4024413,              8948295,,,,,                 69201,,                              0,,                 29463,,                317296,,                315107,                328645,,                 34880,              1094592,,,                    854,,                127083,                127083,                127937,              1222529,,,,              2369044,              2369044,,                433261,,              1727592,                242136,,              2855418,              4825146,,                105118,                167082,              7565487,,                160279,              7725766,              8948295,              0,      6751537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,2013年12月31日,,,,,,              1740695,,                171214,,                 18825,,                530309,,                177695,,                310845,,,,                375618,,                              0,,                419064,,                 48027,                467091,              4310987,,,                317062,,                102514,,,,              1341972,,              1469202,,                541020,                 42629,,                  8964,                  1281,                              0,,                              0,                 10245,              3959295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      6751537,                509436,,                  9259,                134651,              8270282,,,,                 72157,,                     91,,                 25299,,                327281,,                322157,                217376,,                 29693,                994054,,,                    680,,                128185,                128185,                128865,              1122919,,,,              2369044,              2369044,,                431711,,              1727592,                242136,,              2223888,              4193616,,                158815,                167082,              6986104,                161259,              7147363,              0,,                              0,                              0,,                              0
1723,2013年09月30日,,,,,,                975011,,                167947,,                 10368,,                593109,,                174320,,                329549,,,,                365096,,,,                597348,,                 33991,                631339,              3861436,,,                291552,,                101706,,,,              1278766,,              1385963,,                541020,                 49368,,                 74646,                  1281,                              0,,                              0,                 75927,              3887333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      6770537,                580217,,                  9186,                163031,              7748769,,,,                322406,,                              0,,                 27745,,                254369,,                262388,                140775,,                 23087,              1030770,,,                     34,,                148551,                148551,                148585,              1179355,,,,              2369044,              2369044,,                427429,,              1727592,                242136,,              1729133,              3698861,,                 82505,                167552,              6410287,                159127,              6569414,              0,,                 25000,                    294,,
1723,2013年06月30日,,,,,,              2028691,,                131139,,                 21474,,                771791,,                105344,,                104530,,,,                387973,,,,                776379,,                 26421,                802800,              4916917,,,                210318,,                103185,,,,              1194682,,              1405454,,                541020,                 50609,,                 80196,                  1281,                              0,,                              0,                 81477,              3749434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      6770537,                528601,,                  9320,                162689,              8666351,,,,                 61848,,                              0,,                148186,,                310160,,              1963609,                198722,,                 29788,              2712313,,,                    416,,                150311,                150311,                150727,              2863040,,,,              2369044,              2369044,,                375966,,              1727592,                242136,,              1107632,              3077360,,                 -3712,                167552,              5651106,                152205,              5803311,              0,,                 25000,                    254,,                              0
