證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－處分資產增益,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　　 資本公積－普通股股票溢價,　　　 庫藏股票,　　　　 持有至到期日金融資產－流動,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付款－關係人,　　　　　 長期應付票據及款項－關係人合計
1726,2015年09月30日,,,,              2803191,,                 64198,,                113400,,                              0,,                443782,,              1317800,,                 91195,                129047,,                 36195,,                    222,,,              1907476,              1907476,,                 50892,,                 51593,                  2505,                 54098,              7011496,,,                106037,,                 74033,,              1487414,,                217758,,                  9620,                 81391,,                 35464,                 14264,,                 19966,                 95191,                164885,              2141138,              9152634,,,,,                              0,,                 39857,,                475202,,                  4405,                  7795,,                375626,                  9772,                 69483,,                  7535,                989675,,,                141561,,,                  1162,                  1162,                253987,                  8411,                  6487,                270047,                411608,              1401283,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1320478,                196083,,              4439264,              5955825,,,                113661,,                -47140,                 66521,                              0,              7751351,                              0,              7751351,              9152634,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2015年06月30日,,,,              3053804,,                 74103,,                133967,,,,                383097,,              1526216,,                118318,                190339,,                 39091,,                    216,,,              1897487,              1897487,,                 54609,,                 50396,                  1125,                 51521,              7522768,,,                 93227,,                 69538,,              1416751,,                218196,,                  9967,                 81410,,                 56983,                 14516,,                 17580,                 96043,                195922,              2085011,              9607779,,,,,                  3933,,                 75365,,                527095,,                  1878,                  3272,,              1008517,                 10122,                121540,,                  6448,              1758170,,,                139814,,,                  1258,                  1258,                254373,                  7482,                  6487,                269600,                409414,              2167584,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1320478,                196083,,              4172721,              5689282,,,                 44365,,                -22457,                 21908,                              0,              7440195,                              0,              7440195,              9607779,              0,              0,              0,,                 10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2015年03月31日,,,,              2916339,,                 78322,,                116504,,,,                431882,,              1502980,,                135835,                228771,,                 39199,,                    221,,,              1850991,              1850991,,                 56265,,                 50877,                     18,                 50895,              7408204,,,                 93667,,                 73992,,              1422084,,                218633,,                 10406,                 86129,,                 61938,                 14348,,                 23056,                 98504,                197846,              2102757,              9510961,,,,,                  7730,,                157254,,                542000,,                  1944,                  3590,,                330797,                  9869,                160211,,                  9754,              1223149,,,                140286,,,                  3477,                  3477,                254806,                  7445,,                265728,                406014,              1629163,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1216974,                196083,,              4657218,              6070275,,,                 84135,,                 -1617,                 82518,                              0,              7881798,                              0,              7881798,              9510961,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2014年12月31日,,,,              2723627,,                 74470,,                108358,,                              0,,                453208,,              1493623,,                118094,                211820,,                 41957,,                    227,,,              1953364,              1953364,,                 53322,,                 51643,                     87,                 51730,              7283800,,,                 94017,,                 74245,,              1347699,,                219070,,                 10926,                 79516,,                 61458,                 14265,,                 28947,                102034,                206704,              2032177,              9315977,,,,,                  1921,,                 97119,,                540097,,                  2076,                  4419,,                407915,                  9869,                121136,,                  8907,              1193459,,,                140688,,,                  3680,                  3680,                255269,                  5233,                              0,                264182,                404870,              1598329,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1216974,                196083,,              4440375,              5853432,,,                134194,,                  1017,                135211,                              0,              7717648,                              0,              7717648,              9315977,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2014年09月30日,,,,              2218806,,                 80156,,                113854,,                199389,,                373002,,              1383189,,                119443,                295220,,                 45750,,                    498,,,              1943894,              1943894,,                 43601,,                 49362,                    459,                 49821,              6866623,,,                 92787,,                 74446,,              1270860,,                219508,,                 11444,                 63952,,                 74118,                 13867,,                 27670,                100201,                215856,              1948853,              8815476,,,,,                 15439,,                 65178,,                549364,,                    976,                  1376,,                284837,                 14229,                 92450,,                  8796,              1032645,,,                142373,,,                  3691,                  3691,                216557,                  5258,                              0,                225506,                367879,              1400524,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1216974,                196083,,              4223720,              5636777,,,                 42657,,                  6513,                 49170,                              0,              7414952,                              0,              7414952,              8815476,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2014年06月30日,,,,              2927005,,                 88777,,                122884,,,,                367818,,              1420380,,                116256,                268608,,                 46185,,                    491,,,              1836183,              1836183,,                 46775,,                 48457,                  1092,                 49549,              7290911,,,                120452,,                 72586,,              1237903,,                219945,,                 10789,                 62073,,                 75096,                 14696,,                 23272,                 99361,                212425,              1936173,              9227084,,,,,                 14050,,                 83413,,                506466,,                  1285,                  1108,,                949370,                 15787,                131113,,                 10009,              1712601,,,                150099,,,                  3772,                  3772,                217046,                  4713,                              0,                225531,                375630,              2088231,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1216974,                196083,,              3981785,              5394842,,,                   -537,,                 15543,                 15006,                              0,              7138853,                              0,              7138853,              9227084,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2014年03月31日,,,,              2731729,,                 84375,,                137599,,,,                470389,,              1245107,,                120120,                304256,,                 41566,,                    502,,,              1852547,              1852547,,                 49989,,                 49446,                  1485,                 50931,              7089110,,,                121057,,                 81533,,              1246657,,                220383,,                 10843,                 59679,,                 40401,                 16887,,                 22445,                 77029,                156762,              1896914,              8986024,,,,,                 18718,,                 53147,,                477441,,                    417,                    906,,                254035,                 15696,                183764,,                 14180,              1018304,,,                150099,,,                  6239,                  6239,                217625,                  4510,,                228374,                378473,              1396777,,,,              1620000,              1620000,,,                106385,                106385,                  2612,                      8,                109005,,              1114460,                196083,,              4477590,              5788133,,,                 45323,,                 26786,                 72109,                              0,              7589247,                              0,              7589247,              8986024,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,2013年12月31日,,,,,,                 82357,,                176000,,                250884,,                380591,,              1422627,,                128299,                299150,,                 34717,,                    492,,,              1904286,              1904286,,                 52397,,                533908,                     57,                533965,              6948721,,,                120392,,                 82982,,              1257705,,                220820,,                 11052,                 62973,,                 34763,                 14518,,                 22187,                 76356,                147824,              1903748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1682956,              8852469,,,,                 14538,,                 76609,,                  4166,,                557400,,                    875,                  3926,,                361837,                 15696,                125905,,                 13346,              1174298,,,                150434,,,                  4048,                  4048,                218283,                  5367,                227698,                378132,              1552430,,,,              1620000,              1620000,,,                106385,                  2612,                      8,                109005,,              1114460,                196083,,              4220879,              5531422,,,                  9138,,                 39295,                 48433,              7308860,                              0,                 -8821,              7300039,                106385,                              0,,,,
1726,2013年09月30日,,,,,,                 80340,,                177750,,                201184,,                428584,,              1331398,,                 91736,                308321,,                 42414,,                    489,,,              1884742,              1884742,,                 49842,,                509676,                  9073,                518749,              6556719,,,                120157,,                 81081,,              1261526,,                221257,,                 10642,                 60289,,                 35379,                 16025,,                 22044,                 75914,                149362,              1904314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1441170,              8461033,,,,                 15484,,                 57001,,                  4133,,                504146,,                    607,                    417,,                345672,                 15639,                 79845,,                 14750,              1037694,,,                174750,,,                  6841,                  6841,                229612,                  4317,                240770,                415520,              1453214,,,,              1620000,              1620000,,,                106385,                  2612,                      8,                109005,,              1114460,                196083,,              3951093,              5261636,,,                -16855,,                 41045,                 24190,              7014831,,                 -7012,              7007819,                106385,                              0,,,,
1726,2013年06月30日,,,,,,                109918,,                200000,,                350000,,                448149,,              1297285,,                103334,                286157,,                 37822,,                    530,,,              1772794,              1772794,,                 39252,,                538623,                  6130,                544753,              7015812,,,                123299,,                 83208,,              1273226,,                221695,,                 10913,                 64908,,                  7310,                 12192,,                 21285,                 77268,                118055,              1895304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1825818,              8911116,,,,                 15890,,                131456,,                  4193,,                503394,,                    741,                    417,,                857015,                 15626,                122225,,                 27070,              1678027,,,                195063,,,                  5843,                  5843,                231450,                  4210,                241503,                436566,              2114593,,,,              1620000,              1620000,,,                106385,                  2612,                      8,                109005,,              1114460,                196083,,              3694648,              5005191,,,                  3736,,                 63295,                 67031,              6801227,,                 -4704,              6796523,                106385,                              0,,,,
