證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計
1783,2015年06月30日,,,,                 92532,,                 80192,,                 21363,,                 58350,,                  5854,,                  1118,,                 95279,,                243404,                 20476,                263880,                618568,,,                361190,,                  9060,,                  2711,                  2754,,                  2540,                  3044,                  5584,                381299,                999867,,,,,                      2,,                 30437,,                 22894,,,                  6062,                 12628,                 18690,                 72023,,,                 68000,,                  2105,                  2105,                 70105,                142128,,,,                708370,                    100,                708470,,,                175898,                  1660,                177558,,,                -28537,                -28537,,,                    248,                    248,                857739,                857739,                999867,              0,         10000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,2015年03月31日,,,,                 48471,,                 88609,,                 18296,,                 43782,,                     19,,                  1130,,                 86770,,                322064,                 26131,                348195,                635272,,,                338148,,                  9068,,                  2689,                  2968,,                  2477,                  3029,                  5506,                358379,                993651,,,,,                    118,,                 18563,,                 19795,,,                  6030,                  8510,                 14540,                 53016,,,                 69528,,                  2105,                  2105,                 71633,                124649,,,,                704640,                  1520,                706160,,,                191018,                  3854,                194872,,,                -32293,                -32293,,,                    263,                    263,                869002,                869002,                993651,              0,        152000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,2014年12月31日,,,,                 45393,,                 37982,,                 22485,,                 44856,,                  2190,,                  1817,,                 86083,,                397429,                 19851,                417280,                658086,,,                334678,,                  9076,,                  2877,                  3186,,                  2746,                  3014,                  5760,                355577,              1013663,,,,,                    719,,                 20949,,                 27783,,,                  5983,                  9622,                 15605,                 65056,,,                 71063,,                    535,                    535,                 71598,                136654,,,,                703490,                    500,                703990,,,                186808,                  5205,                192013,,,                -19428,                -19428,,,                    434,                    434,                877009,                877009,              1013663,              0,         50000,              0,                 45393,                  3014,              1013663,,,,                    719,,                 20949,,                 27783,,,                  5983,                  9622,                 15605,                 65056,,,                 71063,,                    535,                    535,                 71598,                136654,,,,                703490,                    500,                703990,,,                186808,                  5205,                192013,,,                -19428,                -19428,,,                    434,                    434,                              0,                877009,                              0,                877009,,
1783,2014年09月30日,,,,,,                 38406,,                 21866,,                 49730,,                  4207,,                     50,,                 86457,,                411519,                 24712,                436231,                694666,,,                316469,,                  9083,,                  1972,                  3286,,                  2476,,                  5860,                336670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        265000,              0,                 57719,                  3384,              1031336,,,,                    718,,                 29365,,                 22798,,,                  5952,                  4880,                 10832,                 63713,,,                 72575,,                    535,                    535,                 73110,                136823,,,,                700840,                  2650,                703490,,,                186127,                  5135,                191262,,,                   -567,                   -567,,,                    328,                    328,                              0,                894513,                              0,                894513,,                              0
1783,2014年06月30日,,,,                 58321,,                 39090,,                 17721,,                 48973,,                  4142,,                     45,,                 80475,,                460511,                 22020,                482531,                731298,,,                272920,,                  9091,,                    630,                  3251,,                  2068,                  3367,                  5435,                291327,              1022625,,,,,                    718,,                 23151,,                 19612,,,                  5921,                  6203,                 12124,                 55605,,,                 74079,,                     85,                     85,                 74164,                129769,,,,                700840,                  1350,                702190,,,                184356,                  5458,                189814,,,                    606,                    606,,,                    246,                    246,                892856,                892856,              1022625,              0,        135000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,2014年03月31日,,,,                 60666,,                 38344,,                  8108,,                 55269,,                 11430,,                     44,,                 86039,,                485513,                 19482,                504995,                764895,,,                242157,,                  9099,,                    740,                  2988,,                  2083,                  3350,                  5433,                260417,              1025312,,,,,                     15,,                 30054,,                 16303,,,                  4426,                  7236,                 11662,                 58034,,,                 75574,,                     85,                     85,                 75659,                133693,,,,                700840,                              0,                700840,,,                321712,                  5471,                327183,,,               -136731,               -136731,,,                    327,                    327,                891619,                891619,              1025312,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,2013年12月31日,,,,,,                 37889,,                 12342,,                 58855,,                  6439,,                    280,,                 73823,,                276609,                 13059,                289668,                788212,,,                207724,,                  9107,,                    849,                  3330,,                  1878,,                  5211,                226221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                308916,                  3333,              1014433,,,,                              0,,                 24363,,                 18449,,,                  2954,                  3143,                  6097,                 48909,,,                 77046,,                     85,                     85,                 77131,                126040,,,,                700840,                              0,                700840,,,                321712,                  4742,                326454,,,               -139195,               -139195,,,                    294,                    294,                              0,                888393,                              0,                888393,,                              0
1783,2013年09月30日,,,,,,                 32816,,                 14941,,                 46679,,                              0,,                    737,,                 65822,,                310889,                 10268,                321157,                559606,,,                157656,,                  9114,,                    959,                  3587,,                  1966,,                  5380,                176696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 77454,                  3414,                736302,,,,                    122,,                 18227,,                 17102,,,                  1473,                  2750,                  4223,                 41721,,,                 78527,,                     85,                     85,                 78612,                120333,,,,                622940,                              0,                622940,,,                129961,                  4016,                133977,,,               -140928,               -140928,,,                    -20,                    -20,                              0,                615969,                              0,                615969,,                  2047
1783,2013年06月30日,,,,,,                 32988,,                  8290,,                 53587,,                  9950,,                    729,,                 61437,,                310979,                 10779,                321758,                556531,,,                155765,,                  9122,,                    696,                  3695,,                  2128,,                  5525,                174803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        188000,              0,                 67792,                  3397,                731334,,,,                    121,,                 18191,,                 16914,,,                              0,                  1406,                  1406,                 36632,,,                 80000,,                     85,                     85,                 80085,                116717,,,,                621060,                  1880,                622940,,,                129961,                  3237,                133198,,,               -141529,               -141529,,,                      8,                      8,,                614617,,                614617,,
1783,2013年03月31日,,,,,,                 34551,,                  9363,,                 47185,,                 13281,,                  1989,,                 65276,,                115444,                 11266,                126710,                555018,,,                156209,,                  9130,,                    788,                  3796,,                  2020,,                  5401,                175324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         52000,              0,                256663,                  3381,                730342,,,,                    273,,                 23852,,                 13840,,,                              0,                  2073,                  2073,                 40038,,,                 80000,,                    635,                    635,                 80635,                120673,,,,                620540,                    520,                621060,,,                129188,                  3123,                132311,,,               -143650,               -143650,,,                    -52,                    -52,,                609669,,                609669,,
