證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 待分配股票股利,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 暫收款,　　　　 代收款,　　　　 應付租賃款－流動
1786,2015年09月30日,,,,                246525,,                218055,,                 17178,,                  4000,,                 53419,,                  3360,,                 52484,,                 34199,,                  2649,                631869,,,                 15000,,                359690,,                  1465,                 35118,,                 42507,                  1181,,                  5434,                 49122,                460395,              1092264,,,,,                  2500,,                  7142,,                 83827,,,                  3538,                    623,                  4161,                 97630,,,                 25463,,                    482,,                 25199,                  2042,                 27241,                 53186,                150816,,,,                535000,                535000,,                482118,,                 49857,,                    279,                125806,                941448,                941448,              1092264,              0,              0,      1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,2015年06月30日,,,,                245433,,                303144,,                 17178,,                  7150,,                 35349,,                  3150,,                 58172,,                 19683,,                  2617,                691876,,,,,                309095,,                  1364,                 35118,,                 29145,                  1181,,                  5434,                 35760,                381337,              1073213,,,,,                  3078,,                  8118,,                 31297,,,                    135,                    528,                    663,                 43156,,,,,                    482,,                 24648,                  2042,                 26690,                 27172,                 70328,,,,                535000,                535000,,                482118,,                 24709,,                     87,                 39029,              1002885,              1002885,              1073213,              0,              0,        400000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,2015年03月31日,,,,                291163,,                313446,,                 17178,,                  4100,,                 24173,,                  3360,,                 59317,,                 17308,,                  1742,                731787,,,,,                278934,,                    988,                 35118,,                 28403,                  1752,,                  5434,                 35589,                350629,              1082416,,,,,                  1794,,                  6593,,                 49250,,,                     11,                    413,                    424,                 58061,,,,,                    482,,                 24101,                  2042,                 26143,                 26625,                 84686,,,,                535000,                535000,,                508139,,                 -6573,,                    193,                 39029,                997730,                997730,              1082416,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,2014年12月31日,,,,                366492,,                312937,,                 26673,,                  6399,,                 14612,,                  3570,,                 64892,,                 13168,,                  1868,                810611,,,                              0,,                237453,,                  1058,                 35118,,                    495,                  1752,,                  5417,                  7664,                281293,              1091904,,,,,                  1081,,                  1564,,                 39615,,,                     74,                    400,                    474,                 42734,,,                              0,,                    482,,                 23553,                  2042,                 25595,                 26077,                 68811,,,,                535000,                535000,,                508139,,                -20332,,                    286,                              0,              1023093,              1023093,              1091904,              0,              0,              0,                              0,                366492,                 26673,              1091904,,,,                  1081,,                  1564,,                 39615,,                    474,                 42734,,,                    482,,                 23553,                  2042,                 25595,                 26077,                 68811,,,,                535000,                535000,,                508139,,                -20332,,                    286,              1023093,              1023093,,,,,,,,,,,,
1786,2014年09月30日,,,,                268200,,                517326,,                 26248,,                  4420,,                 19862,,                  3570,,                 64310,,                 12624,,                    409,                916969,,,                              0,,                134721,,                    608,                 34723,,                              0,                  1752,,                  5417,                  7169,                177221,              1094190,,,,,                  1464,,                  1802,,                 19582,,,                    331,                    528,                    859,                 23707,,,                              0,,                     87,,                 19235,                  2000,                 21235,                 21322,                 45029,,,,                535000,                535000,,                508139,,                  6022,,                              0,                              0,              1049161,              1049161,              1094190,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,2014年06月30日,,,,                304595,,                517120,,                 17122,,                  6069,,                 24614,,                  3360,,                 71818,,                 10918,,                    504,                956120,,,,,                134017,,                    653,                 34723,,                  1287,                  1425,,                  5417,                  8129,                177522,              1133642,,,,,                  3993,,                  5152,,                 17657,,,                     30,                    407,                    437,                 27239,,,,,                     87,,                 18792,                  2000,                 20792,                 20879,                 48118,,,,                500000,                535000,,                543139,,                  7385,,                              0,                              0,              1085524,              1085524,              1133642,              0,              0,              0,                 35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,2014年03月31日,,,,                284629,,                541141,,                 30704,,                     64,,                 25239,,                  3570,,                 73784,,                  9968,,                    567,                969666,,,,,                122024,,                    715,                 34723,,                    159,                  2205,,                  5416,                  7780,                165242,              1134908,,,,,                  2905,,                  6264,,                 16349,,,                  3553,                    462,                  4015,                 29533,,,,,                     87,,                 18348,                  2000,                 20348,                 20435,                 49968,,,,                500000,                500000,,                552212,,                 32728,,                              0,                              0,              1084940,              1084940,              1134908,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,2013年12月31日,,,,,,                150625,,,,                    570,,                 14874,,                  3150,,                 72517,,                  6880,,                    799,                963397,,,,,                120844,,                    777,                 34723,,                  1715,                  2205,,                  5400,                  9320,                165664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                666575,                 47407,              1129061,,,,                  4557,,                  1622,,                 17476,,                  1593,                 25248,,,                     87,,                 17898,                  2000,                 19898,                 19985,                 45233,,,,                500000,                500000,,                552212,,                 31616,,                              0,              1083828,              1083828,,                  1104,                    489,,                551800,                    412,                              0,,,,,
1786,2013年09月30日,,,,,,                149432,,,,                     20,,                  3949,,                 14280,,                 75198,,                  7546,,                    603,                357398,,,,,                117959,,                    409,                 34636,,                  1715,                  2205,,                              0,                  3920,                156924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 55806,                 50564,                514322,,,,                  1951,,                  7215,,                 14844,,                    442,                 24452,,,                              0,,                 14813,                 22000,                 36813,                 36813,                 61265,,,,                424000,                424000,,                    412,,                 28645,,,                453057,                453057,,                     16,                    426,,                              0,                    412,,,,,,
1786,2013年06月30日,,,,,,                148909,,,,                    635,,                  1136,,                 11025,,                 58691,,                 12565,,                  1112,                357248,,,,,                113461,,                    464,                 27355,,                    120,                  1635,,                              0,                  1755,                143035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 81267,                 41908,                500283,,,,                  5383,,                  8071,,                 12969,,                  2763,                 29186,,,                              0,,                 14474,                 22000,                 36474,                 36474,                 65660,,,,                400000,                424000,,                    412,,                 10211,,,                434623,                434623,,                  2249,                    514,,                              0,                    412,                 24000,,,,,
