證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 庫藏股票
1902,2015年09月30日,,,,                944030,,                452711,,                684931,,                 68238,,                599355,,                117477,,,                971755,,                640186,              1611941,,                 10270,                 83198,                 93468,,                 16071,              4588222,,,                 79319,,                              0,,                189256,,              4318384,,                171685,,                  3699,                370196,,                247070,,                209393,                456463,              5589002,             10177224,,,,,                455776,,                109880,,                  7463,,                231571,,                264651,                 13690,,,                198365,                163292,                361657,              1444688,,,                741574,,              1115355,,                438345,                  6422,                444767,              2301696,              3746384,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                175308,                159518,,                560162,                894988,,                 72135,              6076519,                354321,              6430840,             10177224,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2015年06月30日,,,,                802203,,                151240,,                633705,,                 61435,,                688024,,                 41073,,,              1120574,,                639872,              1760446,,                  9873,                 76472,                 86345,,                 25819,              4250290,,,                 79319,,                    109,,                303123,,              4355249,,                171265,,                  3965,                411631,,                240640,,                205787,                446427,              5771088,             10021378,,,,,                651507,,                129916,,                  6051,,                266144,,                272263,                 11775,,,                196488,                124031,                320519,              1658175,,,                560127,,              1095842,,                440839,                  6286,                447125,              2103094,              3761269,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                175308,                159518,,                488185,                823011,,                -12985,              5919422,                340687,              6260109,             10021378,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2015年03月31日,,,,                649206,,                393625,,                647461,,                 34513,,                643039,,                 27823,,,              1194667,,                639527,              1834194,,                 10116,                 76299,                 86415,,                 13552,              4329828,,,                 79319,,                    112,,                292864,,              4458078,,                179959,,                  4652,                242660,,                249375,,                 21213,                270588,              5528232,              9858060,,,,,                667967,,                299907,,                  2329,,                228950,,                233644,                 11631,,,                227923,                131730,                359653,              1804081,,,                404458,,                944455,,                451783,                  6850,                458633,              1807546,              3611627,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                173311,                159518,,                416601,                749430,,                 40149,              5898975,                347458,              6246433,              9858060,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2014年12月31日,,,,                798801,,                218968,,                721784,,                 59898,,                732950,,                127962,,,              1085631,,                639182,              1724813,,                 10251,                 65645,                 75896,,                 17117,              4478189,,,                 79319,,                    113,,                280201,,              4558465,,                185501,,                  5324,                290775,,                255306,,                 26282,                281588,              5681286,             10159475,,,,,                651766,,                299600,,                  1504,,                303047,,                230021,                 16525,,,                228159,                124380,                352539,              1855002,,,                581793,,                992785,,                458665,                  6234,                464899,              2039477,              3894479,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                173311,                159518,,                376301,                709130,,                 66514,              5885040,                379956,              6264996,             10159475,              0,              0,              0,                798801,                721784,                    113,             10159475,,,,                651766,,                299600,,                  1504,,                303047,,                230021,                 16525,,,                228159,                124380,                352539,              1855002,,,                581793,,                992785,,                458665,                  6234,                464899,              2039477,              3894479,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                173311,                159518,,                376301,                709130,,                 66514,              5885040,                379956,              6264996,,,
1902,2014年09月30日,,,,                635843,,                              0,,                686050,,                 65923,,                697526,,                 29354,,,              1331971,,                466261,              1798232,,                  9930,                 58601,                 68531,,                 27218,              4008677,,,                 80202,,                    110,,                335845,,              4906343,,                183645,,                  5801,                316160,,                250017,,                 18566,                268583,              6096689,             10105366,,,,,                413985,,                229964,,                 11179,,                290650,,                287891,                 14156,,,                225911,                135554,                361465,              1609290,,,                834656,,                964531,,                483050,                  5980,                489030,              2288217,              3897507,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                173311,                159518,,                394246,                727075,,                  6087,              5842558,                365301,              6207859,             10105366,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2014年06月30日,,,,                915387,,                 61159,,                722742,,                 53486,,                676231,,                 45129,,,              1418453,,                636628,              2055081,,                  9906,                 89854,                 99760,,                 38080,              4667055,,,                 80202,,                    108,,                308155,,              4856359,,                182802,,                  5339,                354767,,                250954,,                 49216,                300170,              6087902,             10754957,,,,,              1142270,,                 89935,,                 27284,,                305650,,                236600,                 12210,,,                224918,                179534,                404452,              2218401,,,                889041,,                976466,,                578846,                  6733,                585579,              2451086,              4669487,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                173311,                159518,,                323476,                656305,,                -33464,              5732237,                353233,              6085470,             10754957,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2014年03月31日,,,,              1020266,,                 60405,,                727312,,                 52482,,                651344,,                 47256,,,              1213536,,                624791,              1838327,,                 10171,                 95851,                106022,,                  4686,              4508100,,,                 80147,,                    111,,                294011,,              4917522,,                191310,,                  5706,                368674,,                260364,,                 58338,                318702,              6176183,             10684283,,,,,                940507,,                209781,,                 24461,,                239702,,                253456,                  9870,,,                226034,                175602,                401636,              2079413,,,                847904,,              1017083,,                582299,                  6661,                588960,              2453947,              4533360,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                171575,                159518,,                335279,                666372,,                 16129,              5791897,                359026,              6150923,             10684283,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2013年12月31日,,,,,,                 60677,,,,                 52545,,                618571,,                 37360,,,              1282226,,                605813,              1888039,,                  9952,                 85465,                 95417,,                  2528,              4507191,,,                 80147,,,,                269681,,              4897305,,                191171,,                  6052,                353602,,                257250,,                 49162,                306412,              6104478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1059801,                692253,                    108,             10611669,,,,                854152,,                119892,,                 20998,,                304873,,                273084,                 12720,,,                223368,                160993,                384361,              1970080,,,                941057,,                997670,,                578051,                  6492,                584543,              2523270,              4493350,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                171575,                159518,,                354614,                685707,,                -23770,              5771333,                346986,              6118319,,                -23770,
1902,2013年09月30日,,,,,,                 62074,,,,                 63010,,                646080,,                 27011,,,              1391618,,                597298,              1988916,,                 10098,                 94690,                104788,,                  5968,              4481464,,,                 80147,,,,                247151,,              4952511,,                192946,,                  6119,                255019,,                256064,,                 25389,                281453,              6015453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                889554,                694063,                    107,             10496917,,,,                693045,,                189872,,                 27022,,                307729,,                239847,                 12071,,,                221150,                153041,                374191,              1843777,,,                984731,,                971640,,                602293,                  6743,                609036,              2565407,              4409184,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                171575,                159518,,                335562,                666655,,                -46058,              5729993,                357740,              6087733,,                -46058,
1902,2013年06月30日,,,,,,                 61162,,,,                 93756,,                702413,,                 62533,,,              1448823,,                569928,              2018751,,                 10326,                115357,                125683,,                 16640,              4563270,,,                 80147,,,,                230404,,              5016457,,                199363,,                  6354,                376922,,                269774,,                 35040,                304814,              6214461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                848831,                633501,                              0,             10777731,,,,                830891,,                 49942,,                 30357,,                443084,,                239197,                 11647,,,                220767,                141614,                362381,              1967499,,,                963956,,              1092531,,                597689,                  7699,                605388,              2661875,              4629374,,,,              4020005,              4020005,,,                958762,                130629,              1089391,,                171575,                159518,,                367792,                698885,,                -19838,              5788443,                359914,              6148357,,                -19838,
