證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－非流動,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 避險之衍生金融負債－非流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他金融資產－流動,　　　　 法定盈餘公積
1905,2015年09月30日,,,,                564520,,                 17542,,                710996,,                 10000,,              2599450,,                973663,,              1227107,,              4194766,,              2993855,,                412506,,                141337,                141337,             13845742,,,                375490,,                261952,,                948752,,             12640785,,                258496,                227452,,              1107085,                262368,,                167327,              1536780,             16249707,             30095449,,,,,              1974220,,              1588531,,                  8712,,              1466216,,                577017,,              1832268,              1832268,,                 68698,,,                166565,                166565,                132854,                299419,              7815081,,                              0,,                940000,,              1996777,,                339451,                  8908,                348359,              3285136,             11100217,,,,             11028353,             11028353,,                 27316,,                  2750,              1186894,,              3100673,              4290317,,              1015468,                              0,             16361454,              2633778,             18995232,             30095449,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2015年06月30日,,,,                902099,,              1209665,,                869209,,                269122,,              2570611,,                904819,,                927150,,              4273219,,              2927326,,                382135,,                 79923,                 79923,             15315278,,,                350191,,                261952,,                923022,,             12596146,,                258593,                220744,,                732507,                257823,,                131539,              1121869,             15732517,             31047795,,,,,              2590540,,              1788550,,                  3549,,              1317771,,                525794,,                580652,                702935,,                 59154,,,                140547,                140547,                143012,                283559,              7271852,,,,              1640000,,              1990035,,                339451,                  9008,                348459,              3978494,             11250346,,,,             12228353,             12228353,,                 27274,,                  2750,              1186894,,              2831495,              4021139,,                950965,                              0,             17227731,              2569718,             19797449,             31047795,              0,              0,                              0,                122283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2015年03月31日,,,,                483503,,              1204449,,                831002,,                 12696,,              2543510,,                864833,,              1373366,,              4171340,,              2969843,,                359032,,                 99130,                 99130,             14912704,,,                451387,,                275902,,                970901,,             12555642,,                258691,                221156,,                558479,                257554,,                152676,                968709,             15702388,             30615092,,,,,              2255599,,              1199438,,                     19,,              1426981,,                531894,,                491830,                491830,,                 51815,,,                170813,                170813,                102664,                273477,              6231053,,                              0,,              2140000,,              1990461,,                339451,                  7189,                346640,              4477101,             10708154,,,,             12228353,             12228353,,                 21031,,,              1186894,,              2796541,              3983435,,              1105905,,             17338724,              2568214,             19906938,             30615092,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2014年12月31日,,,,                376748,,                    235,,                832503,,                221661,,              2536328,,                893436,,              1492563,,              4033159,,              2990129,,                309234,,                 99310,                 99310,             13785306,,,                514634,,                275902,,              1023053,,             12868983,,                              0,                224379,,                243720,                263185,,                284860,                791765,             15698716,             29484022,,,,,              2170861,,              1199724,,                  4881,,              1355486,,                566097,,                590357,                590357,,                 78801,,,                124579,                124579,                166406,                290985,              6257192,,                              0,,                920000,,              1993705,,                339451,                 21393,                360844,              3274549,              9531741,,,,             12228353,             12228353,,                 21030,,                              0,              1186894,,              2637589,              3824483,,              1273415,                              0,             17347281,              2605000,             19952281,             29484022,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2014年09月30日,,,,                361917,,                    148,,                792853,,                325411,,              2443746,,                751654,,              1438012,,              3758510,,              3116039,,                298929,,                152979,                152979,             13440198,,,                588534,,                286902,,                997068,,             12839375,,                              0,                204294,,                              0,                245848,,                324918,                570766,             15486939,             28927137,,,,,              2454843,,                919640,,                  7514,,              1241331,,                624885,,                648344,                648344,,                 94616,,,                 75885,                 75885,                158082,                233967,              6225140,,                    403,,                920000,,              1992293,,                238597,                 19418,                258015,              3170711,              9395851,,,,             12228353,             12228353,,                 20864,,                              0,              1186894,,              2510943,              3697837,,              1099345,                              0,             17046399,              2484887,             19531286,             28927137,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2014年06月30日,,,,                771690,,                 92061,,                756065,,                500240,,              2599144,,                814602,,              1230761,,              4026215,,              2768675,,                384759,,                 20043,                 20043,             13964255,,,                685735,,                286902,,              1021480,,             12904261,,                              0,                202683,,                 57558,                243006,,                231271,                531835,             15632996,             29597251,,,,,              2801859,,                489782,,                     84,,              1451441,,                649895,,                552956,                552956,,                 89879,,,                 64580,                 64580,                 90809,                155389,              6191285,,,,              1620000,,              1990657,,                238597,                 19071,                257668,              3868325,             10059610,,,,             12578353,             12578353,,                      8,,                              0,              1186894,,              2555800,              3742694,,              1096710,                329183,             17088582,              2449059,             19537641,             29597251,              0,     35000000,                    100,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2014年03月31日,,,,                404810,,                    383,,                823520,,                355231,,              2463602,,                907574,,              1336523,,              3859518,,              2937131,,                421538,,                102090,                102090,             13611920,,,                729676,,                 36902,,              1023118,,             13023687,,                              0,                203705,,                 37322,                249646,,                232574,                519542,             15536630,             29148550,,,,,              2854751,,                799721,,                  2619,,              1250460,,                597419,,                535861,                535861,,                 82977,,,                 51702,                 51702,                 92346,                144048,              6267856,,                    370,,                360000,,              1991706,,                246642,                 16008,                262650,              2614726,              8882582,,,,             12578353,             12578353,,                      8,,,              1186894,,              2662299,              3849193,,              1325567,,             17753121,              2512847,             20265968,             29148550,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,2013年12月31日,,,,,,                    293,,                834763,,,,              2275348,,                782106,,              1309157,,              3713098,,              2842999,,                378855,,                185155,                185155,             13173506,,,                              0,,                142863,,                883680,,             13156248,,,                203559,,,                248075,,                238538,                486613,             14872963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                373251,                478481,             28046469,,,,              2678143,,                589760,,                  2686,,              1225163,,                611573,,                659015,                659015,,                109993,,,                 27132,                 27132,                102658,                129790,              6006123,,,                360000,,              1995720,,                246642,                 17049,                263691,              2619411,              8625534,,,,             12578353,             12578353,,                      8,,              1186894,,              2703321,              3890215,,                474648,                              0,             16943224,              2477711,             19420935,              0,                              0,,,,
1905,2013年09月30日,,,,,,                  4969,,                764497,,,,              2200666,,                467501,,              1287299,,              3421725,,              3148359,,                434517,,                262002,                262002,             13664366,,,                              0,,                157863,,                857360,,             13201079,,,                191761,,,                245713,,                274975,                520688,             14928751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1232283,                440548,             28593117,,,,              3351119,,                769762,,                    639,,              1256161,,                635946,,                718887,                718887,,                 91380,,,                 29117,                 29117,                 61427,                 90544,              6914438,,,                              0,,              1992764,,                185979,                 27049,                213028,              2205792,              9120230,,,,             12578353,             12578353,,                              0,,              1186894,,              2952378,              4139272,,                314258,                              0,             17031883,              2441004,             19472887,              0,                              0,,,,
1905,2013年06月30日,,,,,,                    844,,                752072,,,,              2286241,,                407413,,                740628,,              3431767,,              3171701,,                413906,,                145001,                145001,             13942106,,,                              0,,                157863,,                522272,,             13331703,,,                194278,,,                249703,,                285087,                534790,             14740906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                              0,,              1327835,              1264698,             28683012,,,,              3186307,,                469963,,                  9844,,              1189951,,                634975,,                580612,                580612,,                 88536,,,                 51353,                 51353,                 83984,                232445,              6392633,,,                247625,,              1995281,,                208966,                 33941,                242907,              2485813,              8878446,,,,             12578353,             12578353,,                              0,,              1186894,,              3224250,              4411144,,                349369,                              0,             17338866,              2465700,             19804566,              0,,,                 97108,,
