證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 存貨（建設業適用）,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額
2002,2015年09月30日,,,,             16774843,,              3430215,,              4887001,                141345,,              1369650,,                296594,,              9232088,,                513530,              9657501,,              1620352,,                203588,,,             75014372,             75014372,,             12414682,              4922691,             17337373,            140478452,,,                              0,,             48572229,,                262641,                 52695,,              2033030,,             14502463,,            451880390,,             10134115,,              2479527,              4880385,,                487002,,              2512156,,              5873012,              5873012,              8872170,            543669645,            684148097,,,,,             35828812,,             45240313,,                  3431,                 16786,,                716750,,                              0,,              9426059,,                405494,              3496930,,             19947918,              2111544,,              3123094,,,              8149761,             21254624,             29404385,              2529094,             31933479,            152250610,,                 48757,,             99535308,,             73819188,             16881198,             90700386,,                826097,,             12381252,,              5495960,              1237042,              6733002,            210224802,            362475412,,,,            157348610,                382680,            157731290,,             37596926,,             59173907,             27133150,,             15147851,            101454908,,              6885257,              8577733,            295090648,             26582037,            321672685,            684148097,              0,    318040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2015年03月31日,,,,             15507186,,              5360203,,              6339750,                 51829,,              1303317,,                348064,,              9265429,,                817154,              8213986,,              1413869,,                155771,,,             84007314,             84007314,,             12531770,              5935429,             18467199,            151251071,,,                              0,,             30938718,,                250788,                 59665,,              2809644,,             13513710,,            455895764,,              8408320,,              2450820,              6267690,,                440051,,              2387177,,              7802026,              7802026,             10629254,            531224373,            682475444,,,,,             35886151,,             25080391,,                  2780,                115229,,                849207,,                  1997,,              9686110,,                187573,              4591379,,             21904626,              5905241,,              3801091,,,              8148837,             20226426,             28375263,              3102856,             31478119,            139489894,,                 48291,,             89698946,,             77375903,             17082744,             94458647,,              1028990,,             12587696,,              5500032,              1066196,              6566228,            204388798,            343878692,,,,            157348610,                382680,            157731290,,             37223095,,             56957880,             27086283,,             29632986,            113677149,,              9760597,              8577748,            309814383,             28782369,            338596752,            682475444,              0,    318016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2014年12月31日,,,,             13632013,,              5418751,,              6651624,                 62992,,              1243767,,                162202,,             10818647,,                734991,              7313482,,              1484045,,                169509,,,             81203168,             81203168,,             13714418,              5757202,             19471620,            148366811,,,                 31842,,             31102392,,                222989,                 87969,,              2806597,,             13419402,,            459313969,,              8436098,,              2493804,              6065105,,                436833,,              2376787,,              7579422,              7579422,             10393042,            534373209,            682740020,,,,,             30801717,,             20112096,,                  7149,                 46327,,              1384782,,                     88,,              8903520,,                689623,              5403038,,             23131466,              4868683,,              3795700,,,              8148376,             20939065,             29087441,              3273887,             32361328,            131505517,,                 10060,,             89695089,,             86579129,             20019412,            106598541,,              1031812,,             12678234,,              5503901,              1072632,              6576533,            216590269,            348095786,,,,            157348610,                382680,            157731290,,             37217876,,             56957880,             27086283,,             24106715,            108150878,,             10162015,              8587461,            304674598,             29969636,            334644234,            682740020,              0,    318369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2014年09月30日,,,,             16946040,,              5440566,,              6400164,                 25977,,              1202810,,                371765,,             10972405,,              1155331,              7029746,,              1424360,,                205235,,,             76672934,             76672934,,             13479366,              6276265,             19755631,            147602964,,,                              0,,             31917891,,                214324,                 52903,,              2935038,,             11361682,,            460903831,,              8351672,,              2539444,              6158973,,                479104,,              2382491,,              9462407,              9462407,             12324002,            536759760,            684362724,,,,,             33204386,,             36744015,,                  6893,                 45337,,              1121334,,                              0,,             10277590,,                835269,              5543453,,             23102425,              3920375,,              4477965,,,              3499830,             18895194,             22395024,              3139946,             25534970,            144814012,,                  1211,,             97838651,,             78951696,             17021530,             95973226,,              1024737,,             12774147,,              7139019,                708343,              7847362,            215459334,            360273346,,,,            157348610,                382680,            157731290,,             37203600,,             56957880,             27086440,,             15998583,            100042903,,              8391652,              8587461,            294781984,             29307394,            324089378,            684362724,              0,    318369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2014年06月30日,,,,,,              7705029,,              7009270,                 34846,,                954931,,                287313,,             10916350,,              1028657,              7364411,,              1553619,,,,,             77681481,             77681481,,             13902972,              6143883,             20046855,            159407805,,,,,             32340520,,                210413,                 23880,,,,             11466297,,            459432242,,              8330317,,              2600140,              5921009,,                485454,,              2373089,,              8358362,              8358362,             11216905,            534638022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    310442000,             24522952,,                              0,                302091,              3096299,            694045827,,,,             35058628,,             26611577,,                  4478,                 25005,,                845992,,                              0,,             12373297,,                744960,              5502559,,             35579434,              3043294,,              3685612,,,              3499659,             19197204,             22696863,              2787845,             25484708,            148959544,,                  7000,,             97834023,,             82717253,             26016711,            108733964,,              1020254,,             12753325,,              7096034,                534850,              7630884,            227979450,            376938994,,,,            154255840,                382680,            154638520,,             36965155,,             56957880,             27086712,,             12520183,             96564775,,              8960665,              8544473,            288584642,             28522191,            317106833,              0,,                              0,,,,,
2002,2014年03月31日,,,,             16822994,,              5930983,,              6494744,                 70692,,              1137224,,                485801,,             12034720,,                834676,              7351529,,              2007182,,                282704,,,             80621899,             80621899,,             14645221,              5654471,             20299692,            154374840,,,                              0,,             29914972,,                214676,                 47196,,              3104777,,             11312621,,            462538830,,              8353152,,              2655545,              5979079,,                563484,,              2381111,,              8176875,              8176875,             11121470,            535242318,            689617158,,,,,             27125087,,             35050921,,                  8592,                 21333,,                420114,,                              0,,             12076735,,                263891,              5793217,,             21452825,              4447807,,              3786732,,,              3499489,             19663990,             23163479,              3635080,             26798559,            137245813,,                 13755,,             85842369,,             92670350,             27617342,            120287692,,              1071224,,             13031192,,              7171628,                507808,              7679436,            227925668,            365171481,,,,            154255840,                382680,            154638520,,             36965456,,             55359726,             26920581,,             19940432,            102220739,,              8562010,              8498235,            293888490,             30557187,            324445677,            689617158,              0,    308595000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2013年12月31日,,,,,,              5014510,,              5290437,                 30501,,              1198221,,                607062,,             10248930,,                520732,              7309470,,              1943126,,,,,             83040277,             83040277,,             13529793,              5673611,             19203404,            148237385,,,                              0,,             28100611,,                209991,                 42202,,,,             10990162,,            462742294,,              8337249,,              2680365,              6077668,,                513180,,              2361443,,              8733172,              8733172,             11607795,            533761988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    308545000,             13700839,,                  9259,                120617,              2973651,            681999373,,,,             28652599,,             30786300,,                  9094,                 44281,,              1015417,,                    756,,             11543379,,                157372,              5818449,,             23925757,              3700145,,              2968838,,,              3499318,             19426467,             22925785,              3306668,             26232453,            134854840,,                 18043,,             62994437,,            108062267,             34882033,            142944300,,              1067087,,             12976988,,              7237168,                536795,              7773963,            227774818,            362629658,,,,            154255840,                382680,            154638520,,             36960818,,             55359726,             26920871,,             16348240,             98628837,,              7955853,              8496974,            289687054,             29682661,            319369715,              0,,                              0,,,,,
2002,2013年09月30日,,,,,,              3970263,,              4951922,                 19390,,                859922,,                522646,,              9982906,,                232232,              7628009,,              1971143,,,,,             82347234,             82347234,,             14814843,              4461480,             19276323,            148328985,,,,,             22895699,,                208551,                 53493,,,,             12798334,,            459771061,,              8610922,,              1435262,              6519267,,                479455,,                405188,,              7618661,              7618661,              8503304,            523979924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    312858000,             16391213,,                  9186,                166596,              3184031,            672308909,,,,             34400896,,             42772167,,                  6697,                 39270,,                758767,,                              0,,             11697846,,                135355,              4817794,,             25017446,              2876245,,              3966787,,,             11274386,             19734292,             31008678,              3052873,             34061551,            160550821,,                 13213,,             66518950,,             86538213,             26265602,            112803815,,                 41683,,             12978438,,              7387558,                491194,              7878752,            200237016,            360787837,,,,            154255840,                382680,            154638520,,             36925968,,             55359726,             26920871,,             12658014,             94938611,,              6522123,              8581501,            284443721,             27077351,            311521072,              0,,                  2165,,,,,
2002,2013年06月30日,,,,,,              5107681,,              3928187,                 62286,,                886745,,                594657,,             11212641,,                405725,              7724752,,              1603167,,,,,             82768750,             82768750,,             15800172,              4913644,             20713816,            148013269,,,,,             21368814,,                211364,                 36312,,,,             11227504,,            450664164,,              8633236,,              1473620,              7632226,,                468072,,                348012,,              7596169,              7596169,              8412253,            512858182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    309761000,             12967395,,                  9320,                 28147,              3198689,            660871451,,,,             48453090,,             40884282,,                  4132,                184630,,                605426,,                              0,,              9610606,,                207522,              5697642,,             29772351,              2949752,,              3067526,,,             11273771,             20304884,             31578655,              2475514,             34054169,            175491128,,                 15754,,             46761388,,             84321222,             26717205,            111038427,,                 55167,,             13094046,,              7382443,                512650,              7895093,            178861993,            354353121,,,,            152724765,                382680,            153107445,,             36664652,,             55359726,             26921505,,             10411352,             92692583,,              6088342,              8581510,            279971512,             26546818,            306518330,              0,,                  2118,,,,,
2002,2013年03月31日,,,,,,              4939400,,              4142501,                 52517,,                964647,,                360199,,             11706196,,                490289,              8398416,,              1597494,,,,,             74734540,             74734540,,             14984133,              4510390,             19494523,            143120038,,,                  3225,,             20755803,,                204539,                 28519,,,,             10472872,,            439862609,,              8640684,,              1499155,              7892247,,                453487,,                391564,,              5890157,              5890157,              6735208,            499438073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    309808000,             16091435,,                              0,                147881,              3343212,            642558111,,,,             41876646,,             45810367,,                  9871,                230493,,                666273,,                     92,,             10549427,,                186113,              4634097,,             19515019,              2919737,,              3424255,,,             11273157,             19294771,             30567928,              2527180,             33095108,            162917498,,                 32601,,             46913747,,             76403763,             25180376,            101584139,,                 56057,,             13071324,,              7394499,                527634,              7922133,            169581611,            332499109,,,,            152724765,                382680,            153107445,,             36621543,,             54778577,             29247207,,              9959782,             93985566,,              6534912,              8582187,            281667279,             28391723,            310059002,              0,,                  1610,,                              0,                              0,,
