證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 與待出售非流動資產直接相關之負債,　　　 當期所得稅負債
2007,2015年09月30日,,,,                588383,,                 19252,,                  1400,,                121547,,                  4810,,                 12932,,                 63158,,                  8940,,              1195201,,                 96219,,                333784,                333784,              2445626,,,                              0,,                  1650,,                948021,,             10356122,,                134224,                186927,,                    444,,                 39690,                 40134,             11667078,             14112704,,,,,              1916158,,                219213,,                 78074,,                119969,,                199361,,                  9492,,,                 46917,,                833545,                880462,              3422729,,,              6597580,,                  1197,,                279541,                279541,              6878318,             10301047,,,,              6306516,              6306516,,                  6596,,                              0,                              0,,             -2507866,             -2507866,,,                  4611,                  4611,                              0,              3809857,                  1800,              3811657,             14112704,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2015年06月30日,,,,                742323,,                 25042,,                              0,,                 76047,,                  6125,,                  1992,,                 41185,,                  8928,,              1290420,,                 73533,,                275779,                275779,              2541374,,,                              0,,                  1650,,                945969,,             10189734,,                134224,                186882,,                    444,,                 38700,                 39144,             11497603,             14038977,,,,,              1809554,,                219544,,                 70197,,                 12925,,                203861,,                 15440,,,                 63711,,                795595,                859306,              3199006,,,              6606962,,                    296,,                278269,                278269,              6885527,             10084533,,,,              6306516,              6306516,,                  6602,,                              0,                              0,,             -2358939,             -2358939,,,,                    265,                              0,              3954444,                              0,              3954444,             14038977,              0,              0,              0,,                  8179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2015年03月31日,,,,                683261,,                  8892,,                  3136,,                138483,,                  7409,,                 16740,,                 43359,,                  9016,,              1335335,,                 85516,,                293828,                293828,              2624975,,,                              0,,                  1650,,                958663,,              9996302,,                134224,                186830,,                    444,,                 38000,                 38444,             11316113,             13941088,,,,,              1909035,,                              0,,                 79936,,                 33872,,                152239,,                 10753,,,                 44748,,                757645,                802393,              3000926,,,              6572354,,                    431,,                276997,                276997,              6849782,              9850708,,,,              6306516,              6306516,,                  6598,,                              0,                              0,,             -2224272,             -2224272,,,,                  1538,                              0,              4090380,                              0,              4090380,             13941088,              0,              0,              0,,                 12698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2014年12月31日,,,,                577368,,                 10950,,                              0,,                 58745,,                 11910,,                 20968,,                 40787,,                  9072,,              1384023,,                 70072,,                445977,                445977,              2629872,,,                 19857,,                  1650,,                939734,,              9842153,,                134224,                187436,,                    444,,                 38010,                 38454,             11163508,             13793380,,,,,              1274321,,                219212,,                 91391,,                              0,,                120181,,                 25604,,,                 63794,,                757645,                821439,              2552148,,,              6760786,,                  1185,,                275732,                275732,              7037703,              9589851,,,,              6306516,              6306516,,                  6596,,                              0,                              0,,             -2111544,             -2111544,,,                  1961,                  1961,                              0,              4203529,                              0,              4203529,             13793380,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2014年09月30日,,,,              1039877,,                  6382,,                              0,,                143772,,                  8307,,                 26790,,                 31260,,                  9005,,              1313607,,                 82927,,                 97040,                 97040,              2758967,,,                 12422,,                  1650,,                653267,,              9868422,,                133942,                178402,,                    443,,                              0,                    443,             10848548,             13607515,,,,,                742963,,                219544,,                 88713,,                    509,,                130704,,                 16820,,,                 39420,,                757645,                797065,              1996318,,,              6987760,,                    272,,                265474,                265474,              7253506,              9249824,,,,              6306516,              6306516,,                    673,,                              0,                              0,,             -1949205,             -1949205,,,                   -293,                   -293,                              0,              4357691,                              0,              4357691,             13607515,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2014年06月30日,,,,                464310,,                  9717,,                              0,,                177489,,                  9558,,                 27761,,                 26673,,                  3590,,              1283054,,                 24033,,                379411,                379411,              2405596,,,                    384,,                  1650,,                659283,,              9914334,,                133942,                178885,,                    443,,                              0,                    443,             10888921,             13294517,,,,,              3596662,,                249796,,                 67769,,                 22190,,                136071,,                  9562,,,                 58417,,              1380859,              1439276,              5521326,,,              2983900,,                    328,,                264233,                264233,              3248461,              8769787,,,,              6306516,              6306516,,                    673,,                              0,                              0,,             -1781218,             -1781218,,,,                 -1241,                              0,              4524730,                              0,              4524730,             13294517,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2014年03月31日,,,,                407036,,                  6637,,                     82,,                109185,,                  7772,,                 15977,,                 27492,,                  3627,,              1207200,,                102904,,                397750,                397750,              2285662,,,                    397,,                  1650,,                664344,,              9967024,,                133942,                178841,,                    443,,                              0,                    443,             10946641,             13232303,,,,,              3228569,,                248673,,                 71037,,                              0,,                 94647,,                  8120,,,                 42667,,              1269959,              1312626,              4963672,,,              3347861,,                    131,,                263000,                263000,              3610992,              8574664,,,,              6306516,              6306516,,                    673,,                 41191,                  3332,,             -1694175,             -1649652,,,,                    102,                              0,              4657639,                              0,              4657639,             13232303,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2014年01月01日,,,,                398207,,                  6985,,                     32,,                112507,,                  3396,,                 15627,,                 26673,,                    418,,              1178433,,                101775,,                336895,                336895,              2180948,,,                    404,,                  1650,,                668045,,             10025034,,                133942,                181390,,                    443,,                              0,                    443,             11010908,             13191856,,,,,              2807333,,                249085,,                 57600,,                    131,,                112306,,                  8647,,,                 19168,,              1164059,              1183227,              4418329,,,              3686823,,                    427,,                261773,                261773,              3949023,              8367352,,,,              6306516,              6306516,,                    673,,                 41191,                  3332,,             -1526095,             -1481572,,,                 -1113,                 -1113,                              0,              4824504,                              0,              4824504,             13191856,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2013年12月31日,,,,,,                  6985,,                     32,,                112507,,                  3396,,                 15627,,                 26673,,,,              1053738,,                101775,,                336895,                336895,              2056253,,,                    404,,                  1650,,                668045,,             10149729,,                133942,                181390,,                    443,,                              0,                    443,             11135603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                398207,                    418,             13191856,,,,              2807333,,                249085,,                 57600,,                    131,,                112306,,                  8647,,,                 19168,,              1164059,              1183227,              4418329,,,              3686823,,                    427,,                261773,                261773,              3949023,              8367352,,,,              6306516,              6306516,,                    673,,                 41191,                  3332,,             -1526095,             -1481572,,                 -1113,                              0,              4824504,                              0,              4824504,,,,,,,,
2007,2013年09月30日,,,,,,                 14799,,                     61,,                123974,,,,                101554,,                 29257,,,,              1053535,,                 45043,,                322505,                322505,              2147473,,,                    393,,                  1650,,                670739,,             10262832,,                125715,                152936,,                    943,,,                    943,             11215208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                456400,                    345,             13362681,,,,              2494653,,                249422,,                 64972,,                              0,,                116965,,                  7957,,,                 64127,,              1058159,              1122286,              4056255,,,              4025783,,                    661,,                273505,                273505,              4299949,              8356204,,,,              6306516,              6306516,,                    673,,                 41191,                  3332,,             -1343506,             -1298983,,                 -1729,                              0,              5006477,                              0,              5006477,,                 -1729,,,,,,
