證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收建造合約款－關係人,　　　　 在建工程（營造業適用）,　　　　　 在建工程（營造業適用）合計,　　　　 工程進度請款金額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 工程進度請款金額,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資,　　　　　 其他長期投資（淨額）,　　　　 待分配股票股利,　　　 庫藏股票
2010,2015年09月30日,,,,                498757,,                 54750,,                              0,                              0,,                957037,,                 44970,,              3402448,,                 36288,              1393552,,                121267,,                  1984,,,              2843681,              2843681,,                192491,,                 11862,,              1220593,                 13270,              1233863,             10792950,,,                174656,,                437796,,                490996,,              5163171,,                  5166,                388179,,                  8460,                 14346,,                              0,                 93372,,                 71675,                187853,              6847817,             17640767,,,,,              2498270,,                 57997,,                 12444,,                 61456,,                833419,,                  5762,                436966,,                333594,                     82,                 12648,,                 33801,,,                595716,                  8111,                603827,              4890266,,,                809359,,                924408,                 21483,                945891,              1755250,              6645516,,,,              6476554,              6476554,,                159848,,              1445316,              1324287,,                589252,              3358855,,,                221854,,                125626,                347480,             10342737,                652514,             10995251,             17640767,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2015年06月30日,,,,                468588,,                 66203,,                              0,                              0,,                877874,,                              0,,              2489993,,                  3536,              1135021,,                102800,,                  2366,,,              2921538,              4166879,,                158976,,                 11381,,                792015,                 16054,                808069,             10333267,,,                219229,,                438748,,                475959,,              5133859,,                  5036,                368645,,                 10677,                 14935,,                              0,                 90618,,                 72439,                188669,              6830145,             17163412,,,,,              2294606,,,,                 10496,,                 53375,,                738431,,                  7965,                 78011,,                661381,                              0,                 30120,,                 33274,,,                215745,                  8280,                224025,              4578215,,,                808973,,                921687,                 20937,                942624,              1751597,              6329812,,,,              6476554,              6476554,,                159848,,              1445316,              1324287,,                515762,              3285365,,,                102247,,                170198,                272445,             10194212,                639388,             10833600,             17163412,              0,              0,                 41581,,              1245341,                446531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2015年03月31日,,,,                667029,,                 62805,,                              0,                              0,,              1033033,,                              0,,              2555393,,                  3760,              1079422,,                 93984,,                  1492,,,              3129340,              4080518,,                184772,,                 12268,,                811003,                 10464,                821467,             10595943,,,                231648,,                439306,,                498124,,              5082136,,                  5079,                366668,,                 53239,                 15351,,                              0,                 92940,,                 75149,                236679,              6859640,             17455583,,,,,              2531177,,,,                 12711,,                 72628,,                713271,,                 11766,                 85695,,                311133,                  5877,                 66901,,                 32256,,,                188928,                 12534,                201462,              4575372,,,                809105,,                921266,                 20817,                942083,              1751188,              6326560,,,,              6476554,              6476554,,                159848,,              1398640,              1324287,,                785197,              3508124,,,                141424,,                182618,                324042,             10468568,                660455,             11129023,             17455583,              0,              0,                              0,,                951178,                530495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2014年12月31日,,,,                890269,,                 58419,,                              0,                              0,,              1098421,,                  3356,,              4128874,,                 60964,                990507,,                 92202,,                  4639,,,              3336285,              3336285,,                 94728,,                              0,,                536462,                 20693,                557155,             11315819,,,                206076,,                439749,,                481882,,              5169554,,                  5111,                369672,,                 48858,                 22607,,                              0,                 94917,,                 83229,                249611,              6921655,             18237474,,,,,              3371894,,                              0,,                 12804,,                110876,,                686996,,                  4273,                671654,,                418171,                  5935,                 67631,,                 30060,,,                 60162,                  8952,                 69114,              5449408,,,                809267,,                920118,                 21511,                941629,              1750896,              7200304,,,,              6476554,              6476554,,                159848,,              1398640,              1324287,,                678489,              3401416,,,                169742,,                157046,                326788,             10364606,                672564,             11037170,             18237474,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2014年09月30日,,,,                567096,,                 54802,,                184875,                184875,,              1142887,,                  3092,,              4788057,,                  1830,                934073,,                126243,,                  7734,,,              3683373,              3683373,,                145647,,                              0,,                335345,                 27981,                363326,             12003035,,,                205987,,                438190,,                459396,,              5163223,,                  3061,                397913,,                 34185,                 24119,,                              0,                 91267,,                 69609,                219180,              6886950,             18889985,,,,,              4012471,,                199978,,                  4121,,                 93396,,                881307,,                  4505,                558796,,                400893,                  5749,                 31051,,                 32574,,,                 39444,                 26537,                 65981,              6290822,,,                809351,,                899834,                 26946,                926780,              1736131,              8026953,,,,              6476554,              6476554,,                159848,,              1398640,              1324287,,                597196,              3320123,,,                 76976,,                156957,                233933,             10190458,                672574,             10863032,             18889985,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2014年06月30日,,,,                458074,,                 51385,,                125060,                125060,,                907888,,                  5494,,              3048277,,                  1232,              2241360,,                118531,,                  5537,,,              3820894,              5138912,,                111688,,                              0,,                336289,                 24272,                360561,             12573999,,,                229950,,                442493,,                441934,,              5164668,,                  2986,                390015,,                 48267,                 24290,,                              0,                 90042,,                 66376,                228975,              6901021,             19475020,,,,,              3739879,,,,                 13805,,                248010,,                899410,,                  6093,                117259,,              1194577,                  5674,                 44170,,                 32135,,,                 58513,                 10024,                 68537,              7026441,,,                808969,,                948443,                 27447,                975890,              1784859,              8811300,,,,              6476554,              6476554,,                159848,,              1398640,              1324287,,                445136,              3168063,,,                  7444,,                180920,                188364,              9992829,                670891,             10663720,             19475020,              0,              0,                              0,,              1318018,                656892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2014年03月31日,,,,                652142,,                 50062,,                 93100,                 93100,,                867661,,                  6745,,              2703149,,                  3378,              1510036,,                120516,,                  5391,,,              3944205,              5560186,,                119123,,                              0,,                403082,                 22757,                425839,             12121446,,,                232757,,                443254,,                473508,,              5226437,,                  3042,                381109,,                 31600,                 22695,,                              0,                 92742,,                 69112,                216149,              6976256,             19097702,,,,,              3398969,,,,                 12691,,                336178,,              1051590,,                 10888,                113107,,                329682,                  5718,                 52571,,                 31015,,,                 44323,                 13597,                 57920,              5919983,,,                809302,,                945134,                 27811,                972945,              1782247,              7702230,,,,              6476554,              6476554,,                159848,,              1351841,              1324287,,              1151036,              3827164,,,                 60090,,                183726,                243816,             10707382,                688090,             11395472,             19097702,              0,              0,                  4118,,              1615981,                519654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2013年12月31日,,,,,,                 53381,,                159375,                159375,,                887358,,                  3510,,              2609291,,                  1967,              1384800,,                126949,,                  6337,,,              3439971,              5215029,,                153911,,,,                136337,                 20033,                156370,             11422772,,,                240603,,                442411,,                464210,,              5268139,,                  3054,                372159,,                 20561,                 18731,,                              0,                 94122,,                 68110,                201524,              6992100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                              0,,              1775058,,                664494,             18414872,,,,              3287933,,                 62997,,                 12312,,                267486,,                766301,,                 54710,                 87204,,                405354,                  5742,                 58377,,                 29271,                216363,,,                 43785,                 10901,                 54686,              5308736,,,                809116,,                941689,                 28794,                970483,              1779599,              7088335,,,,              6476554,              6476554,,                159848,,              1351841,              1324287,,              1058041,              3734169,,,                 69591,,                191573,                261164,             10631735,                694802,             11326537,              0,,,,,
2010,2013年09月30日,,,,,,                 49628,,,                585874,,                856760,,                  5678,,              2669785,,                  1573,              1234305,,                 64319,,                  7254,,,              3418697,              5171610,,                209262,,,,                 17742,                 55243,                 72985,             11304206,,,                235128,,                436112,,                426602,,              5048731,,,                377042,,                 21471,                 21207,,                              0,                 93420,,                149674,                288771,              6812386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1752913,,                375173,             18116592,,,,              2968108,,                199994,,                 11852,,                331809,,              1019184,,                 12243,                 87702,,                339677,                  5675,                 57448,,                 34195,                140325,,,                 38854,                 11081,                 49935,              5258147,,,                808969,,                943674,                 30118,                973792,              1782761,              7040908,,,,              6476554,              6476554,,                159848,,              1351841,              1324287,,                875599,              3551727,,,                 17427,,                186098,                203525,             10391654,                684030,             11075684,              0,,                  2999,                  2999,,
2010,2013年06月30日,,,,,,                 48828,,                526425,                526425,,                977047,,                  4330,,              2690021,,                  2116,              1495201,,                 89548,,                  6526,,,              3260075,              5093489,,                224082,,,,                  3421,                 11653,                 15074,             11761771,,,                247849,,                436657,,                420981,,              5023468,,,                376460,,                 13697,                 16712,,                              0,                 95594,,                 73548,                202587,              6708002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1833414,,                589084,             18469773,,,,              3128382,,                312922,,                 17922,,                296278,,                847193,,                  5878,                 67663,,                655004,                  5702,                 80750,,                 26667,                138964,,,                 43539,                 11004,                 54543,              5637868,,,                808969,,                970623,                 32459,              1003082,              1812051,              7449919,,,,              6476554,              6476554,,                159848,,              1351841,              1324287,,                759106,              3435234,,,                 53463,,                198819,                252282,             10323918,                695936,             11019854,              0,,                  3036,                  3036,,
