證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 庫存現金
2015,2015年09月30日,,,,              3152710,,                 43181,,                475570,                  2518,,                 21524,,                955086,,                  2617,,,              2999824,              2999824,,                357464,,                    751,              8011245,,,              1321768,,                438587,,              7849456,,                230423,                146904,,                218623,             10205761,             18217006,,,,,                184094,,                     55,,                877592,                118516,,                604872,              1785129,,,                  4978,,                740702,                740702,                745680,              2530809,,,,              5815994,              5815994,,                447280,,              3209408,                 37145,,              6245498,              9492051,,,                -71218,,                  2090,                -69128,                              0,             15686197,                              0,                              0,             15686197,             18217006,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015年06月30日,,,,              3110493,,                 50263,,                453133,                    102,,                  5492,,              1164481,,                  5435,,,              4254172,              4254172,,                369187,,                    652,              9413410,,,              1321768,,                490770,,              7734351,,                230423,                137975,,                177010,             10092297,             19505707,,,,,                113534,,                    609,,              1031287,                201426,,              2069664,              3416520,,,                  1884,,                741471,                741471,                743355,              4159875,,,,              5815994,              5815994,,                447280,,              3209408,                 37145,,              5873265,              9119818,,,                -37345,,                     85,                -37260,,             15345832,,,             15345832,             19505707,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015年03月31日,,,,              2669447,,                 56952,,                465874,,,                  7958,,              1648760,,                  7778,,,              4187990,              4187990,,                380912,,                    652,              9426323,,,              1321768,,                459000,,              7682120,,                230423,                137975,,                225022,             10056308,             19482631,,,,,                613243,,                    124,,                939226,                259362,,                672278,              2484233,,,                  1867,,                736062,                736062,                737929,              3222162,,,,              5815994,              5815994,,                447280,,              3042595,                  8625,,              6970580,             10021800,,,,,,                -24605,,             16260469,,,             16260469,             19482631,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2014年12月31日,,,,              2043764,,                 57870,,                453334,                              0,,                  6823,,              1811255,,                  9762,,,              4471783,              4471783,,                438436,,                    586,              9293613,,,              1321768,,                430541,,              7675316,,                230423,                137975,,                215241,             10011264,             19304877,,,,,                556857,,                     59,,              1271382,                169964,,                793123,              2791385,,,                  1867,,                737296,                737296,                739163,              3530548,,,,              5815994,              5815994,,                447280,,              3042595,                  8625,,              6496979,              9548199,,,                -37144,,                              0,                -37144,                              0,             15774329,                              0,                              0,             15774329,             19304877,              0,              0,              0,              2043764,             19304877,,,,                556857,,                     59,,              1271382,                169964,,                793123,              2791385,,,                  1867,,                737296,                737296,                739163,              3530548,,,,              5815994,              5815994,,                447280,,              3042595,                  8625,,              6496979,              9548199,,,                -37144,                -37144,                              0,             15774329,                              0,                              0,             15774329,,,
2015,2014年09月30日,,,,              1421655,,                 54726,,                433553,                              0,,                 33475,,              1350357,,                 23036,,,              5445708,              5445708,,                536701,,                              0,              9299211,,,              1249768,,                398126,,              7473354,,                230423,                136831,,                418555,              9907057,             19206268,,,,,              1067257,,                  1322,,              1524231,                 76155,,                541669,              3210634,,,                              0,,                743051,                743051,                743051,              3953685,,,,              5815994,              5815994,,                447280,,              3042595,                  8625,,              5995015,              9046235,,,                -56926,,                              0,                -56926,                              0,             15252583,                              0,                              0,             15252583,             19206268,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2014年06月30日,,,,              2651506,,                 56507,,                477649,                              0,,                 32663,,              1744940,,                 18126,,,              5001422,              5001422,,                479982,,                              0,             10462795,,,              1249768,,                367246,,              7447340,,                230423,                136831,,                140143,              9571751,             20034546,,,,,                373180,,                  2920,,              1463595,                153756,,              2379745,              4373196,,,                              0,,                746225,                746225,                746225,              5119421,,,,              5815994,              5815994,,                447280,,              3042595,                  8625,,              5613461,              8664681,,,                -12830,,                              0,                -12830,,             14915125,,,             14915125,             20034546,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2014年03月31日,,,,              1806644,,                 55798,,                478304,,,                 18815,,              1704727,,                 42147,,,              5153581,              5153581,,                497111,,                 22389,              9779516,,,              1249768,,                355214,,              7580406,,                237506,                135624,,                 45772,              9604290,             19383806,,,,,                222042,,                  3270,,              1251106,                259225,,                661966,              2397609,,,                    133,,                744694,                744694,                744827,              3142436,,,,              5815994,              5815994,,                447280,,              2897962,                              0,,              7092309,              9990271,,,,,,                -12175,,             16241370,,,             16241370,             19383806,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2013年12月31日,,,,,,                 57639,,                291957,,,                 44575,,              1108456,,                 10049,,,              5392876,              5392876,,                588613,,                 19305,             10003064,,,              1249768,,                323774,,              7617654,,                230423,                136237,,                 35304,              9593160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2489594,             19596224,,,,                274187,,                  2094,,              1600222,                189242,,                921816,              2987561,,,                     53,,                739246,                739246,                739299,              3726860,,,,              5815994,              5815994,,                447280,,              2897962,                              0,,              6716753,              9614715,,,                 -8625,                 -8625,                              0,             15869364,                              0,                              0,             15869364,,,
2015,2013年09月30日,,,,,,                 84951,,                299929,,,                 29634,,                787721,,                  7536,,,              5178828,              5178828,,                581193,,                 19306,              9429497,,,              1249768,,                331047,,              7640610,,                230423,                139867,,                 50764,              9642479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2440399,             19071976,,,,                443515,,                  6257,,              1281909,                 97502,,              1061620,              2890803,,,                              0,,                764828,                764828,                764828,              3655631,,,,              5815994,              5815994,,                447280,,              2897962,                              0,,              6255762,              9153724,,,                   -653,                   -653,                              0,             15416345,                              0,                              0,             15416345,,,
2015,2013年06月30日,,,,,,                128736,,                112648,,,                 27902,,              1069590,,                 11148,,,              5887122,              5887122,,                638042,,                 21234,              9887183,,,              1231768,,                332505,,              7739738,,                230423,                159538,,                 48165,              9742137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1990761,             19629320,,,,                272115,,                  2687,,              1075691,                154023,,              2263162,              3767678,,,                     25,,                760157,                760157,                760182,              4527860,,,,              5815994,              5815994,,                447280,,              2897962,                              0,,              5928092,              8826054,,,                 12132,                 12132,                              0,             15101460,                              0,                              0,             15101460,,,
