證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 銀行長期借款,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　　 預收股本
2017,2015年09月30日,,,,                210869,,                    647,,                173523,,                116781,,                113721,,                215368,,                  2330,,              1615810,,                103934,              2552983,,,                193765,,                 56000,,                365258,,              3306919,,                635404,,                621445,                 41289,,,                326939,                326939,              5547019,              8100002,,,,,              1285123,,                309729,,                              0,,                 19215,,                 67631,,                 19412,                161962,                181374,                 18446,,,                125166,,              1076016,              1076016,                  4913,              1206095,              3087613,,,                              0,,                  3775,,                 35633,                  3214,                  1263,                 40110,                 43885,              3131498,,,,              3848775,              3848775,,                719427,,                 14007,                 24947,,               -791746,               -752792,,                 -3098,                 76755,              3735557,              1232947,              4968504,              8100002,              0,      7322036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2015年06月30日,,,,                218951,,                  2015,,                297110,,                137570,,                145327,,                246499,,                 10666,,              1761525,,                 75189,              2894852,,,                193765,,                 49200,,                364315,,              3339892,,                695988,,                631755,                 41683,,,                347696,                347696,              5664294,              8559146,,,,,              1522027,,                415339,,                    216,,                  1423,,                 91565,,                 32518,                200707,                233225,                 17650,,,                149715,,                328720,                328720,                  4665,                483100,              2764545,,,                782651,,                  4229,,                 35908,                  3360,                  1222,                 40490,                827370,              3591915,,,,              3848775,              3848775,,                719427,,                 14007,                 24947,,               -727192,               -688238,,                 -4282,                 76755,              3798927,              1168304,              4967231,              8559146,              0,      7322036,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2015年03月31日,,,,                272567,,                  1225,,                  2009,,                149416,,                166680,,                261911,,                  2138,,              1572548,,                 69518,              2498012,,,                488166,,                 49200,,                369258,,              3205601,,                718815,,                640663,                 41361,,,                371489,                371489,              5884553,              8382565,,,,,              1477696,,                384802,,                  2911,,                  3148,,                 70366,,                 11596,                151589,                163185,                 26482,,,                106632,,                328720,                328720,                  6765,                442117,              2570707,,,                818407,,                  4079,,                 36192,                  3562,                  1181,                 40935,                863421,              3434128,,,,              3848775,              3848775,,                719427,,                 14007,                 24947,,               -745109,               -706155,,                 -2870,                 76755,              3782422,              1166015,              4948437,              8382565,              0,      7322036,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2014年12月31日,,,,                255491,,                 16891,,                  6100,,                123575,,                151094,,                250134,,                  4664,,              1816059,,                 87127,              2711135,,,                475117,,                 49200,,                368637,,              3233260,,                719894,,                652692,                 43816,,,                378847,                378847,              5921463,              8632598,,,,,              1516353,,                305530,,                  3322,,                 27127,,                 37964,,                 25080,                186295,                211375,                 23572,,,                121776,,                328720,                328720,                  5256,                455752,              2580995,,,              1001958,,                  6319,,                 36477,                  3562,                  1145,                 41184,              1049461,              3630456,,,,              3848775,              3848775,,                719427,,                 14007,                 24947,,               -677804,               -638850,,                 -1525,                 76755,              3851072,              1151070,              5002142,              8632598,              0,      7322036,              0,                255491,                123575,                 49200,              8632598,,,,              1516353,,                305530,,                  3322,,                 27127,,                 37964,,                 25080,                186295,                211375,                 23572,,,                121776,,                328720,                328720,                  5256,                455752,              2580995,,,              1001958,,                  6319,,                 36477,                  3562,                  1145,                 41184,              1049461,              3630456,,,,              3848775,              3848775,,                719427,,                 14007,                 24947,,               -677804,               -638850,,                 -1525,                 76755,              3851072,              1151070,              5002142,,,,
2017,2014年09月30日,,,,                298201,,                              0,,                 22160,,                116638,,                107375,,                236280,,                  9692,,              1486838,,                 81591,              2358775,,,                431632,,                 49200,,                436311,,              3011921,,                666660,,                666892,                 23853,,,                409143,                409143,              5695612,              8054387,,,,,                916068,,                335082,,                              0,,                 12993,,                 31162,,                 21600,                165045,                186645,                 21121,,,                103129,,                335720,                335720,                  4109,                442958,              1946029,,,              1096336,,                  2207,,                 24994,                  2725,                  1265,                 28984,              1127527,              3073556,,,,              3848775,              3848775,,                714129,,                 14007,                 24947,,               -619368,               -580414,,                   -518,                 58772,              3923200,              1057631,              4980831,              8054387,              0,      4675913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2014年06月30日,,,,                261175,,                              0,,                  1998,,                 93636,,                132673,,                227341,,                  7854,,              1342486,,                 64519,              2131682,,,                514754,,                 49200,,                438560,,              3044266,,                673758,,                681344,                 23731,,,                387778,                387778,              5813391,              7945073,,,,,                761419,,                345605,,                              0,,                  6309,,                135747,,                 26764,                201695,                228459,                 14792,,,                120850,,                345316,                345316,                  3949,                470115,              1962446,,,              1006708,,                  2207,,                 25433,                  2773,                  1265,                 29471,              1038386,              3000832,,,,              3880955,              3880955,,                703780,,                 14007,                 24947,,               -584330,               -545376,,                     49,                 80603,              3958805,                985436,              4944241,              7945073,              0,      7893913,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2014年03月31日,,,,                232672,,                  5011,,                  3004,,                 94044,,                147743,,                253672,,                  4667,,              1253352,,                 66254,              2060419,,,                504838,,                 49200,,                448208,,              3007677,,                662674,,                656103,                 25255,,,                293029,                293029,              5646984,              7707403,,,,,                526268,,                314766,,                              0,,                  3614,,                 48390,,                 23493,                151092,                174585,                 18931,,,                 77582,,                321036,                321036,                  5447,                404065,              1490619,,,              1190636,,                  3058,,                 25748,                  2743,                  1264,                 29755,              1223449,              2714068,,,,              3880955,              3880955,,                703780,,                 14007,                 24947,,               -560427,               -521473,,                  3126,                 64898,              4001490,                991845,              4993335,              7707403,              0,      5556193,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2013年12月31日,,,,,,                  3241,,                  5943,,,,                130289,,                203096,,                  8582,,              1498701,,                 74389,              2343940,,,                505693,,,,                446151,,              3026512,,                663829,,                638297,                 25367,,,                292446,                292446,              5647495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4675913,              0,                320119,                 99580,                 49200,              7991435,,,,                833384,,                215587,,                    157,,                  6415,,                153533,,                 24967,                159658,                184625,                 16781,,,                 84361,,                293256,                293256,                  6458,                384075,              1794557,,,              1114428,,                  2731,,                 26064,                  2721,                  1264,                 30049,              1147208,              2941765,,,,              3880955,              3880955,,                703780,,                 14007,                 24947,,               -505626,               -466672,,                  8303,                 58772,              4067594,                982076,              5049670,              1114428,,,
2017,2013年09月30日,,,,,,                              0,,                  5919,,,,                203094,,                237770,,                  7180,,              1471430,,                 74049,              2475656,,,                495294,,,,                368631,,              3058465,,                564650,,                619603,                 27133,,,                280121,                280121,              5463097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4675913,              0,                387031,                 89183,                 49200,              7938753,,,,                416973,,                344781,,                  5024,,                 20459,,                190208,,                 12387,                146503,                158890,                 19508,,,                 72755,,                237696,                237696,                  4868,                315319,              1471162,,,              1363153,,                  3128,,                 26892,                  2731,                  1522,                 31145,              1397426,              2868588,,,,              3880955,              3880955,,                703780,,                 14007,                 24947,,               -488652,               -449698,,                  3908,                 58772,              4080173,                989992,              5070165,              1363153,,,
2017,2013年06月30日,,,,,,                 11759,,                  5746,,,,                227575,,                200551,,                 18308,,              1475244,,                 79066,              2652705,,,                481543,,,,                371728,,              3013518,,                565909,,                631508,                 26528,,,                294915,                294915,              5434849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4675913,              0,                535027,                 99429,                 49200,              8087554,,,,                928269,,                335562,,                              0,,                  5235,,                121079,,                 21143,                198874,                220017,                 14230,,,                104894,,                237696,                237696,                  5352,                347942,              1972334,,,              1090895,,                  2231,,                 27232,                  2704,                  1509,                 31445,              1124571,              3096905,,,,              3880955,              3880955,,                703780,,                 14007,                 24947,,               -492997,               -454043,,                 -1977,                 58772,              4069943,                920706,              4990649,              1090895,,,
