證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　 應付票據,　　　　 應付票據合計,　　　　 其他應付費用,　　　　 應付股利
2062,2015年09月30日,,,,                889276,,                              0,,                              0,                              0,,              1385081,,                 32592,,              1205021,,                 76525,                 76525,              3588495,,,                  5519,,              4267635,,                 51786,,                 64239,                 64239,                 27145,,                895036,                 38014,,                 24802,                 31509,,                 76060,              1065421,              5481745,              9070240,,,,,              1660500,,                              0,,                342928,,                955209,                 45192,,                 44084,,                  5132,                  5132,              3053045,,,                950000,                950000,,                 59339,,                  1200,                  1200,              1010539,              4063584,,,,              1634046,              1634046,,              1324098,,                564935,                 80152,,              1118772,              1763859,,                284653,              5006656,              5006656,              9070240,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2015年06月30日,,,,              1096870,,                              0,,                    347,                    347,,              1325172,,                117750,,              1057273,,                 64201,                240835,              3838247,,,                  5519,,              4020131,,                 51815,,                 61198,                 61198,                 20350,,                238875,                 32597,,,                 30987,,                 68339,                370798,              4529811,              8368058,,,,,              1460500,,                              0,,                289623,,                860100,                 53529,,                 25786,,                  6828,                  6828,              2696366,,,                950000,                950000,,                 31094,,                  1200,                  1200,                982294,              3678660,,,,              1634714,              1634714,,              1323430,,                564935,                 80152,,                944568,              1589655,,                141599,              4689398,              4689398,              8368058,              0,              0,                176634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2015年03月31日,,,,              1867073,,                              0,,                              0,                              0,,              1290960,,                 30685,,              1126888,,,                 89293,              4404899,,,                  5519,,              2813114,,                 51843,,                 61863,                 61863,                 15763,,                497161,                 21309,,,                 31497,,                 65837,                615804,              3563906,              7968805,,,,,              1090500,,                              0,,                332698,,                380745,                 97787,,                 13943,,                  5294,                  5294,              1920967,,,                950000,                950000,,                 39545,,                  1200,                  1200,                990745,              2911712,,,,              1634714,              1634714,,              1324328,,                502719,                 80152,,              1333322,              1916193,,                181858,              5057093,              5057093,              7968805,              0,              0,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年12月31日,,,,              2595072,,                              0,,                    237,                    237,,              1379731,,                 63082,,              1010921,,                 84167,                 84167,              5133210,,,                              0,,              2778316,,                 51872,,                 62393,                 62393,                 23691,,                182363,                 15900,,                              0,                 32195,,                 60879,                291337,              3207609,              8340819,,,,,              1325760,,                              0,,                363022,,                522727,                 85711,,                 48538,,                  4489,                  4489,              2350247,,,                950000,                950000,,                 55780,,                  1200,                  1200,              1006980,              3357227,,,,              1630000,              1630000,,              1321841,,                502719,                 80152,,              1208576,              1791447,,                240304,              4983592,              4983592,              8340819,              0,              0,                              0,              0,              2595072,              8340819,,,,              1325760,,                363022,,                522727,                 85711,,                 48538,,                  4489,                  4489,              2350247,,,                950000,                950000,,                 55780,,                              0,                  1200,                  1200,              1006980,              3357227,,,,              1630000,              1630000,,,              1321841,              1321841,              1321841,,                502719,                 80152,,              1208576,              1791447,,                240304,              4983592,              4983592,,,,,,,,,
2062,2014年09月30日,,,,              2131224,,                126823,,                    335,                    335,,              1335709,,                 30172,,                925092,,                 54760,                 54760,              4604115,,,                              0,,              2406793,,                 47687,,                 60532,                 60532,                 22816,,                 77918,                 14569,,                              0,                 30983,,                 49728,                173198,              2711026,              7315141,,,,,                919680,,                 13617,,                326896,,                369430,                 50777,,                 36558,,                 13733,                 13733,              1730691,,,                950000,                950000,,                 20873,,                  1200,                  1200,                972073,              2702764,,,,              1630000,              1630000,,              1321841,,                502719,                 80152,,                994940,              1577811,,                 82725,              4612377,              4612377,              7315141,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年06月30日,,,,              2418346,,                122853,,                              0,                              0,,              1237298,,                 40456,,                830901,,                101675,                101675,              4751529,,,                              0,,              2342529,,                 47716,,                 59692,                 59692,                 24104,,                  5877,                  1558,,,                 30624,,                 49512,                 87571,              2561612,              7313141,,,,,              1195205,,                 44040,,                269432,,                348218,                 59898,,                 23333,,                 10893,                 10893,              1951019,,,              1007000,              1007000,,                  4834,,                  1200,                  1200,              1013034,              2964053,,,,              1630000,              1630000,,              1321841,,                502719,                 80152,,                796058,              1378929,,                 18318,              4349088,              4349088,              7313141,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2014年03月31日,,,,              2980514,,                124356,,                              0,                              0,,              1160043,,                 37980,,                927617,,,                 77426,              5307936,,,                              0,,              2405759,,                 47744,,                 60608,                 60608,                 28539,,                              0,                  1212,,,                 31463,,                 49628,                 82303,              2624953,              7932889,,,,,              1114191,,                 42416,,                258318,,                340450,                158571,,                 11966,,                  6422,                  6422,              1932334,,,                947000,                947000,,                 18051,,                  1200,                  1200,                966251,              2898585,,,,              1630000,              1630000,,              1321841,,                412202,                137869,,              1444259,              1994330,,                 88133,              5034304,              5034304,              7932889,              0,              0,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2013年12月31日,,,,,,                  4622,,                    883,                    883,,              1218937,,                 55775,,                853433,,,                 51344,              5280792,,,,,              2364000,,                 47773,,                 59602,                 59602,                 20156,,                              0,                  1286,,,                 31241,,                 39239,                 71766,              2563297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,              3095798,              7844089,,,,              1227861,,                298056,,                387280,                127371,,                 45007,,                  5954,                  5954,              2091529,,,                847000,                847000,,                 12925,,                  3831,                  1200,                  5031,                864956,              2956485,,,,              1630000,              1630000,,,              1321841,              1321841,              1321841,,                412202,                137869,,              1355434,              1905505,,                 30258,              4887604,              4887604,,                              0,,                              0,                              0,,,,
2062,2013年09月30日,,,,,,                121234,,                              0,                              0,,              1304238,,                 47194,,                765109,,,                 49724,              4573732,,,,,              2287096,,                 47802,,                 59246,                 59246,                 20431,,                  3667,                  1229,,,                 30951,,                 34954,                 70801,              2485376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,              2286233,              7059108,,,,                654185,,                317048,,                352902,                104656,,                 32297,,                  7618,                  7618,              1468706,,,                947000,                947000,,                    453,,                 12462,                  1224,                 13686,                961139,              2429845,,,,              1630000,              1630000,,,              1321841,              1321841,              1321841,,                412202,                137869,,              1142606,              1692677,,                -15255,              4629263,              4629263,,                              0,,,,,,,
2062,2013年06月30日,,,,,,                              0,,                              0,                              0,,              1301458,,                 48297,,                743565,,,                 45044,              4593337,,,,,              2230076,,                110434,,                 59897,                 59897,                 14843,,,                  1172,,,                 31440,,                 38141,                 70753,              2486003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,              2454973,              7079340,,,,                858000,,                397886,,                325476,                 86227,,                 19654,,                  8518,                108518,              1795761,,,                847000,                847000,,                  6515,,                 12462,                  2469,                 14931,                868446,              2664207,,,,              1630000,              1630000,,,              1321841,              1321841,              1321841,,                412202,                137869,,                888162,              1438233,,                 25059,              4415133,              4415133,,                              0,,                100000,                100000,,,,
