證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 員工福利負債準備－流動,　　　　　 保固之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 長期應收租賃款,　　　　　　 一年或一營業週期內到期長期借款,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積－認股權,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 保固之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－處分資產增益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 預收股本,　　　　　 其他非流動資產－其他,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　 共同控制下前手權益,　　　　 暫收款,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 預付設備款
2206,2015年09月30日,,,,              3682757,,                  1580,,                  9459,,                              0,                209488,,              3715480,,                    554,,              1159506,,,              9066392,,                873485,              9939877,,                598499,,              4239667,                129716,              4369383,             23686583,,,                 10000,,                251694,,                 20000,,              3257841,,             11387716,,              3090738,                397788,,,                271292,,              1445212,                450662,,                356655,              2523821,             20939598,             44626181,,,,,              9568438,,              1119142,              1119142,                              0,,              2057214,,                 58795,,              1276914,              1276914,                 39642,,                119087,                229076,                348163,,,                394329,,              4738994,                145616,              5278939,             19747247,,,                720808,,                144648,,              1871074,,              2206183,                409434,                 55150,              2670767,              5407297,             25154544,,,,              9000446,              9000446,,              1783706,,              7596021,,,               -436781,,                 -7972,               -444753,                471757,             17463663,              2007974,             19471637,             44626181,              0,              0,     19761237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年06月30日,,,,              3498187,,                  1580,,                  8880,,                              0,                              0,,              2241345,,                    551,,                641995,,,,,,             10127748,,                541399,,              4762402,                137198,              4899600,             21961285,,,                 10000,,                251748,,                 20000,,              3069323,,             12553790,,                386597,                385791,,,                271292,,              1131790,                438729,,                349628,              2191439,             18868688,             40829973,,,,,              8455664,,              1138309,              1138309,                  3962,,              2632452,,                172533,,              1275041,              1275041,                 75218,,                129162,                180794,                309956,,,                447175,,              4795391,                159957,              5402523,             19465658,,,                485195,,                139104,,              1785970,,              2219222,                413365,                 56322,              2688909,              5099178,             24564836,,,,              9000446,              9000446,,              1783706,,              4536422,,,               -865050,,                 -7972,               -873022,                132816,             14314736,              1950401,             16265137,             40829973,              0,              0,      5332452,                271292,              4795391,,                              0,,                              0,,                119130,                 50625,                175775,              1370744,                 17486,                 49946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2015年03月31日,,,,              4006670,,                  1580,,                  9011,,                              0,                  6014,,              2304688,,                    512,,                633768,,,              9097128,,,              9097128,,                495697,,              5405299,                137631,              5542930,             22097998,,,                 10000,,                251785,,                 20000,,              2980172,,             12633258,,                387624,                395059,,,                256868,,              1209118,                451339,,                337280,              2254605,             18932503,             41030501,,,,,              8788394,,              1401415,              1401415,,,              2330105,,                109968,,              1208547,              1208547,                190432,,                121302,                179107,                300409,,,                467452,,              4815061,                155035,              5437548,             19766818,,,                451835,,                132727,,              1811919,,              2243626,                405322,                 50037,              2698985,              5095466,             24862284,,,,              9000446,              9000446,,              1783706,,              4225733,,,               -722534,,                 -7972,               -730506,                132816,             14146563,              2021654,             16168217,             41030501,              0,              0,      5332452,                256868,              4815061,,                              0,,                              0,,                119130,                 50625,                175775,              1370744,                 17486,                 49946,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年12月31日,,,,              4816320,,                  1580,,                  9106,,                138500,                 78486,,              2241480,,                  1324,,                638648,,,              8419116,,                              0,              8419116,,                365675,,              4276676,                117630,              4394306,             21104541,,,                 10000,,                251785,,                 20000,,              2996283,,             12749930,,                388260,                406991,,,                256868,,              1229347,                461910,,                359809,              2307934,             19131183,             40235724,,,,,              8335527,,              1049223,              1049223,                              0,,              2144778,,                 85695,,              1498116,              1498116,                173657,,                133122,                191867,                324989,,,                293807,,              4789130,                218201,              5301138,             18913123,,,                499938,,                127204,,              1840988,,              2265545,                295217,                 24038,              2584800,              5052930,             23966053,,,,              9000446,              9000446,,              1785146,,              4169891,,,               -598599,,                 -7972,               -606571,                132816,             14216096,              2053575,             16269671,             40235724,              0,              0,      5332452,                256868,              4789130,,                              0,,                              0,,                119130,                 50625,                177215,              1370744,                 17486,                 49946,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年09月30日,,,,              4396388,,                 96102,,                  7456,,                              0,                 44961,,              2602757,,                    801,,                595076,,,              9162076,,                              0,              9162076,,                489325,,              4252192,                164862,              4417054,             21811996,,,                 10000,,                 20849,,                 20000,,              2794408,,             12646933,,                454499,                326077,,,                249472,,              1209160,                452377,,                371221,              2282230,             18554996,             40366992,,,,,              6490628,,              1016298,              1016298,                              0,,              2668564,,                126238,,              1466105,              1466105,                139841,,                118047,                167904,                285951,,,                432287,,              6494706,                201021,              7128014,             19321639,,,                516799,,                127156,,              1787539,,              2149739,                296709,                 19776,              2466224,              4897718,             24219357,,,,              9000446,              9000446,,              1785135,,              4328761,,,               -894972,,                 -9327,               -904299,                132816,             14077227,              2070408,             16147635,             40366992,              0,              0,     62663349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年06月30日,,,,              4359600,,                 94393,,                  7322,,                              0,                              0,,              2869716,,                    597,,                564056,,,,,,              9373520,,                576926,,              4147567,                133893,              4281460,             22127590,,,                 10000,,                 21046,,                 20000,,              2803697,,             12660566,,                457216,                304578,,,                249472,,              1180403,                445201,,                350646,              2225722,             18502825,             40630415,,,,,              6492325,,                918085,                918085,                  3441,,              2905444,,                125632,,              1368933,              1368933,                108418,,                128147,                172053,                300200,,,                514520,,              5244493,                258601,              6017614,             18240092,,,                540231,,                117981,,              1757040,,              2162378,                289001,                 23997,              2475376,              6058494,             24298586,,,,              9000446,              9000446,,              1785135,,              4680585,,,             -1054141,,                 -9327,             -1063468,                132816,             14269882,              2061947,             16331829,             40630415,              0,              0,     62663349,                249472,              5244493,,                110927,,              1056939,,                119130,                 50625,                177204,              1370744,                 17486,                 49946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2014年03月31日,,,,              4595506,,                 96242,,                  7467,,                              0,                 37026,,              2376491,,                 53767,,                453636,,,              9002703,,,              9002703,,                562050,,              4393638,                149514,              4543152,             21728040,,,                 10000,,                 21046,,                 20000,,              2591651,,             12738930,,                463447,                385708,,,                208062,,              1200767,                461044,,                451164,              2321037,             18551819,             40279859,,,,,              7376145,,                705918,                705918,,,              2815159,,                189431,,              1368345,              1368345,                 27727,,                108715,                172018,                280733,,,                443038,,                726846,                226760,              1396644,             14160102,,,              5034720,,                111796,,              1773928,,              2171457,                266879,                 29133,              2467469,             10910562,             25070664,,,,              8963768,              8963768,,              1816824,,              4451274,,,               -867531,,                 -9327,               -876858,              1373793,             12981215,              2227980,             15209195,             40279859,              0,              0,     62663349,                208062,                726846,,                 35695,,              1486954,,                              0,                 83446,                177204,              1370744,                 17486,                 49946,                117998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年12月31日,,,,,,                 94114,,                  7300,,                              0,                  9761,,              1681088,,                 81418,,                520213,,,              8190644,,,              8190644,,                387238,,              4118055,                157815,              4275870,             18985785,,,                 10000,,                 21046,,,,              2605133,,             12878914,,                464032,                356777,,,                208062,,              1204553,                472269,,                501862,              2386746,             18742648,,,,,,,                762514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     62663349,                208062,,,,,,,,,,,,,,              3738139,                 20000,             37728433,,,,              6825507,,                762514,                              0,,              2005529,,                193236,,              1732080,              1732080,                 26622,,                120406,                177286,                297692,,,                315962,,                634470,                634470,                238953,              1189385,             13032565,,,              5284992,,                 95408,,              1775774,,              2188024,                276244,                 10761,              2475029,              9631203,             22663768,,,,              8963768,              8963768,,,                              0,                              0,                 75757,                177204,              1370744,                 17486,                 49946,              1691137,,              1791355,              2523001,,                248753,              4563109,,,               -980257,,                 -9327,               -989584,              1382555,             12845875,              2218790,             15064665,                              0,                              0,                501862,,                              0,,                              0,                              0,,,,
2206,2013年09月30日,,,,,,                 93644,,                 15985,,                              0,                              0,,              2006416,,                 64695,,                483979,,,,,,              8393046,,                465686,,              4409652,                 86480,              4496132,             19971719,,,                 10000,,                 56081,,,,              2377599,,             12954759,,                463572,                612827,,,                230452,,              1160543,                468508,,                480701,              2340204,             18835042,,,,,,,              1016387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     62663349,                230452,,,,,,,,,,,,,,              3952136,                 20000,             38806761,,,,              5919343,,              1016387,                  8699,,              2464890,,                181985,,,              1797370,                 14080,,                116603,                177025,                293628,,,                460468,,                498093,                498093,                240891,              1199452,             12895834,,,              5385115,,                 93084,,              2517375,,              2295304,                277051,                 63761,              2636116,             10631690,             23527524,,,,              8963768,              8963768,,,,,,,,,,              1681049,,,,,,              5114859,,,,,,             -1180705,              1382555,             13196416,              2082821,             15279237,                              0,                              0,,,,,,,,,,
2206,2013年06月30日,,,,,,                 95309,,                 18274,,                              0,                 18376,,              2259199,,                 77597,,                439209,,,,,,              8241403,,                512481,,              4684348,                 73890,              4758238,             20238873,,,                 10000,,                 55052,,,,              2375883,,             13028071,,                466330,                657216,,,                230452,,              1470586,                476734,,                161089,              2338861,             18951413,,,,,,,                947312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     62663349,                230452,,,,,,,,,,,,,,              3818787,                 20000,             39190286,,,,              5781547,,                947312,                              0,,              2327542,,                162626,,,              2453964,                 31294,,                127035,                183854,                310889,,,                379587,,                557458,                557458,                208200,              1145245,             13160419,,,              5494053,,                 88094,,              2512738,,              2312574,                276009,                230944,              2819527,             10914412,             24074831,,,,              8963768,              8963768,,,,,,,,,,              1681049,,,,,,              5129797,,,,,,             -1459131,              1382555,             12932928,              2182527,             15115455,,                              0,                161089,,                              0,,                              0,                              0,,,,
