證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額
2305,2015年09月30日,,,,                740197,,                544330,,                              0,,                 90587,,,                317323,                317323,,                144307,                 25204,                169511,              1861948,,,                    442,,                516274,,                152862,,                 49854,                 49854,                 11050,,                 18635,                 64837,,                  4729,                 88201,                818683,              2680631,,,,,                164000,,                199545,,                 87615,,                 55380,,,                621000,                 27313,                648313,              1154853,,,                 52225,,                  3904,                 56129,              1210982,,,,              2056608,              2056608,,                              0,,               -641064,,                 72049,                 49781,              1437812,                 31837,              1469649,              2680631,              0,              0,      2934365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,2015年06月30日,,,,                353415,,                814310,,                              0,,                 94772,,,                281972,                281972,,                256452,                 23627,                280079,              1824548,,,                    442,,                519040,,                146962,,                 49854,                 49854,                 11050,,                 18635,                 62869,,                  2352,                 83856,                811204,              2635752,,,,,                379000,,                              0,,                 80592,,                 42160,,,                603561,                 33144,                636705,              1138457,,,                 48323,,                  4063,                 52386,              1190843,,,,              2056608,              2056608,,                              0,,               -611850,,                 20407,                 49781,              1415384,                 29525,              1444909,              2635752,              0,              0,      2934365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,2015年03月31日,,,,                416075,,                296285,,                 12963,,                100386,,,                285188,                285188,,                271725,                 27720,                299445,              1410342,,,                    442,,                497626,,                148551,,                 49854,                 49854,                 11050,,                 18635,                 64089,,                  4668,                 87392,                794915,              2205257,,,,,                502585,,                              0,,                106949,,                 39718,,,,                 42927,                 42927,                692179,,,                 57631,,                  4229,                 61860,                754039,,,,              2056608,              2056608,,                              0,,               -628229,,                 43825,                 49781,              1422423,                 28795,              1451218,              2205257,              0,              0,      2934365,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,2014年12月31日,,,,                243332,,                237649,,                 23523,,                 72465,,,                264289,                264289,,                519736,                 24633,                544369,              1385627,,,                    442,,                509981,,                149918,,                 49854,                 49854,                 11050,,                 18672,                 65223,,                  7747,                 91642,                812887,              2198514,,,,,                492762,,                              0,,                 82261,,                 58371,,,                 29635,                 28336,                 57971,                691365,,,                 57631,,                  3881,                 61512,                752877,,,,              2056608,              2056608,,                              0,,               -654823,,                 64441,                 49781,              1416445,                 29192,              1445637,              2198514,              0,              0,      2934365,,,                243332,                 18672,              2198514,,,,                492762,,                              0,,                 82261,,                 58371,,,                              0,                 57971,                 57971,                691365,,,                              0,,                 57631,,                  3881,                 61512,                752877,,,,              2056608,              2056608,,                              0,,               -654823,,                 64441,                 49781,              1416445,                 29192,              1445637,,,,
2305,2014年09月30日,,,,                236695,,                228228,,                 18021,,                 78140,,,                258165,                258165,,                492741,                 14835,                507576,              1326825,,,                    442,,                516308,,                137159,,                 49854,                 49854,                 22031,,                 19715,                 63769,,                  3358,                 86842,                812636,              2139461,,,,,                516044,,                              0,,                 85187,,                 43391,,,                 22398,                 42506,                 64904,                709526,,,                 61640,,                  4329,                 65969,                775495,,,,              2056608,              2056608,,                              0,,               -691224,,                 20033,                 49781,              1335636,                 28330,              1363966,              2139461,              0,              0,      2934365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,2014年06月30日,,,,                316769,,                 98641,,                 14329,,                 82925,,,                238263,                238263,,                471602,                 14491,                486093,              1237020,,,                    442,,                513677,,                133389,,                 49854,                 49854,                 22031,,                 19763,                 72495,,                  5430,                 97688,                817081,              2054101,,,,,                395847,,                199588,,                 83135,,                 43188,,,                 22920,                 39595,                 62515,                784273,,,                 61640,,                  4076,                 65716,                849989,,,,              2056608,              2056608,,                              0,,               -805614,,                -25021,                 49781,              1176192,                 27920,              1204112,              2054101,              0,              0,      2934365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,2014年03月31日,,,,                326572,,                  2381,,                 11676,,                 73787,,,                246150,                246150,,                334826,                 22456,                357282,              1017848,,,                    442,,                528352,,                322340,,                 72922,                 72922,                 22031,,                 19811,                 74379,,                 10635,                104825,              1050912,              2068760,,,,,                393288,,                199615,,                 60167,,                 43385,,,,                 56705,                 68958,                765413,,,                 63514,,                  7534,                 71048,                836461,,,,              2056608,              2056608,,                              0,,               -801489,,                 -1873,                 49781,              1203465,                 28834,              1232299,              2068760,              0,              0,      2934365,,                 12253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,2013年12月31日,,,,,,                  2333,,                 16851,,                 67715,,,                274519,                274519,,                350456,                 22694,                373150,              1018111,,,                  1198,,                537463,,                318742,,                 72922,                 72922,                 22031,,,                 75581,,                  9854,                105295,              1057651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2934365,,,                283543,                 19860,              2075762,,,,                422431,,                169747,,                 48588,,                 55816,,,                 14437,                 47254,                 61691,                758273,,,                              0,,                 62902,,                 21665,                 84567,                842840,,,,              2056608,              2056608,,                              0,,               -806931,,                  2140,                 49781,              1202036,                 30886,              1232922,,,,
2305,2013年09月30日,,,,,,                 26668,,                 14866,,                119562,,,                307903,                307903,,                354102,                 19731,                373833,              1063630,,,                  1198,,                525606,,                179775,,                 72922,                 72922,                 22031,,,                 74651,,                 55146,                149332,                950864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2934365,,,                220798,                 19535,              2014494,,,,                419641,,                169697,,                119554,,                 55971,,,                 16681,                 40338,                 57019,                821882,,,                              0,,                 34341,,                 21804,                 56145,                878027,,,,              2056608,              2056608,,                              0,,               -886275,,                -16326,                 49781,              1104226,                 32241,              1136467,,,,
2305,2013年06月30日,,,,,,                 27003,,                 13396,,                 93583,,,                318213,                318213,,                243189,                 20809,                263998,              1081866,,,                  1198,,                544084,,                182933,,                 72922,                 72922,                 22031,,,                 76344,,                 31179,                127121,                950289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2934365,,,                365673,                 19598,              2032155,,,,                330068,,                239158,,                109699,,                 54624,,,                 18856,                 48496,                 67352,                800901,,,                              0,,                 34334,,                 21805,                 56139,                857040,,,,              2056608,              2056608,,                              0,,               -867141,,                  1076,                 49781,              1140762,                 34353,              1175115,,,,
