證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 避險之衍生金融負債－非流動,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 應付短期票券,　　　　 應付短期票券合計
2311,2015年09月30日,,,,             42409714,,              3142231,,                 15506,,             53156487,,                551249,,                166615,,,             27591187,,             25114779,             52705966,,              1928146,              3095559,              5023705,            157171473,,,                904795,,             36981863,,            152981113,,             10509270,,              1449287,             11958557,              5128646,,,                343516,              2610187,,                371586,              3325289,            211280263,            368451736,,,,,             45746588,,              2605077,                              0,,             39699655,,             18396751,              3828439,,,              2234716,              2234716,,              2578343,              2025374,              4603717,              2799082,              9637515,            119914025,,,             35804305,,             38386055,,              4833071,,,                              0,              4429291,                801769,              5231060,             84254491,            204168516,,,,             78931576,                209602,             79141178,,             24157701,,             12649145,              3353938,,             35277587,             51280670,,              6242036,              7292513,            153529072,             10754148,            164283220,            368451736,     10085300,    265883011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2015年06月30日,,,,             54174574,,              3817409,,                872470,,             50733403,,                802299,,                235496,,,             21845107,,             24306852,             46151959,,                337655,              3137240,              3474895,            160262505,,,                858188,,              1421708,,            152755237,,             10403615,,              1425522,             11829137,              4254363,,,                364387,              2488197,,                927273,              3779857,            174898490,            335160995,,,,,             37192955,,              3820761,                              0,,             33955187,,             36354531,              3447976,,,              1332773,              1332773,,                              0,              1551488,              1551488,              2282794,              5167055,            119938465,,,             30867113,,             22286730,,              4238153,,,                              0,              4334792,                807319,              5142111,             62534107,            182472572,,,,             78878816,                150244,             79029060,,             23870656,,             12649145,              3353938,,             28908965,             44912048,,              2082151,              7292513,            142601402,             10087021,            152688423,            335160995,      7304350,    265883011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2015年03月31日,,,,             49414436,,              4530291,,                979247,,             43009481,,                515914,,                 95998,,,             23450499,,             24154597,             47605096,,                653430,              2802354,              3455784,            149606247,,,                885778,,              1589231,,            150055369,,             10426821,,              1487676,             11914497,              4612250,,,                364520,              2519823,,                941817,              3826160,            172883285,            322489532,,,,,             36660840,,              3701350,                              0,,             31705893,,             19935228,              4552116,,,                863767,                863767,,                              0,              1147234,              1147234,              2190160,              4201161,            100756588,,,             31092655,,             24750020,,              4021104,,,                              0,              4413761,                807333,              5221094,             65084873,            165841461,,,,             78604915,                583035,             79187950,,             16094169,,             10289878,              3353938,,             43206623,             56850439,,              3489285,              7292513,            148329330,              8318741,            156648071,            322489532,     28451050,    265883011,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2014年12月31日,,,,             51694410,,              4988843,,              1533265,,             52920810,,                537122,,                 65312,,,             20163093,,             23986478,             44149571,,                638592,              3427265,              4065857,            159955190,,,                941105,,              1492441,,            151587115,,             10445415,,              1467871,             11913286,              4506972,,,                367345,              2585964,,                635350,              3588659,            174029578,            333984768,,,,,             41176033,,              2651352,                              0,,             35411281,,             22364516,              4150036,,,                480325,                480325,,                              0,              2831007,              2831007,              2134917,              5446249,            111199467,,,             31270131,,             24104424,,              3932819,,,                              0,              4382530,                657392,              5039922,             64347296,            175546763,,,,             78525378,                189801,             78715179,,             16013058,,             10289878,              3353938,,             38737422,             52381238,,              5068539,              1959107,            150218907,              8219098,            158438005,            333984768,      9186700,    145883011,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2014年09月30日,,,,             32968043,,              3762000,,                 54595,,             48495218,,              1369443,,                139320,,,             20430962,,             21833041,             42264003,,                667924,              3505562,              4173486,            133226108,,,              1015106,,              1459813,,            148997645,,             10380215,,              1500061,             11880276,              3995167,,,                381322,              2496273,,              1283086,              4160681,            171508688,            304734796,,,,,             38672277,,              2438102,                              0,,             34881941,,             22366457,              3300057,,,                235529,                235529,,                              0,              3223327,              3223327,              2032013,              5490869,            107149703,,,             30194100,,             22823238,,              3348641,,,                              0,              4524575,                634555,              5159130,             61525109,            168674812,,,,             78242200,                596110,             78838310,,              8761874,,             10289878,              3353938,,             30879069,             44522885,,              1284182,              1959107,            131448144,              4611840,            136059984,            304734796,     28819800,    145883011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2014年06月30日,,,,             41729867,,              3176992,,                475832,,             41115353,,                642033,,                105653,,,             16650350,,             20777141,             37427491,,                369394,              3364912,              3734306,            128407527,,,              1051853,,              1521870,,            135555456,,             10350839,,              1512705,             11863544,              4090167,,,                368062,              2546532,,              2207351,              5121945,            159204835,            287612362,,,,,             33280595,,              3029941,                              0,,             26702011,,             30526893,              2663265,,,                 66968,                 66968,,                727520,              5234193,              5961713,              1887178,              7915859,            104118564,,,             20780569,,             26937110,,              3245527,,,                537570,              4568457,                609992,              5716019,             56679225,            160797789,,,,             78104549,                353226,             78457775,,              8655837,,             10289878,              3353938,,             23662360,             37306176,,                 43844,              1959107,            122504525,              4310048,            126814573,            287612362,     17534400,    145883011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2014年03月31日,,,,             43577488,,              3366614,,              1922038,,             37856827,,                616417,,                187271,,,             15495215,,             20773954,             36269169,,                300331,              3046023,              3346354,            127142178,,,              1133960,,              1474698,,            130422379,,             10382862,,              1563584,             11946446,              3987269,,,                342843,              2489578,,                896884,              3729305,            152694057,            279836235,,,,,             33853530,,              2413941,                    515,,             25471468,,             15840371,              3282799,,,                     30,                     30,,                741695,              5032977,              5774672,              1540356,              7315058,             88177682,,,             20975751,,             29008600,,              2968402,,,                548460,              4613314,                617384,              5779158,             58731911,            146909593,,,,             77871596,                465527,             78337123,,              8243326,,              8720971,              3663930,,             29970876,             42355777,,              1636356,              1959107,            128613475,              4313167,            132926642,            279836235,     25816500,    145883011,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2014年01月01日,,,,             45026371,,              2764269,,              2376970,,             43235573,,                422345,,                150596,,,             16281236,,             18589255,             34870491,,                278375,              3051492,              3329867,            132176482,,,              1140329,,              1216201,,            131497331,,             10347820,,              1605824,             11953644,              3783265,,,                354993,              4072281,,                637163,              5064437,            154655207,            286831689,,,,,             44618195,,              1853304,                  3310,,             28988976,,             14758553,              3000869,,,                 19248,                 19248,,                731438,              5276206,              6007644,              1585177,              7612069,            100835276,,,             20582567,,             29580659,,              2663767,,,                894150,              4545960,                651171,              6091281,             58918274,            159753550,,,,             77560040,                620218,             78180258,,              7920220,,              8720971,              3663930,,             26521201,             38906102,,               -102616,              1959107,            122944857,              4133282,            127078139,            286831689,     31822600,    145883011,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,2013年12月31日,,,,,,              2764269,,              2376970,,             43235573,,                422345,,,,,             16281236,,             18589255,             34870491,,                278375,              3051492,              3329867,            132176482,,,              1140329,,              1216201,,            131497331,,             10347820,,              1605824,             11953644,              3765482,,,                354993,              4072281,,                637163,              5064437,            154637424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     31822600,    145883011,              0,             45026371,                150596,            286813906,,,,             44618195,,              1853304,                  3310,,             28988976,,             14758553,              3000869,,,                 19248,                 19248,,                731438,              5276206,              6007644,              1585177,              7612069,            100835276,,,             20582567,,             29580659,,              2663767,,,                894150,              4441357,                651171,              5986678,             58813671,            159648947,,,,             77560040,                620218,             78180258,,              7908870,,              8720971,              3663930,,             26608253,             38993154,,               -102554,              1959107,            123020621,              4144338,            127164959,,,,,,,,,,,
2311,2013年09月30日,,,,,,              3160795,,                 73321,,             38673421,,                478458,,,,,             17515413,,             17743428,             35258841,,                653334,              3360801,              4014135,            122063689,,,              1203481,,              1185008,,            131235704,,             10335239,,              1693642,             12028881,              3523179,,,                361562,              4106574,,                328156,              4796292,            153972545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    148912140,    145883011,              0,             40294503,                110215,            276036234,,,,             42617294,,              1787993,                    414,,             27002324,,             14888624,              2498021,,,                 21003,                 21003,,                719012,              3926079,              4645091,              1387521,              6053615,             94848285,,,             20354527,,             32533208,,              2492041,,,                              0,              5087353,                626646,              5713999,             61093775,            155942060,,,,             76098162,              3755009,             79853171,,              5646220,,              8720971,              3663930,,             21047002,             33431903,,               -821704,              1959107,            116150483,              3943691,            120094174,,,,,,,,,,,
