證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他權益－其他,　　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 本期所得稅負債,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 與待出售非流動資產直接相關之負債,　　　 長期借款,　　　　 長期借款合計,　　　　 資本公積－其他
2321,2015年09月30日,,,,                260919,,                  5003,,                 31861,,                101651,,                 54284,,                    247,,                703270,,                 11414,,                  9218,,                718529,,                 23963,,                326392,              2246751,,,                186414,,                  9197,,                203500,,                  7294,                118808,,                 40772,                565985,              2812736,,,,,              1084051,,                  7627,,                731471,,                  1039,,                181815,,                 57295,              2063298,,,                199500,,                    719,,                    880,,                131879,                332978,              2396276,,,,              2973318,              3333334,              6306652,,                  2502,                    334,                              0,                  2836,,,             -5853245,             -5853245,,,               -346237,               -346237,                 13784,                 96222,                320238,                416460,              2812736,              0,              0,      2821207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,2015年06月30日,,,,                287378,,                 19011,,                 34209,,                101646,,                 63816,,                    159,,                362944,,                  3946,,                 66026,,                748462,,                 20110,,                308067,              2015774,,,                227934,,                  8520,,                205104,,                  3616,                118808,,                 37030,                601012,              2616786,,,,,                902155,,                  3055,,                647812,,                  9504,,                191370,,                 44561,              1798457,,,                210000,,                    706,,                    880,,                132285,                343871,              2142328,,,,              2973318,              3333334,              6306652,,                  2502,                    334,                              0,                  2836,,,             -5836659,             -5836659,,,,               -302370,                 13784,                156675,                317783,                474458,              2616786,              0,              0,      2821207,,               -302370,               -302370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,2015年03月31日,,,,                277247,,                              0,,                 40581,,                101646,,                 38126,,                     50,,                547316,,                  3826,,                 40630,,                562142,,                 22600,,                311513,              1945677,,,                227766,,                  9089,,                213999,,                  3285,                118808,,                 37480,                610427,              2556104,,,,,              1049391,,                  3983,,                365665,,                  4830,,                152761,,                 69384,              1646976,,,                210000,,                    694,,                    880,,                132030,                343604,              1990580,,,,              2973318,              3333334,              6306652,,                  2502,                    334,                              0,                  2836,,,             -5793897,             -5793897,,,               -296165,               -296165,                 13784,                205642,                359882,                565524,              2556104,              0,              0,      2821207,,,,                    962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,2014年12月31日,,,,                366119,,                  5012,,                 42258,,                101640,,                 39580,,                    264,,                459712,,                123150,,                 26003,,                627048,,                 21976,,                256284,              2069046,,,                193156,,                 10269,,                223665,,                  4141,                118808,,                 33600,                583639,              2652685,,,,,              1125489,,                  5894,,                583520,,                  5534,,                197807,,                 70968,              1989212,,,                              0,,                    681,,                    880,,                131758,                133319,              2122531,,,,              2973318,              3333334,              6306652,,                  2502,                    334,                              0,                  2836,,,             -5794638,             -5794638,,,               -329098,               -329098,                 13784,                171968,                358186,                530154,              2652685,              0,              0,      2821207,,               -329098,               -329098,,                366119,                101640,              2652685,,,,              1125489,,                  5894,,                583520,,                  5534,,                196233,                  1574,,                 70968,              1989212,,,                    681,,                    880,,                131758,                133319,              2122531,,,,              2973318,              3333334,              6306652,,                  2502,                    334,                  2836,,,             -5794638,             -5794638,,,               -329098,               -329098,                 13784,                171968,                358186,                530154,,,,,,,,
2321,2014年09月30日,,,,                769447,,                 73243,,                 41587,,                101641,,                 40511,,                    150,,                621404,,                150313,,                 27196,,                764120,,                 18065,,                172854,              2780531,,,                203267,,                  7468,,                228570,,                  4190,                118808,,                 33737,                596040,              3376571,,,,,              1204540,,                  8056,,                724221,,                  2821,,                167484,,                557852,              2664974,,,                              0,,                    669,,                    880,,                133384,                134933,              2799907,,,,              2973318,              3333334,              6306652,,                              0,                    334,                   -177,                    157,,,             -5748913,             -5748913,,,               -319658,               -319658,                 13784,                224454,                352210,                576664,              3376571,              0,              0,      2821207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,2014年06月30日,,,,                749195,,                 60260,,                 49972,,                101636,,                 45843,,                              0,,                867373,,                190712,,                 24843,,                789971,,                 36197,,                169500,              3085502,,,                211605,,                  7118,,                233973,,                  4656,                118808,,                 36955,                613115,              3698617,,,,,              1145924,,                  1194,,              1030743,,                    527,,                197809,,                558766,              2934963,,,                              0,,                    648,,                    880,,                133089,                134617,              3069580,,,,              2973318,              3333334,              6306652,,                              0,                    334,                    264,                    598,,,             -5698725,             -5698725,,,,               -302936,                 13784,                291805,                337232,                629037,              3698617,              0,              0,      2821207,,               -302936,               -302936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,2014年03月31日,,,,                689536,,                 62386,,                 45444,,                101635,,                 41914,,                              0,,                458694,,                198232,,                 60731,,                670453,,                 21979,,                155882,              2506886,,,                214832,,                  8533,,                252796,,                  7325,                118808,,                 39174,                641468,              3148354,,,,,                973798,,                  2695,,                588998,,                  8916,,                151733,,                671939,              2398079,,,                              0,,                    635,,                    880,,                132805,                134320,              2532399,,,,              2973318,              3333334,              6306652,,                              0,                    334,                              0,                    334,,,             -5710589,             -5710589,,,               -304236,               -304236,                 13784,                278377,                337578,                615955,              3148354,              0,              0,      2821207,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,2013年12月31日,,,,,,                 89369,,                 39542,,,,                 43887,,                    115,,                703683,,                238015,,                 28068,,                649045,,                 22032,,                153627,              2807297,,,                245990,,                  7206,,                259769,,                  9600,                118808,,                 40518,                681891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2821207,,,,,                733283,                106631,              3489188,,,,              1178265,,                  5465,,                696556,,                      9,,                174352,                    596,,                666787,              2722030,,,                    623,,                    880,,                132549,                134052,              2856082,,,,              2973318,              3333334,              6306652,,                              0,                    334,                    334,,,             -5708662,             -5708662,,,               -278980,               -278980,                 13784,                305560,                327546,                633106,,,,,,,,
2321,2013年09月30日,,,,,,                115084,,                 39235,,,,                 41059,,                    294,,                499884,,                275765,,                 22639,,                761145,,                 30650,,                223529,              2757064,,,                256244,,                  7338,,                273086,,                 11047,                118808,,                 39399,                705922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2821207,,,,,                600403,                142531,              3462986,,,,                709164,,                  8259,,                966771,,                              0,,                153263,,,                263845,              2201334,,,                    611,,                              0,,                137540,                628151,              2829485,,,,              2973318,              3333334,              6306652,,,                              0,                              0,,,             -5704441,             -5704441,,,               -269033,               -269033,                 13784,                319394,                314107,                633501,,                  4846,,                 99987,                     45,,                490000,                              0
2321,2013年06月30日,,,,,,                 93040,,                 39696,,,,                 30818,,                    472,,                878343,,                199644,,                 21936,,              1022884,,                 26718,,                 14181,              3331077,,,                237193,,                  7386,,                287459,,                 13562,                118808,,                 42471,                706879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2821207,,,,,                751587,                246605,              4037956,,,,              1097335,,                  1746,,              1146133,,                  1757,,                190883,,,                757308,              3295187,,,                    599,,                              0,,                138628,                139227,              3434414,,,,              2973318,              3333334,              6306652,,,                              0,                              0,,,             -5702202,             -5702202,,,               -287623,               -287623,                 13784,                303043,                300499,                603542,,                  5153,,                 99980,                     45,,,                              0
