證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 非控制權益,　　　　　 一年或一營業週期內到期長期借款
2325,2015年09月30日,,,,             22436629,,                  8138,,             17057548,,                496397,,              4293936,,              1334467,              1334467,             45627115,,,              6451861,,                 41318,,             65594191,,                203097,                829618,,,                954702,                954702,             74074787,            119701902,,,,,              2793950,,                373971,,                              0,,              6448043,,             12467115,                552085,,,              4073723,                989467,              5063190,             27698354,,,             12566577,,              8779183,,                167985,,              1251055,             22764800,             50463154,,,,             31163611,             31163611,,             15771210,,              9967775,                              0,,             10133190,             20100965,,              2202962,             69238748,             69238748,            119701902,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2015年06月30日,,,,             28103413,,                 11895,,             18450827,,                886743,,              4475835,,              1376610,              1376610,             53305323,,,              8106868,,                 45222,,             65202599,,                190908,                657606,,,              1072729,              1072729,             75275932,            128581255,,,,,              2623100,,                851880,,                              0,,              7034054,,             22365640,                914703,,,              3905237,                852832,              4758069,             38547446,,,             11726043,,              9042410,,                 84801,,              1258070,             22111324,             60658770,,,,             31163611,             31163611,,             15771577,,              9967775,                              0,,              7450886,             17418661,,              3568636,             67922485,             67922485,            128581255,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2015年03月31日,,,,             28264264,,                  8915,,             17357822,,                569725,,              4508733,,              1463653,              1463653,             52173112,,,              9471354,,                 54433,,             63392501,,                213841,                800417,,,              1215955,              1215955,             75148501,            127321613,,,,,              2660500,,              1410750,,                              0,,              7222899,,             10063777,              2289861,,,              5257443,                863927,              6121370,             29769157,,,             11818664,,              9324812,,                 84371,,              1289454,             22517301,             52286458,,,,             31163611,             31163611,,             15771577,,              8797005,                              0,,             14293249,             23090254,,              5009713,             75035155,             75035155,            127321613,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2014年12月31日,,,,             30154713,,                 10197,,             18567857,,                813545,,              4381135,,              1280461,              1280461,             55207908,,,              8999903,,                 76032,,             63520671,,                249170,                700075,,,              1002316,              1002316,             74548167,            129756075,,,,,              2690250,,              1095552,,                735000,,              7285963,,             10171755,              1908506,,,              6970152,                718865,              7689017,             31576043,,,             11875483,,             12794062,,                 82989,,              1320879,             26073413,             57649456,,,,             31163611,             31163611,,             15771456,,              8797005,                              0,,             11678749,             20475754,,              4695798,             72106619,             72106619,            129756075,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2014年09月30日,,,,             20138596,,                 12473,,             18914270,,                583325,,              4440428,,              1236003,              1236003,             45325095,,,              8477221,,                135709,,             57652745,,                274240,                510401,,,                985918,                985918,             68036234,            113361329,,,,,              2585700,,                              0,,                              0,,              7624719,,             10968973,              1123310,,,              6805331,                525254,              7330585,             29633287,,,                              0,,             14182351,,                 84584,,              1277504,             15544439,             45177726,,,,             31163611,             31163611,,             15771441,,              8797005,                              0,,              8663479,             17460484,,              3788067,             68183603,             68183603,            113361329,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2014年06月30日,,,,             18651358,,                  9310,,             18588724,,                636009,,              4355506,,              1271462,              1271462,             43512369,,,              9929333,,                599271,,             57166569,,                286009,                475164,,,                941185,                941185,             69397531,            112909900,,,,,              2538525,,                              0,,                              0,,              7857210,,             16974037,                741510,,,              4943790,                404122,              5347912,             33459194,,,                              0,,             12010901,,                 94999,,              1302225,             13408125,             46867319,,,,             31163611,             31163611,,             15771441,,              8797005,                              0,,              5403303,             14200308,,              4907221,             66042581,             66042581,            112909900,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2014年03月31日,,,,             18945401,,                  9331,,             15302893,,                612452,,              4114854,,              1275950,              1275950,             40260881,,,              7240470,,                622968,,             55414638,,                316908,                665468,,,                900787,                900787,             65161239,            105422120,,,,,              2589950,,                              0,,                              0,,              6889708,,              8718043,              1036922,,,              4999234,                240113,              5239347,             24473970,,,                              0,,             13745828,,                 70596,,              1337381,             15153805,             39627775,,,,             31163611,             31163611,,             15771441,,              8207777,                244604,,              7982742,             16435123,,              2424170,             65794345,             65794345,            105422120,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2014年01月01日,,,,             16975247,,                 17109,,             15354384,,                611227,,              3667592,,              1199572,              1199572,             37825131,,,              6087053,,                615998,,             55196751,,                355313,                830625,,,                901082,                901082,             63986822,            101811953,,,,,              2533850,,                              0,,                              0,,              6542050,,              9214227,                778348,,,              3154196,                307493,              3461689,             22530164,,,                              0,,             15355557,,                103417,,              1361609,             16820583,             39350747,,,,             31163611,             31163611,,             15771853,,              8207777,                244604,,              5888409,             14340790,,              1184952,             62461206,             62461206,            101811953,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,2013年12月31日,,,,,,                 17109,,             15354384,,                611227,,              3667592,,              1199572,              1199572,             37825131,,,              6087053,,                615998,,             55196751,,                355313,                828243,,,                901082,                901082,             63984440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             16975247,            101809571,,,,              2533850,,                              0,,                              0,,              6542050,,              9214227,                778348,,,              3154196,                307493,              3461689,             22530164,,,                              0,,             15355557,,                103417,,              1350497,             16809471,             39339635,,,,             31163611,             31163611,,             15771853,,              8207777,                244604,,              5965224,             14417605,,              1116867,                              0,             62469936,             62469936,,
2325,2013年09月30日,,,,,,                 19516,,             15674391,,                628807,,              3950889,,              1178772,              1178772,             35268977,,,              6407160,,                605442,,             56564196,,                377313,              1010280,,,                962705,                962705,             65927096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             13816602,            101196073,,,,              2513610,,,,,,              6932289,,             10368232,                555017,,,              3143211,                432507,              3575718,             23944866,,,,,             15355509,,                 90771,,              1477323,             16923603,             40868469,,,,             31163611,             31163611,,             15771165,,              8207777,                244604,,              3625978,             12078359,,              1314469,                              0,             60327604,             60327604,,
