證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收款－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 其他應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 暫估應付費用,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　　 未實現售後租回損失,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 其他應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 暫估應付費用,　　　　 應付設備款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 未實現售後租回利益,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他非流動負債－其他,　　　　 基金,　　　　　 償債基金,　　　　　 基金合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計
2329,2015年09月30日,,,,                401392,,                 23532,,                 22197,,              2085880,,                536286,,                 54464,,                 50829,,              1428840,,                160116,,                983247,                 41598,              1024845,              5788381,,,                347440,,                390005,,              7837053,,                686368,,                 26059,              1492368,,                255827,                141362,,                102125,                102125,,                 30012,                 30012,                529326,             11308619,             17097000,,,,,              2867885,,                 99501,,                318497,                 39397,                357894,,              2705799,,                 11186,,                613547,                747153,              1360700,                319900,                              0,,,              1224380,              1224380,                515980,                128063,              1868423,              9591288,,,                654769,,,                223118,                223118,                708373,                 33570,                965061,              1619830,             11211118,,,,              8060158,              8060158,,                  1680,,,             -2602204,             -2602204,,                288228,              5747862,                138020,              5885882,             17097000,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2015年06月30日,,,,                751659,,                 32945,,                 19637,,              2967397,,                 36925,,                 42992,,                 57040,,              1374584,,                165419,,                962528,                 71307,              1033835,              6482433,,,                347440,,                364612,,              7469213,,                650723,,                 17922,              1570008,,                285485,                139614,,                 95921,                 95921,,                 31424,                 31424,                552444,             10972362,             17454795,,,,,              3278011,,                 99487,,                339718,                 46595,                386313,,              2759096,,                 19725,,                527944,                666128,              1194072,                319900,                              0,,,              1212857,              1212857,                512704,                203121,              1928682,              9985286,,,                828030,,,                280600,                280600,                705321,                 33576,              1019497,              1847527,             11832813,,,,              8060158,              8060158,,                  1824,,,             -2813855,             -2813855,,                248953,              5497080,                124902,              5621982,             17454795,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2015年03月31日,,,,                413686,,                 44993,,                 22739,,              2676630,,                 30114,,                 45154,,                 45875,,              1563784,,                133740,,              1160328,                 38091,              1198419,              6175134,,,                347440,,                352529,,              7325624,,                664847,,                 23396,              1637851,,                186087,                130903,,                 97100,                 97100,,                 33447,                 33447,                447537,             10799224,             16974358,,,,,              3440589,,                 49857,,                310282,                 22008,                332290,,              2688687,,                  7940,,                494570,                692958,              1187528,                324900,                    697,,,              1091829,              1091829,                299138,                150967,              1541934,              9574422,,,              1131431,,,                134416,                134416,                717670,                 33597,                885683,              2017114,             11591536,,,,              8060158,              8060158,,                  1077,,,             -3069728,             -3069728,,                251447,              5242954,                139868,              5382822,             16974358,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2014年12月31日,,,,                399711,,                 49825,,                 17855,,              2659997,,                 44523,,                 41803,,                 42474,,              1455081,,                119088,,                849420,                 44375,                893795,              5724152,,,                454690,,                350355,,              6912842,,                678691,,                 29435,              1672470,,                289914,                128768,,                138900,                138900,,                 36723,                 36723,                594305,             10692788,             16416940,,,,,              3337999,,                 49242,,                306534,                 42331,                348865,,              2823142,,                              0,,                401260,                498923,                900183,                 74900,                    699,,,              1023018,              1023018,                321811,                105048,              1449877,              8984907,,,              1317816,,,                200906,                200906,                714810,                 34538,                950254,              2268070,             11252977,,,,              8060158,              8060158,,                              0,,,             -3317661,             -3317661,,                276354,              5018851,                145112,              5163963,             16416940,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2014年09月30日,,,,                383302,,                 43863,,                 18404,,              2388112,,                 57763,,                 36109,,                 43957,,              1504385,,                127163,,              1022411,                136882,              1159293,              5762351,,,                430213,,                330932,,              6451049,,                658929,,                 31619,              1776048,,                482709,                115787,,                133635,                133635,,                 39614,                 39614,                771745,             10450535,             16212886,,,,,              3219323,,                 49843,,                345245,                 45926,                391171,,              2620860,,                              0,,                469754,                693456,              1163210,                 74900,                    106,,,                924718,                924718,                317067,                143585,              1385370,              8904783,,,              1459916,,,                245400,                245400,                735310,                 32889,              1013599,              2473515,             11378298,,,,              8060158,              8060158,,                              0,,,             -3570102,             -3570102,,                226061,              4716117,                118471,              4834588,             16212886,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2014年06月30日,,,,                322365,,                 53464,,                 18285,,              2312144,,                 51359,,                 20801,,                 42241,,              1350697,,                110780,,                747773,                 32419,                780192,              5062328,,,                432763,,                322540,,              6446415,,                651794,,                 30158,              1878168,,                103876,                104436,,                131003,                131003,,                 33235,                 33235,                372550,             10134388,             15196716,,,,,              3281093,,                 49215,,                304200,                 52467,                356667,,              2377376,,                              0,,                382497,                309439,                691936,                 74900,                    106,,,                937111,                937111,                151311,                156058,              1244480,              8075773,,,              1669032,,,                 85109,                 85109,                732422,                 32146,                849677,              2518709,             10594482,,,,              8060158,              8060158,,                              0,,,             -3788860,             -3788860,,                216598,              4487896,                114338,              4602234,             15196716,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2014年03月31日,,,,                371944,,                 48883,,                 22243,,              2046404,,                 39483,,                 25031,,                 38548,,              1199252,,                 83104,,                853452,                 32576,                886028,              4760920,,,                424963,,                318650,,              6281407,,                              0,,                 37113,              1974769,,                222611,                 97021,,                133723,                133723,,                693747,                693747,              1147102,             10184004,             14944924,,,,,              3328784,,                 49802,,                319268,                 30466,                349734,,              2130969,,                              0,,                353266,                259422,                612688,                 74900,                  1085,,,                872921,                872921,                117618,                144500,              1135039,              7683001,,,              2006155,,,                    320,                    320,                729573,                 32634,                762527,              2768682,             10451683,,,,              8060158,              8060158,,                              0,,,             -3906177,             -3906177,,                219331,              4373312,                119929,              4493241,             14944924,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2014年01月01日,,,,                322495,,                 30748,,                 17389,,              1649596,,                 30882,,                 40771,,                 36823,,              1023342,,                 78566,,                539948,                 34705,                574653,              3805265,,,                424663,,                315700,,              6429229,,                              0,,                 37208,              2028529,,                113614,                 96129,,                130959,                130959,,                682751,                682751,              1023453,             10258782,             14064047,,,,,              3182491,,                 49951,,                286990,                 25982,                312972,,              1727861,,                              0,,                288063,                171783,                459846,                 74900,                    471,,,                793087,                793087,                183999,                109340,              1086426,              6894918,,,              2016374,,,                  8728,                  8728,                726869,                 33097,                768694,              2785068,              9679986,,,,              8060158,              8060158,,                              0,,,             -3998077,             -3998077,,                208189,              4270270,                113791,              4384061,             14064047,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,2013年12月31日,,,,,,                 30748,,                 17389,,              1649596,,                 30882,,                 40771,,                 36823,,              1023342,,                 78566,,                539948,                 34705,                574653,              3805265,,,                424663,,                315700,,              6429229,,                              0,,                 37208,              1994733,,                113614,                 96129,,                130959,                130959,,                647593,                682751,              1023453,             10224986,,,,,,,,,                286990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                322495,                 35158,             14030251,,,,              3182491,,                 49951,,                 25982,                312972,,              1727861,,                288063,                171783,                459846,                 74900,                    471,,,                793087,                793087,                183999,                109340,              1086426,              6894918,,,              2016374,,,                  8728,                  8728,                528067,                 30663,                  2434,                569892,              2586266,              9481184,,,,              8060158,              8060158,,,             -3837278,             -3837278,,                208189,              4431069,                117998,              4549067,,              1023342,                              0,,,,,,,,,,,
2329,2013年09月30日,,,,,,                 32003,,                 27643,,              1682836,,                 33452,,                 40552,,                 35897,,                979122,,                 84254,,                779325,                 34927,                814252,              4272244,,,                319040,,                300588,,              6385275,,                              0,,                 41011,              2133156,,                260144,                122700,,,                129950,,                642548,                680637,              1193431,             10372501,,,,,,,,,                243176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                542233,                 38089,             14644745,,,,              3395748,,                 49313,,                 29562,                272738,,              1749360,,                300612,                340948,                641560,                 74900,                              0,,,                667094,                667094,                246658,                178266,              1092018,              7275637,,,              2306975,,,                 22505,                 22505,                526339,                 30661,                  2920,                582425,              2889400,             10165037,,,,              8060158,              8060158,,,             -3838358,             -3838358,,                144851,              4366651,                113057,              4479708,,,,,,,,,,,,,,
