證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 無形資產,　　　　 無形資產合計,　　　　 待分配股票股利,　　　 庫藏股票
2354,2015年09月30日,,,,             45308238,,                540759,,             11148875,,             29741837,,              3032745,,              4880735,,             27903319,            122556508,,,              3800549,,                              0,,                956856,,             12741989,,                142202,              1646203,,              1541899,             20829698,            143386206,,,,,             19060276,,                 13529,,              4938412,,             13826092,,             15391749,              1163913,,                 43378,             54437349,,,                532814,,                101516,                634330,             55071679,,,,             13950240,             13950240,,,              7470233,                              0,                              0,              7470233,,              7815013,,             51411618,             59226631,,,              7552435,,                 22513,              7574948,             88222052,                 92475,             88314527,            143386206,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,2015年06月30日,,,,             48012129,,                180285,,              6052263,,             20444970,,              1249127,,              3519668,,             30705095,            110163537,,,              6178141,,                              0,,                930940,,             12613537,,                141860,              2104091,,                907075,             22875644,            133039181,,,,,             17507786,,                118520,,              4141624,,              8415138,,             17117731,              1542049,,                 52125,             48894973,,,                493979,,                 64917,                558896,             49453869,,,,             13767258,             14384931,,,              7035542,                              0,                              0,              7035542,,              7815013,,             48496806,             56311819,,,              3294274,,              2469224,              5763498,             83495790,                 89522,             83585312,            133039181,              0,              0,              0,                617673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,2015年03月31日,,,,             39426384,,                131032,,              5463594,,             22308574,,              1326731,,              3323031,,             33591564,            105570910,,,              4893787,,                              0,,                569162,,             13098893,,                139664,              2037707,,                935246,             21674459,            127245369,,,,,             14051735,,                              0,,              4250936,,              8128434,,             14283550,              1550304,,                218982,             42483941,,,                471354,,                 50382,                521736,             43005677,,,,             13767258,             13767258,,,              7035542,                              0,                              0,              7035542,,              6874777,,             50124215,             56998992,,,              4408358,,              1933080,              6341438,             84143230,                 96462,             84239692,            127245369,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,2014年12月31日,,,,             35253120,,                416480,,             13519735,,             20688176,,              3071110,,              3917182,,             31552830,            108418633,,,              4820399,,                              0,,                620899,,             14303803,,                136557,              1749937,,                945350,             22576945,            130995578,,,,,             12376815,,                107654,,              5124354,,             12365478,,             16799097,              1446060,,                216555,             48436013,,,                455466,,                 48218,                503684,             48939697,,,,             13767258,             13767258,,,              7035542,                              0,                              0,              7035542,,              6874777,,             47154631,             54029408,,,              5269042,,              1856192,              7125234,             81957442,                 98439,             82055881,            130995578,              0,              0,              0,                              0,             35253120,            130995578,,,,             12376815,,                107654,,              5124354,,             12365478,,             16799097,              1446060,,                216555,             48436013,,,                455466,,                 48218,                503684,             48939697,,,,             13767258,             13767258,,,              7035542,                              0,                              0,              7035542,,              6874777,,             47154631,             54029408,,,              5269042,,              1856192,              7125234,             81957442,                 98439,             82055881,,,,
2354,2014年09月30日,,,,             37593953,,                 76635,,              6125243,,             17722687,,              1784946,,              4418197,,             21822790,             89544451,,,              4415907,,                              0,,                688188,,             13865316,,                136901,              1716103,,              1033709,             21856124,            111400575,,,,,             11106516,,                              0,,              3820159,,              9046374,,             12058429,                727661,,                234091,             36993230,,,                406530,,                 52556,                459086,             37452316,,,,             13767258,             13767258,,,              7035542,                              0,                              0,              7035542,,              6874777,,             42067533,             48942310,,,              2642160,,              1464000,              4106160,             73851270,                 96989,             73948259,            111400575,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,2014年06月30日,,,,             42784116,,              1884673,,              5028591,,             10893414,,                604226,,              1962944,,              7303743,             70461707,,,              4550533,,                              0,,                743956,,             14929072,,                137262,              1609060,,              1113225,             23083108,             93544815,,,,,              6561146,,                              0,,              3848498,,              3786181,,              7708278,                516190,,                253806,             22674099,,,                484366,,                239547,                723913,             23398012,,,,             13064902,             14044145,,,              6758655,                              0,                              0,              6758655,,              6874777,,             39457325,             46332102,,,              1093507,,              1820628,              2914135,             70049037,                 97766,             70146803,             93544815,              0,              0,              0,                979243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,2014年03月31日,,,,             44193630,,                375986,,              4672118,,              7599282,,                379673,,              1662685,,              7437105,             66320479,,,              3805715,,                 22048,,                595515,,             15647199,,                137621,              1614534,,              1010594,             22833226,             89153705,,,,,              5107563,,                 30016,,              4011877,,              2059283,,              5731680,                743152,,                326532,             18010103,,,                570586,,                300782,                871368,             18881471,,,,             13064902,             13064902,,,              6758655,                              0,                              0,              6758655,,              6172002,,             40792233,             46964235,,,              2305342,,              1069810,              3375152,             70162944,                109290,             70272234,             89153705,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,2013年12月31日,,,,,,                 45843,,             10976258,,              9820365,,                969997,,              2134537,,              7491924,             71368483,,,              3470105,,                347455,,                387676,,             16806461,,                140897,              1526661,,              1192455,             23871710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,             39929559,             95240193,,,,              6797031,,                 12429,,              4613396,,              5209813,,              7264368,                886654,,                381427,             25165118,,,                429354,,                377778,                807132,             25972250,,,,             13064902,             13064902,,,              6758655,                              0,                              0,              6758655,,              6172002,,             40456473,             46628475,,,              1661900,,              1038900,              2700800,             69152832,                115111,             69267943,,                              0,                              0,
2354,2013年09月30日,,,,,,                              0,,             14071303,,             11167237,,              2944572,,              2697091,,              1372731,             69989241,,,              4130915,,                505016,,                              0,,             17196543,,                141728,              1289800,,              1454481,             24718483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,             37736307,             94707724,,,,              4200125,,                              0,,              5399873,,              8941203,,              8169319,                622503,,                527694,             27860717,,,                409788,,                256952,                666740,             28527457,,,,             13064902,             13064902,,,              6758655,                              0,                              0,              6758655,,              6172002,,             37546520,             43718522,,,                828757,,              1699710,              2528467,             66070546,                109721,             66180267,,                              0,,
2354,2013年06月30日,,,,,,                              0,,              7310530,,             14279205,,                992902,,              4705090,,              1268952,             64564242,,,              4108893,,                509970,,                              0,,             18133808,,                145330,              1331441,,              1454868,             25684310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,             36007563,             90248552,,,,              5177502,,                              0,,              5633473,,              5142797,,              6594850,                791124,,                397496,             23737242,,,                406902,,                226900,                633802,             24371044,,,,             12370160,             13491816,,,              6331741,                              0,                              0,              6331741,,              6172002,,             36458968,             42630970,,,              1627788,,              1677688,              3305476,             65760003,                117505,             65877508,,                              0,              1121656,
