證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 預付款項,　　　　 預付款項合計,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　 負債準備-非流動,　　　　 負債準備－非流動合計
2364,2015年09月30日,,,,                190403,,                              0,,                 92244,,                    145,,                292126,,                 16724,                591642,,,                              0,,                 37915,,                502474,,                151534,                 63250,,,                 49047,                 49047,                 49047,                804220,              1395862,,,,,                550000,,                    208,,                125969,,                 64462,,                  7360,,                 67836,                815835,,,                  3122,                              0,                  3122,                  3122,                818957,,,,              1901445,                    170,              1901615,,                  3397,,,               -938777,               -938777,,,                 19575,,                              0,                 19575,                409026,                576784,                    121,                576905,              1395862,              0,              0,      6087783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,2015年06月30日,,,,                206193,,                    252,,                 90650,,                     21,,                268573,,                 18439,                584128,,,                              0,,                 37915,,                503274,,                151885,                 62086,,,                 50966,                 50966,                 50966,                806126,              1390254,,,,,                570000,,                    159,,                 83174,,                 59912,,                  6916,,                 56481,                776642,,,                  3122,                              0,                  3122,                  3122,                779764,,,,              1901445,                    170,              1901615,,                  3397,,,               -902063,               -902063,,,                 16446,,                              0,                 16446,                409026,                610369,                    121,                610490,              1390254,              0,              0,      6087783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,2015年03月31日,,,,                202987,,                      5,,                 90987,,                     52,,                298473,,                 16372,                608876,,,                  1646,,                 46715,,                512780,,                152236,                 62341,,,                 54518,                 54518,                 54518,                830236,              1439112,,,,,                570000,,                    174,,                 82677,,                 54000,,                  6880,,                 51535,                765266,,,                  3346,                    397,                  3743,                  3743,                769009,,,,              1901445,                    170,              1901615,,                  3397,,,               -844061,               -844061,,,                 18374,,                   -317,                 18057,                409026,                669982,                    121,                670103,              1439112,              0,              0,      6087783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,2014年12月31日,,,,                214493,,                    109,,                 87294,,                    570,,                308221,,                 13391,                624078,,,                  1438,,                 46715,,                520468,,                152587,                 62543,,,                 63492,                 63492,                 63492,                847243,              1471321,,,,,                530000,,                    265,,                 88840,,                 65373,,                  6775,,                 45247,                736500,,,                  3224,                    868,                  4092,                  4092,                740592,,,,              1901445,                    170,              1901615,,                  3397,,,               -783783,               -783783,,,                 18930,,                   -525,                 18405,                409026,                730608,                    121,                730729,              1471321,              0,              0,      6087783,                214493,,                              0,              1471321,,,,                530000,,                    265,,                 88840,,                 65373,,                  6775,,                 45247,                736500,,,                  3224,                    868,                  4092,                  4092,                740592,,,,              1901445,                    170,              1901615,,                  3397,,,               -783783,               -783783,,,                 18930,,                   -525,                 18405,                409026,                730608,                    121,                730729,,,,,,,,,,,
2364,2014年09月30日,,,,                218985,,                              0,,                123788,,                  2764,,                350246,,                 26892,                722675,,,                  1444,,                 46715,,                519476,,                152937,                 80050,,,                 65761,                 65761,                 65761,                866383,              1589058,,,,,                550000,,                    422,,                138759,,                 64510,,                  7248,,                 61938,                822877,,,                  3224,                  1438,                  4662,                  4662,                827539,,,,              1901445,                    170,              1901615,,                  3397,,,               -747390,               -747390,,,                 13321,,                   -519,                 12802,                409026,                761398,                    121,                761519,              1589058,              0,              0,      6087783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,2014年06月30日,,,,                334000,,                     18,,                 99019,,                  3014,,                329874,,                 25066,                790991,,,                  1617,,                 46715,,                523900,,                153288,                 79731,,,                 57296,                 57296,                 57296,                862547,              1653538,,,,,                555000,,                    391,,                159024,,                 65826,,                  7010,,                 62749,                850000,,,                  3224,                  1519,                  4743,                  4743,                854743,,,,              1901445,                    170,              1901615,,                  3397,,,               -707439,               -707439,,,                 10473,,                   -346,                 10127,                409026,                798674,                    121,                798795,              1653538,              0,              0,      6087783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,2014年03月31日,,,,                371355,,                     15,,                 90457,,                  2475,,                292413,,                 33997,                790712,,,                  1692,,                 46715,,                533136,,                153639,                 80078,,,                 55081,                 55081,                 55081,                870341,              1661053,,,,,                555000,,                    271,,                104342,,                 54950,,                  6629,,                 69041,                790233,,,                  3224,                  2010,                  5234,                  5234,                795467,,,,              1901445,                    170,              1901615,,                  3630,,,               -644596,               -644596,,,                 14113,,                   -271,                 13842,                409026,                865465,                    121,                865586,              1661053,              0,              0,      6087783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,2013年12月31日,,,,,,                     11,,                 94013,,                  2208,,                280284,,                 24756,                782969,,,                  1345,,                 46715,,                538175,,                153990,                 79696,,,                 56633,                 56633,                 56633,                903063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6087783,                381697,,                 26509,              1686032,,,,                540000,,                    333,,                 85162,,                 65691,,                  6214,,                 62152,                759552,,,                  3224,                  2596,                  5820,                  5820,                765372,,,,              1901445,                    170,              1901615,,                  3630,,,               -585403,               -585403,,,                 10341,,                   -618,                  9723,                409026,                920539,                    121,                920660,,,,,,,,,,,
2364,2013年09月30日,,,,,,                  1769,,                143435,,                  3658,,                335336,,                 16791,                789998,,,                  1508,,                 46715,,                542622,,                154341,                105287,,,                 58779,                 58779,                 58779,                936869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6087783,                289009,,                 27617,              1726867,,,,                470000,,                    557,,                144283,,                 60801,,                  3139,,                 76237,                755017,,,                  3164,                  2566,                  5730,                  5730,                760747,,,,              1901445,                    170,              1901615,,                  3397,,,               -537417,               -537417,,,                  7885,,                   -455,                  7430,                409026,                965999,                    121,                966120,,,,,,,,,,,
2364,2013年06月30日,,,,,,                              0,,                133693,,                  2382,,                327705,,                 18218,                801193,,,                  2008,,                 46715,,                552104,,                154692,                106496,,,                 55875,                 55875,                 55875,                949171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6087783,                319195,,                 31281,              1750364,,,,                427329,,                    224,,                162362,,                 60122,,                  2875,,                 76756,                729668,,,                  3164,                  2590,                  5754,                  5754,                735422,,,,              1901445,                    170,              1901615,,                  3397,,,               -491398,               -491398,,,                 10188,,                     45,                 10233,                409026,              1014821,                    121,              1014942,,,,,,,,,,,
