證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－員工認股權,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
2377,2015年09月30日,,,,              7731405,,                 97904,,                  2444,,             12773302,,                417945,,                 26130,,             13864345,,              1190849,             36104324,,,                              0,,                              0,,              5621895,,                377246,                285073,,                162751,              6446965,             42551289,,,,,                164179,,                  8551,,                    641,,             13960362,,              2385273,                223320,,                231802,,                319602,             17293730,,,                 14281,,                    820,,                393558,                408659,             17702389,,,,              8448562,              8448562,,              2920142,,              3025283,                389482,,              9390481,             12805246,,                674950,                              0,             24848900,                              0,             24848900,             42551289,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2015年06月30日,,,,              9126946,,                 34813,,                  1832,,             11281177,,                258957,,                 23976,,             11991614,,              1217685,             33937000,,,                              0,,                              0,,              5589114,,                373835,                205283,,                153758,              6321990,             40258990,,,,,                777942,,                 11370,,                    967,,             10056398,,              4971662,                257482,,                218745,,                295056,             16589622,,,                 14272,,                  2609,,                389184,                406065,             16995687,,,,              8448562,              8448562,,              2920142,,              3025283,                389482,,              8246535,             11661300,,                233299,                              0,             23263303,                              0,             23263303,             40258990,              0,              0,              0,,              2740275,                130592,                  4815,                 44460,,                233299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2015年03月31日,,,,              9778481,,                 79240,,                  3595,,             11231110,,                330570,,                 19427,,             14196315,,              1279807,             36918545,,,                              0,,                              0,,              5707953,,                397056,                234904,,                158374,              6498287,             43416832,,,,,              2781963,,                  4762,,                              0,,             11233361,,              2492092,                526818,,                229928,,                421237,             17690161,,,                 15361,,                  8777,,                364960,                389098,             18079259,,,,              8448562,              8448562,,              2920142,,              2723897,                389482,,             10527709,             13641088,,                327781,                              0,             25337573,                              0,             25337573,             43416832,              0,              0,              0,,              2920142,                              0,,                              0,,                327781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2014年12月31日,,,,             10002083,,                 36685,,                  8372,,             12562726,,                282901,,                 21207,,             15553209,,              1282857,             39750040,,,                              0,,                    479,,              5848330,,                405364,                250542,,                170059,              6674774,             46424814,,,,,              2139056,,                     99,,                      8,,             15272310,,              2888150,                386113,,                224816,,                639600,             21550152,,,                 16413,,                  5634,,                320079,                342126,             21892278,,,,              8448562,              8448562,,              2920142,,              2723897,                389482,,              9579139,             12692518,,                471314,                              0,             24532536,                              0,             24532536,             46424814,              0,              0,              0,,              2740275,                130592,                  4815,                 44460,,                471314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2014年09月30日,,,,              7304653,,                 10905,,                     86,,             12941625,,                345268,,                 19785,,             14389227,,              1323689,             36335238,,,                 10000,,                  2128,,              5376345,,                417090,                212776,,                169682,              6188021,             42523259,,,,,                672063,,                     15,,                    996,,             14345371,,              2567332,                272754,,                216669,,                379080,             18454280,,,                 16609,,                  1851,,                303550,                322010,             18776290,,,,              8448562,              8448562,,              2920142,,              2723897,                389482,,              9045164,             12158543,,                219722,                              0,             23746969,                              0,             23746969,             42523259,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2014年06月30日,,,,             10909101,,                  4107,,                  4911,,             11933670,,                245819,,                 20946,,             14025237,,              1433501,             38577292,,,                 10000,,                  1524,,              5412395,,                342054,                221235,,                176051,              6163259,             44740551,,,,,              2568791,,                  2891,,                    542,,             13793943,,              4153590,                328770,,                212503,,                476632,             21537662,,,                 17129,,                  5016,,                289655,                311800,             21849462,,,,              8448562,              8448562,,              2920142,,              2723897,                389482,,              8339905,             11453284,,                 69101,                              0,             22891089,                              0,             22891089,             44740551,              0,              0,              0,,              2740275,                130592,                  4815,                 44460,,                 69101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2014年03月31日,,,,             13381147,,                 29005,,                              0,,             11833584,,                281908,,                 18377,,             13023160,,              1309906,             39877087,,,                 10000,,                    278,,              5684288,,                208009,                223250,,                174374,              6300199,             46177286,,,,,              2755882,,                  1340,,                              0,,             15601377,,              2468814,                476080,,                225002,,                414569,             21943064,,,                 18330,,                    253,,                271626,                290209,             22233273,,,,              8448562,              8448562,,              2920142,,              2526611,                389482,,              9432815,             12348908,,                226401,                              0,             23944013,                              0,             23944013,             46177286,              0,              0,              0,,              2920142,                              0,,                              0,,                226401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,2013年12月31日,,,,,,                              0,,                      1,,             12086606,,                260736,,,,             11453060,,              1326234,             35459063,,,                 10000,,                    433,,              5583526,,                211706,                187368,,                188558,              6181591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,             10328590,                  3836,             41640654,,,,              1200595,,                  3831,,                  3505,,             13803209,,              2343323,                287760,,                221810,,                598087,             18462120,,,                 18748,,                  4471,,                217729,                240948,             18703068,,,,              8448562,              8448562,,              2920142,,              2526611,                389482,,              8462643,             11378736,,                190146,                              0,             22937586,                              0,             22937586,,              2740275,                130592,                  4815,                 44460,,                190146
2377,2013年09月30日,,,,,,                123201,,                              0,,             10234359,,                280977,,,,             11399982,,              1418245,             33635366,,,                 10000,,                  1296,,              5521015,,                213663,                285844,,                192946,              6224764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,             10124797,                 53805,             39860130,,,,              2075783,,                  3731,,                     10,,             12456222,,              1910129,                207483,,                196701,,                497957,             17348016,,,                 19396,,                              0,,                217142,                236538,             17584554,,,,              8448562,              8448562,,              2920142,,              2526611,                389482,,              7939792,             10855885,,                 50987,                              0,             22275576,                              0,             22275576,,,,,,,
2377,2013年06月30日,,,,,,                104621,,                  6532,,              9827682,,                331669,,,,             10981674,,              1347277,             30831123,,,                 10000,,                  1936,,              5686994,,                189612,                398484,,                203997,              6491023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,              8180896,                 50772,             37322146,,,,                966429,,                              0,,                    145,,             10899823,,              2762695,                128613,,                180865,,                417833,             15356403,,,                 20489,,                  1035,,                217783,                239307,             15595710,,,,              8448562,              8448562,,              2915327,,              2526611,                389482,,              7338697,             10254790,,                 98692,                              0,             21717371,                  9065,             21726436,,              2740275,                130592,                              0,                 44460,,                 98692
