證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 待分配股票股利,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
2385,2015年09月30日,,,,              2967872,,                637604,,              4323587,,                 10942,,                107844,,             20815230,,                301633,,                410770,,             10018031,,              1278420,,                107749,             40979682,,,                186515,,              1404774,,              1035068,,             14874924,,              1977064,,                279439,                190812,,              1994702,             21943298,             62922980,,,,,              6030909,,                300000,,                 74239,,                  4514,,             19544302,,                443036,,              7724961,              1112143,,                165606,             35399710,,,              2782305,,                 37120,,                174784,              2994209,             38393919,,,,              7038101,              7038101,,,              2259282,                802600,                647069,                314793,                 70383,              4094127,,              3477140,                433524,,              7234305,             11144969,,,              1982943,,             -2832106,               -849163,                311277,             21116757,              3412304,             24529061,             62922980,              0,              0,     36808346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,2015年06月30日,,,,              1814918,,                144290,,              4492457,,,,                 69141,,             19253510,,                173468,,                728682,,              9097508,,              1314871,,                827864,             37916709,,,                235326,,              1337500,,              1070013,,             14186288,,              1838337,,                291442,                186508,,              1015632,             20161046,             58077755,,,,,              6412652,,                              0,,                105484,,                 11461,,             14484063,,                304852,,             10336186,              1041280,,                214491,             32910469,,,              2673665,,                 36925,,                180648,              2891238,             35801707,,,,              6948654,              7404397,,,              1892986,                802600,                647069,                360010,                -14564,              3688101,,              3477140,                433524,,              6403775,             10314439,,,                602919,,             -2682710,             -2079791,                311277,             19015869,              3260179,             22276048,             58077755,              0,              0,     36625221,                455743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,2015年03月31日,,,,              1956849,,                 51093,,              5315932,,,,                 26285,,             16127470,,                261710,,                448240,,             10226355,,              1329801,,                873642,             36617377,,,                338671,,              1097204,,              1121746,,             14073132,,              1893084,,                238583,                193029,,              1038746,             19994195,             56611572,,,,,              3916704,,,,                 51107,,                  6994,,             15147110,,                309115,,              6533717,              1091927,,                543015,             27599689,,,              2704968,,                 36969,,                180629,              2922566,             30522255,,,,              6948654,              6948654,,,              1892986,                632293,                647068,,                430394,              3602741,,              3069046,                433524,,              9042993,             12545563,,,                971466,,             -1422833,               -451367,                311277,             22334314,              3755003,             26089317,             56611572,              0,              0,     36625221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,2014年12月31日,,,,              1980696,,                267564,,              5151339,,                              0,,                 15999,,             18913995,,                241285,,                596465,,             10018702,,              1376621,,                 27886,             38590552,,,                382573,,              1097746,,              1176824,,             14204652,,                              0,,                246430,                194281,,              1106700,             18409206,             56999758,,,,,              2098920,,                              0,,                143388,,                 31341,,             19115143,,                425304,,              6939367,              1135472,,                567847,             30456782,,,                500000,,                 36999,,                179335,                716334,             31173116,,,,              6948654,              6948654,,,              1892986,                632293,                647068,                360011,                 70383,              3602741,,              3069046,                433524,,              8440750,             11943320,,,              1229944,,             -1282930,                -52986,                311277,             22130452,              3696190,             25826642,             56999758,              0,              0,     36625221,                              0,              1980696,             56999758,,,,              2098920,,                143388,,                 31341,,             19115143,,                425304,,              6939367,              1135472,,                567847,             30456782,,,                500000,,                              0,,                 36999,,                179335,                716334,             31173116,,,,              6948654,              6948654,,,              1892986,                632293,                647068,                312274,                118120,              3602741,,              3069046,                433524,,              8440750,             11943320,,,              1229944,,             -1282930,                -52986,                311277,             22130452,              3696190,             25826642,,,,
2385,2014年09月30日,,,,              2132177,,                 42937,,              5100039,,                              0,,                 36510,,             18553777,,                184149,,                415639,,              9663397,,                956765,,                  8577,             37093967,,,                378646,,                495690,,              1202775,,             13452664,,                              0,,                255703,                188033,,              1224066,             17197577,             54291544,,,,,              3661258,,                              0,,                 91282,,                  8745,,             17261799,,                531919,,              6701289,                955711,,                565454,             29777457,,,                500000,,                 36871,,                179252,                716123,             30493580,,,,              6948654,              6948654,,,              1892986,                632293,                647068,                360011,                 70383,              3602741,,              3069046,                433524,,              7070895,             10573465,,,                405997,,               -964992,               -558995,                311277,             20254588,              3543376,             23797964,             54291544,              0,              0,     36625221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,2014年06月30日,,,,              1681611,,                 25669,,              5153745,,,,                 29244,,             16846463,,                 92479,,                520890,,              7900732,,                953353,,                    339,             33204525,,,                528349,,                458559,,              1230866,,             12475373,,                              0,,                172343,                186824,,              1104061,             16156375,             49360900,,,,,              1722246,,                 10000,,                123585,,                    941,,             13300991,,                515570,,              9490402,              1108070,,                176786,             26448591,,,                500000,,                 45532,,                131029,                676561,             27125152,,,,              6867216,              7268052,,,              1573588,                632293,                955501,                              0,                 74225,              3235607,,              3069046,                433524,,              6060684,              9563254,,,                -67984,,               -659726,               -727710,                311277,             19027926,              3207822,             22235748,             49360900,              0,              0,     36443007,                400836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,2014年03月31日,,,,              2239329,,                 31544,,              5921574,,,,                 25721,,             16054501,,                 95286,,              1538820,,              8883579,,                641639,,                  4214,             35436207,,,                526167,,                458559,,              1282625,,             11898831,,                              0,,                187915,                225125,,              1278738,             15857960,             51294167,,,,,              2199816,,,,                115353,,                  6906,,             14499225,,                485456,,              7225792,              1055316,,                220692,             25808556,,,                500000,,                 49448,,                112735,                662183,             26470739,,,,              6867216,              6867216,,,              1573588,                464655,                647174,,                382657,              3068074,,              2690843,              1457609,,              7604628,             11753080,,,                336958,,               -300814,                 36144,                311277,             21413237,              3410191,             24823428,             51294167,              0,              0,     36443007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,2013年12月31日,,,,,,                117012,,              5538044,,,,                 43839,,             18323153,,                118407,,                385510,,              8702039,,                670420,,                  1222,             35477983,,,                354649,,                458559,,              1276165,,             11742080,,,,                168216,                223662,,              1198696,             15422027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     36443007,,              1578337,             50900010,,,,                697601,,                 11986,,                 15624,,             16031520,,                570688,,              6044149,              1127318,,                650405,             25149291,,,                923645,,                324176,,                 36811,,                162778,              1447410,             26596701,,,,              6867216,              6867216,,,              1573588,                464655,                643333,                312274,                 74224,              3068074,,              2690843,              1457609,,              6927695,             11076147,,,                167564,,                140176,                307740,                311277,             21007900,              3295409,             24303309,,,,
2385,2013年09月30日,,,,,,                 68012,,              4789298,,,,                 73082,,             18479997,,                 95529,,                442019,,              8734724,,                797354,,                  9935,             35016576,,,                341064,,                378362,,                900683,,             11482897,,,,                153066,                153687,,              1107728,             14517487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     36443007,,              1526626,             49534063,,,,              3788323,,                              0,,                  7665,,             14177978,,                345214,,              4961834,                931364,,              2137939,             26600317,,,              1212370,,                              0,,                 15539,,                159886,              1387795,             27988112,,,,              6867216,              6867216,,,              1573588,                464655,                615193,,                  7606,              2661042,,              2690843,              1457609,,              5937640,             10086092,,,                -78666,,               -175711,               -254377,                311277,             19048696,              2497255,             21545951,,                250000,,
2385,2013年06月30日,,,,,,                 14074,,              4483243,,,,                 79193,,             17605442,,                 57126,,                634778,,              8247022,,                916986,,                 12061,             33541181,,,                383629,,                378362,,              1315829,,             11260603,,,,                149244,                109643,,              1092103,             14689413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     36082186,,              1491256,             48230594,,,,              2027325,,                 34995,,                  5324,,             12322887,,                569900,,              7879621,                900637,,                176064,             23916753,,,              3689374,,                              0,,                 51977,,                156331,              3897682,             27814435,,,,              6757782,              7147360,,,              1293444,                464655,                              0,,                500657,              2258756,,              2690843,              1457609,,              5004628,              9153080,,,                144306,,               -170548,                -26242,                311277,             18221677,              2194482,             20416159,,                              0,                389578,
