證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 其他應付款－其他,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額
2397,2015年09月30日,,,,                755859,,                774370,,                121934,,                  1749,,                389041,,                155475,,                  7757,,                              0,,,                469444,                469444,,                 19659,,                  3237,              2698525,,,                    590,,                    701,,                564214,,,                  4994,                187365,                192359,                 44611,,                 34129,                836604,              3535129,,,,,                    910,,                 67625,,                191278,,                134648,                 24684,,                 23970,,                  8425,                451540,,,                 41588,,                 77022,                 77022,                118610,                570150,,,,              1148399,              1148399,,                791214,,                534493,                 47138,,                481636,              1063267,,                -32554,                  5349,              2964977,                              0,                      2,              2964979,              3535129,              0,        151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2015年06月30日,,,,                660850,,              1034759,,                136324,,                              0,,                403897,,                183906,,                 15109,,                              0,,,                562620,                562620,,                 21334,,                  1885,              3020684,,,                    590,,                    701,,                567511,,,                  5808,                187365,                193173,                 44123,,                 14273,                820371,              3841055,,,,,                    275,,                118998,,                259038,,                431227,                 43905,,                 22906,,                 37154,                913503,,,                 35538,,                 76632,                 76632,                112170,              1025673,,,,              1148399,              1148399,,                791214,,                534493,                 47138,,                361453,                943084,,                -61968,                  5349,              2815380,,                      2,              2815382,              3841055,              0,        151000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2015年03月31日,,,,                882749,,                913578,,                136689,,                      1,,                353342,,                 70079,,                  9276,,                              0,,,                532298,                532298,,                 27030,,                  8591,              2933633,,,                    590,,                    701,,                142768,,,                  6013,                187365,                193378,                 38938,,                420764,                797139,              3730772,,,,,                              0,,                 81245,,                278437,,                126644,                 51832,,                 21727,,                 34421,                594306,,,                 32384,,                 76264,                 76264,                108648,                702954,,,,              1148399,              1148399,,                791214,,                500764,                 45276,,                602444,              1148484,,                -54932,                  5349,              3027816,,                      2,              3027818,              3730772,              0,        151000,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2014年12月31日,,,,                841901,,              1187853,,                105378,,                  1748,,                337345,,                 56951,,                  7529,,                              0,,,                473513,                473513,,                 17453,,                  1272,              3030943,,,                    590,,                    701,,                145670,,,                  6032,                187365,                193397,                 36702,,                124229,                501289,              3532232,,,,,                              0,,                 73685,,                231230,,                138999,                 44429,,                 20951,,                 11059,                520353,,,                 32430,,                 75882,                 75882,                108312,                628665,,,,              1148399,              1148399,,                789318,,                500764,                 45276,,                529547,              1075587,,                -47138,                 62601,              2903565,                              0,                      2,              2903567,              3532232,              0,      1766000,,                              0,              0,                841901,,                              0,                105378,                              0,                    701,              3532232,,,,                              0,,                 73685,,                231230,,                138999,                 44429,,                 20951,,                 11059,                520353,,,                 32430,,                 75882,                 75882,                108312,                628665,,,,              1148399,              1148399,,                789318,,                500764,                 45276,,                529547,              1075587,,                -47138,                 62601,              2903565,                      2,              2903567,,,,,,,
2397,2014年09月30日,,,,                756009,,              1199327,,                105378,,                              0,,                339464,,                 61667,,                  5729,,                  2521,,,                499592,                499592,,                 14482,,                  5020,              2989189,,,                  4568,,                    701,,                147826,,,                  4256,                187365,                191621,                 34439,,                 30360,                409515,              3398704,,,,,                  1062,,                 69198,,                202452,,                114590,                 28060,,                 19622,,                  6518,                441502,,,                 28568,,                 69488,                 69488,                 98056,                539558,,,,              1148399,              1148399,,                789318,,                500764,                 45276,,                432978,                979018,,                -48178,                  9413,              2859144,                              0,                      2,              2859146,              3398704,              0,        251000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2014年06月30日,,,,                663450,,              1378341,,                105378,,                     89,,                270573,,                165551,,                  8665,,                  2475,,,                510694,                510694,,                 12038,,                  3036,              3120290,,,                  4568,,                    701,,                148706,,,                  3784,                187365,                191149,                 35014,,                  7571,                387709,              3507999,,,,,                              0,,                 98492,,                150131,,                322003,                 28535,,                 18480,,                  7230,                624888,,,                 25860,,                 69088,                 69088,                 94948,                719836,,,,              1148399,              1148399,,                789318,,                500764,                 45276,,                347472,                893512,,                -43068,                              0,              2788161,,                      2,              2788163,              3507999,              0,              0,,                     17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2014年03月31日,,,,                709431,,              1351556,,                105378,,                              0,,                257992,,                141852,,                  6756,,                  2520,,,                514317,                514317,,                 26397,,                  2900,              3119099,,,                  4568,,                    701,,                151008,,,                  4462,                187365,                191827,                 33559,,                  9027,                390690,              3509789,,,,,                    146,,                 78243,,                217100,,                107788,                 41196,,                 17527,,                 27363,                490156,,,                 24950,,                 68699,                 68699,                 93649,                583805,,,,              1148399,              1148399,,                789318,,                475429,                 25873,,                524685,              1025987,,                -37722,                              0,              2925982,,                      2,              2925984,              3509789,              0,              0,,                    793,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2013年12月31日,,,,,,              1318856,,,,                              0,,                241746,,                153612,,                  8220,,,,,                476012,                476012,,                 16841,,                  2221,              3019190,,,                  4568,,,,                153061,,,                  5117,                187365,                192482,                 33025,,                  9885,                393722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                693885,,                              0,                105323,                  2474,                    701,              3412912,,,,                    790,,                 72504,,                226054,,                116530,                 30815,,                 15959,,                  7051,                469703,,,                 23384,,                 77403,                 77403,                100787,                570490,,,,              1148399,              1148399,,                789318,,                475429,                 25873,,                448677,                949979,,                -45276,                              0,              2842420,                      2,              2842422,,                              0,,,,,
2397,2013年09月30日,,,,,,              1187730,,,,                  1413,,                223349,,                262091,,                 13477,,,,,                395689,                395689,,                 12220,,                  4459,              2884979,,,                  7000,,,,                153115,,,                  5796,                187365,                193161,                 32086,,                  9658,                395721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                609255,,,                173023,                  2273,                    701,              3280700,,,,                              0,,                 73381,,                180495,,                 99753,                 14626,,                 14841,,                 11855,                394987,,,                 21359,,                 72999,                 72999,                 94358,                489345,,,,              1148399,              1148399,,                789318,,                475429,                 25872,,                393132,                894433,,                -40797,                              0,              2791353,                      2,              2791355,,                     36,,,,,
2397,2013年06月30日,,,,,,              1310614,,,,                  1765,,                236462,,                203287,,                 16626,,,,,                463156,                463156,,                 20428,,                  3037,              3160317,,,                  7000,,,,                152560,,,                  6624,                187365,                193989,                 29907,,                 12239,                396396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                              0,,              0,                727229,,,                173023,                  4690,                    701,              3556713,,,,                  1767,,                 87724,,                316982,,                278674,                 22559,,                 13967,,                 13928,                735601,,,                 21510,,                 72676,                 72676,                 94186,                829787,,,,              1148399,              1148399,,                789318,,                475429,                 25873,,                326189,                827491,,                -38284,,              2726924,                      2,              2726926,,                              0,                278674,,,,
2397,2013年03月31日,,,,,,              1275184,,,,                     45,,                225055,,                 95461,,                 12585,,,,,                390966,                390966,,                 21560,,                  1392,              2964535,,,                  7000,,,,                152200,,,                  7041,                187365,                194406,                 28404,,                  9370,                392081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                764507,,,                177780,                              0,                    701,              3356616,,,,                    712,,                 53775,,                240859,,                 88664,                 25292,,                 12238,,                  9963,                431503,,,                 20157,,                 72358,                 72358,                 92515,                524018,,,,              1148399,              1148399,,                789318,,                453891,                 13720,,                461712,                929323,,                -34444,,              2832596,                      2,              2832598,,                              0,                 88664,,                              0,,
2397,2012年12月31日,,,,                706152,,              1039995,,,,                    136,,                261541,,                 86155,,                 14348,,,,,                360697,                360697,,                 17318,,                    883,              2864807,,,                  7000,,,,                153048,,,                  8196,                187365,                195561,                 29320,,                  9262,                394892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                              0,                177582,                              0,                    701,              3259699,,,,                    177,,                 77468,,                159611,,                108974,                 23686,,                 11536,,                  7239,                389701,,,                 17878,,                 72044,                 72044,                 89922,                479623,,,,              1148399,              1148399,,                789318,,                453891,                              0,,                418392,                872283,,                -29926,,              2780074,                      2,              2780076,,                  1010,,,,,                200000
2397,2012年09月30日,,,,                787268,,                975482,,,,                    102,,                197303,,                134244,,                 17160,,,,,,                360902,,                 15933,,                  3441,              2863704,,,                 10725,,,,                156660,,,                  9325,                187365,                196690,                 28828,,                 10743,                404347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                              0,                171869,                              0,                    701,              3268051,,,,                              0,,                 68953,,                242480,,                 98218,                 11928,,                  9515,,                  8084,                439182,,,                 15935,,                 65823,                 65823,                 81758,                520940,,,,              1148399,              1148399,,                789318,,                453891,                              0,,                365086,                818977,,                 -9585,,              2747109,                      2,              2747111,,                      4,,,,,                200000
