證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 存出保證金,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數
2399,2015年09月30日,,,,                562260,,                368907,,                 94700,,                  3977,,                746881,,                 31725,,                736735,,                 24783,              2569968,,,                 27437,,                 89400,,                164641,,                212319,                 46093,,,                  8344,                  8344,                548234,              3118202,,,,,                 16142,,                459613,,                 81032,                              0,,                 50000,,                  5362,                612149,,,                 80000,,                 15427,,                 23136,                118563,                730712,,,,              1781000,              1781000,,                 91712,,                519208,,                 -4430,              2387490,              2387490,              3118202,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2015年06月30日,,,,                460231,,                349925,,                100256,,                  3847,,                664678,,                 24635,,                906521,,                 24991,              2535084,,,                  2436,,                 89400,,                164742,,                212819,                 41466,,,                  3373,                  6037,                516900,              3051984,,,,,                 20935,,                414282,,                 79765,                              0,,                 50000,,                  7515,                572497,,,                 80000,,                  7152,,                 24103,                111255,                683752,,,,              1781000,              1781000,,                 91712,,                503496,,                 -7976,              2368232,              2368232,              3051984,              0,              0,                  2664,,                 91712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2015年03月31日,,,,                407798,,                344505,,                 15636,,                    107,,                837119,,                 15954,,              1126158,,                 51306,              2798583,,,                  2436,,                 89400,,                171707,,                213220,                 41712,,,                 11415,                 14260,                532735,              3331318,,,,,                 16533,,                633556,,                 74584,                 12021,,                 69500,,                  6118,                812312,,,                 60500,,                  8155,,                 25014,                 93669,                905981,,,,              1781000,              1781000,,                 91712,,                553738,,                 -1113,              2425337,              2425337,              3331318,              0,              0,                  2845,,                 91712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2014年12月31日,,,,                386445,,                365563,,                206379,,                    261,,                889510,,                 21875,,                912672,,                 38595,              2821300,,,                  2436,,                              0,,                175088,,                213820,                 43083,,,                 95805,                 95805,                530232,              3351532,,,,,                 11403,,                611452,,                105821,                  6459,,                 69500,,                 13483,                818118,,,                 60500,,                 15048,,                 25617,                101165,                919283,,,,              1781000,              1781000,,                 91712,,                564864,,                 -5327,              2432249,              2432249,              3351532,              0,              0,,,,                386445,                206379,              3351532,,,,                 11403,,                611452,,                105821,                  6459,,                 69500,,                 13483,                818118,,,                 60500,,                 15048,,                 25617,                101165,                919283,,,,              1781000,              1781000,,,                 91712,                 91712,,                564864,,                 -5327,              2432249,              2432249,              0
2399,2014年09月30日,,,,                339826,,                358459,,                232195,,                    202,,              1274343,,                 19306,,                868418,,                 32430,              3125179,,,                135508,,                              0,,                119208,,                271364,                 51264,,,                  4245,                  4245,                581589,              3706768,,,,,                 24928,,                801791,,                120063,                  6327,,                 75000,,                 12279,              1040388,,,                 55000,,                  8115,,                 24013,                 87128,              1127516,,,,              1781000,              1781000,,                 91712,,                720579,,                -14039,              2579252,              2579252,              3706768,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2014年06月30日,,,,                624555,,                354159,,                254800,,                  1020,,              1144594,,                124492,,                740172,,                 31210,              3275002,,,                133080,,                              0,,                123096,,                271978,                 50962,,,                  1087,                  4062,                583178,              3858180,,,,,                 17413,,                885180,,                209048,                 11573,,                 75000,,                 15390,              1213604,,,                 55000,,                  4221,,                 24675,                 83896,              1297500,,,,              1781000,              1781000,,                 91712,,                703644,,                -15676,              2560680,              2560680,              3858180,              0,              0,                  2975,,                 91712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2014年03月31日,,,,                919689,,                375755,,                254800,,                    273,,              1191149,,                 20466,,                648980,,                 33196,              3444308,,,                135727,,                              0,,                128264,,                272591,                 50997,,,                    770,                  3788,                591367,              4035675,,,,,                 17088,,              1080580,,                 93195,                 13166,,                 75000,,                  8815,              1287844,,,                 55000,,                  7704,,                 25344,                 88048,              1375892,,,,              1781000,              1781000,,                 91712,,                797235,,                -10164,              2659783,              2659783,              4035675,              0,              0,                  3018,,                 91712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2013年12月31日,,,,,,                284686,,,,                    285,,              1125500,,                 28522,,                586365,,                 28512,              3255415,,,                132817,,,,                132311,,                273205,                 51541,,,,                  3719,                593593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              1015356,                186189,              3849008,,,,                 11712,,                951686,,                121771,                  3911,,                 75000,,                  7712,              1171792,,,                 55000,,                  5434,,                 25993,                 86427,              1258219,,,,              1781000,              1781000,,,                 91712,                 91712,,                740292,,                -22215,              2590789,              2590789,              0
2399,2013年09月30日,,,,,,                286287,,,,                    554,,              1136042,,                 29557,,                502775,,                 20249,              3168459,,,                179850,,,,                107162,,                273820,                 57401,,,,                  7889,                626122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              1077134,                115861,              3794581,,,,                 11169,,                951237,,                106935,                  4481,,                 77000,,                  8651,              1159473,,,                 53000,,                  2962,,                 29320,                 85282,              1244755,,,,              1781000,              1781000,,,                 91712,                 91712,,                705184,,                -28070,              2549826,              2549826,              0
2399,2013年06月30日,,,,,,                374434,,,,                    183,,              1220830,,                 24557,,                496045,,                 17381,              3189101,,,                182430,,,,                107056,,                274433,                 55940,,,,                  8379,                628238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                963315,                 92356,              3817339,,,,                 14397,,                890398,,                183653,                 10929,,                 77000,,                  6126,              1182503,,,                 53000,,                  4962,,                 30115,                 88077,              1270580,,,,              1781000,              1781000,,,                 91712,                 91712,,                700503,,                -26456,              2546759,              2546759,              0
