證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 庫藏股票,　　　　 庫存現金,　　　　 銀行存款,　　　　 應收票據,　　　　 備抵呆帳－應收票據,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 備抵存貨跌價,　　　　　 存貨－買賣業淨額,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 模具設備淨額,　　　　　 模具設備成本,　　　　　 累計折舊－模具設備,　　　　　 模具設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　　 租賃改良淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 累計折舊－投資性不動產－建築物,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 累計減損－電腦軟體,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 保固之短期負債準備,　　　　 銷貨退回及折讓之短期負債準備,　　　　　 一年或一營業週期內到期長期借款,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
2414,2015年09月30日,,,,                362327,,                    847,,                159063,,              2496127,,                 21568,,                  5899,,              1428639,,                 37515,,                 38846,                  7167,                 46013,              4557998,,,                  1638,,              1049699,,                 38301,,                 56691,                 73342,,                 17368,,                    532,,                  5964,                  5964,                 23864,              1243535,              5801533,,,,,                632000,,                320000,,                  2459,,                  1161,,              1441496,,                279970,                  7401,,                 12948,,,                  1511,                 67251,                 68762,              2766197,,,                  2968,,                  5534,,                 99393,                    879,                100272,                108774,              2874971,,,,              1617358,              1617358,,                309756,,                323066,                              0,,                203068,                526134,,                  3170,              2456418,                470144,              2926562,              5801533,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2015年06月30日,,,,                350981,,                    551,,                172964,,              2290334,,                  8991,,                  1191,,              1243765,,                 38313,,                 37993,                  5907,                 43900,              4150990,,,                 13282,,              1053891,,                 38375,,                 51273,                 70643,,                 16326,,                    532,,                  7885,                  7885,                 24743,              1252207,              5403197,,,,,                300000,,                270000,,                  1203,,                  1284,,              1285534,,                494384,                 24617,,                  9345,,,                  1506,                 56663,                 58169,              2444536,,,                  3348,,                  1422,,                101427,                    879,                102306,                107076,              2551612,,,,              1617358,              1617358,,                309755,,                323066,                              0,,                146653,                469719,,                 -7057,              2389775,                461810,              2851585,              5403197,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2015年03月31日,,,,                305042,,                  2308,,                135291,,              2040593,,                 18619,,                  1208,,              1215056,,                 37335,,                 38894,                  5756,                 44650,              3800102,,,                 17628,,              1039458,,                 38449,,                 51267,                 75024,,                 13832,,                    532,,                 19873,                 19873,                 34237,              1256063,              5056165,,,,,                221000,,                170000,,                    691,,                    277,,              1111546,,                303902,                 61936,,                  5420,,,                  1489,                 45499,                 46988,              1921760,,,                  3727,,                  2509,,                103419,                    879,                104298,                110534,              2032294,,,,              1617358,              1617358,,                309795,,                298192,                  4646,,                320414,                623252,,                 -4619,              2545786,                478085,              3023871,              5056165,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2014年12月31日,,,,                291197,,                    682,,                165944,,              2394650,,                 10967,,                  2903,,              1266037,,                 31304,,                 36162,                  5957,                 42119,              4205803,,,                 17628,,              1048539,,                 38524,,                 45662,                 76600,,                 14137,,                    532,,                 16739,                 16739,                 31408,              1258361,              5464164,,,,,                462000,,                250000,,                    294,,                  1573,,              1219235,,                309779,                 51150,,                  5476,,,                 13600,                 31726,                 45326,              2344833,,,                 53413,,                  4299,,                103454,                    879,                104333,                162045,              2506878,,,,              1617358,              1617358,,                309797,,                298192,                  4646,,                248740,                551578,,                     36,              2478769,                478517,              2957286,              5464164,              0,              0,              0,                291197,                  2903,              5464164,,,,                462000,,                250000,,                    294,,                  1573,,              1219235,,                309779,                 51150,,                 19930,,,                 13600,                 17272,                 30872,              2344833,,,                 53413,,                  4299,,                103454,                    879,                104333,                162045,              2506878,,,,              1617358,              1617358,,                309797,,                298192,                  4646,,                248740,                551578,,                     36,              2478769,                478517,              2957286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2014年09月30日,,,,                318880,,                  1583,,                182248,,              2412987,,                 11971,,                  3173,,              1352287,,                 36648,,                 31915,                  6750,                 38665,              4358442,,,                 20028,,              1055130,,                 38598,,                 43422,                 74618,,                 12888,,                    532,,                  8675,                  8675,                 22095,              1253891,              5612333,,,,,                620000,,                320000,,                    623,,                    812,,              1260659,,                218874,                 31178,,                  5001,,,                 28940,                 26824,                 55764,              2512911,,,                 96508,,                  2386,,                102098,                    879,                102977,                201871,              2714782,,,,              1617358,              1617358,,                309815,,                298192,                  4646,,                200934,                503772,,                 -4606,              2426339,                471212,              2897551,              5612333,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2014年06月30日,,,,                353983,,                    336,,                149760,,              2281933,,                 25118,,                  2742,,              1229930,,                 31421,,                 32009,                  6252,                 38261,              4113484,,,                 20028,,              1057385,,                 38671,,                 45965,                 65755,,                 12308,,                    532,,                  8302,                  8302,                 21142,              1248946,              5362430,,,,,                359000,,                320000,,                    298,,                    479,,              1128021,,                412612,                 27882,,                  4651,,,                 65377,                 32577,                 97954,              2350897,,,                 88726,,                  2002,,                102141,                  2198,                104339,                195067,              2545964,,,,              1617358,              1617358,,                309838,,                298192,                  4646,,                124344,                427182,,                 -5200,              2349178,                467288,              2816466,              5362430,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2014年03月31日,,,,                458286,,                    273,,                133015,,              1854664,,                 13721,,                  2480,,              1279136,,                 36669,,                  5919,                  6476,                 12395,              3790639,,,                 20028,,              1067286,,                 38745,,                 44439,                 64518,,                 13869,,                  9280,,                  2056,                  2056,                 25205,              1260221,              5050860,,,,,                265000,,                240000,,                    683,,                    729,,              1037601,,                188767,                 29728,,                  5725,,,                 72178,                 24063,                 96241,              1864474,,,                151129,,                  2098,,                103003,                  2179,                105182,                258409,              2122883,,,,              1617358,              1617358,,                359542,,                282460,                              0,,                197114,                479574,,                 -1739,              2454735,                473242,              2927977,              5050860,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2013年12月31日,,,,,,                    908,,                226858,,              2465639,,                 30851,,,,              1274924,,                 23947,,                  5169,                  5881,                 11050,              4472848,,,                 20028,,              1077158,,                 38820,,                 39682,                 60690,,                 13383,,                  8814,,                  2221,                  2221,                 24418,              1260796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                435963,                  2708,              5733644,,,,                724346,,                200000,,                  1587,,                  1026,,              1335854,,                240800,                 17688,,                  7405,,,                 67216,                  5093,                 72309,              2601015,,,                169833,,                  2626,,                103358,                  2179,                105537,                277996,              2879011,,,,              1617358,              1617358,,                360180,,                282460,                              0,,                132368,                414828,,                 -4645,              2387721,                466912,              2854633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2013年09月30日,,,,,,                     55,,                191605,,              2096700,,                 42996,,,,              1299455,,                 31415,,                  5169,                  9220,                 14389,              4063078,,,                 20028,,              1073520,,                 38894,,                 27349,                 61373,,                 11710,,                  8646,,                 13091,                 13091,                 33447,              1254611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                379711,                  6752,              5317689,,,,                539891,,                200000,,                    584,,                  1037,,              1206438,,                193753,                  6043,,                 10217,,,                 62225,                  6974,                 69199,              2227162,,,                188520,,                    213,,                106615,                  2179,                108794,                297527,              2524689,,,,              1617358,              1617358,,                360180,,                282460,                              0,,                 80046,                362506,,                 -5860,              2334184,                458816,              2793000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2013年06月30日,,,,,,                    367,,                186385,,              1966450,,                 41028,,,,              1268624,,                 39666,,                  5952,                  7809,                 13761,              3850395,,,                 17628,,              1077552,,                 38967,,                 23303,                 61959,,                 10703,,                  8723,,                 10998,                 10998,                 30424,              1249833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                323781,                 10333,              5100228,,,,                239588,,                150000,,                    346,,                  4841,,              1170389,,                413226,                 10308,,                 13721,,,                 57863,                  5914,                 63777,              2066196,,,                176554,,                    510,,                106719,                  2179,                108898,                285962,              2352158,,,,              1617358,              1617358,,                360180,,                282460,                              0,,                 39093,                321553,,                 -4941,              2294150,                453920,              2748070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
