證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債
2415,2015年09月30日,,,,                806153,,                    210,,                    908,,                247984,,                740176,,                              0,,                292707,,                100375,,                 16738,              2205251,,,                 55476,,                106940,,                824709,,                 16353,                 32458,,                 92044,                 14891,                220524,,                267293,                594752,              1630688,              3835939,,,,,                987043,,                 49936,,                  1541,,                101615,,                328290,                 15834,,                 12310,,,                 72000,                  6062,                 78062,              1574631,,,                404181,,                 85112,,                  8585,                  7801,                 16386,                505679,              2080310,,,,                911774,                911774,,,                213973,                213973,                213973,,                203525,                              0,,                149813,                353338,,,                114196,                114196,              1593281,                162348,              1755629,              3835939,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2015年06月30日,,,,                656437,,                    538,,                    579,,                259023,,                754163,,                              0,,                327896,,                112576,,                 16548,              2127760,,,                 52084,,                104260,,                768290,,                 13179,                 42333,,                105821,                 16151,                209255,,                254839,                586066,              1566212,              3693972,,,,,                882020,,                 49980,,                    530,,                118990,,                414277,                 11665,,                  8674,,,                 72000,                  8416,                 80416,              1566552,,,                409338,,                 69881,,                  8620,                  6216,                 14836,                494055,              2060607,,,,                911774,                911774,,,                213973,                213973,                213973,,                203525,                              0,,                113506,                317031,,,                 28609,                 28609,              1471387,                161978,              1633365,              3693972,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2015年03月31日,,,,                745396,,                    715,,                    851,,                233354,,                777590,,                              0,,                348453,,                110004,,                  8638,              2225001,,,                 52827,,                111674,,                739870,,                 13790,                 46548,,                 95071,                 16392,                214184,,                229058,                554705,              1519414,              3744415,,,,,                935499,,                 49978,,                    990,,                125786,,                287503,                 10017,,                  8320,,,                 72000,                  4933,                 76933,              1495026,,,                411150,,                 82231,,                  8655,                  6265,                 14920,                508301,              2003327,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                  2536,,                200561,                388168,,,                 57771,                 57771,              1571686,                169402,              1741088,              3744415,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2014年12月31日,,,,                735496,,                    702,,                    865,,                266745,,                615249,,                              0,,                379376,,                104162,,                 10453,              2113048,,,                 53417,,                115803,,                758316,,                 14785,                 43220,,                 62012,                 14602,                219267,,                229918,                525799,              1511340,              3624388,,,,,                744608,,                              0,,                              0,,                108700,,                362900,                 11936,,                  6565,,,                 72000,                 10625,                 82625,              1317334,,,                430985,,                 84303,,                  8690,                  6941,                 15631,                530919,              1848253,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                  2536,,                194333,                381940,,,                 87878,                 87878,              1595565,                180570,              1776135,              3624388,              0,              0,              0,                735496,                              0,              3624388,,,,                744608,,                              0,,                108700,,                362900,                 11936,,                  6565,,,                 72000,                 10625,                 82625,              1317334,,,                430985,,                 84303,,                  8690,                  6941,                 15631,                530919,              1848253,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                  2536,,                194333,                381940,,,                 87878,                 87878,              1595565,                180570,              1776135,,,,,,,,
2415,2014年09月30日,,,,                727126,,                  1230,,                  1048,,                287270,,                563905,,                    119,,                356347,,                101566,,                 11414,              2050025,,,                 51341,,                109622,,                686471,,                 15089,                 59204,,                 40122,                 15402,                212278,,                225830,                493632,              1415359,              3465384,,,,,                651959,,                              0,,                  1065,,                142111,,                370946,                 14021,,                  4625,,,                 72000,                 16642,                 88642,              1273369,,,                405290,,                 78156,,                  6274,                  9630,                 15904,                499350,              1772719,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                  2536,,                188247,                375854,,,                 19161,                 19161,              1520762,                171903,              1692665,              3465384,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2014年06月30日,,,,                832269,,                  1320,,                    771,,                294290,,                396072,,                    117,,                350310,,                109679,,                  6851,              1991679,,,                 50405,,                108293,,                648478,,                 14660,                 59916,,                 46700,                 15698,                242100,,                218815,                523313,              1405065,              3396744,,,,,                641491,,                              0,,                 10463,,                 88337,,                442448,                  8237,,                  1920,,,                 72000,                 30868,                102868,              1295764,,,                420613,,                 50803,,                  6303,                  9373,                 15676,                487092,              1782856,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                  2536,,                 75471,                263078,,,                -13859,                -13859,              1374966,                238922,              1613888,              3396744,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2014年03月31日,,,,                643203,,                    903,,                    756,,                208627,,                679608,,                    102,,                331061,,                 63375,,                  6266,              1933901,,,                 51426,,                111093,,                647632,,                 14568,                 57276,,                 56831,                 15004,                252825,,                223268,                547928,              1429923,              3363824,,,,,                549013,,                              0,,                  3452,,                102014,,                415434,                  5319,,                     40,,,                 72000,                 33081,                105081,              1180353,,,                441155,,                 43623,,                  6368,                  9543,                 15911,                500689,              1681042,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                 93135,,                 22230,                300436,,,                 13322,                 13322,              1439505,                243277,              1682782,              3363824,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2013年12月31日,,,,,,                  9054,,                  1627,,                238368,,                374366,,,,                328857,,                 62942,,                  5644,              1651868,,,                 50303,,                113200,,                643074,,                 11439,                 65778,,                 18294,                 14068,                246406,,                221141,                499909,              1383703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                630908,                    102,              3035571,,,,                370381,,                 11117,,                 88650,,                297396,                  8137,,                     40,,,                 72000,                 41667,                113667,                889388,,,                455983,,                 41320,,                  6537,                  9562,                 16099,                513402,              1402790,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                 93135,,                 -5789,                272417,,,                 -2537,                 -2537,              1395627,                237154,              1632781,,,,,,,,
2415,2013年09月30日,,,,,,                  9664,,                    127,,                263872,,                312875,,,,                285911,,                 51905,,                  4929,              1382672,,,                162214,,                              0,,                643247,,                 13220,                 56839,,                 15431,                 14242,                245770,,                231251,                506694,              1382214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                453308,                     81,              2764886,,,,                258199,,                  3288,,                 76677,,                277454,                  3533,,                     40,,,                 79392,                 15877,                 95269,                714460,,,                472745,,                 21299,,                  5710,                 29274,                 34984,                529028,              1243488,,,,                911774,                911774,,,                213973,                213973,                213973,,                185071,                 93135,,                -36653,                241553,,,                -17073,                -17073,              1350227,                171171,              1521398,,,,,,,,
2415,2013年06月30日,,,,,,                  9610,,                  1024,,                290962,,                341092,,,,                318809,,                 69751,,                  6541,              1443302,,,                 50633,,                              0,,                661555,,                 12812,                 58827,,                 13115,                 15192,                251050,,                159751,                439108,              1222935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                405513,                              0,              2666237,,,,                163844,,                  2915,,                 90052,,                335155,                  5095,,                     40,,,                 87000,                  8866,                 95866,                692967,,,                402500,,                 23387,,                 10047,                 10077,                 20124,                446011,              1138978,,,,                856930,                911774,,,                213973,                213973,                213973,,                185071,                 93135,,                -55780,                222426,,,                   -391,                   -391,              1347782,                179477,              1527259,                 54844,,,,,,,
