證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　 庫藏股票,　　 共同控制下前手權益,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 其他非流動資產－其他,　　　　 庫存現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 應收票據,　　　　 備抵呆帳－應收票據,　　　　 採用權益法之投資,　　　　 員工福利負債準備－流動
2421,2015年09月30日,,,,              1109971,,                 24007,,              2495315,,                 56177,,                  9050,,,              1306938,              1306938,,                 41183,,                116771,                116771,              5159412,,,                 62000,,              1794029,,                 93473,,                 20957,                 65361,,                 35160,                 24010,,                  9145,                 68315,              2104135,              7263547,,,,,                507794,,              1959468,,                570100,                 32904,,                 38226,,,                 57146,                 57146,              3165638,,,                116334,,                 69458,                  3300,                 72758,                189092,              3354730,,,,              2509297,              2509297,,                344242,,                461771,                 79155,,                344827,                885753,,                159884,                 24731,              3874445,                 34372,              3908817,              7263547,              0,              0,      1664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2015年06月30日,,,,              1060116,,                 15182,,              2101326,,                 64095,,                  4515,,,              1367462,              1367462,,                 36988,,                129216,                129216,              4778900,,,                 62000,,              1775680,,                 93593,,                 22096,                 62683,,                 35746,                 23628,,                  8246,                 67620,              2083672,              6862572,,,,,                342953,,              1710654,,                837139,                 37318,,                 37486,,,                 35236,                 35236,              3000786,,,                 96714,,                 69758,                  3288,                 73046,                169760,              3170546,,,,              2509297,              2509297,,                344242,,                461771,                 79155,,                169227,                710153,,                 96741,,              3660433,                 31593,              3692026,              6862572,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2015年03月31日,,,,                984907,,                 19964,,              2098724,,                 62532,,                  5813,,,              1402513,              1402513,,                 40901,,                333808,                333808,              4949162,,,                 62000,,              1769921,,                 93728,,                 24397,                 59488,,                 30579,                 24028,,                  9235,                 63842,              2073376,              7022538,,,,,                440963,,              1821699,,                517816,                 40958,,                 34015,,,                 53639,                 53639,              2909090,,,                 96033,,                 70056,                  3242,                 73298,                169331,              3078421,,,,              2509297,              2509297,,                344242,,                423832,                 79155,,                435386,                938373,,                116374,,              3908286,                 35831,              3944117,              7022538,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年12月31日,,,,                961129,,                 29184,,              2410532,,                 80196,,                  6504,,,              1337970,              1337970,,                 42877,,                344212,                344212,              5212604,,,                 62000,,              1809757,,                 93863,,                 24438,                 53005,,                 33079,                 24566,,                 10298,                 67943,              2111006,              7323610,,,,,                496664,,              1933555,,                636010,                 33033,,                 32699,,,                 56260,                 56260,              3188221,,,                102159,,                 70352,                  3249,                 73601,                175760,              3363981,,,,              2509297,              2509297,,                344242,,                423832,                 79155,,                407390,                910377,,                161078,                              0,              3924994,                 34635,              3959629,              7323610,              0,              0,              0,                961129,                  6504,              7323610,,,,                496664,,              1933555,,                636010,                 33033,,                 32699,,,                 56260,                 56260,              3188221,,,                102159,,                 70352,                  3249,                 73601,                175760,              3363981,,,,              2509297,              2509297,,                344242,,                423832,                 79155,,                407390,                910377,,                161078,              3924994,                 34635,              3959629,,,,,,,,,,,,,,,,,,,,,,
2421,2014年09月30日,,,,                945575,,                 56783,,              2363964,,                 48304,,                 12221,,,              1213118,              1213118,,                 60396,,                289256,                289256,              4989617,,,                 62000,,              1770904,,                 93999,,                 20513,                 54814,,                 31499,                 23651,,                  9471,                 64621,              2066851,              7056468,,,,,                568624,,              1912837,,                547124,                 27431,,                 31602,,,                 35583,                 35583,              3123201,,,                 79204,,                 67221,                  3293,                 70514,                149718,              3272919,,,,              2509297,              2509297,,                344242,,                423832,                 79155,,                334957,                837944,,                 60639,                              0,              3752122,                 31427,              3783549,              7056468,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年06月30日,,,,                963479,,                 66651,,              2129990,,                 44340,,                 11256,,,              1131241,              1131241,,                 60254,,                166912,                166912,              4574123,,,                 62000,,              1756755,,                 94134,,                 20888,                 62911,,                 30971,                 23385,,                  1652,                 56008,              2052696,              6626819,,,,,                332447,,              1618053,,                762403,                 36365,,                 32298,,,                 48996,                 48996,              2830562,,,                 91884,,                 67456,                  3527,                 70983,                162867,              2993429,,,,              2509297,              2509297,,                344242,,                423832,                 79155,,                217218,                720205,,                 25702,,              3599446,                 33944,              3633390,              6626819,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年03月31日,,,,                974984,,                 47620,,              1959076,,                 58821,,                 11525,,,              1122697,              1122697,,                 62965,,                185677,                185677,              4423365,,,                 62000,,              1792371,,                 94270,,                 21000,                 62233,,                 29013,                 24031,,                  2747,                 55791,              2087665,              6511030,,,,,                387082,,              1542684,,                466585,                 47009,,                 32344,,,                 64468,                 64468,              2540172,,,                 93500,,                 67691,                  3516,                 71207,                164707,              2704879,,,,              2509297,              2509297,,                344242,,                393190,                 79155,,                374637,                846982,,                 73111,,              3773632,                 32519,              3806151,              6511030,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2013年12月31日,,,,,,                 43492,,              1957290,,                 55957,,,,,,              1153881,,                 52790,,                218712,                218712,              4674125,,,                 62000,,              1814264,,                 94405,,                 22334,                 53692,,                 29465,                 23886,,                  4060,                 57411,              2104106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1183273,                  8730,              6778231,,,,                576151,,              1652557,,                547410,                 34990,,                 28084,,,                 76290,                 76290,              2915482,,,                 80936,,                 67544,                  3507,                 71051,                151987,              3067469,,,,              2509297,              2509297,,                344242,,                393190,                 79155,,                312153,                784498,,                 41607,              3679644,                 31118,              3710762,,                              0,,                              0,,                              0,,                              0,,,,,,,,,,,,,,
2421,2013年09月30日,,,,,,                 59969,,              1858192,,                 46417,,,,,,              1038535,,                 74663,,                166016,                166016,              4241353,,,                 62000,,              1818658,,                103611,,                 20930,                 58928,,                 27353,                 23665,,                  5321,                 56339,              2120466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                992365,                  5196,              6361819,,,,                380638,,              1522891,,                508037,                 45675,,                 25518,,,                 54239,                156639,              2639398,,,                 70557,,                 63549,                  3577,                 67126,                137683,              2777081,,,,              2509297,              2509297,,                344242,,                393190,                 79155,,                224267,                696612,,                  5162,              3555313,                 29425,              3584738,,                              0,,                102400,,                              0,,,,,,,,,,,,,,,,
2421,2013年06月30日,,,,,,                 70462,,              1784408,,                 96289,,,,,,              1031366,,                 55733,,                206214,                206214,              4248444,,,                 62000,,              1860857,,                103747,,                 21778,                 72326,,                 26326,                 24056,,                  6375,                 56757,              2177465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1003665,                    307,              6425909,,,,                243882,,              1479560,,                850751,                 20181,,                 24876,,,                 48332,                147132,              2766382,,,                 71491,,                 63521,                  3195,                 66716,                166507,              2932889,,,,              2509297,              2509297,,                344242,,                393190,                 79155,,                112819,                585164,,                 21919,              3460622,                 32398,              3493020,,                              0,,                 98800,,                 28300,,                              0,,,,,,,,,,,,,,
