證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 應收帳款,　　　　 應收分期帳款－關係人,　　　　 其他應收款－其他,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他預付款,　　　　 其他流動資產－其他,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 銀行借款,　　　 應付票據－關係人,　　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 其他應付款－其他,　　　 其他應付款項－關係人,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 存入保證金,　　　 資本公積,　　　　 資本公積合計,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　 非控制權益,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　　 應收帳款－關係人,　　　　 應付利息,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　 庫藏股票
2425,2015年09月30日,,,,                364835,,                              0,,                803514,,              1101710,,                  2848,,                485821,,                  2841,,                 73809,              2835378,,,                162008,,                 12700,                174708,              3010086,,,,,                365593,,                              0,,                836866,,                 42165,                 20459,,                              0,,                  5244,              1270327,,,                  1350,                  1350,              1271677,,,,              1092488,              1092488,,                 70425,                 59178,,                497432,                627035,,,                 18886,                 18886,              1738409,              1738409,              3010086,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2015年06月30日,,,,                247502,,,,                751006,,              1129620,,                  2847,,                326369,,                  2325,,                 96250,              2555919,,,                158727,,                 12064,                170791,              2726710,,,,,                346138,,                     60,,                678079,,                 75362,                 20464,,                              0,,                  4968,              1125071,,,                  1293,                  1293,              1126364,,,,              1092488,              1092488,,                 70425,                 59178,,                373382,                502985,,,                  4873,                  4873,              1600346,              1600346,              2726710,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2015年03月31日,,,,                248866,,,,                613533,,                944445,,                  2695,,                443484,,                  1993,,                116392,              2371408,,,                163494,,                 12266,                175760,              2547168,,,,,                385034,,                      3,,                467026,,                 30153,                 13952,,                  4334,,                  4987,                905489,,,                  1307,                  1307,                906796,,,,              1092488,              1092488,,                 43296,                 59178,,                435463,                537937,,,                  9947,                  9947,              1640372,              1640372,              2547168,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2014年12月31日,,,,                347759,,                              0,,                437436,,                955337,,                  2842,,                208454,,                  3605,,                 61662,              2017095,,,                166930,,                 12475,                179405,              2196500,,,,,                 84822,,                      3,,                410265,,                 38017,                 13964,,                  4334,,                  6410,                557815,,,                  1264,                  1264,                559079,,,,              1092488,              1092488,,                 43296,                 59178,,                429031,                531505,,,                 13428,                 13428,              1637421,              1637421,              2196500,              0,              0,              0,,                              0,                              0,                347759,              2196500,,,,                 84822,,                      3,,                410265,,                 38017,                 13964,,                  4334,,                  6410,                557815,,,                  1264,                  1264,                559079,,,,              1092488,              1092488,,                 43296,                 59178,,                429031,                531505,,,                 13428,                 13428,              1637421,              1637421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2014年09月30日,,,,                288234,,                 14802,,                463513,,                801825,,                  2811,,                263377,,                  1567,,                 65720,              1901849,,,                175749,,                 12176,                187925,              2089774,,,,,                 21067,,                      4,,                472827,,                 18181,                 13984,,                  4334,,                  5081,                535478,,,                  1219,                  1219,                536697,,,,              1092488,              1092488,,                 43296,                 59178,,                350935,                453409,,,                  7180,                  7180,              1553077,              1553077,              2089774,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2014年06月30日,,,,                263947,,,,                308817,,                733452,,                  3314,,                471368,,                 20597,,                 79556,              1881051,,,                164472,,                 16290,                180762,              2061813,,,,,                321305,,                     53,,                191135,,                 46398,                 14034,,                  4334,,                  4966,                582225,,,                  1187,                  1187,                583412,,,,                945059,              1092488,,                 43296,                 59178,,                283657,                386131,,,                   -218,                   -218,              1478401,              1478401,              2061813,              0,              0,              0,,                              0,                147429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2014年03月31日,,,,                221307,,,,                644079,,              1138898,,                  3332,,                723181,,                  1804,,                 80181,              2812782,,,                170985,,                 16629,                187614,              3000396,,,,,                712209,,                      3,,                767204,,                 20720,                  1607,,                  4334,,                  4981,              1511058,,,                  1204,                  1204,              1512262,,,,                945059,                945059,,                  8092,                 59178,,                470571,                537841,,,                  5234,                  5234,              1488134,              1488134,              3000396,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年12月31日,,,,,,,,                540632,,              1031776,,                  8754,,                539904,,                  8591,,                 90722,              2499085,,,                174570,,                 12405,                186975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  4181,,                274525,              2686060,,,,                585376,,                      3,,                676466,,                 23916,                  1607,,                  4334,,                  5716,              1297418,,,                  1204,                  1204,              1298622,,,,                945059,                945059,,                  8092,                 59178,,                368725,                435995,,,                  6384,                  6384,              1387438,              1387438,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年09月30日,,,,,,                              0,,                418572,,                847358,,                  9266,,                223488,,                 12692,,                 88462,              1778960,,,                210009,,                 12275,                222284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                179122,              2001244,,,,                369265,,                      3,,                297676,,                 24190,                  1613,,                  4334,,                 11438,                708519,,,                  1178,                 11405,                719924,,,,                945059,                945059,,                  8092,                 59178,,                278240,                345510,,,                 -9249,                 -9249,              1281320,              1281320,,                 10227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年06月30日,,,,,,,,                388120,,                915332,,                  8226,,                188588,,                 54231,,                 65601,              2009833,,,                217282,,                 12371,                229653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                389735,              2239486,,,,                640366,,                      3,,                306667,,                 78309,                  1622,,                  4334,,                  5096,              1036397,,,                  1194,                  1194,              1037591,,,,                935702,                945059,,                  8092,                 59178,,                184794,                252064,,,                  4772,                  4772,              1201895,              1201895,,,                  9357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
