證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 債券換股權利證書,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待註銷股本,　　 共同控制下前手權益,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款項－關係人,　　　　 存入保證金,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 庫藏股票
2442,2015年09月30日,,,,                487443,,                920350,,                207432,,                  9314,,              2547311,,                 87156,              4259006,,,                 28496,,                 83009,,                260898,,                    774,                 37129,,                141703,                552009,              4811015,,,,,              1692626,,                  1043,,                258835,,                147179,,,                 13951,                139272,                153223,              2252906,,,                297692,,                              0,,                 27718,,                  1059,                  1059,                326469,              2579375,,,,              1962155,              1962155,,                  9538,,                 99361,                  4369,,                142043,                245773,,,                 -7633,,                 -1773,                 -9406,              2208060,                 23580,              2231640,              4811015,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2015年06月30日,,,,                498439,,                961167,,                151836,,                 67781,,              2521123,,                 72732,              4273078,,,,,                 78066,,                261203,,                  2112,                 37129,,                131605,                510115,              4783193,,,,,              1769659,,,,                188904,,                122156,,,                 13951,                113262,                127213,              2207932,,,                296991,,                              0,,                 27718,,,                  1075,                325784,              2533716,,,,              1836249,              1962155,,                  9538,,                 99361,                  4369,,                165902,                269632,,,,,,                -13183,              2228142,                 21335,              2249477,              4783193,              0,              0,              0,                 80054,                 45852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2015年03月31日,,,,                441133,,              1033180,,                 70749,,                  7933,,              2479252,,                 67033,              4099280,,,,,                 80336,,                261508,,                  2326,                 37129,,                187303,                568602,              4667882,,,,,              1814093,,                              0,,                142335,,                 47387,,,,,                 93827,              2097642,,,                354193,,                              0,,                 27718,,,                  1067,                382978,              2480620,,,,              1836249,              1836249,,                  6066,,,,,,                324898,,,,,,                   -490,              2166723,                 20539,              2187262,              4667882,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2014年12月31日,,,,                447575,,              1011475,,                103565,,                  4726,,              2559631,,                 55092,              4182064,,,                              0,,                 84030,,                261813,,                  1958,                 37129,,                 36333,                421263,              4603327,,,,,              1786614,,                              0,,                135427,,                 58257,,,                              0,                 90223,                 90223,              2070521,,,                354921,,                              0,,                 27718,,                  1058,                  1058,                383697,              2454218,,,,              1834078,              1834078,,                  6092,,                 86155,                  4369,,                192539,                283063,,,                  6141,,                              0,                  6141,              2129374,                 19735,              2149109,              4603327,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2014年09月30日,,,,                284738,,              1020550,,                142490,,                  6838,,              2542342,,                 49985,              4046943,,,                              0,,                 87030,,                262118,,                    411,                 22652,,                 36753,                408964,              4455907,,,,,                591684,,                     37,,                138645,,                 93535,,,                              0,                 59491,                 59491,                883392,,,                356521,,              1085960,,                 18905,,                  1068,                  1068,              1462454,              2345846,,,,              1830686,              1830686,,                  6133,,                 86155,                  4369,,                162022,                252546,,,                  2106,,                              0,                  2106,              2091471,                 18590,              2110061,              4455907,              0,              0,              0,,,                284738,              4455907,,,,                591684,,                     37,,                138645,,                 93535,,                 59491,                883392,,,                356521,,              1085960,,                 18905,,                  1068,              1462454,              2345846,,,,              1830686,                              0,              1830686,,                  6133,,                252546,,                  2106,              2091471,                 18590,              2110061,,,,,,,,,,,,,,,,,,
2442,2014年06月30日,,,,                306745,,                840517,,                 79619,,                 29878,,              2525447,,                 47291,              3829497,,,,,                 89849,,                331106,,                    537,                 32725,,                 37322,                491539,              4321036,,,,,                556727,,,,                 83659,,                140162,,,                              0,                 45843,                 45843,                826391,,,                357914,,              1085960,,                 18905,,,                  1294,              1464073,              2290464,,,,              1749331,              1827618,,                  6171,,                 86155,                  4369,,                 91903,                182427,,,,,,                 -2747,              2013469,                 17103,              2030572,              4321036,              0,              0,              0,                              0,                 78287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2014年03月31日,,,,                338770,,                890427,,                 70783,,                 47237,,              2505123,,                 38596,              3890936,,,,,                 86405,,                331513,,                    663,                 34419,,                 41525,                494525,              4385461,,,,,                652349,,                     37,,                 97280,,                 83388,,,,,                 49395,                882449,,,                359005,,              1085960,,                 18905,,,                  1274,              1465144,              2347593,,,,              1746733,              1746733,,                  6204,,,,,,                266052,,,,,,                  2202,              2021191,                 16677,              2037868,              4385461,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2013年12月31日,,,,,,                734346,,                 98076,,                 29614,,              2459767,,                 34141,              3661674,,,,,                 83137,,                331921,,                    619,                 38252,,                 14481,                468410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                305730,              4130084,,,,                445568,,                    262,,                 80994,,                108050,,                 26196,                661070,,,                374440,,              1085960,,                 18906,,                  1102,              1480408,              2141478,,,,              1724915,                              0,              1724915,,                  6481,,                245538,,                 -4369,              1972565,                 16041,              1988606,                              0,                              0,                 75123,                159451,,                 10964,,,,,,,,,,,,
2442,2013年09月30日,,,,,,                665172,,                 71100,,                 17548,,              1576107,,                 37186,              2553163,,,,,                189512,,                475424,,                    469,                 35418,,                  9481,                710304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                186050,              3263467,,,,                410132,,                    184,,                 83182,,                 44699,,                 44984,                583181,,,                374801,,                335960,,                  6871,,                  1276,                718908,              1302089,,,,              1649750,                 73530,              1723280,,                  6502,,                218553,,                 -2502,              1945833,                 15545,              1961378,,,,,,,,,,,,,,,,,,
2442,2013年06月30日,,,,,,                549396,,                102341,,                 20779,,              1266531,,                 42164,              2495612,,,,,                185232,,                474934,,                    599,                 34282,,                 16238,                711285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                514401,              3206897,,,,                366357,,                    118,,                 84299,,                 36887,,                 53030,                540691,,,                380175,,                335960,,                 11333,,                  2848,                730316,              1271007,,,,              1715155,                              0,              1715155,,                  6609,,                194822,,                  4544,              1921130,                 14760,              1935890,                              0,                              0,,,,,,,,,,,,,,,,
