證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 短期借款,　　　　 短期借款合計,　　　　 應付股利,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 資本公積－認股權,　　　　 其他非流動負債－其他
2458,2015年09月30日,,,,                934438,,                538019,,                  4582,,              1208541,,                262521,,,              1180782,              1180782,,                 35232,                 35232,,              2754810,                              0,              2754810,              6918925,,,                202646,,                822853,,                 17251,                 17251,,                216624,                216624,,                629035,,                300464,                 19958,,                 25295,              2234126,              9153051,,,,,                 46000,,                    836,,                824595,,                240819,                 11967,                252786,                165820,,                476903,              1766940,,,                  6023,,                492348,                 10458,                502806,                508829,              2275769,,,,              4411448,              4411448,,,                672610,                279889,                              0,                              0,                 23989,                976488,,              1186930,,                598185,              1785115,,                158596,                471138,              6860509,                              0,                 16773,              6877282,              9153051,              0,              0,     24783789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2015年06月30日,,,,              2370238,,                551644,,                 44231,,                963024,,                 84590,,,              1199197,              1199197,,                 25769,                 25769,,              2831550,                              0,              2831550,              8070243,,,                251810,,                803893,,                 17251,                 17251,,                208788,                208788,,                640933,,                303910,                 19958,,                 27070,              2273613,             10343856,,,,,                 72000,,                  1153,,                685467,,                216125,                 33477,              1837723,                121607,,                495277,              3213227,,,                  6023,,                490826,                 10452,                501278,                507301,              3720528,,,,              4411448,              4411448,,,                672609,                225224,                    774,                              0,                 23989,                922596,,              1186930,,                365508,              1552438,,                205760,                481421,              6610821,                              0,                 12507,              6623328,             10343856,              0,              0,     24783789,              1588121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2015年03月31日,,,,              1154261,,                618243,,                 28014,,              1040121,,                174196,,,              1199999,              1199999,,                 17549,                 17549,,              3603948,                    138,              3604086,              7836469,,,                276065,,                859770,,                 17251,                 17251,,                177248,                177248,,                654683,,                314349,                 19958,,                 27213,              2346537,             10183006,,,,,                  6000,,                  2319,,                696789,,                199904,                 30710,                230614,                163990,,                488095,              1587807,,,                  6023,,                489261,                 10599,                499860,                505883,              2093690,,,,              4411448,              4411448,,,                924062,                225224,                    774,                              0,                 23989,              1174049,,              1038126,,              1690796,              2728922,,                228224,                481421,              8061222,                              0,                 28094,              8089316,             10183006,              0,              0,     24783789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年12月31日,,,,              1158599,,                633001,,                 26809,,              1174714,,                202491,,,              1218863,              1218863,,                 20300,                 20300,,              3364850,                              0,              3364850,              7799627,,,                282567,,                856165,,                              0,                              0,,                174739,                174739,,                678708,,                326061,                 19958,,                 29154,              2367352,             10166979,,,,,                              0,,                  5898,,                803640,,                174000,                 26000,                200000,                110283,,                663621,              1783442,,,                  6023,,                487700,                 19661,                507361,                513384,              2296826,,,,              4411448,              4411448,,,                924062,                225224,                              0,                              0,                 23989,              1173275,,              1038126,,              1445147,              2483273,,                230837,                481421,              7817412,                              0,                 52741,              7870153,             10166979,              0,              0,     24783789,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年09月30日,,,,              1196857,,                507063,,                  8014,,              1234147,,                239441,,,              1144104,              1144104,,                 29250,                 29250,,              3076150,                              0,              3076150,              7435026,,,                252869,,                814070,,                              0,                              0,,                 34500,                 34500,,                694030,,                338553,                 18762,,                 28762,              2181546,              9616572,,,,,                 44000,,                  2894,,                720724,,                178868,                 20946,                199814,                 63464,,                622928,              1653824,,,                  2467,,                408590,                 15012,                423602,                426069,              2079893,,,,              4393348,              4393348,,,                848893,                225224,                  2452,                 37799,                              0,              1114368,,              1038126,,              1208687,              2246813,,                198602,                481421,              7471710,                              0,                 64969,              7536679,              9616572,              0,              0,     24783789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年06月30日,,,,              1919590,,                388126,,                 63640,,              1165493,,                214723,,,              1196366,              1196366,,                 57239,                 57239,,              3620250,                              0,              3620250,              8625427,,,                310891,,                818321,,                              0,                              0,,                 12247,                 12247,,                698653,,                263185,                 18796,,                 32880,              2154973,             10780400,,,,,                 21500,,                  1115,,                789018,,                195040,                 29217,              1747501,                161375,,                530964,              3251473,,,                  2502,,                407453,                 19606,                427059,                429561,              3681034,,,,              4385978,              4385978,,,                818286,                187626,                 26722,                 43423,                              0,              1076057,,              1038126,,                816883,              1855009,,                254497,                506486,              7065055,                              0,                 34311,              7099366,             10780400,              0,              0,     24783789,              1523244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年03月31日,,,,              1331913,,                408010,,                 36501,,              1117696,,                169057,,,              1191595,              1191595,,                 23053,                 23053,,              3545050,                 10157,              3555207,              7833032,,,                356357,,                854538,,                              0,                              0,,                 29669,                 29669,,                709226,,                261059,                 18796,,                 31778,              2261423,             10094455,,,,,                  6000,,                  1880,,                728061,,                144992,                 20713,                165705,                276173,,                482048,              1659867,,,                  2502,,                406284,                 16940,                423224,                425726,              2085593,,,,              4350234,              4350234,,,              1268774,                176762,                 26755,                 72461,                              0,              1544752,,                936391,,              1370669,              2307060,,                278761,                528196,              7952611,                              0,                 56251,              8008862,             10094455,              0,              0,     25536274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2014年01月01日,,,,                994563,,                384340,,                 12067,,              1190860,,                296616,,,              1182713,              1182713,,                 22871,                 22871,,              3324350,                              0,              3324350,              7408380,,,                246003,,                854538,,                              0,                              0,,                 30385,                 30385,,                727203,,                207097,                 18520,,                 29581,              2113327,              9521707,,,,,                              0,,                  3433,,                716996,,                115000,                 15000,                130000,                211752,,                565562,              1627743,,,                  2502,,                405138,                 14149,                419287,                421789,              2049532,,,,              4332125,              4332125,,,              1188315,                176611,                              0,                 85586,                              0,              1450512,,                936391,,              1050582,              1986973,,                166428,                528196,              7407842,                              0,                 64333,              7472175,              9521707,              0,              0,     25536274,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2013年12月31日,,,,,,                384340,,                 12067,,              1190860,,                296616,,,              1182713,              1182713,,,                 22871,,              3324350,,              3324350,              7408380,,,                246003,,                854538,,,,,                 30385,                 30385,,                727203,,                207097,                 18520,,                 29581,              2113327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     25536274,,                994563,,                              0,              9521707,,,,                  3433,,                716996,,                115000,                 15000,                130000,                211752,,                565562,              1627743,,,                  2502,                  2502,,                437960,                 14149,                452109,                454611,              2082354,,,,              4332125,              4332125,,,              1188315,              1188315,                176611,                 85586,              1450512,,                936391,,              1017350,              1953741,,                166428,                528196,              7374610,                              0,                 64743,              7439353,,,,,,,
2458,2013年09月30日,,,,,,                354901,,                 40077,,              1304355,,                289531,,,              1227050,              1227050,,,                 34407,,              2841650,                  9669,              2851319,              7215585,,,                233141,,                852861,,,,,                 32608,                 32608,,                744489,,                208138,                 57468,,                 31874,              2160579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     26078889,,              1113945,,,              9376164,,,,                  1151,,                772992,,                138840,                 12384,                151224,                218294,,                705001,              1871662,,,,                              0,,                435865,                 11720,                447585,                447585,              2319247,,,,              4332125,              4332125,,,,              1188315,                171904,                 84513,              1444732,,                936391,,                661250,              1597641,,                152111,                540891,              6985718,                              0,                 71199,              7056917,,                 23000,                              0,                              0,,,
