證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 工程進度請款金額,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 工程進度請款金額,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款合計,　　　 庫藏股票,　　　　 待分配股票股利,　　　　　 其他預收款
2464,2015年09月30日,,,,                  1855,                570729,                572584,,                 22019,,                114646,,                808237,,                 18938,              1819373,,                 98161,,,              1803158,              1803158,,                201149,              5458265,,,                 18624,,                              0,,                 16345,,              1591563,,                  8099,                  7779,,                 14807,                133876,                 53410,,                 24269,                226362,              1868772,              7327037,,,,,                232870,,                 49984,,                 78035,,              2135641,                 43468,,                  4172,                263879,,,                305604,                305604,                360411,                666015,              3474064,,,                316076,                     44,                316120,                316120,              3790184,,,,              1916972,              1916972,,                262505,,                542144,                 28774,,                713257,              1284175,,,                 73047,                 73047,              3536699,                    154,              3536853,              7327037,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2015年06月30日,,,,                  1823,              1189101,              1190924,,                 10003,,                 95979,,                649086,,                  8510,              1533688,,                 79808,,,              1825091,              1825091,,                120123,              5513212,,,                 18624,,                              0,,                 16920,,              1553966,,                  8216,                  7779,,                 36064,                 92709,                 52495,,                 16903,                198171,              1803676,              7316888,,,,,                733440,,                 39980,,                179743,,              1702558,                 49358,,                  4114,                191908,,,                263645,                263645,                301912,                565557,              3667484,,,                315184,                     43,                315227,                315227,              3982711,,,,              1825688,              1916972,,                262505,,                542144,                 28774,,                535036,              1105954,,,                 48595,                 48595,              3334026,                    151,              3334177,              7316888,              0,              0,              0,,                200826,                200826,                 91284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2015年03月31日,,,,,,                890797,,                              0,,                128384,,                605209,,                  9129,              1305200,,                 79285,,,              1804187,              1804187,,                131749,              4953940,,,                 18624,,                              0,,                  6697,,              1236544,,                  8334,                  7779,,,                 91800,                 53318,,                104613,                249731,              1527709,              6481649,,,,,                225224,,                              0,,                134687,,              1541763,                 57004,,                  4585,                132463,,,                372579,                372579,                279693,                652272,              2747998,,,                314169,                     44,                314213,                314213,              3062211,,,,              1825688,              1825688,,                262505,,                504049,                 28774,,                746542,              1279365,,,                 51715,                 51715,              3419273,                    165,              3419438,              6481649,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2014年12月31日,,,,                  1851,              1004938,              1006789,,                              0,,                167159,,                548637,,                  7723,              1242398,,                 66660,,,              1701149,              1701149,,                103332,              4843847,,,                 18624,,                 18369,,                  6905,,              1250402,,                  8451,                  7779,,                 85506,                116268,                 54446,,                 17803,                274023,              1584553,              6428400,,,,,                205725,,                              0,,                113369,,              1490265,                 39196,,                  4982,                 40868,,,                498991,                498991,                394675,                893666,              2788071,,,                313211,                     44,                313255,                313255,              3101326,,,,              1825688,              1825688,,                262505,,                504049,                 28774,,                631771,              1164594,,,                 74097,                 74097,              3326884,                    190,              3327074,              6428400,              0,              0,              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2014年09月30日,,,,                  1795,                896480,                898275,,                              0,,                134564,,                674207,,                  6223,                920476,,                 74020,,,              1705933,              1705933,,                165170,              4578868,,,                 18624,,                              0,,                  7011,,              1223668,,                  8568,                  7779,,                 37681,                125794,                 52358,,                 15811,                231644,              1497294,              6076162,,,,,                277775,,                 69970,,                147872,,              1491832,                 34485,,                  4358,                 24904,,,                226723,                226723,                299145,                525868,              2577064,,,                279513,                     43,                279556,                279556,              2856620,,,,              1825688,              1825688,,                262505,,                504049,                 28774,,                569051,              1101874,,,                 29293,                 29293,              3219360,                    182,              3219542,              6076162,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2014年06月30日,,,,                  1771,                613454,                615225,,                              0,,                132834,,                786666,,                  8953,                993731,,                 52722,,,              1762691,              1762691,,                 98942,              4451764,,,                 18624,,                              0,,                  1455,,              1213006,,                  8685,                  7779,,                  1119,                124175,                 51708,,                 16325,                193327,              1442876,              5894640,,,,,                134663,,                199921,,                124420,,              1240964,                 47797,,                  4503,                 45549,,,                224675,                224675,                229373,                454048,              2525718,,,                278933,                              0,                278933,                278933,              2804651,,,,              1825688,              1825688,,                262505,,                504049,                 28774,,                456946,                989769,,,                 11818,                 11818,              3089780,                    209,              3089989,              5894640,              0,              0,              0,,                273853,                273853,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2014年03月31日,,,,,,                760193,,                  1569,,                102236,,                488826,,                  8555,              1175039,,                 46473,,,              1672567,              1672567,,                 89383,              4344841,,,                 18624,,                              0,,                  1694,,              1230881,,                  8803,                  7779,,,                119660,                 53075,,                 17858,                190593,              1458374,              5803215,,,,,                 75765,,                269914,,                 94498,,              1226682,                 40637,,                  5213,                 40950,,,                233627,                233627,                244728,                478355,              2232014,,,                278249,                              0,                278249,                278249,              2510263,,,,              1825688,              1825688,,                262505,,                469289,                 28774,,                676028,              1174091,,,                 30459,                 30459,              3292743,                    209,              3292952,              5803215,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2013年12月31日,,,,                  1800,                516654,,,                  1566,,                116269,,                611489,,                  9501,              1157792,,                 41321,,,              1866232,              1866232,,                 59356,              4381980,,,                 18624,,,,                              0,,              1214234,,                  8920,                  7779,,,                 84503,                 52696,,                 21225,                158424,              1407981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                518454,                              0,              5789961,,,,                 30000,,                214874,,                151233,,              1165786,                 33103,,                  7768,                 44782,,,                194702,                194702,                472466,                667168,              2314714,,,                277576,                              0,                277576,                277576,              2592290,,,,              1825688,              1825688,,                262505,,                469289,                 28774,,                592554,              1090617,,,                 18644,                 18644,              3197454,                    217,              3197671,,,,,,,,,,
2464,2013年09月30日,,,,                  1769,                549657,,,                242672,,                156089,,                491066,,                 13225,              1037037,,                 87795,,,              1649697,              1649697,,                 64907,              4293914,,,                 18624,,,,                              0,,              1219532,,                  9037,                  7779,,                  1843,                 87252,                 52150,,                 18551,                159796,              1414768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                551426,,              5708682,,,,                 73943,,                              0,,                134327,,              1033303,                 22738,,                  8874,                166117,,,                332916,                332916,                302962,                782624,              2221926,,,                278957,                              0,                278957,                366100,              2588026,,,,              1825688,              1825688,,                262505,,                469289,                 28774,,                530056,              1028119,,,                  4126,                  4126,              3120438,                    218,              3120656,,                146746,,                 87143,,,,,,
2464,2013年06月30日,,,,                  1781,                540830,,,                  3553,,                 93503,,                618378,,                 18513,              1296516,,                 33165,,,              1519940,              1519940,,                 64574,              4190753,,,                 18624,,,,                              0,,              1227797,,                  9154,                  7779,,                  1530,                 87061,                 52953,,                 18009,                159553,              1422907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                542611,,              5613660,,,,                 75000,,                              0,,                 60914,,                993343,                 31107,,                  6063,                 61901,,,                181311,                181311,                290197,                653452,              2064349,,,                278578,,                278578,                496634,              2560983,,,,              1825688,              1825688,,                262505,,                469289,                 28774,,                453851,                951914,,,                 12358,                 12358,              3052465,                    212,              3052677,,                181944,,                218056,,                182569,                182569,,,
