證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 預付投資款,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 預收股本
2467,2015年09月30日,,,,                667573,,                159856,,                 21822,,              1787341,,                 26039,,                    198,,              1237955,,                 70813,,                 70240,                 37930,                108170,              4079767,,,                207852,,                260018,,                 54729,,              1010126,,                120292,,                  7278,                127570,                113480,,,                  2273,,                159716,                161989,              1935764,              6015531,,,,,              1460036,,                100000,,                    893,,                 93622,,                500070,,                  2871,,                395709,                395709,                  6606,,,                 92835,,                 51000,                 51000,                 18350,                162185,              2721992,,,                203117,,                293344,,                 48261,                  3495,                 51756,                548217,              3270209,,,,              1587445,              1587445,,,                165662,                 11761,                142218,                  1900,                      7,                321548,,                357989,                 51901,,                256364,                666254,,,                106707,                106707,              2681954,                 63368,              2745322,              6015531,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2015年06月30日,,,,                786844,,                201933,,                 23799,,              1882148,,                 28948,,                  2633,,              1266779,,                124708,,                 61902,                  2916,                 64818,              4382610,,,                220735,,                303653,,                 51617,,                927686,,                140206,,                  7722,                147928,                107989,,,                  4695,,                183338,                188033,              1947641,              6330251,,,,,              1224732,,                 90000,,                    207,,                105317,,                572318,,                  1901,,                617808,                617808,                 17845,,,                151703,,                 51000,                 51000,                 15101,                217804,              2847932,,,                387590,,                279296,,                 50057,                  3494,                 53551,                720437,              3568369,,,,              1587445,              1587445,,,                165662,                 11761,                  1900,                142218,                      7,                321548,,                357989,                 51901,,                256143,                666033,,,                 92699,                 92699,              2667725,                 94157,              2761882,              6330251,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2015年03月31日,,,,                636489,,                272812,,                 29564,,              1778650,,                 34104,,                  2571,,              1294978,,                128206,,                 37530,                  3324,                 40854,              4218335,,,                231042,,                304604,,                 49448,,                939571,,                144150,,                  8719,                152869,                101910,,,                  4674,,                185826,                190500,              1969944,              6188279,,,,,              1338375,,                 80000,,                              0,,                 98693,,                495391,,                  1759,,                383423,                383423,                 33736,,,                173379,,                 51000,                 51000,                 15986,                240365,              2671742,,,                233121,,                276063,,                 51858,                  3494,                 55352,                564536,              3236278,,,,              1587445,              1587445,,,                165662,                 11761,                  8394,                142218,                      7,                328042,,                333670,                 51901,,                435421,                820992,,,                115806,                115806,              2852285,                 99716,              2952001,              6188279,              0,              0,,                    107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2014年12月31日,,,,                555714,,                181071,,                 49539,,              1933079,,                 27369,,                  2760,,              1237065,,                 92519,,                 53442,                 11402,                 64844,              4143960,,,                270892,,                295939,,                 48830,,                843790,,                144822,,                 10638,                155460,                100880,,,                  4974,,                245612,                250586,              1966377,              6110337,,,,,              1025082,,                 80000,,                  1066,,                 76826,,                581202,,                  1545,,                435080,                435080,                 35164,,,                103074,,                 57635,                 57635,                 27884,                188593,              2424558,,,                356517,,                280006,,                 53671,                  3495,                 57166,                693689,              3118247,,,,              1587445,              1587445,,,                165662,                 11761,                142218,                  8394,                      7,                328042,,                333670,                 51901,,                465918,                851489,,,                114531,                114531,              2881507,                110583,              2992090,              6110337,              0,              0,,,,                555714,                  2760,              6110337,,,,              1025082,,                 80000,,                  1066,,                 76826,,                581202,,                  1545,,                435080,                435080,                 35164,,,                103074,,                 57635,                 57635,                 27884,                188593,              2424558,,,                356517,,                280006,,                 53671,                  3495,                 57166,                693689,              3118247,,,,              1587445,              1587445,,,                165662,                 11761,                  8394,                142218,                      7,                328042,,                333670,                 51901,,                465918,                851489,,,                114531,                114531,              2881507,                110583,              2992090,              0,,,,,,,,
2467,2014年09月30日,,,,                648257,,                141113,,                 50937,,              1711290,,                 43535,,                  2519,,              1214743,,                107678,,                  8292,                 31353,                 39645,              3959717,,,                271148,,                293999,,                 44992,,                815653,,                145466,,                 12504,                157970,                 88556,,,                  4674,,                332174,                336848,              2009166,              5968883,,,,,              1239523,,                              0,,                    568,,                 38976,,                636378,,                  2656,,                442375,                442375,                 33546,,,                111307,,                 60500,                 60500,                 16656,                188463,              2582485,,,                208500,,                256465,,                 52967,                  3615,                 56582,                521547,              3104032,,,,              1587445,              1587445,,,                165662,                 11761,                142218,                  8394,                      7,                328042,,                333670,                 51901,,                408799,                794370,,,                 45625,                 45625,              2755482,                109369,              2864851,              5968883,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2014年06月30日,,,,                739972,,                133923,,                 21745,,              1761193,,                 64553,,                  2519,,              1212320,,                135969,,                  4367,                 25638,                 30005,              4102285,,,                297682,,                292799,,                 42429,,                780048,,                117397,,                 10742,                128139,                 85215,,,                  4674,,                130158,                247486,              1873798,              5976083,,,,,                969416,,                              0,,                              0,,                 70492,,                739335,,                    587,,                669464,                669464,                 24383,,,                132100,,                 51000,                 51000,                 19890,                202990,              2676667,,,                184500,,                252895,,                 54668,                  3629,                 58297,                495692,              3172359,,,,              1587445,              1587445,,,                165662,                 11761,                  8394,                142218,                      7,                328042,,                333670,                 51901,,                356377,                741948,,,                 36611,                 36611,              2694046,                109678,              2803724,              5976083,              0,              0,,                     86,                112654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2014年03月31日,,,,                774204,,                126925,,                 25081,,              1841260,,                 53864,,                  2756,,              1089049,,                130873,,                  4563,                  2114,                  6677,              4050689,,,                332175,,                303436,,                 42973,,                795238,,                120954,,                 11913,                132867,                 84047,,,                  4952,,                102827,                107779,              1798515,              5849204,,,,,                947922,,                100000,,                    335,,                 67192,,                590383,,                  3408,,                399586,                399586,                 11127,,,                145729,,                 61000,                 61000,                 16454,                223183,              2343136,,,                202500,,                249824,,                 56369,                  3630,                 59999,                512323,              2855459,,,,              1587445,              1587445,,,                165662,                              0,                 11761,                142218,                      7,                319648,,                305091,                101266,,                494363,                900720,,,                109922,                109922,              2917735,                 76010,              2993745,              5849204,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2013年12月31日,,,,,,                418564,,                 54537,,              1701318,,                 52098,,,,                964788,,                 56769,,                  5989,                  3242,                  9231,              4046650,,,                              0,,                273590,,                 40712,,                807737,,                126416,,                 13136,                139552,                 83131,,,                  4952,,                 81248,                 86200,              1430922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                786826,                  2519,              5477572,,,,                983810,,                100000,,                  1155,,                 46817,,                429345,,                  2521,,                403038,                403038,                  1105,,,                 72221,,                 61866,                 61866,                 16863,                150950,              2118741,,,                205000,,                242057,,                 58070,                  3628,                 61698,                508755,              2627496,,,,              1587445,              1587445,,,                165662,                              0,                              0,                142218,                      7,                307887,,                305091,                101266,,                442465,                848822,,,                 53778,                 53778,              2797932,                 52144,              2850076,              0,,,,,,,,
2467,2013年09月30日,,,,,,                323549,,                105929,,              1736748,,                 88298,,,,              1027209,,                 56200,,                 57731,                 15086,                 72817,              3997252,,,                              0,,                236112,,                 37958,,                819534,,                129012,,                 15434,                144446,                 77854,,,                  4952,,                 71140,                 82065,              1397969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                    878,                  5973,                585624,                              0,              5395221,,,,                903184,,                 50000,,                              0,,                 42395,,                468945,,                  2446,,                479877,                479877,                 12253,,,                100154,,                 62128,                 62128,                 29435,                191717,              2150817,,,                233601,,                233583,,                 54321,                  3600,                 57921,                525105,              2675922,,,,              1587445,              1587445,,,                165680,                              0,                              0,                142218,                      7,                307905,,                305091,                101266,,                402672,                809029,,,                -42292,                -42292,              2662087,                 57212,              2719299,              0,,,,,,,,
2467,2013年06月30日,,,,,,                320998,,                125425,,              1747458,,                 62961,,,,              1106779,,                 53586,,                125482,                 25317,                150799,              4202765,,,                              0,,                224205,,                 36371,,                827129,,                132444,,                 19546,                151990,                 79563,,,                  4652,,                 43592,                 54273,              1373531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 48554,                  6029,                586205,                              0,              5576296,,,,                605041,,                 50000,,                  1002,,                 52318,,                711212,,                  2294,,                647997,                647997,                 14348,,,                142020,,                 54440,                 54440,                 16389,                212849,              2297061,,,                242646,,                228740,,                 56005,                  3600,                 59605,                530991,              2828052,,,,              1587445,              1587445,,,                165680,                              0,                              0,                142218,                      7,                307905,,                305091,                101266,,                380295,                786652,,,                -33247,                -33247,              2648755,                 99489,              2748244,              0,,,,,,,,
