證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付投資款,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他流動負債－其他,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計
2476,2015年09月30日,,,,              1311639,,                162284,,                 11317,,                 46566,,                 25637,,              1123948,,                    237,,                 52783,,                    239,,                664069,,              1241767,                104865,              1346632,              4745351,,,                 27006,,                 16141,,                205535,,,                125186,,              1151683,                428100,                723583,,              2123573,              1491599,                631974,,                 82433,                 49678,                 32755,,                 89347,                 61629,                 27718,,                162211,                119046,                 43165,                  3000,              1587381,,,                    473,                    473,                 11144,,                 15889,                  9340,                 97973,,                 47828,                 47828,                171030,              2018710,              6764061,,,,,                230440,,                              0,,                     36,,                457437,,                    631,,                269689,                  2961,                138858,,                 53950,                 53950,              1154002,,,                338322,,                 99652,                 37559,                137211,                475533,              1629535,,,,              1800523,              1800523,,,                330001,                330001,                 63306,                 29115,                 17711,                 35460,                475593,,                613856,                284690,,              1160432,              2058978,,,                152299,,                   -390,                151909,              4487003,                647523,              5134526,              6764061,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2015年06月30日,,,,              1345476,,                118026,,                  4702,,                 25050,,                 29164,,              1076032,,                    207,,                 57440,,                    246,,                669822,,              1344712,                 32963,              1377675,              4703840,,,                 27006,,                              0,,                211952,,,                125190,,              1117265,                408093,                709172,,              2078902,              1439497,                639405,,                 80644,                 46678,                 33966,,                 86673,                 59179,                 27494,,                156227,                113919,                 42308,                 13465,              1591000,,,                    470,                    470,                  8611,,                 10797,                  8259,                 98213,,                 42364,                 42364,                159633,              1998672,              6702512,,,,,                217490,,                     80,,                    101,,                432839,,                    887,,                516782,                  2503,                 58677,,                 50661,                 50661,              1280020,,,                368605,,                100110,                 39320,                139430,                508035,              1788055,,,,              1800523,              1800523,,,                330001,                330001,                 63306,                 29115,                 16178,                 35460,                474060,,                613856,                284690,,              1020973,              1919519,,,                 68509,,                   -359,                 68150,              4262252,                652205,              4914457,              6702512,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2015年03月31日,,,,              1149963,,                145338,,                 13464,,                 71842,,                 18615,,              1012339,,                    617,,                 52809,,                    229,,                686978,,              1492898,                 52650,              1545548,              4697742,,,                 27006,,                              0,,                210984,,,                126741,,              1131147,                400460,                730687,,              2089990,              1432265,                657725,,                 84945,                 49539,                 35406,,                 85626,                 59256,                 26370,,                156446,                111821,                 44625,                    675,              1622229,,,                    323,                    323,                 10547,,                 17911,                  8825,                100630,,                 49839,                 49839,                177205,              2048294,              6746036,,,,,                219807,,                              0,,                     58,,                400385,,                    512,,                246720,                  3184,                130054,,                 53386,                 53386,              1054106,,,                358873,,                101311,                 40854,                142165,                501038,              1555144,,,,              1800523,              1800523,,,                330001,                330001,                 63306,                 28834,                 15554,                 35460,                473155,,                575517,                284690,,              1247604,              2107811,,,                125681,,                    211,                125892,              4507381,                683511,              5190892,              6746036,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2014年12月31日,,,,              1212288,,                155631,,                    743,,                 72551,,                 25705,,              1026691,,                    795,,                 43807,,                    237,,                706915,,              1403188,                 54623,              1457811,              4703174,,,                 27006,,                              0,,                207849,,,                125104,,              1143556,                392529,                751027,,              2127569,              1440350,                687219,,                 88361,                 50847,                 37514,,                 86110,                 59196,                 26914,,                157185,                108775,                 48410,                    586,              1676774,,,                    450,                    450,                 10797,,                 13449,                  8750,                104544,,                 53643,                 53643,                180386,              2103262,              6806436,,,,,                222026,,                              0,,                    105,,                377594,,                    768,,                368088,                  3178,                127445,,                 45472,                 45472,              1144676,,,                349044,,                100288,                 43176,                143464,                492508,              1637184,,,,              1800523,              1800523,,,                330001,                330001,                 63306,                 28274,                 14938,                 35460,                471979,,                575517,                284690,,              1183399,              2043606,,,                175652,,                    171,                175823,              4491931,                677321,              5169252,              6806436,              0,              0,              0,,                              0,              1212288,                 72551,                              0,              6806436,,,,                222026,,                    105,,                377594,,                    768,,                368088,                  3178,                127445,,                 45472,              1144676,,,                349044,,                 87375,                 43176,                130551,                479595,              1624271,,,,              1800523,              1800523,,,                330001,                330001,                 63306,                 28274,                 14938,                 35460,                471979,,                575517,                284690,,              1196312,              2056519,,,                175652,,                    171,                175823,              4504844,                677321,              5182165,,,,,,,,,,
2476,2014年09月30日,,,,              1664455,,                292555,,                 67954,,                 95677,,                 23561,,              1071204,,                    543,,                 50684,,                    223,,                674916,,                949678,                155590,              1105268,              5047040,,,                 27006,,                              0,,                201154,,,                124342,,              1080604,                372908,                707696,,              2054856,              1379006,                675850,,                 78445,                 48582,                 29863,,                 82927,                 56197,                 26730,,                153063,                102831,                 50232,                 57273,              1671986,,,                    598,                    598,                  8828,,                 11892,                  7913,                103300,,                 55608,                 55608,                178713,              2088285,              7135325,,,,,                              0,,                    430,,                     98,,                476939,,                     91,,                929050,                  2562,                200794,,                 41782,                 41782,              1651746,,,                350616,,                104987,                 44604,                149591,                500207,              2151953,,,,              1800523,              1800523,,,                330001,                330001,                 63306,                 28903,                 49055,                              0,                471265,,                575517,                284690,,              1098235,              1958442,,,                 73669,,                    650,                 74319,              4304549,                678823,              4983372,              7135325,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2014年06月30日,,,,              1645967,,                157882,,                 25111,,                 63424,,                 25376,,              1051100,,                     25,,                 52318,,                    217,,                670870,,              1359669,                 50342,              1410011,              5102301,,,                 27006,,                              0,,                229424,,,                123652,,              1059824,                354427,                705397,,              1993633,              1320609,                673024,,                 76805,                 47806,                 28999,,                 79496,                 53064,                 26432,,                148997,                 97602,                 51395,                 55740,              1664639,,,                    796,                    796,                  7813,,                 17897,                  8224,                101824,,                 61526,                 61526,                189471,              2119149,              7221450,,,,,                              0,,                              0,,                    498,,                453918,,                     85,,                574743,                  1946,                107910,,                 38734,                 38734,              1177834,,,                413247,,                104530,                 44142,                148672,                561919,              1739753,,,,              2443043,              2443043,,,                330001,                330001,                 63306,                 26877,                 47713,                              0,                467897,,                575517,                284690,,                986192,              1846399,,,                -13512,,                    789,                -12723,              4744616,                737081,              5481697,              7221450,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2014年03月31日,,,,              1485364,,                 65331,,                  8016,,                 49879,,                 21629,,                994791,,                    309,,                 36687,,                    223,,                666275,,              1660186,                 50658,              1710844,              5039348,,,                 27006,,                 14730,,                221239,,,                124346,,              1074985,                346988,                727997,,              2014332,              1308545,                705787,,                 77404,                 47289,                 30115,,                 78752,                 52268,                 26484,,                149300,                 95413,                 53887,                 55448,              1724064,,,                  1012,                  1012,                  7296,,                 10682,                 12076,                104084,,                 68441,                 68441,                195283,              2190630,              7229978,,,,,                 70000,,                     16,,                     85,,                405969,,                     67,,                255513,                  1327,                122825,,                 56141,                 56141,                911943,,,                415624,,                104059,                 44333,                148392,                564016,              1475959,,,,              2443043,              2443043,,,                330001,                330001,                 63306,                 26818,                 46385,                              0,                466510,,                540997,                313386,,              1202583,              2056966,,,                 56474,,                    464,                 56938,              5023457,                730562,              5754019,              7229978,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2014年01月01日,,,,              1495045,,                 74096,,                 14324,,                 34650,,                 18361,,              1046456,,                    457,,                 40731,,                    225,,                673787,,              1589149,                 50889,              1640038,              5038170,,,                 27006,,                 14850,,                214664,,,                123275,,              1069065,                334253,                734812,,              2012900,              1278617,                734283,,                 76357,                 46812,                 29545,,                 77420,                 49901,                 27519,,                145238,                 92000,                 53238,                 59584,              1762256,,,                  1277,                  1277,                  7292,,                  2825,                 11254,                103520,,                 74884,                 74884,                192483,              2219828,              7257998,,,,,                115000,,                              0,,                    212,,                370052,,                     66,,                350083,                  3716,                 66069,,                 48630,                 48630,                953828,,,                452098,,                103593,                 43286,                146879,                598977,              1552805,,,,              2443043,              2443043,,,                330001,                330001,                 63306,                 26841,                 45072,                              0,                465220,,                540997,                313386,,              1111242,              1965625,,,                 59655,,                   -135,                 59520,              4933408,                771785,              5705193,              7257998,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2013年12月31日,,,,,,                 74096,,                 14324,,,,                 18361,,              1046456,,                    457,,                 40731,,                    225,,                673787,,              1589149,                 50889,              1640038,              5038170,,,                 27006,,,,                214664,,,                123275,,              1069065,                334253,                734812,,              2012900,              1278617,                734283,,                 76357,                 46812,                 29545,,                 77420,                 49901,                 27519,,                145238,                 92000,                 53238,                 59584,              1762256,,,                  1277,                  1277,                  7292,,                  2825,                 11254,                103520,,                 74884,                 74884,                192483,              2219828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1495045,                 34650,                 14850,              7257998,,,,                115000,,                    212,,                370052,,                     66,,                350083,                  3716,                 66069,,                 48630,                953828,,,                452098,,                 88528,                 43286,                131814,                583912,              1537740,,,,              2443043,              2443043,,,                330001,                330001,                 63306,                 26841,                 45072,                              0,                465220,,                540997,                313386,,              1126307,              1980690,,,                 59655,,                   -135,                 59520,              4948473,                771785,              5720258,                              0,,                              0,                 48630,,                              0,                              0,,,
2476,2013年09月30日,,,,,,                133574,,                 17889,,,,                 26292,,                997470,,                     24,,                 52398,,                    232,,                657451,,              1006225,                102982,              1109207,              4794483,,,                 27006,,,,                204785,,,                124333,,                967023,                321119,                645904,,              1971540,              1232334,                739206,,                 74224,                 46269,                 27955,,                 74744,                 47897,                 26847,,                142835,                 89669,                 53166,                141321,              1758732,,,                  1595,                  1595,                  9571,,                 21598,                  9638,                103317,,                 43482,                 43482,                178035,              2194293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1799946,                              0,                 14569,              6988776,,,,                              0,,                    400,,                473313,,                     77,,                259047,                  3059,                106722,,                 51601,                894976,,,                440749,,                 94006,                 25033,                119039,                559788,              1454764,,,,              2443043,              2443043,,,                330001,                330001,                 63306,                 22167,                 43342,,                458816,,                540997,                313386,,              1022766,              1877149,,,                 10127,,                   -328,                  9799,              4788807,                745205,              5534012,                              0,,                    757,                 51601,,,,,,
