證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收分期帳款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收票據,　　　　　 長期應收分期帳款,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2480,2015年09月30日,,,,                657839,,                  2788,,                 10143,,                 10056,,              2058512,                 20537,              2079049,,                  2283,,,                389460,                389460,,                214462,,                    626,                 51123,                  1117,                 52866,              3418946,,,                140586,,                  7582,,                385026,,                              0,,                  8693,                  5077,,                 56476,,                              0,                 28878,                 28878,,                  6313,,                  1195,                 92862,                639826,              4058772,,,,,                  7803,,                              0,,                  1863,,                554264,,                197888,                 29632,,,                545092,                  7766,                552858,              1344308,,,                  8248,,                 12920,                  2410,                 15330,                 23578,              1367886,,,,              1329504,              1329504,,                259048,,                654220,                    144,,                410150,              1064514,,                 37820,                              0,              2690886,                              0,              2690886,              4058772,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2015年06月30日,,,,                888512,,                    529,,                 10130,,                  4389,,              1914751,                 16834,              1931585,,                    892,,,,                483325,,                227401,,                    270,                 51238,                  1082,                 52590,              3599353,,,                172664,,                  7582,,                388038,,,,                 10135,                  5540,,                 56173,,                              0,                 24783,                 24783,,                  6034,,                  1411,                 88401,                672360,              4271713,,,,,                  7347,,,,                  3552,,                588337,,                467482,                 43248,,,                489153,                  6154,                495307,              1605273,,,                  6624,,                 13805,                  2410,                 16215,                 22839,              1628112,,,,              1329504,              1329504,,                259048,,                654220,                    144,,                336694,                991058,,                 63991,                              0,              2643601,                              0,              2643601,              4271713,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2015年03月31日,,,,                879913,,,,                 10115,,                  8894,,              1719046,                 14888,              1733934,,                  4290,,,                417789,                417789,,                198096,,                    588,                 53815,                    768,                 55171,              3308202,,,                162921,,                  7582,,                391098,,,,                 11599,                  6429,,                 56867,,                              0,                 26396,                 26396,,                  6029,,                  1414,                 90706,                670335,              3978537,,,,,                  8706,,                              0,,                  3112,,                440052,,                181773,                 52671,,,                417704,                  2493,                420197,              1106511,,,                  6271,,                 14695,                  2385,                 17080,                 23351,              1129862,,,,              1329504,              1329504,,                259048,,                627451,                    168,,                571789,              1199408,,                 60715,                              0,              2848675,                              0,              2848675,              3978537,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2014年12月31日,,,,                721584,,                              0,,                 10100,,                 11940,,              2039081,                 22637,              2061718,,                    867,,,                513227,                513227,,                198375,,                    588,                 65647,                    577,                 66812,              3584623,,,                144463,,                 12086,,                394137,,                              0,,                 13062,                  6085,,                 56932,,                              0,                 15909,                 15909,,                  2029,,                  1262,                 76132,                645965,              4230588,,,,,                 15321,,                              0,,                 13611,,                569652,,                228453,                 56779,,,                547813,                  6618,                554431,              1438247,,,                  6398,,                 15593,                  2308,                 17901,                 24299,              1462546,,,,              1329504,              1329504,,                259048,,                627451,                    168,,                507093,              1134712,,                 44778,                              0,              2768042,                              0,              2768042,              4230588,              0,              0,              0,,                              0,                              0,                721584,,                              0,              4230588,,,,                 15321,,                              0,,                 13611,,                569652,,                228453,                 56779,,,                547813,,                              0,                              0,                  6618,                554431,              1438247,,,                  6398,,                 15593,                  2308,                 17901,                 24299,              1462546,,,,              1329504,              1329504,,                259048,,                627451,                    168,,                507093,              1134712,,                 44778,                              0,              2768042,                              0,              2768042
2480,2014年09月30日,,,,                441278,,                              0,,                 10086,,                  4364,,              1814911,                 21011,              1835922,,                    828,,,                672725,                672725,,                205650,,                    585,                 53228,                    738,                 54551,              3225404,,,                176569,,                 12086,,                391090,,                              0,,                 14528,                  5507,,                 61198,,                              0,                 19130,                 19130,,                  1789,,                  1545,                 83662,                683442,              3908846,,,,,                 11309,,                              0,,                 16534,,                503423,,                169858,                 35952,,,                415874,                  6056,                421930,              1159006,,,                  7745,,                 13235,                  2309,                 15544,                 23289,              1182295,,,,              1329504,              1329504,,                259048,,                627451,                    168,,                435920,              1063539,,                 74460,                              0,              2726551,                              0,              2726551,              3908846,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2014年06月30日,,,,              1189784,,                              0,,                 10072,,                 16069,,              1454798,                 23339,              1478137,,                  3716,,,,                518870,,                252701,,                    318,                 55322,                    880,                 56520,              3525869,,,                 24494,,                113326,,                396884,,,,                 16233,                  5888,,                 64814,,                  1129,                 17243,                 18372,,                  1920,,                  1833,                 86939,                643764,              4169633,,,,,                 47951,,,,                  1191,,                655190,,                454888,                 44765,,,                374815,                  2068,                376883,              1580868,,,                  7486,,                 13978,                  2287,                 16265,                 23751,              1604619,,,,              1329504,              1329504,,                259048,,                627451,                    168,,                353425,                981044,,                 -4582,                              0,              2565014,                              0,              2565014,              4169633,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2014年03月31日,,,,              1143488,,,,                 10057,,                 14473,,              1345398,                 21420,              1366818,,                    405,,,                323679,                323679,,                175787,,                    666,                 58510,                  1027,                 60203,              3094910,,,                 27641,,                173776,,                439178,,,,                 18025,                  5890,,                 67241,,                  1242,                 15532,                 16774,,                  1187,,                  1720,                 86922,                751432,              3846342,,,,,                 39811,,                              0,,                  7471,,                410994,,                179038,                 59279,,,                341275,                  2083,                343358,              1039951,,,                  6999,,                 14744,                  2223,                 16967,                 23966,              1063917,,,,              1329504,              1329504,,                259048,,                600760,                    144,,                592615,              1193519,,                    354,                              0,              2782425,                              0,              2782425,              3846342,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2013年12月31日,,,,,,,,                 10043,,                  9297,,              1492278,                 32205,              1524483,,                  1234,,,                266922,                266922,,                163813,,                  1028,                 58298,                    832,                 60158,              3207565,,,                 20162,,                174976,,                441852,,                              0,,                 19877,                  5866,,                 69887,,                  1355,                 20128,                 21483,,                    267,,                    459,                 92096,                754829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1171615,,                              0,              3962394,,,,                 60576,,                              0,,                  6724,,                496374,,                200482,                 47607,,,                397132,,                              0,                              0,                  3576,                400708,              1212471,,,                  8287,,                 15537,                  2239,                 17776,                 26063,              1238534,,,,              1329504,              1329504,,                259048,,                600760,                    144,,                534572,              1135476,,                   -168,                              0,              2723860,                              0,              2723860
2480,2013年09月30日,,,,,,,,                 10028,,                  6205,,              1489581,                 33906,              1523487,,                  1784,,,                325323,                325323,,                171074,,                  1106,                 50639,                    826,                 52571,              3022675,,,                 19511,,                214976,,                433409,,                              0,,                 19635,                  5500,,                 70200,,                  1467,                 15735,                 17202,,                    582,,                    619,                 88603,                781634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                932203,,,              3804309,,,,                 49176,,                              0,,                  9559,,                450347,,                179920,                 35569,,,                329740,,                              0,                              0,                  3554,                333294,              1057865,,,                  8730,,                 15834,                  2426,                 18260,                 26990,              1084855,,,,              1329504,              1329504,,                259048,,                600760,                    144,,                534214,              1135118,,                 -4216,                              0,              2719454,                              0,              2719454
2480,2013年06月30日,,,,,,,,                 10011,,                 10438,,              1442120,                 33855,              1475975,,                    651,,,                241436,                241436,,                184734,,                  1106,                 49400,                    884,                 51390,              3055742,,,                 24463,,                224976,,                407503,,                              0,,                 21470,                  5628,,                 71575,,                  1580,                 16731,                 18311,,                    582,,                    918,                 91386,                775426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1025910,,                 55197,              3831168,,,,                 43514,,,,                  6698,,                357041,,                465005,                 45398,,,                275894,,,,                  3521,                279415,              1197071,,,                  8400,,                 16644,                  1726,                 18370,                 26770,              1223841,,,,              1329504,              1329504,,                259048,,                600760,                    144,,                420315,              1021219,,                 -2444,                              0,              2607327,                              0,              2607327
