證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應收帳款－關係人,　　　　 其他流動資產－其他,　　　　　 應付短期票券,　　　　　 應付票據,　　　　　 應付帳款,　　　　　 應付帳款－關係人,　　　　　　 一年或一營業週期內到期長期借款,　　　　　 銀行長期借款,　　　　　　 長期應付款,　　 待註銷股本股數,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　　 其他非流動資產－其他,　　　　　 銀行借款,　　　　　 其他非流動負債－其他,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－處分資產增益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
2492,2015年09月30日,,,,              2171381,,              2202028,,                              0,,              1333525,,                173151,,              5063238,,                  5055,,                175716,,                  9221,,,              3150082,              3150082,,                  3212,                  3212,,                186739,             14473348,,,                830545,,                142339,,              3875296,,              5721411,,                138547,,,                  5900,                  5900,                491265,,                 65656,                114409,,                 67870,                247935,             11453238,             25926586,,,,,              1755255,,                279946,,                 71610,,              1593217,,                              0,,                321817,              2916804,              3238621,                119681,,,                751796,                 96813,                848609,              7906939,,,              2470000,,                 31075,,,                  4010,                              0,                135398,                 35493,                174901,              2675976,             10582915,,,,              5600000,              5600000,,              5140335,,                 52443,              1097541,,              1138647,              2288631,,,                918388,,               -250445,                667943,                 92821,             13604088,              1739583,             15343671,             25926586,              0,      6070073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2015年06月30日,,,,              2145600,,              2160893,,                247990,,              1290812,,                186384,,              4240112,,                  6650,,                173010,,                  9866,,,              3241045,              3241045,,                  3886,                  3886,,                220570,             13926818,,,                789941,,                143271,,              3717154,,              5703382,,                138547,,,                  6421,                  6421,                487823,,                 67163,                143220,,                 70075,                280458,             11266997,             25193815,,,,,              1815721,,                469662,,                 73949,,              1467530,,                     57,,                335156,              1822149,              2157305,                 76880,,,                876526,                 84443,                960969,              7022073,,,              2318479,,                 31075,,,                  3720,                              0,                125145,                 34720,                163585,              2513139,              9535212,,,,              6830634,              6830634,,              5138979,,                 52443,              1097541,,                717009,              1866993,,,                422635,,               -229967,                192668,                 75037,             13954237,              1704366,             15658603,             25193815,              0,      5000000,                  6650,                220570,                469662,                 73949,              1467530,                     57,                876526,              2318479,                  3720,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2015年03月31日,,,,              2231604,,              2148338,,                250122,,              1285078,,                134085,,              4120735,,                  6032,,                174976,,                 16378,,,              3404904,              3404904,,                  3947,                  3947,,                246970,             14023169,,,              1072024,,                144971,,              3648191,,              5782311,,                138547,,,                  3165,                  3165,                493217,,                 69011,                146431,,                 81259,                296701,             11579127,             25602296,,,,,              2448546,,                479655,,                104585,,              1410350,,                  4521,,                277505,              1502473,              1779978,                 32714,,,                389948,                 81189,                471137,              6731486,,,              2542714,,                 31075,,,                  3819,                              0,                126854,                 42997,                173670,              2747459,              9478945,,,,              6830634,              6830634,,              5138920,,                              0,              1097541,,                663180,              1760721,,,                645224,,                 75445,                720669,                 48708,             14402236,              1721115,             16123351,             25602296,              0,      3227000,                  6032,                246970,                479655,                104585,              1410350,                  4521,                389948,              2542714,                  3819,              0,,                              0,                              0,,                363522,,              2971209,,              1911404,,                 10935,,                250213,                275028,                 81259,              2448546,                              0,,              3607639,              1427844,              5035483,                 95814,                  1638,                  5985,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2014年12月31日,,,,              1845907,,              2417780,,                251202,,              1536452,,                142159,,              4379217,,                  7958,,                168532,,                 91958,,,              3392475,              3392475,,                 10456,                 10456,,                272340,             14516436,,,              1091606,,                145017,,              3675833,,              5951810,,                138547,,,                  3649,                  3649,                495440,,                 86933,                450207,,                 84912,                622052,             12123954,             26640390,,,,,              2688727,,                479647,,                111273,,              1589093,,                 11218,,                301364,              1689076,              1990440,                 18866,,,                125000,                 88609,                213609,              7102873,,,              2814282,,                 31075,,,                  3908,                332661,                131179,                 70958,                538706,              3384063,             10486936,,,,              6830634,              6830634,,              5134682,,                              0,              1097541,,                524432,              1621973,,,                845380,,                 71742,                917122,                 71026,             14433385,              1720069,             16153454,             26640390,              0,      6000000,                  7958,                272340,                479647,                111273,              1589093,                 11218,                125000,              2814282,                  3908,              0,,                              0,                              0,,                378557,,              3153834,,              1953563,,                  8013,,                252841,                205002,                 84912,              2688727,                              0,,              3607639,              1427844,              5035483,                 91576,                  1638,                  5985,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2014年09月30日,,,,              1835759,,              1777831,,                242138,,              1920088,,                153283,,              4349819,,                  8379,,                150384,,                216474,,,              3060830,              3060830,,                 10143,                 10143,,                375544,             14100672,,,              1036053,,                145099,,              3076803,,              6048879,,                138547,,,                  4134,                  4134,                492612,,                 60881,                439273,,                124243,                624397,             11566524,             25667196,,,,,              2296857,,                479732,,                 79181,,              1804488,,                  6949,,                374285,              1534728,              1909013,                  9237,,,                200531,                119871,                320402,              6905859,,,              2777663,,                 31075,,,                  4069,                322706,                130303,                 41104,                498182,              3306920,             10212779,,,,              6900634,              6900634,,              5138711,,                              0,              1097541,,                346739,              1444280,,,                401586,,                 25702,                427288,                120362,             13790551,              1663866,             15454417,             25667196,              0,     10304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2014年06月30日,,,,              2405963,,              1249286,,                              0,,              1580610,,                130277,,              3912415,,                  7112,,                168082,,                214006,,,              2824412,              2824412,,                  9866,                  9866,,              1349155,             13851184,,,              1109350,,                145217,,              2572456,,              6019732,,                138547,,,                  4622,                  4622,                489257,,                 60945,                429755,,                 96691,                587391,             11066572,             24917756,,,,,              2530685,,                479645,,                 77029,,              1453628,,                  7017,,                200511,              1362604,              1563115,                  4338,,,                904080,                 90349,                994429,              7109886,,,              2337500,,                 31075,,,                  4302,                313900,                137595,                 41040,                496837,              2865412,              9975298,,,,              6900634,              6900634,,              5138613,,                              0,              1097541,,                 43788,              1141329,,,                 31275,,                124471,                155746,                              0,             13336322,              1606136,             14942458,             24917756,              0,              0,                  7112,              1349155,                479645,                 77029,              1453628,                  7017,                904080,              2337500,                  4302,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2014年03月31日,,,,              2564430,,                832609,,                              0,,              1817608,,                119665,,              3551747,,                  7389,,                181636,,                223678,,,              2845810,              2845810,,                 10047,                 10047,,                965737,             13120356,,,              1048833,,                146438,,              2527183,,              6306414,,                138547,,,                  5118,                  5118,                504261,,                 61397,                440165,,                100329,                601891,             11278685,             24399041,,,,,              2401508,,                479828,,                102509,,              1293191,,                  3296,,                148928,              1220586,              1369514,                 19104,,,              1784017,                105967,              1889984,              7558934,,,              1450000,,                 31075,,,                  4345,                319663,                136812,                 49185,                510005,              1991080,              9550014,,,,              6900634,              6900634,,              5592288,,                              0,              1097541,,               -520086,                577455,,,                275346,,                 31229,                306575,                132753,             13244199,              1604828,             14849027,             24399041,              0,     15846000,                  7389,                965737,                479828,                102509,              1293191,                  3296,              1784017,              1450000,                  4345,              0,,                              0,                              0,,                411119,,              3244404,,              2164191,,                 12059,,                219589,                255052,                100329,              2401508,                              0,,              4139850,              1442477,              5582327,                  9961,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2013年12月31日,,,,,,                243653,,                              0,,,,                114784,,              3726034,,                 10400,,                134294,,                188649,,,              2840375,              2840375,,                 10082,                 10082,,              1181720,             12879565,,,                918601,,                146345,,              2548673,,              6534638,,                138547,,,                  5690,                  5690,                510695,,                 56967,                444243,,                102597,                603807,             11406996,,,,,,,                439943,,                104669,,              1106593,,                  9313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      7846000,                 10400,              1181720,,,,,,,,              0,,                 53000,                 53000,,                364981,,              3419759,,              2255386,,                 13676,,                225403,                255433,                102597,,,,,,,,,,,              2584076,              1792498,,                              0,             24286561,,,,              2003244,              2003244,,                439943,,                104669,,              1106593,,                  9313,,                131866,              1432243,              1564109,                 15259,,,              2715814,              2715814,                 60557,              2776371,              8019501,,,                950000,                950000,,                 31075,,,                  4162,                  4162,                320789,                127943,                 44815,                              0,                497709,              1478784,              9498285,,,,              6900634,              6900634,,,              4139850,              1442477,              5582327,                  9961,                              0,                              0,                              0,                              0,              5592288,,                              0,              1097541,,               -495240,                602301,,,                264373,,                -98276,                166097,                 60366,             13200954,              1587322,             14788276,,                              0,                              0
2492,2013年09月30日,,,,,,                 18318,,                              0,,,,                124420,,              3704327,,                 13333,,                122230,,                201700,,,              3025099,              3025099,,                  9897,                  9897,,                464738,             12517896,,,                859221,,                147985,,              2581514,,              6796051,,                138547,,,                  6005,                  6005,                506450,,                 60143,                438490,,                119224,                617857,             11653630,,,,,,,                399791,,                 72222,,              1337474,,                  8354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      7846000,                 13333,                464738,,,,,,,,              0,,,                 52018,,                382859,,              3379242,,              2536691,,                 15743,,                235132,                246384,                119224,,,,,,,,,,,              3226508,              1555308,,,             24171526,,,,              1802760,              1802760,,                399791,,                 72222,,              1337474,,                  8354,,                153123,              1258163,              1411286,                 12612,,,              3573847,              3573847,                 79518,              3653365,              8699707,,,                336963,                336963,,                 31075,,,                  4434,                  4434,                314845,                131036,                 56287,                              0,                506602,                874640,              9574347,,,,              6900634,              6900634,,,              4139850,              1442477,              5582327,                  9961,                              0,,                              0,,              5592288,,                              0,              1098575,,               -381735,                716840,,,                 22071,,               -159370,               -137299,                 60366,             13012097,              1585082,             14597179,,                  1843,                  1843
2492,2013年06月30日,,,,,,                 37818,,                              0,,,,                123332,,              3688311,,                  8030,,                164123,,                192490,,,              3017139,              3017139,,                 10175,                 10175,,                477580,             12568387,,,                847851,,                147995,,              2670575,,              7257063,,                138547,,,                  6782,                  6782,                510892,,                 59080,                445104,,                138952,                643136,             12222841,,,,,,,                529886,,                 99842,,              1387847,,                  3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      6246000,                  8030,                477580,,,,,,,,              0,,,                 52613,,                389410,,              3485356,,              2862270,,                 10840,,                273723,                235464,                138952,,,,,,,,,,,              3112649,              1684127,,,             24791228,,,,              1445225,              1445225,,                529886,,                 99842,,              1387847,,                  3986,,                159408,              1332244,              1491652,                  8775,,,              3327265,              3327265,                 77455,              3404720,              8372061,,,              1042545,              1042545,,                 31075,,,                  4454,                  4454,                318446,                131584,                 53016,                              0,                507500,              1581120,              9953181,,,,              6900634,              6900634,,,              4139850,              1442477,              5582327,                  9961,                              0,,                              0,,              5592288,,                              0,              1098575,,               -332859,                765716,,,                204334,,               -170395,                 33939,                 48187,             13244390,              1593657,             14838047,,                    128,                    128
