證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人－其他,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 在建房地,　　　　　 預付土地款,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 累計折舊－投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資,　　　　　 其他長期投資（淨額）,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券折價,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 累計減損－電腦軟體,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 現金及約當現金合計,　　　　 持有供交易之金融資產－流動,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應付短期票券折價,　　　　 其他應付款－其他,　　　　　 預收房地款,　　　　　 其他預收款,　　　　 應計退休金負債（應付退休金費用）,　　　　 待分配股票股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 庫藏股票,　　 非控制權益,　　　 應付公司債,　　　　 應付公司債合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 遞延所得稅資產,　　　　 預付投資款,　　　 其他應付款項－關係人,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計
2505,2015年09月30日,,,,                 19425,                951229,                970654,,                 16280,,                 66754,                 66754,,                  1839,                  1839,,                 17152,                 17152,                              0,,                 21010,                 21010,,                214144,                214144,,                 18841,                 18841,,                    363,,,              1510353,                168706,              7556005,              1510800,             10745864,             10745864,,                194610,,                470720,                115176,                585896,             12836255,,,                              0,,                360360,                  8690,                351670,,                 20866,                 20866,,,                197062,                197062,,                 31040,                  9432,                 21608,,                    990,                     99,                    891,,                  2875,                    803,                  2072,,                    256,                              0,                    256,,                  8261,                  4810,                  3451,                225340,,                226988,                 54249,                 19206,                262031,,,                  3694,                  3694,                  3694,,                              0,                629470,,                102213,                102213,                  2890,,                350011,                350011,                859186,,                 99153,                 99153,              2042923,              2906524,             15742779,,,,,              5588523,              5588523,,              1145400,                    708,              1144692,,                173423,                173423,,                    630,                    630,,                428543,                428543,,                              0,                              0,,                 67769,                 67769,                     15,,,                781718,                  3026,                784744,,                              0,                132015,                916759,              8320354,,,                              0,                  3187,                162090,                165277,                165277,              8485631,,,,              5765825,                              0,              5765825,,                487251,,                323490,                387506,,                289649,              1000645,,,                 22654,,                -19227,                  3427,                              0,              7257148,                              0,              7257148,             15742779,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2015年06月30日,,,,                 17561,              1316475,              1334036,,                 11769,,                 68645,                 68645,,                124644,                124644,,                 40223,                 17152,                 23071,,                 21010,                 21010,,                165970,                165970,,,,,                    302,,,              1842909,                168706,              7132485,              1521800,             10665900,             10665900,,                175655,,                343420,                207246,                550666,             13141668,,,                              0,,                356232,                  8400,                347832,,                 22515,                 22515,,,                197062,                197062,,                 31040,                  9367,                 21673,,                    990,                     99,                    891,,                  2875,                    803,                  2072,,                    256,                              0,                    256,,                  7791,                  4359,                  3432,                225386,,                226988,                 54249,                 18924,                262313,,,                  5562,                  2984,                  2984,,                              0,                598074,,                102213,                102213,                  2650,,                330011,                330011,                862321,,                 90965,                 90965,              1986234,              2847264,             15988932,,,,,              5502088,              5502088,,              1173000,                    496,              1172504,,                139507,                139507,,                    630,                    630,,                571001,                571001,,                              0,                              0,,                126280,                126280,                              0,,,                806306,                120931,                927237,,                              0,                113874,              1041111,              8553121,,,                              0,                  3237,                173077,                176314,                176314,              8729435,,,,              5765825,                              0,              5765825,,                487251,,                323490,                387506,,                295077,              1006073,,,                 17683,,                -17335,                    348,                              0,              7259497,                              0,              7259497,             15988932,              0,              0,              0,                  2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2015年03月31日,,,,                 18003,                596928,                614931,,                 11971,,                 70372,                 70372,,                 15284,                 15284,,                 17518,                 17152,                    366,,                 21010,                 21010,,                194919,                194919,,,,,                     42,,,              1515967,                168706,              7985928,                863108,             10533709,             10533709,,                226728,,                904333,                399905,              1304238,             12993570,,,                              0,,                357147,                  8464,                348683,,                 24935,                 24935,,,                197062,                197062,,                 31040,                  9303,                 21737,,                    990,                     99,                    891,,                  2875,                    803,                  2072,,                    256,                              0,                    256,,                  7791,                  3921,                  3870,                225888,,                226988,                 54249,                 18523,                262714,,,                  5292,                  3257,                  3257,,                              0,                600710,,                102213,                102213,                  2419,,                179314,                179314,                865457,,                 89599,                 89599,              1839712,              2705189,             15698759,,,,,              5187056,              5187056,,                858600,                    606,                857994,,                157939,                157939,,                    630,                    630,,              1019192,              1019192,,                              0,                              0,,                162853,                162853,                  6970,,,                995420,                111149,              1106569,,                289409,                 79743,              1475721,              8868355,,,                              0,                  2337,                177364,                179701,                179701,              9048056,,,,              5472599,,              5472599,,                491068,,                318456,                387506,,                -22140,                683822,,,                 18822,,                -15608,                  3214,,              6650703,                              0,              6650703,             15698759,              0,              0,              0,                  2035,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年12月31日,,,,                 18084,              1154075,              1172159,,                 26775,,                 70498,                 70498,,                 11730,                 11730,,                 17316,                 17152,                    164,,                 21010,                 21010,,                155221,                155221,,                              0,                              0,,                     28,,,              1458577,                168706,              7534740,                591262,              9753285,              9753285,,                271031,,                578770,                379734,                958504,             12440405,,,                              0,,                357778,                  8508,                349270,,                 25020,                 25020,,,                197062,                197062,,                 31040,                  9238,                 21802,,                    990,                     99,                    891,,                  2875,                    803,                  2072,,                    256,                              0,                    256,,                  7791,                  3336,                  4455,                226538,,                226988,                 54249,                 18242,                262995,,,                  3324,                  3324,                  3324,,                              0,                272306,,                102213,                102213,                  2174,,                109784,                109784,                868593,,                 79730,                 79730,              1434800,              2301947,             14742352,,,,,              4651698,              4651698,,                486400,                    473,                485927,,                137810,                137810,,                    630,                    630,,              1079462,              1079462,,                  5000,                  5000,,                 61252,                 61252,                  6970,,,                793111,                105947,                899058,,                716199,                191165,              1806422,              8235171,,,                              0,                  2237,                181652,                183889,                183889,              8419060,,,,              5035592,                              0,              5035592,,                496757,,                318456,                387506,,                 80854,                786816,,,                 19609,,                -15482,                  4127,                              0,              6323292,                              0,              6323292,             14742352,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年09月30日,,,,                 17821,                791873,                809694,,                 36312,,                 76425,                 76425,,                 33940,                 33940,,                 17401,                 17152,                    249,,                 21010,                 21010,,                132473,                132473,,                              0,                              0,,                    927,,,              1494126,                168706,              7123470,                547465,              9333767,              9333767,,                215729,,                775296,                341138,              1116434,             11776960,,,                              0,,                216691,                  8339,                208352,,                 26187,                 26187,,,                166207,                166207,,                 31040,                  8862,                 22178,,                    990,                              0,                    990,,                  1380,                    555,                    825,,                  3888,                  3882,                      6,,                  5896,                  2909,                  2987,                193193,,                226988,                 54249,                 17722,                263515,,,                  2772,                  2772,                  2772,,                              0,                296888,,                 89047,                 89047,                  1530,,                109784,                109784,                871729,,                 55943,                 55943,              1424921,              2118940,             13895900,,,,,              4030412,              4030412,,                164400,                     24,                164376,,                161831,                161831,,                    630,                    630,,                963020,                963020,,                              0,                              0,,                272865,                272865,                 17186,,,                764532,                 84531,                849063,,                711700,                149316,              1710079,              7320399,,,                              0,                  2637,                190276,                192913,                192913,              7513312,,,,              5035592,                              0,              5035592,,                496423,,                318456,                387506,,                139243,                845205,,,                 16194,,                -10826,                  5368,                              0,              6382588,                              0,              6382588,             13895900,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年06月30日,,,,                 41957,                408487,                450444,,                 35773,,                 75028,                 75028,,                272546,                272546,,                 30617,                 17152,                 13465,,                 21010,                 21010,,                144566,                144566,,,,,                     11,,,              1709106,                168706,              6750684,                211527,              8840023,              8840023,,                 48100,,                636346,                327326,                963672,             10864638,,,                              0,,                154834,                  4000,                150834,,                 88946,                 88946,,,                166207,                166207,,                 31040,                  8797,                 22243,,                    990,                              0,                    990,,                  1380,                    555,                    825,,                  3888,                  3875,                     13,,                  5503,                  2503,                  3000,                193278,,                226817,                 54249,                 17440,                263626,,,                  4034,                  3108,                  3108,,                              0,                296768,,                 89047,                 89047,                  1302,,                 49671,                 49671,                874864,,                 54024,                 54024,              1365676,              2065468,             12930106,,,,,              3248986,              3248986,,                164400,                    114,                164286,,                 23324,                 23324,,                              0,                              0,,              1142460,              1142460,,                              0,                              0,,                255545,                255545,                 11836,,,                663126,                 63884,                727010,,                707228,                 77588,              1511826,              6358263,,,                              0,                  2859,                223098,                225957,                225957,              6584220,,,,              5035592,                              0,              5035592,,                489705,,                318456,                387506,,                113472,                819434,,,                 13377,,                -12222,                  1155,                              0,              6345886,                              0,              6345886,             12930106,              0,              0,              0,                    926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2014年03月31日,,,,                  6214,                800978,                807192,,                119121,,                 74435,                 74435,,                 50072,                 50072,,                 87093,                 17152,                 69941,,                 21010,                 21010,,                245077,                245077,,,,,                    122,,,              1730703,                168706,              5946167,                714482,              8560058,              8560058,,                231263,,                429692,                300245,                729937,             10908228,,,                              0,,                154834,                  4000,                150834,,                 96250,                 96250,,,                 36207,                 36207,,                 31040,                  8669,                 22371,,                              0,                              0,                              0,,                  1380,                    555,                    825,,                  3888,                  3869,                     19,,                  4418,                  2240,                  2178,                 61600,,                226817,                 54249,                 17159,                263907,,,                  3938,                  3346,                  3346,,                              0,                571838,,                 69047,                 69047,                  1085,,                 49335,                 49335,                              0,,                 53014,                 53014,                744319,              1320256,             12228484,,,,,              2380515,              2380515,,                164400,                    117,                164283,,                 20505,                 20505,,                              0,                              0,,              1369671,              1369671,,                              0,                              0,,                 50409,                 50409,                 85906,,,                533732,                 46588,                580320,,                702785,                 72724,              1355829,              5427118,,,                              0,                  2664,                239420,                242084,                242084,              5669202,,,,              5035592,,              5035592,,                491609,,                249864,                387506,,                392362,              1029732,,,                 15164,,                -12815,                  2349,,              6559282,                              0,              6559282,             12228484,              0,              0,              0,                    592,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2013年12月31日,,,,,,,,                 51284,,                 81366,                 81366,,,                 55065,,,,                197647,,,                 21010,,,                141064,,,,,,,,,,,,              8713304,              8713304,,                203064,,              1799913,                297301,              2097214,             12112132,,,,,,,                150834,,,                 61076,,,,,,,,,,,,,,,,,,,,,,,,,                 62047,,,,,                264189,,,,,                  3674,,,              1875885,,,                 35881,,,                 49335,                 49335,                              0,,                 73165,                 73165,              2035147,              2576967,,,,,,,,,,,,,,,                              0,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                550991,                 51284,                    123,                    881,             14689099,,,,              3678584,              3678584,,                164288,,                 31550,,                              0,,              1877207,,                              0,,                164212,                 78441,,,                982821,,                700787,                237227,              1920835,              7915117,,,                  2664,                303685,                306349,                306349,              8221466,,,,              5033136,              5033136,,                487921,,                249864,                387506,,                300108,                937478,,                  9098,              6467633,              6467633,,,,,,,,,,,,,,,,,,,,,
2505,2013年09月30日,,,,                  5650,                808954,,,                 69888,,                 75894,                 75894,,                116644,                116644,,                 17164,                 17152,                     12,,                 21010,                 21010,,                140121,                140121,,,,,,,,                222766,                168706,              9405692,                693090,             10490254,             10490254,,                 88137,,              1660784,                235438,              1896222,             13712912,,,                              0,,                154834,                  4000,                150834,,                 11161,                 11161,,,                 36207,                 36207,,                 31040,                  8432,                 22608,,                              0,                              0,                              0,,                  1380,                    555,                    825,,                  3888,                  3862,                     26,,                  3924,                  1036,                  2888,                 62554,,                226817,                 54249,                 16357,                264709,,,                  1310,                  1310,                  1310,,                  1975,                709370,,                 64404,                 64404,,,                 49335,                 49335,                              0,,                247977,                247977,              1108942,              1599510,,,,,,,,                 81600,,,,                 74811,,,                              0,,,              1102433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                814604,,                    126,                 35881,             15312422,,,,              3886842,              3886842,,                 81560,,                 74811,,                              0,,              1102433,,,,                345306,                 97939,,,              2688249,,                700324,                336761,              3725334,              9314225,,,                  3183,                812034,                816216,                816216,             10130441,,,,              4579130,              5029109,,                487997,,                249864,                387506,,               -975747,               -338377,,                  3252,              5181981,              5181981,                     40,                345306,              2675135,                 13114,                    999,                449979,,                 14607,,                -11355,                              0,                              0,,,,,,,,,
2505,2013年06月30日,,,,                  5436,              1908576,,,                 67611,,                 74199,                 74199,,                117280,                117280,,                 32204,                 17152,                 15052,,                 21010,                 21010,,                 56841,                 56841,,,,,,,,                233812,                168706,              7761855,                358812,              8523185,              8523185,,                 92367,,                985633,                238955,              1224588,             12106271,,,                              0,,                154834,                  4000,                150834,,                 13122,                 13122,,,                 36207,                 36207,,                 31040,                  7646,                 23394,,                              0,                              0,                              0,,                  1380,                    325,                  1055,,                  3888,                  3848,                     40,,                  3332,                  1649,                  1683,                 62379,,                226817,                 54249,                 16076,                264990,,,                    948,                    948,                    948,,                  1465,                765854,,                 35881,                 35881,,,                 49335,                 49335,                              0,,                230175,                230175,              1082710,              1574983,,,,,,,,                 81600,,,,                 72417,,,,,,              1092854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,              1914012,,                    126,                              0,             13681254,,,,              3365745,              3365745,,                 81519,,                 72417,,,,              1092854,,,,                278224,                100203,,,              1904033,,                720465,                104971,              2729469,              7720431,,,                  6133,                812034,                819359,                819359,              8539790,,,,              4556142,              5006121,,                486376,,                249864,                              0,,               -603527,               -353663,,                  2630,              5141464,              5141464,                     81,                278224,              1890898,                 13135,                  1192,                449979,,                 15681,,                -13051,                              0,                              0,,,,,,,,,
