證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 在建房地,　　　　　 備抵存貨跌價,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收款－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 預付投資款,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收房地款,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付建造合約款,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－其他
2506,2015年09月30日,,,,              1183220,,                122293,,                153702,,                 42185,,                  5201,,,                 99839,                 99839,,              1432885,              4400339,              1780955,              1407108,              6207071,              6306910,,                 25536,,                491134,                189630,                149382,                830146,              8669193,,,                 33264,,                906154,,                627041,,              1969235,,              2184859,                  8489,,                  2682,,                500924,                500924,,                182212,,                  6136,                  6136,                691954,              6420996,             15090189,,,,,              2424220,,                250275,,                311813,,              1269352,                 27024,,                 18114,,                333649,,                376672,                 71400,                448072,,                200000,                357925,                557925,                 12526,              1352172,              5652970,,,                              0,,              1794513,,                    426,,                 62911,                104652,                 15827,                183390,              1978329,              7631299,,,,              3870000,              3870000,,                373600,,              1178412,                 21269,,                766322,                766322,              1966003,,,                296655,,                  5365,                302020,                190851,              6320772,              1138118,              7458890,             15090189,              0,     25347994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2015年06月30日,,,,              1239121,,                112278,,                148371,,                 35980,,                  4999,,,                 64521,                 64521,,              1445768,              4231939,              1925909,              1407108,              6196508,              6261029,,                 25536,,                449910,                191250,                158703,                799863,              8627177,,,                 38049,,                906154,,                581443,,              1983748,,              2201022,                  8500,,                  2652,,                470177,                470177,,                181824,,                  5615,                  5615,                660268,              6379184,             15006361,,,,,              2519586,,                257113,,                330851,,              1247561,                 22584,,                 18151,,                336277,,                369152,                 68485,                437637,,                200000,                329245,                529245,                 19889,              1323048,              5718894,,,                              0,,              1810250,,                    467,,                 62538,                113857,                 15837,                192232,              2002949,              7721843,,,,              3870000,              3870000,,                373877,,              1178412,                 21269,,                747631,                747631,              1947312,,,                180591,,                  9015,                189606,                191055,              6189740,              1094778,              7284518,             15006361,              0,     25324994,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2015年03月31日,,,,              1483336,,                165469,,                143686,,                 38346,,                  5068,,,                116716,                116716,,              1479817,              4184451,              1856936,              1415344,              6105860,              6222576,,                 29045,,                502321,                191250,                163464,                857035,              8944561,,,                 39286,,                906154,,                546829,,              1953897,,              2224521,                  9505,,                  8956,,                476882,                476882,,                196181,,                 16882,                 16882,                698901,              6379093,             15323654,,,,,              2518125,,                285890,,                412732,,              1064853,                 35831,,                 64567,,                345590,,                346810,                112349,                459159,,,                462526,                462526,                 16606,              1283881,              5665879,,,                200000,,              1791693,,                    483,,                 65244,                150723,                 15847,                231814,              2223990,              7889869,,,,              3870000,              3870000,,                375566,,              1145866,                 72068,,                867860,                867860,              2085794,,,                156074,,                  9959,                166033,                183522,              6313871,              1119914,              7433785,             15323654,              0,     24280994,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2014年12月31日,,,,              1645723,,                167487,,                153964,,                 34615,,                  5092,,,                 72342,                 72342,,              1707831,              4321548,              1574113,              1422994,              6180498,              6252840,,                 60671,,                472681,                188050,                158203,                818934,              9139326,,,                 32458,,                906154,,                540665,,              1966501,,              2248278,                  9514,,                 10805,,                482248,                482248,,                198825,,                 18701,                 18701,                710579,              6414149,             15553475,,,,,              2251581,,                319640,,                418181,,              1134702,                 33425,,                 64441,,                345675,,                628326,                 77614,                705940,,                              0,                378631,                378631,                 24661,              1454907,              5676877,,,                200000,,              2177886,,                    517,,                 64636,                158624,                 15857,                239117,              2617520,              8294397,,,,              3870000,              3870000,,                375907,,              1145866,                 72068,,                754299,                754299,              1972233,,,                112373,,                  4668,                117041,                184526,              6150655,              1108423,              7259078,             15553475,              0,     24381994,              0,              1645723,                              0,             15553475,,,,              2251581,,                319640,,                418181,,              1134702,                 33425,,                 64441,,                345675,,                628326,                 77614,                705940,,                378631,                378631,                 24661,              1454907,              5676877,,,                200000,,              2177886,,                    517,,                 64636,                158624,                 15857,                239117,              2617520,              8294397,,,,              3870000,              3870000,,                375907,,              1145866,                 72068,,                754299,                754299,              1972233,,,                112373,,                  4668,                117041,                184526,              6150655,              1108423,              7259078,,,,,,,,,,
2506,2014年09月30日,,,,              1331123,,                162017,,                155000,,                 40367,,                  9868,,,                 86681,                 86681,,              2114544,              4320956,              1330721,              1347412,              6418809,              6505490,,                107580,,                572093,                187450,                186726,                946269,              9257714,,,                 35503,,                909791,,                501869,,              1981166,,              2280986,                 12419,,                 12883,,                458532,                458532,,                200999,,                 24354,                 24354,                696768,              6418502,             15676216,,,,,              2221905,,                346933,,                328564,,              1197703,                 47654,,                 65315,,                348414,,                657147,                 76451,                733598,,                              0,                432878,                432878,                 18068,              1532958,              5741032,,,                200000,,              2391138,,                    370,,                 94772,                160172,                 15867,                270811,              2862319,              8603351,,,,              3870000,              3870000,,                382224,,              1145866,                 72068,,                658862,                658862,              1876796,,,                 53391,,                  6993,                 60384,                197022,              5992382,              1080483,              7072865,             15676216,              0,     25201416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2014年06月30日,,,,              1345396,,                107687,,                163999,,                 42903,,                  9622,,,                 51570,                 51570,,              2268898,              4219582,              1675474,              1359405,              6804549,              6856119,,                182125,,                179857,                187047,                209678,                576582,              9284433,,,                 36753,,                909791,,                477157,,              1995400,,              2318099,                 12419,,                 11567,,                450233,                450233,,                203469,,                 26190,                 26190,                691459,              6441078,             15725511,,,,,              2367205,,                379821,,                322922,,              1191074,                 52059,,                 65153,,                349586,,                853634,                 72527,                926161,,                              0,                379385,                379385,                 16116,              1671248,              6049482,,,                200000,,              2528937,,                    370,,                 94279,                154411,                 15379,                264069,              2993376,              9042858,,,,              3970000,              3970000,,                379333,,              1145866,                 72068,,                352790,                352790,              1570724,,,                 32950,,                  7878,                 40828,                298314,              5662571,              1020082,              6682653,             15725511,              0,     36117416,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2014年03月31日,,,,              1504409,,                 36946,,                192962,,                 40671,,                  9800,,,                109592,                109592,,              1879513,              4183644,              2030441,              1499092,              6594506,              6704098,,                182125,,                137078,                186847,                185488,                509413,              9180424,,,                 39044,,                910871,,                455930,,              2011265,,              2407174,                 12403,,                 11077,,                459370,                459370,,                230736,,                 26814,                 26814,                727997,              6564684,             15745108,,,,,              2405776,,                321015,,                350638,,              1077608,                 35301,,                 64992,,                346655,,                801884,                133392,                935276,,,                448234,                448234,                 15608,              1745773,              6001103,,,                              0,,              2494462,,                    385,,                 97272,                155602,                 15887,                268761,              2763608,              8764711,,,,              3970000,              3970000,,                379544,,              1084960,                 30624,,                625309,                625309,              1740893,,,                 49884,,                  9650,                 59534,                199430,              5950541,              1029856,              6980397,             15745108,              0,     26053416,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2013年12月31日,,,,,,                 73309,,                166214,,                 61912,,                  9838,,,                 64110,                 64110,,              1812025,              4155313,              1978604,              1544552,              6401390,              6465500,,                182125,,                325139,                186647,                166966,                678752,              9427940,,,                 44987,,                820871,,                436531,,              2027509,,              2431587,                 12396,,                  5209,,                449093,                449093,,                208126,,                 27111,                 27111,                756539,              6530420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     32444416,              0,              1790290,                 67000,             15958360,,,,              2309953,,                342694,,                432360,,              1184131,                 33688,,                 64816,,                347013,,                763476,                 75525,                839001,,                441085,                441085,                 30822,              1657921,              6025563,,,                              0,,              2626265,,                    375,,                 97023,                150660,                 15897,                263580,              2890220,              8915783,,,,              4100000,              4100000,,                383870,,              1084960,                 30624,,                609063,                609063,              1724647,,,                 63255,,                  4610,                 67865,                265477,              6010905,              1031672,              7042577,,,,,,,,,,
2506,2013年09月30日,,,,,,                 96191,,                182364,,                 45232,,                601066,,,,,,              1877622,              4138692,              1817503,              1524429,              6309388,              6309388,,                182125,,                141997,                185667,                227856,                555520,              8956797,,,                 45807,,                829473,,                423178,,              1987024,,              2462733,                 16679,,                 13131,,                594577,                594577,,                241171,,                 13742,                 13742,                862621,              6627515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     26553416,              0,                984911,                              0,             15584312,,,,              2636581,,                121252,,                561949,,              1133554,                 51665,,                 62288,,                345355,,                719374,                 89841,                809215,,              1033188,              1033188,                 38603,              2226361,              6793650,,,                              0,,              2051562,,                    318,,                 96239,                142801,                 14655,                253695,              2305575,              9099225,,,,              4100000,              4100000,,                377520,,              1084960,                 30624,,                 23496,                 23496,              1139080,,,                 56022,,                  4242,                 60264,                199801,              5477063,              1008024,              6485087,,,,,,,,,,
2506,2013年06月30日,,,,,,                 73029,,                169912,,                 62086,,                609776,,,,,,              1971688,              4138871,              1609668,              1550827,              6169400,              6169400,,                184888,,                145850,                185173,                173033,                504056,              8861072,,,                 41748,,                829611,,                439170,,              1995408,,              2483082,                 26751,,                  6514,,                603250,                603250,,                271412,,                 16012,                 16012,                897188,              6712958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     26587416,              0,              1087925,                              0,             15574030,,,,              2899556,,                121252,,                606747,,              1057936,                 60379,,                 62101,,                358704,,                640358,                 73706,                714064,,                378946,                378946,                 64612,              1516326,              6324297,,,                              0,,              2528962,,                    353,,                 95843,                141260,                 14655,                251758,              2781073,              9105370,,,,              4100000,              4100000,,                377520,,              1084960,                 30624,,                 41235,                 41235,              1156819,,,                 16934,,                  1975,                 18909,                199739,              5453509,              1015151,              6468660,,,,,,,,,,
