證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　 庫藏股票
2509,2015年09月30日,,,,                945119,,                146209,,                 35567,,                 10850,,                 22066,,,              6403023,              6403023,,                345467,,                398927,                201712,                279053,                879692,              8787993,,,                 84928,,                 11965,,                204031,,                177621,,                    598,                              0,,                 10996,,                 79168,,                  7372,                 97536,                576679,              9364672,,,,,              3722869,,                 54795,,                138083,,                246383,,                139783,                139783,                    399,,,              1692684,,                              0,                              0,                              0,                 42311,              1734995,              6037307,,,                              0,,                  9126,,                 31799,                 41707,                 73506,                 82632,              6119939,,,,              1517520,                              0,              1517520,,                919902,,                555046,,                -20515,              2971953,                272780,              3244733,              9364672,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2015年06月30日,,,,                909464,,                135246,,                 50786,,                  9698,,                 50571,,,              5809042,              5809042,,                332065,,                410388,                206688,                264623,                881699,              8178571,,,                 94794,,                 11604,,                203791,,                178387,,                    733,                  2046,,                  2967,,                 74344,,                  7372,                 84683,                576038,              8754609,,,,,              3190579,,                 54675,,                219524,,                284409,,                325468,                325468,                    548,,,              1448521,,                              0,                              0,                              0,                 24948,              1473469,              5548672,,,                              0,,                              0,,                 31644,                 39275,                 70919,                 70919,              5619591,,,,              1517520,                              0,              1517520,,                919902,,                499392,,                -65198,              2871616,                263402,              3135018,              8754609,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2015年03月31日,,,,              1056212,,                112592,,                  1094,,                  3383,,                 40608,,,              5415477,              5415477,,                342805,,                512821,                215258,                266851,                994930,              7967101,,,                 95220,,                 11683,,                204572,,                179152,,                    890,                              0,,                  1625,,                 75400,,                  7372,                 84397,                575914,              8543015,,,,,              3109178,,                 54954,,                 89547,,                261182,,                168759,                168759,                    651,,,              1367726,,                              0,                              0,                              0,                 31028,              1398754,              5083025,,,                              0,,                    327,,                 31493,                 39275,                 70768,                 71095,              5154120,,,,              1517520,                              0,              1517520,,                919902,,                737718,,                -53190,              3121950,                266945,              3388895,              8543015,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2014年12月31日,,,,              1392771,,                115815,,                              0,,                  3778,,                 55871,,,              4345328,              4345328,,                347255,,                289988,                217582,                254087,                761657,              7022475,,,                 90446,,                 11746,,                205082,,                179917,,                  1048,                              0,,                  1685,,                 76240,,                  7372,                 85297,                573536,              7596011,,,,,              2438000,,                 64813,,                118873,,                227056,,                100260,                100260,                    327,,,              1126598,,                              0,                              0,                              0,                 29482,              1156080,              4105409,,,                              0,,                  2221,,                 30942,                 41475,                 72417,                 74638,              4180047,,,,              1517520,                              0,              1517520,,                919902,,                793656,,                -48710,              3182368,                233596,              3415964,              7596011,              0,              0,              0,              1392771,              7596011,,,,              2438000,,                 64813,,                118873,,                227056,,                100260,                100260,                    327,,,              1126598,,                              0,                              0,                              0,                 29482,              1156080,              4105409,,,                              0,,                  2221,,                 30942,                 41475,                 72417,                 74638,              4180047,,,,              1517520,                              0,              1517520,,                919902,,                304674,                 75581,,                413401,                793656,,                -48710,              3182368,                233596,              3415964,,,,,,,,,,,,,,,,
2509,2014年09月30日,,,,                850136,,                121608,,                  9450,,                  2118,,                 52936,,,              3984690,              3984690,,                344240,,                257950,                207499,                226521,                691970,              6057148,,,                 88605,,                 21157,,                206072,,                180718,,                  1210,                  2393,,                  1483,,                 73288,,                  7372,                 82143,                582298,              6639446,,,,,              1541500,,                 44796,,                191783,,                189420,,                110784,                110784,                  1308,,,                988527,,                              0,                              0,                              0,                 52952,              1041479,              3121070,,,                              0,,                              0,,                 29960,                 35540,                 65500,                 65500,              3186570,,,,              1517520,                              0,              1517520,,                919902,,                860761,,                -73077,              3225106,                227770,              3452876,              6639446,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2014年06月30日,,,,              1282723,,                158656,,                  3366,,                  1886,,                 76773,,,              3450363,              3450363,,                337930,,                 38600,                203595,                216164,                458359,              5770056,,,                 96104,,                 21057,,                207009,,                181520,,                  1375,                  4127,,                  1378,,                 71956,,                  7372,                 80706,                591898,              6361954,,,,,              1073000,,                 34718,,                253768,,                136914,,                429569,                429569,                    698,,,                814036,,                              0,                              0,                              0,                 24315,                838351,              2767018,,,                              0,,                              0,,                 29786,                 35540,                 65326,                 65326,              2832344,,,,              1517520,                              0,              1517520,,                919902,,                940191,,                -74045,              3303568,                226042,              3529610,              6361954,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2014年03月31日,,,,              1103000,,                160820,,                    626,,                  1380,,                 42620,,,              2892183,              2892183,,                537216,,                 98000,                192900,                175001,                465901,              5203746,,,                 95206,,                 21167,,                207291,,                182321,,                  1540,                  2438,,                  2544,,                 73408,,                  7372,                 83324,                593287,              5797033,,,,,                903000,,                 34968,,                133402,,                131089,,                101158,                101158,                  4087,,,                572155,,                              0,                              0,                              0,                 23816,                595971,              1903675,,,                              0,,                              0,,                 29603,                  2935,                 32538,                 32538,              1936213,,,,              1517520,                              0,              1517520,,                919902,,              1200488,,                -66696,              3571214,                289606,              3860820,              5797033,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2013年12月31日,,,,,,                122685,,                              0,,                  2176,,                 42711,,,              2644193,              2644193,,                498855,,                 50000,                168955,                167810,                386765,              4933128,,,                 95298,,                 24747,,                207983,,                183122,,                  1705,                  4277,,                  2380,,                 71812,,                  7372,                 81564,                598696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1235743,              5531824,,,,                694000,,                 34889,,                 81563,,                196283,,                108322,                108322,                  4087,,,                483779,,                              0,                              0,                              0,                 23257,                507036,              1626180,,,                              0,,                              0,,                 29413,                  2935,                 32348,                 32348,              1658528,,,,              1517520,                              0,              1517520,,                919902,,                265070,                 48200,,                911699,              1224969,,                -75581,              3586810,                286486,              3873296,,                733576,                733576,                 60315,                              0,                126011,,                -20879,,                -54702,,                              0,,                              0,                              0,
2509,2013年09月30日,,,,,,                 20445,,                    274,,                  2563,,                 35034,,,              2351692,              2351692,,                484066,,                              0,                164732,                127885,                292617,              4807114,,,                 90927,,                 24726,,                208894,,                183961,,                  1880,                  4618,,                              0,,                 72919,,                  9567,                 82486,                597492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1620423,              5404606,,,,                635000,,                 34809,,                 65993,,                151866,,                 99361,                 99361,                  4140,,,                459394,,,,,                 24054,                483448,              1474617,,,                              0,,                              0,,                 28910,                  2935,                 31845,                 31845,              1506462,,,,              1517520,                              0,              1517520,,                919902,,                265070,                 48200,,                941631,              1254901,,                -81622,              3610701,                287443,              3898144,,                733576,                733576,                 60315,                              0,                126011,,                -22549,,                -59073,,                              0,,,,
2509,2013年06月30日,,,,,,                 32308,,                      8,,                  2443,,                 35182,,,              2264281,              2264281,,                433295,,,,,                286159,              4621147,,,                 88465,,                 24773,,                209972,,                184801,,                  1862,                  3888,,,,,,,                 54666,                568427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1047358,              5189574,,,,                525000,,                 54705,,                 97178,,                128835,,,                238405,                  4140,,,                332506,,,,,                 41051,                373557,              1777783,,,                              0,,                              0,,,,                 37048,                 37048,              1814831,,,,              1517520,                              0,              1517520,,                919902,,,,,,                758463,,                -80515,              3115370,                259373,              3374743,,,,,,,,,,,,,,                520113,                355963,
