證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付設備款,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應付票據,　　　　 應付票據合計,　　　　 員工福利負債準備－流動,　　　　 保固之短期負債準備,　　　　 保固之長期負債準備,　　　　 待分配股票股利,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額
2516,2015年09月30日,,,,                675779,,                              0,,              2915086,                633415,,                 13118,,                  3393,,                 14842,,                169626,,              2089559,                 10239,              2099798,              6525057,,,                 40300,,                 16344,,                 75588,,              1107033,,                513873,,                  2311,                 77949,,,                  1016,                 39031,                 40047,              1873445,              8398502,,,,,              1065139,,                 80000,,              2378654,                978638,,                134578,                 22370,,                 22134,,                102731,              4784244,,,                232685,,                 13313,,                327050,                  1809,                328859,                574857,              5359101,,,,              2314775,              2314775,,                  6450,,                559641,,                152621,                 45284,              2988203,                 51198,              3039401,              8398502,              0,              0,      5199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,2015年06月30日,,,,              1040888,,                              0,,              3107903,                525015,,                 15474,,                  3393,,                 46839,,                 78063,,              2079614,                  5317,              2084931,              6902506,,,                 46100,,                 16344,,,,              1110071,,                514693,,                  2587,                 81220,,,                    948,                 38298,                 39246,              1810261,              8712767,,,,,              1324046,,,,              2444858,              1022099,,                211221,                 33841,,                 21414,,                 77548,              5135027,,,                241968,,                 13313,,                326445,                  1809,                328254,                583535,              5718562,,,,              2364775,              2364775,,                              0,,                539043,,                129962,                 88834,              2944946,                 49259,              2994205,              8712767,              0,              0,     10199000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,2015年03月31日,,,,                685163,,                  3006,,              3536515,                551581,,                 31637,,                  3709,,                 44382,,                151905,,              2138660,                  3275,              2141935,              7149833,,,                 47600,,                 16344,,,,              1144200,,                515513,,                  3003,                 82499,,,                    948,                 39655,                 40603,              1849762,              8999595,,,,,              1588541,,,,              2406069,              1061312,,                168127,                 25984,,                 22405,,                 87202,              5359640,,,                248183,,                 13313,,                325903,                  1809,                327712,                589208,              5948848,,,,              2364775,              2364775,,                              0,,                584547,,                141058,                 88834,              3001546,                 49201,              3050747,              8999595,              0,              0,     10199000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,2014年12月31日,,,,              1512298,,                              0,,              2882617,                544988,,                 33837,,                  3397,,                 29218,,                301125,,              2034658,                    600,              2035258,              7342738,,,                 39200,,                 16344,,                              0,,              1183602,,                516333,,                  3414,                 73701,,,                    498,                 40849,                 41347,              1873941,              9216679,,,,,              1542776,,                              0,,              2826687,                983425,,                168580,                              0,,                 47515,,                 95791,              5664774,,,                250285,,                 13313,,                325492,                  1809,                327301,                590899,              6255673,,,,              2364775,              2364775,,                              0,,                497289,,                139128,                 88834,              2912358,                 48648,              2961006,              9216679,              0,              0,     10199000,                              0,              1512298,                  3397,              9216679,,,,              1542776,,              2826687,                983425,,                168580,                              0,,                 47515,,                 95791,              5664774,,,                250285,,                 13313,,                325492,                  1809,                327301,                590899,              6255673,,,,              2364775,              2364775,,                              0,,                497289,,                139128,                 88834,              2912358,                 48648,              2961006,,,,,,,,,,
2516,2014年09月30日,,,,                829855,,                 17914,,              2924480,                999666,,                 28335,,                  3078,,                 23236,,                436616,,              1912542,                 19347,              1931889,              7195069,,,                 42900,,                 16344,,                              0,,              1193912,,                517153,,                  3903,                 84804,,,                  3413,                 40373,                 43786,              1902802,              9097871,,,,,              1545339,,                              0,,              2627591,                941177,,                182569,                 24759,,                 19736,,                 84179,              5425350,,,                359320,,                 13313,,                322941,                  1809,                324750,                697383,              6122733,,,,              2364775,              2364775,,                              0,,                531187,,                121590,                 88834,              2928718,                 46420,              2975138,              9097871,              0,              0,     10199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,2014年06月30日,,,,                727728,,                 17454,,              2868924,                595515,,                 27169,,                 23935,,                 14251,,                538936,,              1884775,                 21294,              1906069,              6719981,,,                 44500,,                 16344,,,,              1185741,,                517973,,                  4210,                 86481,,,                  4193,                 40139,                 63351,              1918600,              8638581,,,,,              1223448,,,,              2630234,                915280,,                179848,                 14820,,                 20833,,                 63672,              5048135,,,                358176,,                 13313,,                320001,                  1809,                321810,                693299,              5741434,,,,              2364775,              2364775,,                              0,,                469686,,                107200,                 88834,              2852827,                 44320,              2897147,              8638581,              0,              0,     10199000,                 19019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,2014年03月31日,,,,              1145660,,                 14638,,              2618189,                423477,,                 42423,,                 20857,,                 20667,,                575773,,              1913272,                 47586,              1960858,              6822542,,,                 47200,,                 16344,,,,              1193588,,                518793,,                  4867,                 85423,,,                  3456,                 41667,                 78551,              1944766,              8767308,,,,,              1359459,,,,              2631420,                865378,,                152094,                  8892,,                 21883,,                137278,              5176404,,,                357020,,                 13313,,                316997,                  1809,                318806,                689139,              5865543,,,,              2364775,              2364775,,                              0,,                460033,,                121498,                 88834,              2857472,                 44293,              2901765,              8767308,              0,              0,     10199000,                 33428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,2013年12月31日,,,,,,,,              3054502,                308700,,                 32002,,,,                 65757,,                611990,,              2040894,                 49207,              2090101,              7355793,,,                 54400,,                 16344,,,,              1211349,,                519613,,                  2943,                 92321,,,                  1798,                 42618,                 44416,              1941386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10199000,,              1171875,                 20866,              9297179,,,,              1711739,,              3129607,                635376,,                130479,                    114,,                 18851,,                151050,              5777216,,,                355864,,                 13313,,                313948,                  3571,                317519,                686696,              6463912,,,,              2364775,              2364775,,                              0,,                382154,,                130589,                 88834,              2788684,                 44583,              2833267,,,,,,,,,,
2516,2013年09月30日,,,,,,                 10211,,              2376069,                333615,,                 14489,,,,                 12551,,                693457,,              2036208,                 49891,              2086099,              6687925,,,                 50500,,                 16344,,,,              1226055,,                520433,,                  3271,                 74872,,,                  5328,                 42648,                 47976,              1939451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10199000,,              1146067,                 15367,              8627376,,,,              1380825,,              2411948,              1075227,,                180670,                    230,,                 17449,,                171384,              5237733,,,                317645,,                 13313,,                331816,                  2350,                334166,                665124,              5902857,,,,              2364775,              2364775,,                              0,,                289532,,                116735,                 88834,              2682208,                 42311,              2724519,,,,,,,,,,
2516,2013年06月30日,,,,,,                 19943,,              2129886,                312986,,                 20460,,,,                 15641,,                658869,,              2194505,                 25493,              2219998,              6474664,,,                 50500,,                 16344,,,,              1250975,,                521253,,                  3481,                 74872,,,                  5359,                 43918,                 49277,              1966702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8973000,                              0,              1081514,                 15367,              8441366,,,,              1249565,,              2629883,              1000518,,                 63481,                  3003,,                 18175,,                140268,              5104893,,,                320906,,                 13313,,                328816,                  2350,                331166,                665385,              5770278,,,,              2364775,              2364775,,                              0,,                219692,,                123159,                 77824,              2629802,                 41286,              2671088,,,,,,,,,,
